Figueras,菲格拉斯
Garriguella,加里格利亚
Alfar,埃尔法尔登波尔达
Fortiá,福尔蒂亚
España,西班牙
Darnius,达尔纽斯
Palau de Santa Eulalia,帕劳德圣埃乌拉利亚
Palau Sabardera,帕劳-萨韦尔德拉
Villarreal Club de Fútbol,比利亚雷亚尔足球俱乐部
butifarra,米血糕
Espolla,埃斯波利亚
Masarach,马萨拉克
Mollet de Peralada,莫列特德佩拉拉达
calificación del ICAA,電影和音像藝術學會分級
Navata,纳瓦塔
identificador BNE,西班牙國家圖書館識別碼
Mataró,马塔罗
Vilallonga de Ter,比拉利翁加德特尔
Ribas de Freser,里韦斯德夫雷塞尔
Ripoll,里波利
Pontevedra,蓬特韦德拉
Barcelona,巴塞罗那
Planolas,普拉诺拉斯
Queralbs,克拉尔夫斯
Garrigás,加里加斯
Lladó,利亚多
Pont de Molins,蓬特德莫林斯
Pontós,蓬托斯
identificador de la Gran Enciclopedia Catalana (antiguo),加泰羅尼亞大百科全書標識符
identificador Universidad de Barcelona (obsoleto),巴塞罗那大学规范标识符 (obsolete)
provincia de Gerona,赫羅納省
catalán,加泰罗尼亚语
San Juan de las Abadesas,桑特霍安德莱萨瓦德塞斯
San Pablo de Seguríes,桑特保德塞古列斯
identificador FilmAffinity,Filmaffinity标识
Puerto de la Selva,埃尔波尔特德拉塞尔瓦
Riumors,留莫尔斯
Besalú,贝萨卢
Santa Susana,圣苏桑纳
Argentona,阿尔亨托纳
Ordis,奥尔迪斯
Setcasas,塞特卡塞斯
San Pol de Mar,桑特波尔德马尔
Calella,卡莱利亚
Xerez Club Deportivo,赫雷斯足球俱樂部
Pirineos,比利牛斯山
La Junquera,拉洪克拉
Rabós,拉沃斯
Jerez de la Frontera,赫雷斯-德拉弗龙特拉
San Miguel de Fluviá,桑特米克尔德夫卢维亚
San Mori,桑特莫里
identificador CANTIC (antiguo),CANTIC ID
Pau,保村
Pedret y Marsá,佩德雷蒂马尔萨
Llansá,良斯萨
Llers,列尔斯
silbo gomero,戈梅拉岛哨语
Alto Ampurdán,上安普尔丹
Camprodón,坎普罗东
Torroella de Fluviá,托罗埃利亚德夫卢维亚
Ventalló,本塔略
Castillo de Coca,科卡城堡
Malgrat de Mar,马尔格拉特德马尔
código Lista Roja Hispania Nostra,西班牙濒危遗产红色名录代码
Capmany,卡普马尼
Gerona,赫罗纳
economía de España,西班牙经济
identificador DBE,西班牙传记辞典标识符
Cantallops,坎塔略普斯
Puig Neulós,内乌洛斯峰
San Cristóbal de Tosas,托萨斯
Vallfogona,巴利福戈纳德里波列斯
Valladolid,巴利亚多利德
San Pedro Pescador,桑特佩雷佩斯卡多尔
Santa Leocadia de Algama,圣略盖阿达尔格马
Portbou,波尔沃
Mislata,米斯拉塔
Terradas,特拉德斯
"Saus, Camallera i Llampaies",绍斯
La Selva de Mar,拉塞尔瓦德马尔
identificador de autoridades de la Universidad de Barcelona,巴塞罗那大学权威编号
Villar del Arzobispo,阿尔索维斯波村
Rosas,罗塞斯
San Lorenzo de la Muga,桑特略伦斯斯德拉穆加
Fútbol Club Barcelona,巴塞罗那足球俱乐部
español,西班牙語
Perelada,佩拉拉达
Girona Futbol Club,赫罗纳足球俱乐部
Tordera,托尔德拉
Guadalajara,瓜达拉哈拉
Hércules Club de Fútbol,埃尔库莱斯足球俱乐部
Huesca,韦斯卡
historia de España,西班牙歷史
Atlético de Madrid,马德里竞技俱乐部
Sant Cebrià de Vallalta,桑特塞夫里亚德瓦利亚尔塔
Beuda,贝乌达
Palafolls,帕拉福利斯
Mieras,米耶拉斯
Montagut y Oix,蒙塔古特-奥奇
Galicia,加利西亚
sistema de ligas de fútbol de España,西班牙足球联赛系统
Navarra,納瓦拉
Real Madrid C.F.,皇家馬德里足球俱樂部
Blanes,布拉内斯
Club Deportivo Mirandés,米兰德斯竞技俱乐部
Montgat,蒙特加特
Alicante,阿利坎特
identificador ICAA de catálogo de películas,ICAA电影目录编号
Unión Deportiva Las Palmas,拉斯帕尔马斯竞技联盟
Athletic Club,毕尔巴鄂竞技俱乐部
Premiá de Mar,普雷米亚德马尔
Premiá de Dalt,普雷米亚德达尔特
Lloret de Mar,略雷特德马尔
Madrid,马德里
Olot,奥洛特
Las Bordas,拉斯博尔达斯
Club Deportivo Guadalajara,哥達拿查拉足球俱樂部
Real Betis Balompié,皇家贝蒂斯足球俱乐部
Asturias,阿斯图里亚斯
Aragón,阿拉贡
Pineda de Mar,皮内达德马尔
Argelaguer,阿尔赫拉格尔
Castellfullit de la Roca,卡斯特利福利特德拉罗卡
Maresme,马雷斯梅
Sevilla,塞维利亚
Tosa de Mar,托萨德马尔
Arbucias,阿武西亚斯
identificador de jugador BDFutbol,BDFutbol球员ID
identificador RANM,西班牙皇家医学院成员ID
Palencia,帕伦西亚
Bilbao,毕尔巴鄂
Real Club Celta de Vigo,皇家維戈塞爾塔俱樂部
Lés,莱斯
Riudaura,留道拉
Tiana,蒂亚纳
Teyá,泰阿
Cantabria,坎塔布里亚
Alella,阿莱利亚
Mayá de Moncal,迈阿德蒙特卡尔
Valle de Arán,巴列-德阿兰
Dosrius,多斯留斯
Sociedad Deportiva Huesca,韦斯卡足球俱乐部
Las Palmas de Gran Canaria,拉斯帕尔马斯
Bosost,博索斯特
Zalla,萨利亚
Valmaseda,巴尔马塞达
Arrés,阿雷斯
Bausen,包森
batalla del Jarama,哈拉马战役
Club Deportivo Lugo,卢戈竞技俱乐部
Partido Democrático,民主党
Murélaga,奥莱斯蒂
Ortuella,奥尔图埃利亚
Miranda de Ebro,埃布罗河畔米兰达
Gran Premio de Europa,欧洲大奖赛
Generalidad de Cataluña,加泰羅尼亞自治政府
Sales de Llierca,萨莱斯德列尔卡
País Vasco,巴斯克自治區
aragonés,阿拉贡语
Sils,锡尔斯
Bruñola,布鲁尼奥拉
Juegos Olímpicos de Barcelona 1992,1992年夏季奥林匹克运动会
Garona,加龍河
Monzón,蒙松
