Mexico City,墨西哥城
Puebla,普埃布拉
Tijuana,蒂華納
Iztapalapa,伊斯塔帕拉帕
Santiago de Querétaro,克雷塔罗
Mexico,墨西哥
Guadalajara,瓜达拉哈拉
Ciudad Juárez,華雷斯城
Zapopan,萨波潘
Oaxaca,瓦哈卡市
Mérida,梅里達
Tuxtla,图斯特拉古铁雷斯
San Luis Potosí,圣路易斯波托西市
Saltillo,萨尔蒂约
Culiacán,库利亚坎
Morelia,莫雷利亚
Monterrey,蒙特雷
Mexicali,墨西卡利
Chihuahua,奇瓦瓦市
Aguascalientes,阿瓜斯卡连特斯
Hermosillo,埃莫西约
Cancún,坎昆
Acapulco de Juárez,阿卡普尔科
Pachuca de Soto,帕丘卡
Estado de Oaxaca,瓦哈卡州
Nuevo Laredo,新拉雷多
Naucalpan de Juárez,瑙卡尔潘
Cuernavaca,庫埃納瓦卡
Coatzacoalcos,夸察夸爾科斯
Ciudad Victoria,維多利亞城
Chetumal,切图马尔
Estado de Yucatán,尤卡坦州
Villahermosa,比亚埃尔莫萨
Estado de Veracruz-Llave,韋拉克魯斯州
Toluca,托卢卡
Estado de Tamaulipas,塔毛利帕斯州
Puerto Vallarta,巴亚尔塔港
Estado de Durango,杜蘭戈州
Victoria de Durango,杜兰戈
Estado de Coahuila de Zaragoza,科阿韋拉州
Estado de Chihuahua,奇瓦瓦州
Estado de Baja California Sur,南下加利福尼亞州
Estado de Baja California,下加利福尼亞州
Torreón,托雷翁
Tepic,特皮克
Estado de Sonora,索諾拉州
Estado de Sinaloa,锡那罗亚州
Estado de Jalisco,哈利斯科州
Guanajuato,瓜纳华托
Estado de Zacatecas,薩卡特卡斯州
Zacatecas,萨卡特卡斯
Estado de Campeche,坎佩切州
Reynosa,雷諾薩
Estado de Quintana Roo,金塔納羅奧州
Estado de Puebla,普埃布拉州
Playa del Carmen,普拉亞德爾卡曼
Estado de Nuevo León,新萊昂州
Estado de México,墨西哥州
Estado de Guerrero,格雷羅州
Córdoba,科爾多瓦
Ciudad Madero,馬德羅城
Ciudad del Carmen,卡門城
Estado de Chiapas,恰帕斯州
Veracruz,韦拉克鲁斯
Tlalnepantla,特拉尔内潘特拉
Tehuacán,提瓦坎
Tapachula,塔帕丘拉
Tampico,坦皮科
Estado de Tabasco,塔巴斯科州
San Luis Río Colorado,聖路易斯里奧科羅拉多
Estado de San Luis Potosí,圣路易斯波托西州
Los Mochis,洛斯莫奇斯
Estado de Colima,科利馬州
Ciudad Obregón,奧夫雷貢城
Ciudad Guzmán,古斯曼城
Ciudad Acuña,阿庫尼亞
Estado de Nayarit,納亞里特州
Monclova,蒙克洛瓦
Estado de Michoacán de Ocampo,米却肯州
Mazatlán,馬薩特蘭
Celaya,塞拉亞
Ciudad Apodaca,阿波達卡
Uruapan,烏魯阿潘
Tlaquepaque,特拉克帕克
San Nicolás de los Garza,聖尼古拉斯市
San Miguel de Allende,聖米格爾德阿連德
Irapuato,伊拉普阿托
Parral,帕拉爾
Nogales,諾加萊斯
Heroica Guaymas,瓜伊馬斯
Estado de Guanajuato,瓜納華托州
Ensenada,恩森那达
Estado de Querétaro,克雷塔羅州
Puerto Escondido,埃斯孔迪多港
Orizaba,奧里薩巴
Nicolás Romero,尼古拉斯羅梅羅
Estado de Morelos,莫雷洛斯州
Minatitlán,米納蒂特蘭
Iguala de la Independencia,伊瓜拉自治市
Estado de Hidalgo,伊達爾戈州
Ciudad de México,墨西哥城市
Estado de Tlaxcala,特拉斯卡拉州
Salamanca,薩拉曼卡
Navojoa,納沃華
Manzanillo,曼萨尼约
Apatzingán,阿帕欽甘
Estado de Aguascalientes,阿瓜斯卡連特斯州
Dolores Hidalgo,多洛雷斯-伊达尔戈
Tonalá,托納拉
Fresnillo,弗雷斯尼約
Tecomán,特科曼
La Paz,拉巴斯
Valladolid,巴利亚多利德
Temixco,特米斯科
Lago de Pátzcuaro,帕茨夸羅湖
Acámbaro,阿坎巴罗
Tequila,特基拉
Tecate,特卡特
Guasave,瓜薩維
North America,北美洲
Cancún International Airport,坎昆國際機場
Los Cabos,洛斯卡沃斯
Aguascalientes,阿瓜斯卡连特斯
Campeche,坎佩切
Tonalá,托納拉
Metepec,梅特佩克
Macuspana,馬庫斯帕納
Loreto,洛雷托
Volcá Paricutín,帕里库廷火山
Cananea,卡納內阿
Isla Socorro,索科羅島
Apodaca,阿波達卡
Puebla,普埃布拉
San Juan del Río,濱河聖胡安
Culiacán,库利亚坎
Colima,科利马
Almoloya de Juárez,阿爾莫洛亞華雷斯
Toluca,托卢卡
Mérida,梅里達
Guadalupe,瓜達盧佩
Manzanillo,曼萨尼约
Delicias,德利西亞斯
Irapuato,伊拉普阿托
Valle de Santiago,巴耶德聖地亞哥
Cuautitlán,夸奧蒂特蘭
Tecámac,特卡馬卡
Tlalnepantla de Baz,特拉尔内潘特拉
Tequixquiac,特基斯基阿克
Boca del Rio,博卡德爾里奧
Palenque,帕伦克
Nogales,諾加萊斯
Monte Albán,阿尔班山遗址
Grijalva,格里哈爾瓦河
Chichén-Itzá,奇琴伊察
Tulum,图卢姆
Zona Arqueológica Teotihuacán,提奧提華坎
Pyramid of the Sun,太陽金字塔
Palacio de Bellas Artes,艺术宫
Calakmul,卡拉克穆尔
Cobá,科巴
Uxmal Ruins,烏斯馬爾
