François Hollande,弗朗索瓦·奥朗德
Jean-François Champollion,让-弗朗索瓦·商博良
Guibert de Nogent,吉贝尔·德·诺让
Pierre Abélard,皮埃尔·阿伯拉尔
Joachim du Bellay,约阿希姆·杜·贝莱
Charles Baudelaire,夏尔·波德莱尔
Léon d'Hervey de Saint-Denys,德理文侯爵
Arthur Rimbaud,阿蒂尔·兰波
Luigi Cherubini,路易吉·凱魯比尼
Jean-Martin Charcot,让-马丁·沙可
Adrien Rabiot,阿德里安·拉比奥
Yassine Benzia,雅辛·本齊亞
Le Corbusier,勒·柯布西耶
Jean Jaurès,尚·饒勒斯
Paul Doumer,保罗·杜美
Nicolas Sarkozy,尼古拉·萨科齐
Claude Debussy,克洛德·德彪西
Bernard Werber,柏納·韋柏
Henry Dunant,亨利·杜南
Philippe de Bourgogne (1323-1346),勃艮第的菲利普·(1323年)
Aly Cissokho,埃莱·西索科
Chrétien de Troyes,克雷蒂安·德·特鲁瓦
Stendhal,司汤达
Michel Rocard,米歇尔·罗卡尔
Paul Morand,保罗·莫朗
Bafétimbi Gomis,巴费蒂姆比·戈米
Marcellin Berthelot,马塞兰·贝特洛
Michel Pécheux,米歇尔·佩舍
Alexandre de Chaumont,亚历山大·德·肖蒙
Élisée Reclus,埃利泽·雷克吕斯
François de Guise,法蘭索瓦·德·吉斯
Gui de Dampierre,當皮埃爾的居伊
Bérénice Bejo,贝热尼丝·贝乔
Léon Blum,莱昂·布鲁姆
Maurice de Broglie (physicien),第六代布罗意公爵莫雷斯·德布罗意
Alexandre Léonard,亚历山大·赉安
Bérénice Marlohe,貝荷妮絲·瑪赫洛
Avril Lavigne,艾薇兒·拉維尼
Michel Hazanavicius,米歇尔·阿扎纳维西于斯
Luce Irigaray,路思·伊瑞葛來
Émile Zola,埃米尔·左拉
Alexis Claude Clairaut,亚历克西·克洛德·克莱罗
Claude Monet,克勞德·莫奈
Henry Murger,亨利·穆傑
Octave Mirbeau,奥克塔夫·米尔博
François Édouard Picot,弗朗索瓦-爱德华·皮科
Geoffroi de Villehardouin,维尔阿杜安的杰弗里
Auguste Comte,奥古斯特·孔德
Sarah Bernhardt,莎拉·伯恩哈特
Marine Le Pen,玛丽娜·勒庞
Jean-Claude Killy,让-克洛德·基利
Vilfredo Pareto,维尔弗雷多·帕累托
Gustave Eiffel,古斯塔夫·埃菲尔
Robert Esnault-Pelterie,罗贝尔·埃斯诺-佩尔特里
Paul Verlaine,保罗·魏尔伦
Michel Onfray,米歇·翁福雷
Valérie Barlois,瓦莱丽·巴尔瓦-梅韦尔-勒鲁
Alexandre Lacazette,阿歷山大·拿卡錫迪
Marc Planus,马克·普拉努斯
Franck Boidin,弗兰克·布瓦丹
Sophie Moressée-Pichot,索菲·莫雷塞-皮绍
Jean-Michel Henry,让-米歇尔·亨利
Robert Leroux (escrime),罗贝尔·勒鲁
Stéphane Mallarmé,斯特凡·马拉梅
Julien Offray de La Mettrie,朱利安·奥弗雷·拉·美特利
Évariste Galois,埃瓦里斯特·伽罗瓦
Francis Gillot,弗朗西斯·吉洛
Sophie Germain,索菲·熱爾曼
Bernard Arnault,贝尔纳·阿尔诺
Louis Pasteur,路易·巴斯德
Louis Blériot,路易·布莱里奥
Henri Matisse,亨利·马蒂斯
Jacques Chaban-Delmas,雅克·沙邦-戴尔马
René Maurice Fréchet,莫里斯·弗雷歇
Auguste Rodin,奥古斯特·罗丹
Jean-Auguste-Dominique Ingres,让·奥古斯特·多米尼克·安格尔
Urbain II,烏爾巴諾二世
Jean-Luc Mélenchon,让-吕克·梅朗雄
José Bové,若泽·博韦
Jean Moulin,让·穆兰
Marcel Duchamp,馬塞爾·杜尚
Gustave Doré,古斯塔夫·多雷
André-Marie Ampère,安德烈-馬里·安培
Paul Langevin,保羅·朗之萬
François Bayrou,弗朗索瓦·贝鲁
Bienvenu de Miollis,卞福汝·米奥利斯
Steed Malbranque,斯蒂德·马尔布兰克
Adolphe Thiers,阿道夫·梯也爾
Édouard Balladur,爱德华·巴拉迪尔
Raymond Barre,雷蒙·巴尔
Pierre-Joseph Proudhon,皮埃爾-約瑟夫·普魯東
Adèle Haenel,阿黛兒·艾奈爾
Hadi Sacko,夏迪·沙高
Jean Gabin,让·迦本
Grégory Sertic,格雷戈里·塞爾蒂奇
Ludovic Sané,拉明·薩內
Victor Hugo,维克多·雨果
Héloïse (abbesse),埃洛伊斯
Philippe Pétain,菲利普·贝当
Andreï Tarkovski,安德烈·塔尔科夫斯基
Hector Berlioz,埃克托·柏辽兹
Jean-Marie Le Pen,讓-馬里·勒龐
Maurice Ravel,莫里斯·拉威爾
Marie Curie,玛丽·居里
Albert Taillandier,阿尔贝·塔扬迪耶
Auguste Daumain,奥古斯特·多曼
Pierre Bonnard,皮爾·波納爾
Grégory Coupet,格雷戈里·库佩
Florian Thauvin,弗洛里安·托萬
Rachida Dati,拉希妲·達狄
Édith Piaf,艾迪特·皮雅芙
Tony Garnier,托尼·加尼耶
Marcel Boulenger,马塞尔·布朗热
Anselme Gaëtan Desmarest,安塞尔姆·加埃唐·德马雷
Jules Verne,儒勒·凡尔纳
Marie-Jeanne-Baptiste de Savoie,瑪麗-讓娜-巴蒂斯特
Fernand Sanz,费尔南·桑
Rachi,辣什
Eugène Delacroix,欧仁·德拉克罗瓦
Étienne Léopold Trouvelot,艾蒂安·利奥波德·特鲁夫洛
M'Baye Niang,麥比耶·尼安
Stéphane Audran,斯特凡娜·奥德朗
Jean-Pierre Papin,让-皮埃尔·帕潘
Frédéric Chopin,弗雷德里克·肖邦
Paul Thiry d'Holbach,保爾·霍爾巴赫
Léon Walras,莱昂·瓦尔拉斯
Jean-Baptiste Say,讓-巴蒂斯特·賽伊
Samuel Umtiti,森姆·烏迪迪
Frédéric Bastiat,弗雷德里克·巴斯夏
Françoise Sagan,佛蘭西絲·莎崗
Serge Gainsbourg,塞尔日·甘斯布
Mahiedine Mekhissi-Benabbad,马耶迪内·梅基西-贝纳巴
Émile Durkheim,埃米尔·涂尔干
Jérôme Rothen,热罗姆·罗滕
Simone de Beauvoir,西蒙·德·波娃
Alfred Sauvy,阿尔弗雷德·索维
François Quesnay,弗朗索瓦·魁奈
Jean-Dominique Cassini,乔瓦尼·多梅尼科·卡西尼
Philippe II Auguste,腓力二世·(法兰西)
Renaud Lavillenie,雷諾·拉維萊涅
Émilie du Châtelet,沙特萊侯爵夫人
Charles Aznavour,夏尔·阿兹纳武尔
Daniel Balavoine,丹尼尔·巴拉瓦纳
Renaud,雷诺·塞尚
Marcel Proust,馬塞爾·普魯斯特
Nicolas Leblanc,尼古拉斯·勒布朗
Marie-Anne Pierrette Paulze,玛丽-安娜·波尔兹·拉瓦锡
Charles Messier,夏尔·梅西耶
Wahbi Khazri,瓦赫比·哈兹里
Lucien Gaudin,吕西安·戈丹
Gustave Courbet,古斯塔夫·库尔贝
Georges Trombert,乔治·特龙贝尔
Henri Jobier,亨利·若比尔
Robert Delaunay,罗伯特·德劳内
Louis Antoine de Saint-Just,路易·安托万·德·圣茹斯特
Georges Seurat,喬治·秀拉
Corentin Martins,科倫丁·馬丁斯
Hugo Lloris,雨果·洛里斯
Mathieu Debuchy,马修·德比希
Maurice Gourdault-Montagne,顧山·(法國外交官)
Igor Stravinsky,伊戈尔·斯特拉文斯基
Robert Schuman,罗贝尔·舒曼
Tristan Tzara,卓斯坦·查拉
Adil Rami,阿迪尔·拉米
Albert Camus,阿尔贝·加缪
Brigitte Bardot,碧姬·芭杜
Jean Françaix,尚·凡賽
Nicolas Appert,尼古拉·阿佩爾
Napoléon III,拿破仑三世
Napoléon II,拿破仑二世
Yohan Cabaye,约翰·卡巴耶
Louis XV,路易十五
Joseph Bonaparte,约瑟夫·波拿巴
Louis Bonaparte,路易·波拿巴
Olivier Giroud,奥利弗·吉鲁
Samuel Beckett,萨缪尔·贝克特
Laurent Blanc,羅倫特·白蘭斯
Zinédine Zidane,齐内丁·齐达内
Irène Joliot-Curie,伊雷娜·约里奥-居里
Paul Cézanne,保罗·塞尚
Pierre Curie,皮埃尔·居里
Florent Malouda,弗洛朗·马卢达
Karim Benzema,卡里姆·本泽马
Gao Xingjian,高行健
Henri Barbusse,亨利·巴比塞
Auguste Renoir,皮埃尔-奥古斯特·雷诺阿
Jonathan Schmid (football),若納坦·施密德
Jean-Marc Ayrault,让-马克·埃罗
Amédée Fournier,阿梅代·富尼耶
Fernandel,費南代爾
Joseph Gallieni,约瑟夫·加列尼
Charles X,查理十世·(法兰西)
Laurent Koscielny,羅倫·哥斯尼
Nadar,納達爾·(攝影家)
Henri Becquerel,亨利·貝克勒
Roger Martin du Gard,羅傑·馬丁·杜·加爾
Louis-Philippe Ier,路易-菲利普一世
Boris Vian,鮑希斯·維昂
Jean de Madre,让·德马德尔
Paul Gauguin,保羅·高更
Édouard Manet,愛德華·馬奈
Michel Ney,米歇尔·内伊
Patrice Évra,帕特里斯·埃夫拉
Philippe Mexès,菲利普·梅克斯
Franck Ribéry,弗兰克·里贝里
Alfred Jarry,阿尔弗雷德·雅里
Sébastien Loeb,塞巴斯蒂安·勒布
Jules Hardouin-Mansart,朱尔·阿杜安-芒萨尔
Alexandre Dumas,大仲马
Mathieu Valbuena,馬修·華貝拿
Samir Nasri,沙米·拿斯利
Blaise Matuidi,布莱瑟·马图伊迪
Eugène Charles Catalan,欧仁·夏尔·卡塔兰
Charlotte Bonnet,夏洛特·博内
Nicolas Poussin,尼古拉·普桑
Marouane Chamakh,马鲁万·沙马赫
Jacques Offenbach,雅克·奥芬巴赫
David Guetta,大衛·庫塔·(DJ)
Louis XI,路易十一
Anthony Réveillère,安东尼·雷维耶
Paul Bocuse,保羅·博庫斯
J. M. G. Le Clézio,让-马里·古斯塔夫·勒克莱齐奥
Henri Bergson,亨利·柏格森
René Girard,勒內·吉拉爾
Sadi Carnot (homme d'État),马里·弗朗索瓦·萨迪·卡诺
Rigobert Song,尼高拔·桑治
Paul Dukas,保罗·杜卡斯
Alain Juppé,阿兰·朱佩
Jérémy Ménez,杰雷米·梅內
Yann M'Vila,扬·姆维拉
Steve Mandanda,史蒂夫·曼丹達
Alou Diarra,阿劳·迪亚拉
Jean Ier le Posthume,约翰一世·(法兰西)
Philippe V le Long,腓力五世·(法兰西)
Louis X,路易十世·(法蘭西)
Anatole France,阿纳托尔·法朗士
Marvin Compper,馬雲·甘柏
Sully Prudhomme,苏利·普吕多姆
Amélie de Leuchtenberg,洛伊希滕貝格的阿美莉
Louise Michel,路易丝·米歇尔
Alain Robbe-Grillet,阿兰·罗伯-格里耶
Alejo Carpentier,阿莱霍·卡彭铁尔
Éric Abidal,埃里克·阿比达尔
Djibril Cissé,贾布里勒·西塞
William Gallas,威廉·加拉斯
Voltaire,伏爾泰
Marion Cotillard,瑪莉安·歌迪雅
Gustave Flaubert,古斯塔夫·福樓拜
Jacques Derrida,雅克·德里达
Jean-Pierre Jeunet,尚-皮爾·桑里
Charles-Valentin Alkan,夏尔-瓦朗坦·阿尔康
Laurent Fabius,洛朗·法比尤斯
Alexandre Alekhine,亚历山大·阿廖欣
Antoine-Jean Gros,安托万-让·格罗
Marvin Martin,馬文·馬田
Hatem Ben Arfa,哈特姆·本阿尔法
Sidney Govou,西德尼·戈武
Gaël Clichy,盖尔·克利希
Cédric Carrasso,塞德里克·卡拉索
Augustin Louis Cauchy,奧古斯丁-路易·柯西
Joseph Fourier,约瑟夫·傅里叶
Frédéric Mistral,弗雷德里克·米斯特拉尔
David Ginola,大卫·吉诺拉
Joseph Fouché,约瑟夫·富歇
Mohamed Sissoko,穆罕默德·西索科
Valérie Donzelli,華蕾莉·董澤利
Sophia Loren,索非娅·罗兰
Pierre Puvis de Chavannes,皮埃爾·皮維·德·夏凡納
Hippolyte Fizeau,阿尔芒·斐索
Bacary Sagna,巴卡雷·萨尼亚
Abou Diaby,阿布·迪亚比
André-Pierre Gignac,安德雷-皮埃爾·吉尼亞克
Nicolas Anelka,尼古拉·阿内尔卡
François Mitterrand,弗朗索瓦·密特朗
Jérémy Toulalan,热雷米·图拉朗
Louis Daguerre,路易·达盖尔
Anselme de Cantorbéry,坎特伯雷的安瑟莫
Bixente Lizarazu,比森特·利扎拉祖
Clément V,克勉五世
Anna Gavalda,安娜·加瓦尔达
Catherine de Médicis,凯瑟琳·德·美第奇
Claude Simon,克劳德·西蒙
Dominique de Villepin,多米尼克·德维尔潘
Maurice Béjart,莫里斯·贝雅
Sylvain Wiltord,西尔万·维尔托德
Youri Djorkaeff,尤里·德约卡夫
Léon Bourgeois,莱昂·布儒瓦
Django Reinhardt,金格·萊恩哈特
Maurice Gamelin,莫里斯·甘末林
Alain Resnais,亞倫·雷奈
Charles de Gaulle,夏爾·戴高樂
Guy de Maupassant,居伊·德·莫泊桑
Sébastien Squillaci,塞巴斯蒂安·斯奎拉奇
Jérôme Ferrari,热罗姆·费拉里
Jean Reno,尚·連奴
René Descartes,勒内·笛卡尔
Maximilien de Robespierre,马克西米连·罗伯斯庇尔
Florence Baverel-Robert,弗洛朗丝·巴弗雷尔-罗贝尔
Jean-Paul Sartre,让-保罗·萨特
Colette,科萊特
Frédéric Kanouté,弗雷德里克·卡努特
François Jacob,方斯華·賈克柏
François II (roi de France),弗朗索瓦二世·(法兰西)
Antoine de Saint-Exupéry,安托万·德圣埃克絮佩里
Édouard Stephan,讓·瑪里·愛德華·史提芬
Édouard Herriot,爱德华·赫里欧
Charles IX (roi de France),查理九世·(法兰西)
Anaïs Nin,阿内丝·尼恩
Jacques Chirac,雅克·希拉克
Philippe Omnès,菲利普·翁内斯
Charles VII (roi de France),查理七世·(法兰西)
Valéry Giscard d'Estaing,瓦莱里·吉斯卡尔·德斯坦
Bourvil,安德烈·布爾維爾
Louis de Funès,路易·德菲内斯
Georges Pompidou,乔治·蓬皮杜
Manuel Valls,曼努埃尔·瓦尔斯
Ludovic Giuly,吕多维克·久利
André Citroën,安德烈·雪铁龙
Pierre Boulle,皮埃尔·布勒
Honoré de Balzac,奥诺雷·德·巴尔扎克
Pierre-Simon de Laplace,皮埃尔-西蒙·拉普拉斯
Willy Sagnol,威利·萨尼奥尔
Alain Prost,阿兰·普罗斯特
Heinrich Heine,海因里希·海涅
André The Giant,巨人安德烈
Michel Foucault,米歇尔·福柯
Charles Maurras,夏尔·莫拉斯
Benoît Potier,博天
George Sand,乔治·桑
Jean-Jacques Goldman,让-雅克·高德曼
Charles VIII (roi de France),查理八世·(法兰西)
Thierry Omeyer,迪爾里·奧梅耶
Roger Etchegaray,羅哲·埃切加雷
Camille Pissarro,卡米耶·畢沙羅
André Vingt-Trois,安德肋·萬-特魯瓦
Jacques Maritain,雅克·马里顿
Sébastien Grosjean,塞巴斯蒂安·格罗让
René Lacoste,勒内·拉科斯特
Saint-John Perse,圣琼·佩斯
Tamatoa Wagemann,韋基文
Jean Perrin,让·佩兰
Urbain V,烏爾巴諾五世
Guillaume Apollinaire,纪尧姆·阿波利奈尔
Constant Troyon,康斯坦·特魯瓦永
Louis VII le Jeune,路易七世·(法兰西)
Abdou Diouf,阿卜杜·迪乌夫
Marie Tussaud,杜莎夫人
Gabriel Lippmann,加布里埃尔·李普曼
David Cage,大卫·凯奇
Floyd Ayité,弗洛伊德·阿伊泰
Raymond Queneau,雷蒙·格诺
Maurice-Quentin de La Tour,莫里斯·康坦·德·拉圖爾
Éliphas Lévi,艾利馮斯·李維
André-Jacques Garnerin,安德烈-雅克·加纳林
Chadli Bendjedid,沙德利·本·杰迪德
Virginie Razzano,維吉妮·拉扎諾
Joseph-Ignace Guillotin,约瑟夫-伊尼亚斯·吉约丹
Édouard Lucas,爱德华·卢卡斯
Coco Chanel,可可·香奈尔
Léo Westermann,里奧·韋斯特曼
Élie Hoarau,埃利·瓦罗
Élie Cartan,埃利·嘉当
Anggun,安谷
Christophe Lemaitre,克里斯托夫·勒邁特雷
Habib Beye,哈比·比耶
René Pleven,勒内·普利文
Rio Mavuba,里奥·马乌巴
Michel Platini,米歇尔·普拉蒂尼
Bernard Lacombe,贝尔纳·拉孔布
Adam de la Halle,亚当·德·拉阿勒
Laure Manaudou,洛尔·马诺杜
Suger,叙热
Catherine Bellier,博韦男爵夫人
Jacques Anquetil,雅克·安克蒂尔
Robert Courteheuse,諾曼第公爵羅貝爾二世
Alexandre Millerand,亚历山大·米勒兰
Élie-Abel Carrière,伊利-阿贝尔·卡里埃
Anne Robert Jacques Turgot,安·罗伯特·雅克·杜阁
Louis Aragon,路易·阿拉贡
Paul Cornu (inventeur),保罗·科尔尼
Pierre-Emerick Aubameyang,皮埃尔-埃默里克·奥巴梅扬
Elsa Triolet,愛爾莎·特奧萊
Raoul Dufy,拉乌尔·杜菲
Édouard Vaillant,爱德华·瓦扬
Édouard Lefebvre de Laboulaye,爱德华·勒内·德·拉布莱
Marguerite de France (1553-1615),瑪格麗特·德·瓦盧瓦
Charles Renouvier,夏尔·雷诺维耶
Guillaume Pepy,紀堯姆·佩皮
Aurore Clément,奧蘿爾·克來蒙
Casey Legler,凯西·莱格勒
Wissam Ben Yedder,維薩姆·本耶德爾
Édouard Roger-Vasselin,爱德华·罗歇-瓦瑟兰
Camille Muffat,卡米耶·米法
Florent Manaudou,弗洛朗·馬納杜
Bohémond de Tarente,博希蒙德一世
Romain Rolland,罗曼·罗兰
Patrick Chila,帕特里克·希拉
Hongyan Pi,皮红艳
Patrick Vieira,帕特里克·维埃拉
Daniel Schneidermann,丹尼爾·施內德芒
Albert Soboul,阿尔贝·索布尔
Théodore de Bèze,泰奥多尔·贝扎
Carla Bruni,卡拉·布魯尼
Marc-Vivien Foé,马克-维维安·福
Bảo Đại,保大帝
Edgar Degas,埃德加·德加
Jean-Baptiste Camille Corot,让-巴蒂斯特·卡米耶·柯洛
Zao Wou-Ki,赵无极
André Gide,安德烈·紀德
Miralem Pjanić,米拉萊姆·皮亞尼奇
Pān Yuliang,潘玉良
Jean-François Millet,让-弗朗索瓦·米勒
Jonathan Littell,乔纳森·利特尔
Ivan Bounine,伊万·蒲宁
Étienne Marcel,艾蒂安·馬塞爾
Émile Allais,埃米尔·阿莱
Josquin des Prés,若斯坎·德普雷
Nadia Boulanger,娜迪亚·布朗热
Man Ray,曼·雷
Thierry Henry,蒂埃里·亨利
Georges Tainturier,乔治·坦蒂里耶
Zadoc Kahn,扎多克·卡恩
Alexis de Tocqueville,亞歷克西·德·托克維爾
Florestine de Monaco,摩納哥的佛洛雷絲汀
Yannick Noah,雅尼克·诺阿
Louis-Antoine de Bourbon-Condé,昂吉安公爵路易·安托万
Patrick Modiano,帕特里克·莫迪亚诺
Élisabeth de France (1764-1794),法蘭西的伊莉莎白·(1764-1794)
Arsène Wenger,阿尔塞纳·温格
Olivier Dacourt,奥利维尔·达科特
Luis Fernandez (football),路易斯·费尔南德斯
Bertrand du Guesclin,贝特朗·杜·盖克兰
Maurice Barrès,莫里斯·巴雷斯
Mathilde II de Bourbon,瑪蒂爾德二世·德·波旁
Armand Traoré,阿曼特·查奧爾
Jules Renard,儒勒·雷納爾
Jacques Pierre Brissot,雅克·皮埃爾·布里索
Auguste Bartholdi,弗雷德里克·奥古斯特·巴托尔迪
André Lwoff,安德列·利沃夫
Marie-Antoinette d'Autriche,玛丽·安托瓦内特
Camille Saint-Saëns,卡米耶·聖桑
Mickaël Landreau,米卡埃尔·朗德罗
Pavel Dourov,帕維爾·杜洛夫
Jean de La Bruyère,让·德·拉布吕耶尔
Frédéric Beigbeder,費德里克·貝格岱
Édouard Lalo,爱德华·拉罗
Aimé Césaire,艾梅·塞泽尔
Antoine-Laurent de Jussieu,安托万·罗兰·德朱西厄
Émile Benveniste,埃米尔·邦弗尼斯特
Émile-Louis Burnouf,埃米尔-路易·比尔努夫
Émile Champion,埃米尔·尚皮翁
Maurice Leblanc,莫里斯·盧布朗
Jean Froissart,让·弗鲁瓦萨尔
André Maurois,安德烈·莫洛亚
René Fonck,勒內·豐克
Paul Durin,保罗·迪兰
René Boulanger (gymnastique),勒内·布朗热
György Kurtág,库塔格·捷尔吉
Didier Drogba,迪迪埃·德罗巴
Jacques Cassini,雅克·卡西尼
Henri Charrière,亨利·查理葉
Alain (philosophe),埃米尔-奥古斯特·沙尔捷
Austen Henry Layard,奧斯丁·亨利·萊亞德
Émile Combes,埃米尔·孔布
René Char,勒内·夏尔
Hector Malot,賀克多·馬洛
Robert Nivelle,羅貝爾·尼維爾
Albert Schweitzer,阿爾伯特·史懷哲
Lucien Bonaparte,吕西安·波拿巴
Jérôme Bonaparte,热罗姆·波拿巴
Gérard Philipe,杰拉·菲利浦
Frédéric Joliot-Curie,弗雷德里克·约里奥-居里
Élisa Bonaparte,埃莉萨·波拿巴
Pierre de Ronsard,皮埃尔·德·龙萨
Ulrich Ramé,烏爾里希·拉姆
Louise de Lorraine-Vaudémont,洛林-沃代蒙的路易絲
Macha Méril,玛莎·梅里尔
Émile Gallé,埃米尔·加莱
Paul Signac,保罗·西涅克
Isabelle de France (1295-1358),伊莎贝拉·德·法蘭西
