Marsilly (Moselle),马尔西伊·(摩泽尔省)
Wœlfling-lès-Sarreguemines,沃尔夫兰莱萨尔格米讷
Richeling,里什兰
Montois-la-Montagne,蒙图瓦拉蒙塔涅
Rettel,雷泰勒
Montenach,蒙特纳克
Wangenbourg-Engenthal,旺根堡-恩根塔勒
Goxwiller,戈克斯维莱尔
Lalaye,拉莱·(下莱茵省)
Paris,巴黎
Cognac (Charente),干邑
Tours,图尔
Cognac (eau-de-vie),干邑白蘭地
Sainte-Marie-aux-Chênes,圣玛丽欧谢讷
Pontpierre (Moselle),蓬皮埃尔·(摩泽尔省)
Landange,朗当日
Waltembourg,瓦尔唐堡
Rhodes (Moselle),罗德·(摩泽尔省)
Fixem,菲克塞姆
Niederhaslach,下阿斯拉克
Ranrupt,朗吕
Semécourt,瑟梅库尔
Français,法语
Norroy-le-Veneur,诺鲁瓦勒沃讷尔
Maisonsgoutte,迈松古特
Souffelweyersheim,苏弗尔韦耶赛姆
Huttendorf,于滕多夫
Melsheim,梅尔赛姆
Schirmeck,希尔梅克
Ingwiller,英维莱尔
Marmoutier (Bas-Rhin),马尔穆捷
Florange,弗洛朗日
Dalhunden,达伦登
Boulay-Moselle,布莱摩泽尔
Sarrebourg,萨尔堡
Wiesviller,维斯维莱尔
Longeville-lès-Metz,隆日维尔莱梅斯
Saint-Jean-de-Bassel,圣让德巴塞勒
Tragny,特拉尼·(摩泽尔省)
Imling,伊姆兰
Ippling,伊普兰
Sainte-Ruffine,圣吕菲娜
Montoy-Flanville,蒙图瓦-弗朗维尔
Trémery,特雷姆里
Rezonville,勒宗维尔
Lixing-lès-Rouhling,利克桑莱鲁兰
Mittelhausen,米特劳森
Seebach,塞巴克
Issenhausen,伊瑟瑙森
Allemand,德语
Rimling,里姆兰
Saint-Jean-Kourtzerode,圣让库尔策罗德
Brumath,布吕马特
Wissembourg,维桑堡
Schiltigheim,希尔蒂盖姆
France,法国
Pays de la Loire,卢瓦尔河地区大区
Languedoc-Roussillon,朗格多克-鲁西永
Poitou-Charentes,普瓦图-夏朗德
Willerwald,维勒瓦尔德
Marange-Silvange,马朗日-锡尔旺日
Plappeville,普拉普维尔
Wittring,维特兰
Menchhoffen,门绍芬
Marly (Moselle),马尔利·(摩泽尔省)
Lixing-lès-Saint-Avold,利克桑莱圣阿沃尔德
Flandre (Belgique),佛兰德
Lixheim,利克赛姆
Fribourg (Moselle),弗里堡·(摩泽尔省)
Saint-Jure,圣瑞尔
Richemont (Moselle),里什蒙
Richeval,里什瓦勒
Woustviller,武斯特维莱尔
Fleisheim,弗莱赛姆
Gresswiller,格雷斯维莱尔
Erstein,埃尔什泰因
Kuttolsheim,屈托尔赛姆
Minversheim,明沃赛姆
Tour Eiffel,艾菲爾鐵塔
Bretagne,布列塔尼半岛
Cimetière du Père-Lachaise,拉雪兹神父公墓
Philippsbourg,菲利普斯堡·(摩泽尔省)
Seingbouse,桑布斯
Eincheville,安什维尔·(摩泽尔省)
Fénétrange,费内特朗日
Sturzelbronn,什蒂策尔布龙
Le Val-de-Guéblange,勒瓦勒德盖布朗日
Jury (Moselle),瑞里·(摩泽尔省)
Rémering-lès-Puttelange,雷姆兰莱皮特朗日
Hérange,埃朗日
Guadeloupe,瓜德罗普
Viller,维莱·(摩泽尔省)
Sarreguemines,萨尔格米讷
Quimper,坎佩尔
La Flèche,拉弗莱什
Muséum de Toulouse,圖盧茲博物館
Porcelette,波尔瑟莱特
Turquestein-Blancrupt,蒂尔克斯坦-布朗克吕
Lorquin,洛尔坎
Woippy,瓦皮·(摩泽尔省)
Sierck-les-Bains,谢尔克莱班
Jouy-aux-Arches,茹伊欧萨什
Lorry-lès-Metz,洛里莱梅斯
Obergailbach,奥伯盖尔巴赫
Siersthal,锡尔斯塔勒
Postroff,波斯特罗夫
Oberstinzel,奥贝尔斯坦泽·(摩泽尔省)
Verny,韦尔尼
Thionville,蒂永维尔
Saint-Georges (Moselle),圣乔治·(摩泽尔省)
Lyon,里昂
Martinique,馬提尼克
Elzange,埃尔藏日
Laquenexy,拉克内克西
Vry,弗里·(摩泽尔省)
Peltre,佩尔特·(摩泽尔省)
Erching,埃尔尚·(摩泽尔省)
Leyviller,莱维莱尔
Petit-Tenquin,小唐坎
Macheren,马什伦
Nousseviller-lès-Bitche,努斯维莱尔莱比奇
Geispolsheim,盖斯波尔赛姆
Mey,梅·(摩泽尔省)
Lorry-Mardigny,洛里-马尔迪尼
Volstroff,沃尔斯特罗夫
Vahl-Ebersing,瓦勒埃贝尔桑
Stuckange,斯蒂康日
Guermange,盖尔芒日
Hilsprich,伊尔斯普里什
Ormersviller,奥梅尔斯维莱尔
Gandrange,冈德朗日
Guénange,盖南日
Frohmuhl (Bas-Rhin),弗罗米勒
Eschau,埃绍·(下莱茵省)
Le Hohwald,勒奥瓦尔德
Munchhausen,明绍森
Rémilly (Moselle),雷米伊
Hottviller,奥特维莱尔
Erstroff,埃尔斯特罗夫·(萨拉尔布县)
Waldersbach,瓦尔德斯巴克
Uhrwiller,于尔维莱尔·(赖什索芬县)
Uttenheim,于特奈姆·(Uttenheim)
Bindernheim,宾德奈姆
Forbach,福尔巴克
Solgne,索尔涅
Waltenheim-sur-Zorn,佐恩河畔瓦尔特奈姆
Neuve-Église (Bas-Rhin),讷沃埃格利斯
Weislingen,韦斯林根
Fleury (Moselle),弗勒里·(摩泽尔省)
Hœrdt,厄尔特
Kirrwiller,基尔维莱尔
Weitbruch,韦特布吕克·(下莱茵省)
Still (Bas-Rhin),什蒂勒
Illkirch-Graffenstaden,伊尔基什-格拉芬什塔登
Apach,阿帕克
Mayotte,马约特
Kutzenhausen,屈策瑙森
Blanche-Église,布朗什埃格利斯
Albé,阿尔贝·(下莱茵省)
Tramway du Havre,勒阿弗尔有轨电车
Mittelhausbergen,中奥斯贝根
Dalem,达朗
Vittersbourg,维泰尔斯布尔·(摩泽尔省)
Sand (Bas-Rhin),桑德·(下莱茵省)
Mundolsheim,蒙多尔赛姆
Weyer,韦耶·(下莱茵省)
Metz,梅斯
Dieuze,迪约兹
Hoffen,奥芬
Molsheim,莫尔塞姆
Hunspach,温斯帕赫
Saint-Bohaire,圣博艾尔
Ussel (Corrèze),于塞勒
