Dudon de Saint-Quentin,聖·昆汀杜多
Dan Ar Braz,达恩·阿尔·布拉斯
Gilles Servat,吉勒·塞爾瓦
François Hollande,弗朗索瓦·奥朗德
Maryse Bastié,瑪麗絲·巴斯提耶
Vilfredo Pareto,维弗雷多·帕累托
Jean-Claude Killy,让-克劳德·基利
Guibert de Nogent,吉贝尔·德·诺让
Sarah Bernhardt,莎拉·伯恩哈特
Pierre Abélard,彼得·阿伯拉
Claude Debussy,阿希尔-克洛德·德彪西
Léon Blum,莱昂·布鲁姆
Albert d'Aix,艾克斯的阿尔伯特
Bafétimbi Gomis,巴费蒂姆比·戈米
Bérénice Marlohe,貝荷妮絲·瑪赫洛
Joachim du Bellay,non ses te par unechinoi
Marcellin Berthelot,马塞兰·贝特洛
Jean-François Champollion,让-弗朗索瓦·商博良
Claude Monet,克劳德·莫奈
Nicolas Sarkozy,尼古拉·萨科齐
Chrétien de Troyes,克雷蒂安·德·特鲁瓦
Henry Dunant,亨利·杜南
Bernard Werber,柏納·韋柏
Siraba Dembélé,希哈巴·丹比利
Georges Brassens,乔治·布拉桑
Édouard Belin,爱德华·伯兰
Philippe de Bourgogne,"菲利普二世, 奧弗涅伯爵"
Rémi Garde,雷米·加迪
Léon d'Hervey de Saint-Denys,德里文
Landry Bonnefoi,朗德里·博纳福瓦
Alexis Claude Clairaut,亚历克西斯·克劳德·克莱罗
Gui de Dampierre,居伊 (佛蘭德)
Maurice de Broglie,莫里斯·德布罗意
Yassine Benzia,雅辛·本齊亞
Claudius Colas,克勞科拉斯
François de Guise,吉斯公爵
Bérénice Bejo,贝热尼丝·贝乔
Michel Hazanavicius,米歇尔·阿扎纳维西于斯
Paul Morand,保罗·毛杭
Paul Doumer,保罗·杜美
Luce Irigaray,路思·伊瑞葛來
Claude Hagège,海然熱
Léon Serpollet,莱昂·塞波莱
Philippe Hurepel,克莱蒙的菲利普·于尔佩尔
Victor Hugo,维克多·雨果
Le Corbusier,勒·柯布西耶
Sylvain Marveaux,西尔万·马尔沃
Aly Cissokho,埃莱·西索科
Émile Zola,埃米尔·左拉
Charles Baudelaire,夏尔·波德莱尔
Patrice Verchère,帕特里斯·韦尔谢尔
Jean-Martin Charcot,让-马丁·沙尔科
Arthur Rimbaud,阿蒂尔·兰波
Marine Le Pen,马琳·勒庞
François-Édouard Picot,弗朗索瓦-爱德华·皮科
Adrien Rabiot,阿德里安·拉比奥
Olivier Besancenot,奥利维耶·贝桑斯诺
Louis Pasteur,路易·巴斯德
Bernard Perrut,贝尔纳·佩吕
Alexandre Léonard,亚历山大·赉安
Robert Esnault-Pelterie,罗贝尔·埃斯诺-佩尔特里
Geoffroi de Villehardouin,若弗鲁瓦·德维尔阿杜安
Jean Jaurès,尚·饒勒斯
Luigi Cherubini,路易吉·凱魯比尼
Conon de Béthune,科农·白求恩
Paul Verlaine,保尔·魏尔伦
Auguste Comte,奥古斯特·孔德
Louis Blériot,路易·布莱里奥
Hedi Slimane,艾迪·斯理曼
André-Marie Ampère,安德烈-馬里·安培
Élisée Reclus,艾里塞·雷克吕
Gustave Eiffel,居斯塔夫·埃菲尔
Félix Tisserand,费利克斯·蒂斯朗
Urbain II,烏爾巴諾二世
Frédéric Taddeï,弗雷德里克·塔代伊
Avril Lavigne,艾薇儿·拉维尼
Hélène Geoffroy,埃莱娜·若弗鲁瓦
Henri Matisse,亨利·马蒂斯
Philippe Cochet,菲利普·科歇
Maurice Genevoix,莫里斯·热纳瓦
Alexandre de Chaumont,亚历山大·德·肖蒙
Stendhal,司汤达
Jean-Luc Mélenchon,让-吕克·梅朗雄
Michel Pécheux,米歇尔·佩舍
Maurice Fréchet,莫里斯·弗雷歇
Adèle Haenel,阿黛拉·哈内尔
Héloïse d'Argenteuil,哀綠綺思
Henri Farman,亨利·法曼
Yves Blein,伊夫·布兰
Jean Gabin,让·迦本
Adolphe Thiers,阿道夫·梯也爾
Jean Moulin,让·穆兰
Frédéric Chopin,弗雷德里克·肖邦
Arlette Laguiller,阿莱特·拉吉勒
Henri Émile Sauvage,亨利·瑟維吉
Gustave Doré,古斯塔夫·多雷
Philippe Pétain,菲利普·贝当
Georges Duhamel,乔治·迪阿梅尔
Maurice Ravel,莫里斯·拉威爾
Julien Offray de La Mettrie,朱利安·奥弗雷·拉·美特利
Jacques Balutin,雅克·巴鲁丁
Andreï Tarkovski,安德烈·塔尔科夫斯基
Auguste Rodin,奥古斯特·罗丹
Jacques Chaban-Delmas,雅克·沙邦-戴尔马
Édith Piaf,艾迪特·皮雅芙
Bienvenu de Miollis,米奧利斯主教
Michel Rocard,米歇尔·罗卡尔
Évariste Galois,埃瓦里斯特·伽罗瓦
Stéphane Mallarmé,馬拉美
Pierre-Joseph Proudhon,皮埃爾-約瑟夫·普魯東
Michel Onfray,米歇·翁福雷
Hadi Sacko,夏迪·沙高
Louise Borgia,路易絲·波吉亞（瓦倫提諾女公爵）
Henry Murger,亨利·穆傑
Muguette Dini,米盖特·迪尼
José Bové,若澤·博韋
Franck Boidin,弗兰克·布瓦丹
Tony Garnier,托尼 加尼耶
Paul Henri Thiry d’Holbach,保爾·霍爾巴赫
Marcel Duchamp,馬塞爾·杜象
Mahiedine Mekhissi-Benabbad,马耶迪娜·梅基西·贝
Hector Berlioz,埃克托·柏辽兹
Robert Brasillach,罗贝尔·布拉西亚克
Jean Lefebvre de Cheverus,让-勒费夫尔·德舍沃吕斯
Serge Gainsbourg,塞尔日·甘斯布
Jean-Michel Henry,让-米歇尔·亨利
Nicolas Maurice-Belay,尼古拉斯·馬萊斯貝萊
Octave Mirbeau,奥克塔夫·米尔博
Françoise Sagan,佛蘭西絲·莎崗
Jean-Auguste-Dominique Ingres,让·奥古斯特·多米尼克·安格尔
Sophie Germain,索菲·熱爾曼
Daniel Balavoine,丹尼尔·巴拉瓦纳
Yoan Gouffran,约昂·古夫兰
Barbara,巴巴拉
Valérie Barlois,瓦莱丽·巴尔瓦-梅韦尔-勒鲁
Napoléon III,拿破仑三世
Simone de Beauvoir,西蒙·波娃
Robert Leroux,罗贝尔·勒鲁
Corentin Martins,科倫廷·馬丁斯
Michel Jobert,米歇尔·若贝尔
Hugo Lloris,雨果·洛里斯
Marie Curie,瑪麗·居禮
Marcel Proust,馬塞爾·普魯斯特
Michel Audiard,米歇尔·奥迪亚尔
Anna de Noailles,安娜·德·诺阿耶
Pierre Bonnard,皮爾·波納爾
Mbaye Niang,麥比耶利安
Gérard Collomb,热拉尔·科隆
Albert Taillandier,阿尔贝·塔扬迪耶
Renaud Lavillenie,雷诺·拉维莱涅
Fernand Sanz,费尔南·桑
Marie-Anne Pierrette Paulze,玛丽-安娜·波尔兹·拉瓦锡
Sophie Moressée-Pichot,索菲·莫雷塞-皮绍
Jean-Marie Le Pen,让-马里·勒庞
Sabri Lamouchi,薩布里·拉穆奇
Raymond Barre,雷蒙·巴尔
Paul Langevin,保羅·朗之萬
Jussiê,帕保路加西亞
Matthieu Chalmé,马蒂厄·卡尔梅
Napoléon II,拿破仑二世
Laurent Blanc,羅倫特·白蘭斯
Jean-Marc Ayrault,让-马克·埃罗
Charles Aznavour,查爾斯·阿茲納弗
Adil Rami,阿迪尔·拉米
Alain Poher,阿蘭·波埃
David Bellion,大卫·贝里昂
Zinedine Zidane,齐内丁·齐达内
Renaud,赫诺·塞尚
Francis Gillot,弗兰西斯·吉约
Nicolas Dupont-Aignan,尼古拉·杜邦-艾尼昂
Grégory Sertic,格雷戈里·塞爾蒂奇
Auguste Daumain,奥古斯特·多曼
Jacques Cheminade,雅克·舍米納德
Roger Pierre,侯傑·皮耶
Marc Planus,马克·普拉努斯
Rachi,辣什
Rachida Dati,拉希妲·達狄
Karim Benzema,卡里姆·本泽马
Charles Marie de La Condamine,夏尔·马里·德·拉孔达米纳
Joseph Bonaparte,约瑟夫·波拿巴
Igor Stravinsky,伊戈尔·费奥多罗维奇·斯特拉文斯基
Mathieu Debuchy,马修·德比希
Édouard Balladur,爱德华·巴拉迪尔
Louis Bonaparte,路易·波拿巴
Mehdi Mostefa,麥赫迪·莫斯提法
Louis XV,路易十五
Jules Hardouin-Mansart,朱尔·阿杜安-芒萨尔
Charles X,查理十世
Boris Vian,鲍里斯·维安
Sébastien Loeb,塞巴斯蒂安·勒布
François Asselineau,弗朗索瓦·阿瑟利諾
Florian Thauvin,弗洛里安·托萬
Émilie du Châtelet,沙特萊侯爵夫人
Yohan Cabaye,约翰·卡巴耶
Landry Nguémo,朗迪·恩古埃莫
Ludovic Sané,拉明·薩內
Laurent Koscielny,羅倫·哥斯尼
François Bayrou,弗朗索瓦·贝鲁
Alfred Jarry,阿尔弗雷德·雅里
Patrice Évra,帕特里斯·埃夫拉
Louis-Philippe Ier,路易－菲利普一世
Philippe Mexès,菲利普·梅克斯
Olivier Giroud,奥利弗·吉鲁
Frédéric Hantz,弗雷德里科·漢茲
Fahid Ben Khalfallah,法赫德·本·哈勒法拉
Franck Ribéry,弗兰克·里贝里
Benoît Trémoulinas,特雷穆利納
Florent Malouda,弗洛朗·马卢达
Irène Joliot-Curie,伊雷娜·约里奥-居里
Étienne Léopold Trouvelot,艾蒂安·利奥波德·特鲁夫洛
Sambou Yatabaré,薩姆布·雅塔巴雷
Mathieu Gorgelin,马蒂厄·戈尔热兰
Yann M'Vila,扬·姆维拉
Sidney Govou,西德尼·戈武
Cédric Carrasso,塞德里克·卡拉索
Bernard Arnault,贝尔纳·阿尔诺
Stéphane Audran,斯特法妮·奧德朗
Samir Nasri,萨米尔·纳斯里
Louis X de France,路易十世
André Étienne d'Audebert de Férussac,安德费吕萨克男爵
Mathieu Valbuena,馬修·華貝拿
Éric Abidal,埃里克·阿比达尔
Djibril Cissé,贾布里勒·西塞
Jean-Pierre Papin,让-皮埃尔·帕潘
Louis XI de France,路易十一
Voltaire,伏爾泰
Mouhamadou Dabo,默罕莫多·达博
Alexandre Lacazette,亚历山大·拉卡泽特
Marvin Martin,馬文·馬丁
Marion Cotillard,玛丽昂·歌迪亚
Grégory Coupet,格雷戈里·库佩
Blaise Matuidi,布莱兹·马图伊迪
Georges Trombert,乔治·特龙贝尔
Rémy Vercoutre,雷米·維科特
Steve Mandanda,斯特弗·芒当达
Mireille Ballestrazzi,米雷耶·巴萊斯塔茲
Toifilou Maoulida,托伊菲洛·毛利达
David Guetta,大衛·庫塔
Louis Antoine de Saint-Just,路易·安托万·德·圣鞠斯特
Jules Verne,儒勒·凡尔纳
Hatem Ben Arfa,哈特姆·本阿尔法
Eugène Delacroix,欧仁·德拉克罗瓦
Jean Ier de France,约翰一世
Anthony Réveillère,安东尼·雷维耶
Nicolas Anelka,尼古拉·阿内尔卡
Marie Jeanne Baptiste de Savoie,瑪麗-讓娜-巴蒂斯特
Steed Malbranque,斯蒂德·马尔布兰克
Yannick Cahuzac,扬尼克·卡胡扎克
Maryline Desbiolles,瑪麗萊娜·德斯比奧萊斯
William Gallas,威廉·加拉斯
Laurent Fignon,洛朗·菲農
Julien Sablé,尤利安·萨布勒
André-Pierre Gignac,安德雷·皮埃爾·吉尼亞克
Augustin Louis Cauchy,奧古斯丁·路易·柯西
Romain Élie,罗曼·埃利
Philippe II Auguste,腓力二世
Gustave Courbet,居斯塔夫·库尔贝
Georges Seurat,喬治·皮埃尔·秀拉
Samuel Umtiti,烏迪迪
Alou Diarra,阿劳·迪亚拉
Philippe V de France,腓力五世
Robert Delaunay,罗贝尔·德劳内
Guy de Maupassant,居伊·德·莫泊桑
Marcel Boulenger,马塞尔·布朗热
Abou Diaby,阿布·迪亚比
Laurent Jalabert,劳伦·贾拉伯特
Henri Jobier,亨利·若比尔
Gaël Clichy,盖尔·克利希
Frédéric Bastiat,弗雷德里克·巴斯夏
Mehdi Baala,迈赫·迪巴拉
Jean-Baptiste Say,讓-巴蒂斯特·賽伊
Henri Saivet,亨利·赛韦
Joseph Fourier,约瑟夫·傅里叶
Paul Cézanne,保罗·塞尚
Frédéric Sammaritano,萨马里塔诺
Léon Walras,莱昂·瓦尔拉斯
Sébastien Squillaci,塞巴斯蒂安·斯奎拉奇
Paul Bocuse,保羅·博基茲
Jacques Chirac,雅克·希拉克
Brigitte Bardot,碧姬·芭铎
Alfred Sauvy,阿尔弗雷德·索维
Bacary Sagna,巴卡雷·萨尼亚
Jérémy Ménez,杰雷米·梅內
Charles de Gaulle,夏爾·戴高樂
Robert le Danois,丹麥人羅貝爾
Georges Pompidou,乔治·蓬皮杜
Albert Camus,阿尔贝·加缪
Charles Messier,夏尔·梅西耶
Alex Dupont,阿莱克斯·杜邦
Manuel Valls,曼努埃尔·瓦尔斯
Valéry Giscard d'Estaing,瓦勒里·季斯卡·德斯坦
René Descartes,勒内·笛卡儿
François Mitterrand,弗朗索瓦·密特朗
Wahbi Khazri,瓦赫比·哈兹里
Anselme Gaëtan Desmarest,安塞尔姆·加埃唐·德马雷
Jérôme Rothen,热罗姆·罗滕
Coluche,科吕什
Antoine de Saint-Exupéry,安托万·德圣埃克絮佩里
Jean-Dominique Cassini,乔凡尼·多美尼科·卡西尼
François Quesnay,弗朗索瓦·魁奈
Jérémy Toulalan,热雷米·图拉朗
Denez Prigent,丹尼茲·布萊傑
Honoré de Balzac,巴尔扎克
Alice Belaïdi,愛麗絲·貝萊迪
Jean-Paul Sartre,让-保罗·萨特
Alan Stivell,阿兰·斯蒂夫
Jean-Marc Furlan,尚-马克·弗兰
Pierre Curie,皮埃尔·居里
Alain Prost,阿兰·普罗斯特
Jean Françaix,让‧弗朗赛
Samuel Beckett,萨缪尔·贝克特
Nicolas Leblanc,尼古拉斯·勒布朗
Joseph Galliéni,约瑟夫·西蒙·加列尼
Louis de Funès,路易·德菲内斯
Roger Martin du Gard,羅傑·馬丁·杜·加爾
Lucien Gaudin,吕西安·戈丹
Émile Durkheim,埃米尔·涂尔干
Robert Schuman,罗贝尔·舒曼
Auguste Renoir,皮耶-奧古斯特·雷諾瓦
Fernandel,費南代爾
René Girard,勒內·吉拉爾
Nicolas Appert,尼古拉·阿佩爾
Johan Martial,若安·马夏尔
Harlem Désir,哈林·德塞爾
Nadar,納達爾
Alexandre Dumas,大仲马
Anthony Pannier,安东尼·帕尼耶
Bernard Mendy,贝纳德·门迪
Gilles-Éric Séralini,吉利斯-艾瑞克·塞拉利尼
Charles Maurras,夏尔·莫拉斯
Ismaël Traoré,伊斯梅爾·特勞雷
Jean de Madre,让·德马德尔
Catherine de Clèves,克萊沃的凱瑟琳
Kenny Lala,肯尼·拉拉
Emmanuel d'Orléans,埃曼努爾
Amédée Fournier,阿梅代·富尼耶
Joseph Deniker,约瑟夫·德尼克
Jonathan Schmid,若納坦·施密德
Charlotte Bonnet,夏洛特·邦内特
Jean-Louis Leca,让-路易·莱卡
Tristan Tzara,卓斯坦·查拉
Michèle Vergne,米谢勒·韦尔涅
Michel Larionov,卡西米爾·馬列維奇
Paul Gauguin,保羅·高更
Alexis Thébaux,阿列克西斯·泰博
Michel Ney,米歇尔·内伊
Maurice Gourdault-Montagne,顧山
Jean Armel Kana Biyik,吉恩-阿梅爾·卡納-拜伊克
Guy Teissier,居伊·泰西耶
Suger,阿伯特·苏格
Bruno Grougi,布鲁诺·格罗吉
Florian Guillou,弗洛里安·吉尤
Abel Niépce de Saint-Victor,亞伯·尼埃普斯·德·聖-維克多
Marvin Compper,馬雲·甘柏
J. M. G. Le Clézio,让-马里·古斯塔夫·勒克莱齐奥
