Paris,巴黎
identifiant Académie nationale de médecine,法国医学科学院院士编号
identifiant Assemblée nationale (France),法国国民议会ID
Flandre,佛兰德
identifiant Ldh/EHESS/Cassini,法国市镇EHESS ID
France,法國
identifiant Musée d'Orsay d'une œuvre,Musée d'Orsay作品编号
identifiant sur l'annuaire du service public français,法国公共服务索引簿ID
allemand,德语
identifiant Dictionnaire universel des créatrices,DUC ID
français,法语
Pays de la Loire,卢瓦尔河地区大区
identifiant BD Gest' d'un auteur,BD Gest'作者識別碼
Wœlfling-lès-Sarreguemines,沃尔夫兰-莱萨尔格米讷
code métier IDEO,IDEO工作编号
Rettel,雷泰勒
code métier ROME,ROME職業編號（v3）
identifiant SUDOC (éditions),大學文檔系統作品識別碼
identifiant IdRef,IdRef識別碼
code Insee d'une commune,INSEE市镇编码
Martinique,馬提尼克
Collectivité de Corse,科西嘉集体
Languedoc-Roussillon,朗格多克-鲁西永
tour Eiffel,艾菲爾鐵塔
identifiant AlloCiné série,你好電影系列編號
Guadeloupe,瓜德羅普
identifiant AlloCiné titre,你好電影电影編號
numéro SIREN,SIREN 号码
identifiant Gran Enciclopèdia Catalana (ancien),加泰羅尼亞大百科全書標識符
identifiant Gamekult d’un jeu vidéo,Gamekult游戏标识符
identifiant Atlas,輿圖索引號
Hauteville-lès-Dijon,欧特维尔莱第戎
identifiant Joconde d'une œuvre,Joconde編碼
îles Kerguelen,凯尔盖朗群岛
identifiant SensCritique d'une œuvre,SensCritique作品标识符
Marsilly,马尔西伊
Rhodes,罗德
Poitou-Charentes,普瓦图-夏朗德
identifiant Bibliothèque nationale de France,法國國家圖書館識別碼
Montenach,蒙特纳克
identifiant B.R.A.H.M.S. d'une œuvre,BRAHMS 作品 ID
Richeling,里什兰
article dans Vikidia en français,法语Vikidia标识符
identifiant L’Équipe d'une équipe,队报体育队标识符
code Insee d'un canton,INSEE县份编码
code Insee d'une région,INSEE大区编码
.nc,.nc
identifiant de chaîne Dailymotion,Dailymotion频道编号
identifiant AlloCiné nom,AlloCiné人物编号
Landange,朗当日
identifiant SNCF de station,法国国家铁路公司车站ID
Pouques-Lormes,普克洛尔姆
.re,.re
Montois-la-Montagne,蒙图瓦拉蒙塔涅
Pougny,普尼
