Lionel Messi,利昂内尔·梅西
Alessandro Del Piero,亚历山德罗·德尔皮耶罗
Massimo Troisi,馬西莫·特羅西
Renato Dirnei Florêncio,雷纳托·迪尔内·弗洛伦西奥
Stefano Cerioni,斯特凡诺·切廖尼
Salvatore Quasimodo,萨尔瓦托雷·夸西莫多
Luigi Einaudi,路易吉·伊諾第
Enrico De Nicola,恩里科·德尼科拉
Antonio Segni,安东尼奥·塞尼
Giovanni Gronchi,乔瓦尼·格隆基
Alessandro Matri,亞歷山德羅·馬特里
Robert De Niro,罗伯特·德尼罗
Ennio Antonelli,恩尼奧·安東內利
Giuseppe Betori,若瑟·貝托里
Guido Calabresi,圭多·卡拉布雷西
Angelo Di Livio,安杰洛·迪利维奥
Dario Fo,达里奥·福
Giorgio Napolitano,乔治·纳波利塔诺
Carlo Azeglio Ciampi,卡洛·阿泽利奥·钱皮
Oscar Luigi Scalfaro,奥斯卡·路易吉·斯卡尔法罗
Paola Ruffo di Calabria,保拉·(比利時王后)
Emiliano Sala,埃米利亚诺·萨拉
Francesco Cossiga,弗朗切斯科·科西加
Fabrizio Donato,法布里齐奥·多纳托
Giovanni Pastrone,乔瓦尼·帕斯特洛纳
Noemi (cantante),Noemi
Giuseppe Tornatore,朱塞佩·托納多雷
Eugenio Montale,埃乌杰尼奥·蒙塔莱
Antonio Candreva,安東尼奧·坎德雷瓦
Lina Wertmüller,里娜·韋特繆勒
Papa Giovanni Paolo I,若望保禄一世
Sandro Pertini,亚历山德罗·佩尔蒂尼
Giorgio Chiellini,乔治·基耶利尼
Sergio Corbucci,塞尔焦·科尔布奇
Liliana Cavani,莉莉安娜·卡瓦尼
Gustav Thöni,古斯塔夫·特尼
Deborah Compagnoni,德博拉·孔帕尼奥尼
Alberto Tomba,阿尔贝托·通巴
Cesare Pavese,切薩雷·帕韋斯
Nino Farina,朱塞佩·法里纳
Vittorio Gassman,维托里奥·加斯曼
Luciano Pavarotti,鲁契亚诺·帕瓦罗蒂
Giuseppe Saragat,朱塞佩·萨拉盖特
Giovanni Leone,乔瓦尼·利昂纳
Franco Zeffirelli,法蘭高·齊費里尼
Federica Brignone,费代丽卡·布里尼奥内
Romano Prodi,罗马诺·普罗迪
Camila Giorgi,卡米拉·吉奧爾吉
Michelangelo Antonioni,米开朗基罗·安东尼奥尼
Federico Marchetti,费德里科·马凯蒂
Martin Scorsese,马丁·斯科塞斯
Zeno Colò,泽诺·科洛
Damiano Damiani,达米亚诺·达米亚尼
Andrea Bocelli,安德烈·波伽利
Emanuele Filiberto di Savoia (1972),埃曼努埃莱·菲利伯托
Massimo Oddo,马西莫·奥多
Alberto Ascari,阿尔贝托·阿斯卡里
Papa Benedetto XVI,本篤十六世
Angelo De Martini,安杰洛·德马丁尼
Gabriele Detti,加布里埃萊·德蒂
Valentina Arrighetti,瓦伦蒂娜·阿里盖蒂
Romeo Bertini,罗密欧·贝尔蒂尼
Valerio Arri,瓦莱里奥·阿里
Michele Besso,米給雷·貝索
Cornelio Sommaruga,科内利奥·索马鲁加
Gennaro Gattuso,詹纳罗·加图索
Sandro Lopopolo,桑德羅·洛波波洛
Ludovico Einaudi,卢多维科·伊诺第
Iván Piris,伊万·皮利斯
Francesco Zucchetti,弗朗切斯科·祖凯蒂
Giacomo Biffi,雅各伯·比菲
Alfredo Dinale,阿尔弗雷多·迪纳莱
Valentino Gasparella,瓦伦蒂诺·加斯帕雷拉
Monica Bellucci,蒙妮卡·貝露琪
Gianni Infantino,詹尼·因凡蒂诺
Agnolo Bronzino,布龙齐诺
Marcello Mastroianni,馬切洛·馬斯楚安尼
Marcello Lippi,马尔切洛·里皮
Sophia Loren,索非娅·罗兰
Ricardo Martinelli,里卡多·马蒂内利
Roberta Vinci,羅貝塔·文琪
Claudia Cardinale,克勞蒂亞·卡蒂納
Fabio Cannavaro,法比奥·卡纳瓦罗
Mario Balotelli,马里奥·巴洛特利
Manolo Gabbiadini,馬諾羅·加比亞迪尼
Ubaldesco Baldi,乌巴尔代斯科·巴尔迪
Kaspar Capparoni,卡斯帕·卡帕罗尼
Filippo Inzaghi,菲利普·因扎吉
Papa Pio XII,庇護十二世
Sara Simeoni,萨拉·西梅奥尼
Tarcisio Bertone,塔尔奇西奥·贝尔托内
Marco Borriello,马尔科·博列洛
Andrea Pirlo,安德烈亚·皮尔洛
Pietro Mennea,彼得罗·保罗·门内亚
Gina Lollobrigida,珍娜·露露布莉姬妲
Anna Magnani,安娜·马尼亚尼
Yves Montand,伊夫·蒙当
Virna Lisi,薇娜·莉絲
Monica Vitti,莫妮卡·维蒂
Giacomo Gaioni,贾科莫·加约尼
Marco Orsi,馬爾科·奧爾西
Luigi Tasselli,路易吉·塔塞利
