上皇后美智子,美智子上皇后
栗原類,栗原類
小林可夢偉,小林可夢偉
若木民喜,若木民喜
尾田栄一郎,尾田荣一郎
長澤徹,長澤徹
八十祐治,八十祐治
鋤柄昌宏,鋤柄昌宏
岸本斉史,岸本齐史
室伏広治,室伏广治
イチロー,鈴木一朗
菅直人,菅直人
吉田暢,吉田暢
香川真司,香川真司
鏡里喜代治,鏡里喜代治
小野寺五典,小野寺五典
加藤紘一,加藤紘一
原田眞人,原田真人
平山清次,平山清次
高垣彩陽,高垣彩陽
江渡聡徳,江渡聰德
加藤英美里,加藤英美里
大島理森,大島理森
頼山陽,賴山陽
桐生祥秀,桐生祥秀
宮本茂,宫本茂
松来未祐,松來未祐
白川英樹,白川英树
原嘉道,原嘉道
斎藤千和,斋藤千和
佐藤直人,佐藤直人
田中耕一,田中耕一
井上ひさし,井上廈
伊藤かな恵,伊藤加奈惠
藤子・F・不二雄,藤子·F·不二雄
日笠陽子,日笠陽子
新渡戸稲造,新渡戶稻造
戸松遥,戶松遙
山口観弘,山口觀弘
若松節朗,若松节朗
武満徹,武滿徹
篠田桃紅,篠田桃紅
小柴昌俊,小柴昌俊
安部公房,安部公房
三池崇史,三池崇史
朝永振一郎,朝永振一郎
高橋沙也加,高橋沙也加
河野洋平,河野洋平
小林夕岐子,小林夕岐子
湯川秀樹,汤川秀树
葛飾北斎,葛饰北斋
まつもとゆきひろ,松本行弘
釘宮理恵,釘宮理惠
沢城みゆき,澤城美雪
美空ひばり,美空雲雀
田中義一,田中义一
松尾芭蕉,松尾芭蕉
矢神久美,矢神久美
折笠富美子,折笠富美子
花澤香菜,花澤香菜
阿澄佳奈,阿澄佳奈
川瀬晶子・(声優),川瀨晶子
雪舟,雪舟
左幸子,左幸子
村田真,村田真
井口祐一,井口祐一
佐藤順一,佐藤順一
恒久王妃昌子内親王,恆久王妃昌子內親王
丹下健三,丹下健三
本多猪四郎,本多豬四郎
早川沙世,早川沙世
都はるみ,都春美
阿南徹,阿南徹
堂上直倫,堂上直倫
方條ゆとり,方條Yutori
森功至,森功至
ブリキ・(イラストレーター),馬口鐵·(插畫家)
大島洋平,大島洋平
山部赤人,山部赤人
樫田レオ,樫田Reo
結下みちる,結下美智留
霧賀ユキ,霧賀Yuki
つぐみ・(女優),Tsugumi·(女演員)
猿橋勝子,猿橋勝子
黒澤明,黑澤明
日髙のり子,日高範子
久川綾,久川绫
佐久間レイ,佐久間玲
能登麻美子,能登麻美子
川澄綾子,川澄綾子
浅沼稲次郎,淺沼稻次郎
菊池武時,菊池武時
西方仁也,西方仁也
ゆきのさつき,雪野五月
鹿野道彦,鹿野道彦
達増拓也,達增拓也
吉野正芳,吉野正芳
冬馬由美,冬马由美
水橋かおり,水橋香織
近藤洋介・(政治家),近藤洋介·(政治家)
根岸英一,根岸英一
福田康夫,福田康夫
広中平祐,廣中平祐
利根川進,利根川進
鈴木章,铃木章
みつみ美里,睦美美里
植芝盛平,植芝盛平
永田徳本,永田德本
柚木かなめ,柚木Kaname
北出菜奈,北出菜奈
桑佳あさ,桑佳Asa
真田裕貴,真田裕貴
嘉田由紀子,嘉田由紀子
山本五十六,山本五十六
日高里菜,日高里菜
まど・みちお,窗·道雄
指原莉乃,指原莉乃
松浦亜弥,松浦亚弥
横山由依,橫山由依
寿美菜子,壽美菜子
環望,環望
虚淵玄,虛淵玄
李方子,李方子
堀江由衣,堀江由衣
新房昭之,新房昭之
金元寿子,金元壽子
黒沢清,黑澤清
市川崑,市川崑
宮崎駿,宫崎骏
大正天皇,大正天皇
野依良治,野依良治
三重ノ海剛司,三重乃海剛司
芥川龍之介,芥川龙之介
秋田雨雀,秋田雨雀
三石琴乃,三石琴乃
山口彊,山口彊
桂太郎,桂太郎
杉原千畝,杉原千畝
野村吉三郎,野村吉三郎
伊達忠宗,伊達忠宗
淵田美津雄,渊田美津雄
伊達吉村,伊達吉村
西川貴教,西川贵教
豊臣秀吉,丰臣秀吉
渡辺麻友,渡邊麻友
栗田健男,栗田健男
片山虎之助,片山虎之助
浜崎あゆみ,濱崎步
庵野秀明,庵野秀明
二葉亭四迷,二葉亭四迷
JUJU,JUJU
ビートたけし,北野武
松坂大輔,松坂大輔
三木武吉,三木武吉
小津安二郎,小津安二郎
溝口健二,溝口健二
宮沢賢治,宮澤賢治
館山昌平,館山昌平
大島渚,大岛渚
オノ・ヨーコ,小野洋子
嘉納治五郎,嘉納治五郎
中条比紗也,中條比紗也
自見庄三郎,自見庄三郎
森有正,森有正
明正天皇,明正天皇
額田王,額田姬王
内田良平・(政治運動家),內田良平
源頼政,源賴政
大菅小百合,大菅小百合
長谷部誠,長谷部誠
曽田正人,曾田正人
溝口善兵衛,溝口善兵衛
南部陽一郎,南部阳一郎
三善晃,三善晃
真崎航,真崎航
柴崎恵次,柴崎惠次
稗田阿礼,稗田阿禮
遠藤賢司,遠藤賢司
夏菜,夏菜
有岡大貴,有岡大貴
狩野正信,狩野正信
谷口千吉,谷口千吉
竹内明太郎,竹內明太郎
野村克則,野村克則
野田佳彦,野田佳彥
玄葉光一郎,玄葉光一郎
村田諒太,村田谅太
糸川英夫,絲川英夫
小野晋吾,小野晋吾
高橋みなみ,高橋南
菅義偉,菅义伟
廣部好輝,廣部好輝
後小松天皇,後小松天皇
白河天皇,白河天皇
矢尾一樹,矢尾一樹
東野圭吾,東野圭吾
小山清茂,小山清茂
小塚崇彦,小塚崇彥
出島武春,出島武春
世阿弥,世阿弥
加藤玲奈・(アイドル),加藤玲奈·(AKB48)
島崎遥香,島崎遙香
秦佐和子,秦佐和子
佐藤琢磨,佐藤琢磨
伊達泰宗,伊達泰宗
天知茂,天知茂
文屋康秀,文屋康秀
野村祐輔,野村祐輔
上原勇作,上原勇作
柴田錬三郎,柴田鍊三郎
