日本の元号,日本年號
日本,日本
安佐南区,安佐南區
崇福寺・(長崎市),崇福寺·(長崎市)
中区・(広島市),中區·(廣島市)
南区・(広島市),南區·(廣島市)
安佐北区,安佐北區
安芸区,安藝區
長崎新地中華街,長崎新地中華街
グラバー園,哥拉巴園
国際宇宙ステーション,国际空间站
偕楽園,偕樂園
福島県,福岛县
岐阜市,岐阜市
浜田山駅,濱田山站
日本海,日本海
明治大学,明治大学
福岡市,福岡市
コナミグループ,科樂美
函館市,函館市
ドラゴンボール,七龙珠
青森県,青森縣
慶留間島,慶留間島
NHK秋田放送局,NHK秋田放送局
盆栽,盆栽
慶伊瀬島,慶伊瀨島
伊和神社,伊和神社
内閣府,內閣府
東京大学,东京大学
任天堂,任天堂
二軒茶屋駅,二軒茶屋車站
富士見ヶ丘駅,富士見丘站
北東アジア,东北亚
日本グランプリ・(4輪),日本大獎賽
京都精華大前駅,京都精華大前車站
ダイハツ工業,大發工業
春日市,春日市
広島高等裁判所,廣島高等裁判所
猿島,猿島
神保町駅,神保町站
三越前駅,三越前站
久喜市,久喜市
南海加太線,加太線
大阪高等裁判所,大阪高等裁判所
東武野田線,野田線
都島駅,都島站
東梅田駅,東梅田站
中崎町駅,中崎町站
四天王寺前夕陽ヶ丘駅,四天王寺前夕陽丘站
九段下駅,九段下站
国道駅,國道站
清水区,清水區·(日本)
磯子駅,磯子車站
千葉県,千葉縣
西武鉄道,西武鐵道
京成電鉄,京成電鐵
青空文庫,青空文庫
小田急電鉄,小田急電鐵
日本語,日语
鴨川・(淀川水系),鴨川·(淀川水系)
宮古列島,宮古群島
東アジア,东亚
茨城県,茨城縣
眼鏡橋・(長崎市),眼鏡橋·(長崎市)
東区・(広島市),東區·(廣島市)
中国電力,中國電力·(日本)
名古屋高等裁判所,名古屋高等裁判所
西区・(広島市),西區·(廣島市)
日本の科学技術,日本科技
鹿ケ谷の陰謀,鹿谷陰謀
佐伯区,佐伯區
長崎歴史文化博物館,長崎歷史文化博物館
高松高等裁判所,高松高等裁判所
東京地方裁判所,東京地方裁判所
福岡高等裁判所,福岡高等裁判所
札幌高等裁判所,札幌高等裁判所
東京高等裁判所,東京高等裁判所
仙台高等裁判所,仙台高等裁判所
国立科学博物館,国立科学博物馆
芸妓,艺妓
桜田門外の変,櫻田門外之變
天皇誕生日,天皇誕生日
金剛組,金剛組
仙台市,仙台市
南海高野線,高野線
静岡県立藤枝西高等学校,靜岡縣立藤枝西高等學校
明石市,明石市
春日井市,春日井市
ひろしま美術館,广岛美术馆
御成敗式目,御成敗式目
東シナ海,东海
御家人,御家人
栃木県,栃木縣
新郷村,新鄉村
豊田郡・(香川県),豐田郡·(香川縣)
豊丘村,豐丘村·(日本)
四日市市,四日市市
栃木市,栃木市
河内郡,河內郡·(栃木縣)
那珂川町,那珂川町
アニメ・(日本のアニメーション作品),日本动画
東京都,東京都
ユニクロ,優衣庫
アイヌ語,阿伊努語
文の里駅,文之里站
尖閣諸島,釣魚臺列嶼
円・(通貨),日圓
ダットサン,達特桑
2002・FIFAワールドカップ,2002年國際足協世界盃
地下鉄赤塚駅,地下鐵赤塚站
平和台駅・(東京都),平和台站·(東京都)
新御茶ノ水駅,新御茶之水站
明治神宮前駅,明治神宮前站
宮城県,宮城縣
大森駅・(東京都),大森車站·(東京都)
関目高殿駅,關目高殿站
愛知県,愛知縣
千林大宮駅,千林大宮站
守口駅,守口站
日本二十六聖人記念館,日本二十六聖人紀念館
フットサル日本代表,日本國家五人制足球隊
鎮西大社諏訪神社,鎮西大社諏訪神社
野江内代駅,野江內代站
志賀駅,志賀站
日本の城,城·(日本)
松下駅,松下站
遠藤周作文学館,远藤周作文学馆
狛江市,狛江市
1964年東京オリンピック,1964年夏季奥林匹克运动会
与那国語,與那國語
沖縄語,沖繩語
寒川神社,寒川神社
八重山語,八重山語
西永福駅,西永福站
枚岡神社,枚岡神社
秋篠宮,秋篠宮
京王新線,京王新線
アカデミー国際長編映画賞日本代表作品の一覧,日本電影提名奧斯卡最佳國際影片獎競賽列表
大野郡,大野郡
大阪インターナショナルチャレンジバドミントン選手権大会,大阪羽毛球國際挑戰賽
朝鮮語,朝鮮語
大内郡,大內郡
アイヌ,阿伊努族
神戸市,神户市
岩手県,岩手县
半蔵門駅,半藏門站
住吉駅・(東京都),住吉站·(東京都)
押上駅,押上站
新御徒町駅,新御徒町站
地下鉄成増駅,地下鐵成增站
水天宮前駅,水天宮前站
清澄白河駅,清澄白河站
長崎と天草地方の潜伏キリシタン関連遺産,長崎與天草地方的潛伏基督徒相關遺產
福済寺,福濟寺
興福寺・(長崎市),興福寺·(長崎市)
氷川台駅,冰川台站
山田上口駅,山田上口站
西武池袋線,池袋線
上野御徒町駅,上野御徒町站
平和公園,和平公園·(長崎市)
小竹向原駅,小竹向原站
宝島・(鹿児島県),寶島·(鹿兒島縣)
諏訪之瀬島,諏訪之瀨島
朝熊駅,朝熊站
口之島,口之島
見附島・(石川県),見附島·(石川縣)
沖永良部島,沖永良部島
本田技研工業,本田技研工业
京都市,京都市
忍者,忍者
森下駅・(東京都),森下站·(東京都)
白金台駅,白金台站
宇佐市,宇佐市
東新宿駅,東新宿站
西大橋駅,西大橋站·(日本)
麻布十番駅,麻布十番站
天真正伝香取神道流,天真正傳香取神道流
月島駅,月島站
東京都庁舎,東京都廳舍
白金高輪駅,白金高輪站
御伽草子,御伽草子·(小說)
蔵前駅,藏前站
1998年長野オリンピック,1998年冬季奥林匹克运动会
1972年札幌オリンピック,1972年冬季奥林匹克运动会
1940年札幌オリンピック,1940年冬季奥林匹克运动会
伝法駅,傳法站
妙高市,妙高市
下里駅,下里站
新越谷駅,新越谷站
草津白根山,草津白根山
承暦,承曆
いなべ市,員辨市
有明海,有明海
粟島・(新潟県),粟島
甑島列島,甑島列島
舳倉島,舳仓岛
比例東北ブロック,東北比例代表區
余部橋梁,餘部橋梁
八代海,八代海
岩手県第1区,岩手縣第1區
都道府県,都道府縣
外地島,外地島
勤労感謝の日,勤勞感謝之日
秋田県,秋田县
広島国際アニメーションフェスティバル,广岛国际动画影展
広島空港,广岛机场
浮世草子,浮世草子
三洋電機,三洋電機
東芝,东芝
源氏物語,源氏物語
南千住駅,南千住站
川崎駅,川崎站
神楽坂駅,神樂坂站
竹橋駅,竹橋站
久六島,久六島
飛島・(山形県),飛島
茅場町駅,茅場町站
名古屋駅,名古屋站
八代市立泉中学校,八代市立泉中學校
造田駅,造田站
門前仲町駅,門前仲町站
八代市立坂本中学校,八代市立坂本中學校
八代市立千丁中学校,八代市立千丁中學校
市川・船橋戦争,市川船橋之戰
本郷三丁目駅,本鄉三丁目站
落合駅・(東京都),落合站·(東京都)
1940年東京オリンピック,1940年夏季奥林匹克运动会
小菅村,小菅村
日本の漫画,日本漫画
住吉神社・(福岡市),住吉神社·(福岡市)
インフィニティ・(日産自動車),英菲尼迪
京王高尾線,高尾線
与論島,與論島
君が代,君之代
中之島・(鹿児島県),中之島·(鹿兒島縣)
金刀比羅宮,金刀比羅宮
青函トンネル,青函隧道
悪石島,惡石島
端岡駅,端岡站
北条市,北條市
三豊郡,三豐郡
高井戸駅,高井戶站
名古屋鉄道,名古屋鐵道
NEMA規格,NEMA聯結器
三木市,三木市
いすゞ自動車,五十鈴
大阪都構想,大阪都構想
広島市,廣島市
対馬,对马岛
AKB48,AKB48
原爆の子の像,原爆之子像
広島湾,廣島灣
福島第一原子力発電所,福島第一核電廠
長崎大学,長崎大學
湊川の戦い,凑川之战
鈴鹿郡,鈴鹿郡
広島大学,廣島大學
第47師団・(日本軍),第47师团·(日本陆军)
大分県立大分豊府中学校・高等学校,大分县立大分丰府中学校及高等学校
熊野新鹿インターチェンジ,熊野新鹿交流道
東京メトロポリタンテレビジョン,東京都會電視台
吉賀町,吉賀町
須佐駅,須佐站
名古屋市,名古屋市
天竜川,天龍川
朝鮮海峡,朝鲜海峡
大阪市,大阪市
北海道,北海道
日本手話,日本手语
大久保駅・(東京都),大久保站·(東京都)
瑞鳳殿,瑞鳳殿
多度大社,多度大社
第44師団・(日本軍),第44师团·(日本陆军)
町人,町人
ジェットスター・ジャパン,捷星日本航空
横浜国際総合競技場,日產體育場·(橫濱)
我孫子前駅,我孫子前站
宮古空港,宮古機場
二見浦駅,二見浦站
岩美町,岩美町
池の浦シーサイド駅,池之浦海岸站
宮川駅,宮川站
田丸駅,田丸站
2009年の日本,2009年日本
東急目黒線,目黑線
名古屋テレビ塔,名古屋電視塔
1998年長野オリンピックのアイスホッケー競技,1998年冬季奥林匹克运动会冰球比赛
Pokémon・The・Park・2005,Pokemon·The·Park·2005
縄文時代,繩紋時代
対馬海峡,對馬海峽
アキュラ,讴歌
シャープ,夏普
東京駅,東京站
池上通信機,池上通信機
高知工科大学,高知工科大學
村上駅・(千葉県),村上站·(千葉縣)
矢部村,矢部村
九州,九州·(日本)
本州,本州
レクサス,凌志
日立製作所,日立製作所
パナソニックホールディングス,松下電器
三菱電機,三菱电机
中禅寺湖,中禪寺湖
阿部野橋ターミナルビル,阿部野橋車站大樓
名護市,名護市
大和郡山市,大和郡山市
福田町駅,福田町站
Osaka・Metro長堀鶴見緑地線,長堀鶴見綠地線
笹子トンネル・(中央自動車道),笹子隧道
八甲田トンネル,八甲田隧道
トライエース,Tri-Ace
村上市,村上市
マツダ,马自达
カプコン,卡普空
四国,四國
天叢雲剣,天叢雲劍
鹿児島市,鹿儿岛市
三菱自動車工業,三菱汽车
東北地方太平洋沖地震,2011年日本東北地方太平洋近海地震
日本海溝,日本海沟
コニカミノルタ,柯尼卡美能達
