日本,日本
栃木市,栃木市
ひろしま美術館,广岛美术馆
御成敗式目,御成敗式目
盆栽,盆栽
台日大辞典識別子,台日大辭典編號
河内郡,河內郡 (栃木縣)
豊田郡,豐田郡
豊丘村,豐丘村
新郷村,新鄉村
那珂川町,那珂川町
国際宇宙ステーション,国际空间站
桜田門外の変,櫻田門外之變
BOOK☆WALKERシリーズ識別子（日本版）,BOOK☆WALKER系列識別碼（日本版）
小説家になろう作品識別子,成為小說家吧作品識別碼
BOOK☆WALKERシリーズ識別子（グローバル版）,BOOK☆WALKER系列識別碼（全球版）
noteユーザー識別子,note用户标识符
ピクシブ百科事典識別子,Pixiv百科識別碼
日本の元号,日本年號
函館市,函館市
福島県,福島縣
春日井市,春日井市
ユニクロ,优衣库
仙台市,仙台市
四日市市,四日市市
CEROレーティング,CERO評級
隠れ里,隠里
安佐北区,安佐北區
安芸区,安藝區
グラバー園,哥拉巴園
家人,家人 (日本)
御家人,御家人
栃木県,栃木縣
東シナ海,东海
偕楽園,偕樂園
南海高野線,高野線
天皇誕生日,天皇誕生日
長崎歴史文化博物館,長崎歷史文化博物館
佐伯区,佐伯區
東区,東區
西区,西區
日本の科学技術,日本科技
グラスバレー (日本),Canopus
名古屋高等裁判所,名古屋高等裁判所
仙台高等裁判所,仙台高等裁判所
高松高等裁判所,高松高等裁判所
福岡高等裁判所,福岡高等裁判所
札幌高等裁判所,札幌高等裁判所
国立科学博物館,国立科学博物馆
大阪高等裁判所,大阪高等裁判所
広島高等裁判所,廣島高等裁判所
猿島,猿島
コナミグループ,科乐美
岐阜市,岐阜市
日本海,日本海
アフラック生命保険,美國家庭生命保險公司
明石市,明石市
眼鏡橋,眼鏡橋
慶伊瀬島,慶伊瀨島
NHK秋田放送局,NHK秋田放送局
慶留間島,慶留間島
伊和神社,伊和神社
青森県,青森縣
金剛組,金剛組
静岡県立藤枝西高等学校,靜岡縣立藤枝西高等學校
鹿ケ谷の陰謀,鹿谷陰謀
中国電力,中國電力公司
聖福寺,圣福寺
福岡市,福岡市
日本タレント名鑑識別子,日本艺人名鉴ID
アメーバブログアメーバ識別子,Ameblo用户名
JMDb人物と企業識別子,JMDb人物或公司编号
高校コード,日本高等學校編號
日本全国書誌番号,日本全国书目号码
映倫区分,映倫電影分級
法人番号,日本法人编号
Anime News Networkアニメ識別子,動畫新聞網動畫編號
久喜市,久喜市
H.C. 栃木日光アイスバックス,H.C.櫪木日光冰鹿
明治大学,明治大学
磯子駅,磯子車站
日中関係,中日关系
東武野田線,野田線
神保町駅,神保町站
南海加太線,加太線
三越前駅,三越前站
九段下駅,九段下站
国道駅,國道站
国立国会図書館典拠ID,日本國立國會圖書館識別碼
崇福寺,崇福寺 (長崎)
長崎新地中華街,新地中華街
浦上,浦上
中区,中区
安佐南区,安佐南區
南区,南區
全国地方公共団体コード,日本地方公共團體編號
神戸市,神戶市
アイヌ語,阿伊努語
元帥,日本元帅
日本語,日語
LINE MUSIC アルバムID,Line Music专辑编号
NII著者ID,NII作者識別碼
日本のアニメ,日本動畫
画数,笔划数
気象庁震度階級,日本气象厅烈度等级
