김한솔 (김정남의 아들),金漢率
김정일,金正日
이한영,李韓永
최덕신,崔德新
김명순 (1896년),金明淳
백남순 (1929년),白南淳
김광협,金光侠
박성철,朴成哲
박승진 (1941년),朴承振
리찬명,李昌明
박철민 (축구 선수),朴哲民·(足球運動員)
제임스 드레스녹,詹姆斯·约瑟夫·德雷斯诺克
김주성 (1993년),金柱成
량춘화,梁春华
리광천,李光川
김영춘 (군인),金永春
김일성,金日成
지윤남,志尹南
안금애,安琴爱
박현숙 (역도 선수),朴贤淑
홍은정,洪恩情
김양건,金養建
김병률,金炳律
김원홍,金元弘
리병철 (정치인),李炳哲
박도춘,朴道春
김천해,金天海
변영립,边永立
정명도 (군인),郑明道
김격식,金格植
장성우 (1933년),张成禹
김영남 (1928년),金永南
김정숙 (1930년),金貞淑
리명준 (축구 선수),李明俊·(1990年)
김철호 (1985년),金哲鎬
최명호,崔敏鎬
오진우,吴振宇·(朝鲜)
정성옥,鄭成玉
김경희 (김일성의 딸),金庆喜
고용희,高容姬
김국진 (축구 선수),金国榛
김영일 (1944년),金英日·(朝鲜总理)
허가이,許嘉誼
정대세,鄭大世
김향미,金香美
김영대 (정치인),金英大
황성수 (축구 선수),黃誠秀
김국태 (정치인),金国泰
임용수 (역도 선수),尹永洙
리형무,李亨武
장성혁,張成赫
리영철 (축구 선수),李永哲·(1991年)
김일 (레슬링 선수),金日
박창옥,朴昌玉
김봉한,金鳳漢
박영순 (탁구 선수),朴英顺
조명록,赵明禄
리혁철,李赫哲·(1985年)
리광혁,李光赫
김광혁 (축구 선수),金光赫
최영림 (1930년),崔永林
홍영조,洪映早
김일진 (지휘자),金日進
김정남 (김정일의 아들),金正男
리명국,李明國
강건,姜健
박성관,朴成冠
김사량,金史良
김보현 (1871년),金輔鉉
박금철,朴金喆
려춘석,吕春石
김창만,金昌滿
박영옥 (탁구 선수),朴英玉
문예봉,文艺峰
권혁봉,權赫峰
주광민,朱光民
김영숙 (피겨스케이팅 선수),金容淑
리세광,李世光·(体操运动员)
리일진,李日俊
리금철,李金哲·(1987年)
리미경,李美庆
림주성,林柱成
리명순,李明順·(乒乓球運動員)
리제강,李济刚
리철명,李哲敏
오익제,吴益济
박헌영,朴宪永
박승혁,朴成赫
안일범,安日范
김경일 (1988년),金京一
한광복,韩光福
림정심,林貞心
강국철 (1990년생 축구 선수),姜国哲·(1990年)
김정 (탁구 선수),金仲
김혁봉,金赫峰
김철 (차관),金哲·(军事人物)
김창애,金昌爱
남일,南日
김창섭,金昌燮
계영삼,桂永三
김병호 (조선민주주의인민공화국의 정치인),金炳鎬
김병훈 (1929년),金炳勳
김평해,金平海
강형봉,姜炯奉
김약수,金若水
전하철,全河哲
강문석 (사회주의자),姜文錫
강양모,姜陽模
계응상,桂應祥
이기영 (소설가),李箕永
성혜림,成蕙琳
리근모,李根模
한설야,韓雪野
조만식,曹晚植
연형묵,延亨默
신동혁 (1982년),申东赫
박의춘,朴義春
김정은,金正恩
리춘히,李春姬
백석,白石·(詩人)
허담 (조선민주주의인민공화국),许锬
홍석형,洪锡亨
김기남 (정치인),金基南
김현희,金賢姬
우동측,禹东测
리병삼,李炳三
최부일,崔富一
리승기,李升基
박봉주 (1939년),朴奉珠
주규창,朱奎昌
김책,金策
김원봉,金元鳳
최창익,崔昌益
노금석,盧今錫
장성택,张成泽
오정애,吴正爱
홍용호,洪龍浩
장국철,張國哲
경원하,慶元河
남성철,南成哲
박남철 (1988년),朴南哲
계순희,桂顺姬
강성산,姜成山
강철환,姜哲煥
리종옥,李钟玉
김일 (1910년),金一
김무정,武亭
정일관,鄭日冠
로학수,盧學洙
김영주 (1920년),金英柱
최철만,崔哲萬
윤공흠,尹公欽
서휘 (정치인),徐輝·(朝鮮勞動黨成員)
리영호 (군인),李英浩
최수헌,崔壽憲
안명진,安明進
윤명찬,尹明燦
정철민,鄭哲民·(足球運動員)
박태원 (1909년),朴泰遠
계응태,桂應泰
김창봉 (군인),金昌奉
조연준,趙延俊
