조선민주주의인민공화국,朝鲜民主主义人民共和国
4.25체육단,四·二五体育队
태풍 볼라벤 (2012년),颱風布拉萬·(2012年)
제1기 최고인민회의 대의원 선거,1948年朝鮮民主主義人民共和國最高人民會議選舉
조선왕조실록,朝鮮王朝實錄
남북 관계,朝鮮半島南北關係
곡산군,谷山郡
정주시,定州市·(平安北道)
김정숙군,金正淑郡
연안군,延安郡·(朝鮮)
만수대의사당,萬壽臺議事堂
강성대국,強盛大國
제네바 합의,朝美核框架协议
서해 위성 발사장,西海卫星发射场
동북아시아,东北亚
로동신문,勞動新聞
만포시,滿浦市
조선민주주의인민공화국 1부류축구련맹전,朝鲜足球甲级联赛
류경정주영체육관,柳京鄭周永體育館
조선중앙텔레비죤,朝鲜中央电视台
장강군,長江郡
황금평,黄金坪
홍원군,洪原郡
자성군,慈城郡
전천군,前川郡
위화도,威化岛
화대군,花坮郡
북관대첩비,北關大捷碑
조선민주주의인민공화국 국방위원회,朝鲜民主主义人民共和国国防委员会
고난의 행군,苦难的行军
조선인민군 항공 및 반항공군,朝鲜人民军航空与反航空军
고려성균관,高麗成均館
리원군,利原郡
대흥군,大興郡
맹산군,孟山郡
은산군,殷山郡
성천군,成川郡
청남군,清南區
덕성군,德城郡
장진호 전투,长津湖战役
일본 순시선 괴선박 격침 사건,奄美大岛海战
조중우의교,中朝友谊桥
고구려 고분군,高句丽古墓群
평양시,平壤市
옹진반도 전투,甕津戰役
한반도 군사 분계선,三八线
태백산맥,太白山脈
금수산태양궁전,錦繡山太陽宮
아리랑 축제,阿里郎节
룡천군,龍川郡·(朝鮮民主主義人民共和國)
운전군,雲田郡
천주교 덕원자치수도원구,天主教德源自治會院區
향산군,香山郡
대일 전승 기념일,第二次世界大战对日战争胜利纪念日
서평양역,西平壤站
천주교 함흥교구,天主教咸兴教区
석왕사 (고산군),釋王寺
해주시,海州市
요덕군,耀德郡
신의주청년역,新义州青年站
수동군,水洞郡
청단군,青丹郡
백두산청년선,白頭山青年線
백두대간,白頭大幹
봉산군,鳳山郡·(黃海北道)
태탄군,苔灘郡
소백수체육단,小白水體育團
조선민주주의인민공화국-중화인민공화국 관계,中国—朝鲜关系
동창군,東倉郡
우리민족끼리,由我们民族自己
리명수체육단,鯉明水體育團
천마군,天摩郡
황주군,黃州郡
최고인민회의,最高人民会议
동해,日本海
동아시아,东亚
대동강,大同江
조선중앙통신사,朝鲜中央通讯社
주체사상탑,主体思想塔
조선민주주의인민공화국의 인구순 도시 목록,朝鮮民主主義人民共和國城市列表
러시아-조선민주주의인민공화국 국경,朝俄边界
한반도 비무장 지대,朝韩非军事区
황해남도,黄海南道
원산농업대학,元山農業大學
UTC%2B08:30,UTC%2B08:30
금야군,金野郡
태천군,泰川郡
김책시,金策市
신의주특별행정구,新義州特別行政區
조선로동당 39호실,朝鲜劳动党39号室
사리원시,沙里院市
송림시,松林市
조선민주주의인민공화국 축구 국가대표팀,朝鮮國家足球隊
출신성분,出身成分
윤이상관현악단,尹伊桑管弦樂團
염주군,鹽州郡
창성군,昌城郡
피현군,枇峴郡
구장군,球場郡
선천군,宣川郡
벽동군,碧潼郡
개천 정치범수용소,价川集中營
선군정치,先军政治
강령군,康翎郡
2006년 조선민주주의인민공화국 핵 실험,2006年朝鮮核試驗
조선민주주의인민공화국 야구 국가대표팀,朝鮮棒球代表隊
청천강,清川江
녕변 원자력 연구소,宁边原子能研究所
경의선,京義線
경흥군,慶興郡
문화어,文化語
조선인민군,朝鲜人民军
련광정,練光亭
단천시,端川市
평성시,平城市
북창 정치범수용소,北倉集中營
고려항공,高麗航空
조선민주주의인민공화국의 선거,朝鮮民主主義人民共和國選舉
자강도,慈江道
조선민주주의인민공화국의 로력영웅,劳动英雄·(朝鲜)
신포시,新浦市
창바이산맥,長白山脈
한국 요리,韓國料理
아리랑,阿里郎
한국어,朝鮮語
곽산군,郭山郡
박천군,博川郡
동림군,東林郡
배천군,白川郡
대관군,大館郡
룡림군,龍林郡
조선민주주의인민공화국의 역사,朝鮮民主主義人民共和國歷史
라선시,羅先市
조선민주주의인민공화국의 경제,朝鲜民主主义人民共和国经济
서해갑문 (남포),西海水闸
강동군,江東郡
천리마구역,千里馬區域
삭주군,朔州郡
흥남구역,興南區域
조선민주주의인민공화국의 국가,愛國歌·(朝鮮民主主義人民共和國)
평양 타임스,平壤時報
고풍군,古豐郡
성간군,城干郡
신계군,新溪郡
명천군,明川郡
재령군,載寧郡
봉동역,凤东站
위원군,渭原郡
삼수군,三水郡
화평군,和坪郡
철산군,鐵山郡
벽성군,碧城郡
경공업성체육단,輕工業省體育團
시중군,時中郡
동신군,東新郡
송원군,松源郡
개풍구역,開豐區域
관남 지방,關南地方
국규 9566,KPS·9566
김정일 장군의 노래,金正日將軍之歌
평양 지하철도 혁신선,革新線
광명망,光明网·(朝鲜)
연산군 (황해북도),延山郡
룡천 열차 폭발 사고,2004年朝鲜龙川火车站爆炸事件
고원역,高原站·(咸镜南道)
천지,天池·(长白山)
장풍군,長豐郡
대안구역,大安區域
태양절,太陽節·(朝鮮民主主義人民共和國)
삼천군,三泉郡
과일군,瓜飴郡
봉천군,峯泉郡
갑산군,甲山郡
명간군,化成郡
신원군,新院郡
은천군,銀泉郡
신양군,新陽郡
납북 일본인 문제,朝鲜绑架日本人问题
부전군,赴戰郡
북창군,北倉郡
양덕군,陽德郡
정평군,定平郡
문덕군,文德郡
회창군,檜倉郡
락원군,樂園郡
온성군,穩城郡
판문역,板門站
천리마 운동,千里馬運動
금천군,金川郡
대동강역,大同江站
장연군,長淵郡
손하역,孙河站·(朝鲜)
부령군,富寧郡
연사군,延社郡
은파군,銀波郡
평양개성고속도로,平壤開城高速公路
일본항공 351편 공중 납치 사건,淀号劫机事件
평양과학기술대학,平壤科學技術大學
신흥군,新興郡·(朝鮮)
화성 정치범수용소,化城強制收容所
동명왕릉,東明王陵
사리원청년역,沙里院青年站
린산군,麟山郡
신평군,新坪郡
조선 영화,朝鮮電影
동평양대극장,東平壤大劇場
단군릉,檀君陵
평양 지하철도 천리마선,千里馬線
승호군,勝湖郡
룡강군,龍岡郡
토산군,兔山郡
연탄군,燕灘郡
조선로동당 중앙군사위원회,朝鲜劳动党中央军事委员会
류경호텔,柳京飯店
요덕 정치범수용소,耀德政治犯收容所
황해,黄海
은정구역,恩情区域
조선의 소리 방송,朝鲜之声广播电台
평양시체육단,平壤市体育团
희천시,熙川市
모란봉구역,牡丹峰区域
보통강구역,普通江区域
공화국의 영원한 주석,主體朝鮮永遠的首領
중강군,中江郡
승리자동차련합기업소,胜利汽车制造厂
구성시,龜城市
조선로동당 총비서,朝鮮勞動黨總書記
조선콤퓨터중심,朝鮮電腦研究中心
랑림군,狼林郡
조선민주주의인민공화국 사회주의헌법,朝鮮民主主義人民共和國社會主義憲法
초산군,楚山郡
만경대구역,万景台区域
삼지연시,三池淵市
인민대학습당,人民大學習堂
선교구역,船桥区域
룡성구역,龍城區域
운산군,雲山郡
구월산,九月山
조선우주공간기술위원회,朝鲜宇宙空间技术委员会
보천보전자악단,普天堡电子乐团
어랑비행장,清津機場
선덕비행장,宣德飛行場
평산군,平山郡
영광군 (함경남도),榮光郡
증산군,甑山郡
개천시,价川市
순천시 (평안남도),順川市
녕원군,寧遠郡
대동문,大同門·(平壤市)
국제친선전람관,國際友誼展覽館
양각도축구경기장,羊角島競技場
칠보산 (함경북도),七寶山
평천구역,平川區域
옥류관,玉流館
덕천시,德川市
북청군,北青郡
조선민주주의인민공화국의 인권,朝鮮民主主義人民共和國人權
박 (성씨),朴姓
평원군 (평안남도),平原郡·(朝鮮民主主義人民共和國)
김일성군사종합대학,金日成軍事綜合大學
김일성종합대학,金日成综合大学
김책공업종합대학,金策工業綜合大學
평양의학대학,平壤醫學大學
평양외국어대학,平壤外國語大學
강원도 (조선민주주의인민공화국),江原道·(朝鮮民主主義人民共和國)
조선민주주의인민공화국의 행정 구역,朝鲜民主主义人民共和国行政区划
읍,邑·(朝鮮半島)
.kp,.kp
회령시,会宁市
안국사 (평성시),安國寺·(平城市)
아무르판,阿穆尔板块
압록강체육단,鸭绿江体育团
한반도,朝鲜半岛
중구역,中區域
양각도국제호텔,羊角島國際飯店
강원선,江原線
남양로동자구,南陽勞動者區
창평 수용소 유혈 봉기,穩城集中營
의주군,義州郡
평양역,平壤站
삼석구역,三石区域
강서구역,江西區域
동해북부선,東海北部線
북위 38도,北纬38度线
남북통일,朝鮮半島統一問題
개선역,凱旋站·(朝鮮民主主義人民共和國)
력포구역,力浦区域
고려호텔,高麗飯店
대성구역,大城区域
해주비행장,海州機場
신도군,薪島郡
조선민주주의인민공화국의 공휴일,朝鮮民主主義人民共和國節日
건국역,建国站·(平壤市)
전승역,战胜站
