동해시,東海市·(韓國)
강북구,江北區·(韓國)
관악구,冠岳區
계양구,桂陽區
강동구,江東區·(韓國)
선바위역,立岩站
당진시,唐津市·(韓國)
동두천시,東豆川市
부평구청역,富平区厅站
서울 지하철 3호선,首爾地鐵3號線
신분당선,新盆唐線
독도,獨島
수도권 전철 3호선,首都圈電鐵3號線
강남구,江南區·(韓國)
서초구,瑞草區
서울메트로,首尔地铁
원인재역,源仁斋站
마석역,磨石站
갈매역,葛梅站
상봉역,上凤站
금곡역 (남양주),金谷站·(京畿道)
상천역,上泉站·(京畿道)
청평역,清平站·(韓國)
퇴계원역,退溪院站
중랑역,中浪站
가평역,加平站
대성리역,大成里站
평내호평역,坪内好坪站
망우역,忘忧站
사릉역,思陵站
부천시,富川市
삼성전자,三星電子
1988년 하계 올림픽,1988年夏季奥林匹克运动会
대덕구,大德區
덕양구,德陽區
달서구,达西区
단원구,檀園區
가평군,加平郡
사천시,泗川市
강진군,康津郡
삼척시,三陟市
강화군,江华郡
남구 (포항시),南区·(浦项市)
남동구,南洞區
거창군,居昌郡
노원구,蘆原區
고령군,高靈郡
안동시,安东市
무주군,茂朱郡
안산시,安山市
인천국제공항,仁川國際機場
봉화군,奉化郡
부안군,扶安郡
보은군,報恩郡
보성군,寶城郡
산청군,山清郡
서천군,舒川郡
부여군,扶餘郡
성주군,星州郡
대전광역시,大田广域市
자유한국당,自由韩国党
대전역,大田站·(韩国)
서울특별시,首爾特別市
서산시,瑞山市
서귀포시,西歸浦市
고성군 (경상남도),固城郡
고성군 (강원특별자치도),高城郡·(韓國)
동래구,东莱区
괴산군,槐山郡
고창군,高敞郡
고흥군,高興郡
구례군,求禮郡
곡성군,谷城郡
금산군,錦山郡
동구 (광주광역시),东区·(光州广域市)
동구 (대구광역시),东区·(大邱广域市)
군위군,軍威郡
도봉구,道峰區
동대문구,東大門區
동구 (대전광역시),东区·(大田广域市)
동구 (인천광역시),東區·(仁川廣域市)
동구 (부산광역시),东区·(釜山广域市)
동구 (울산광역시),東區·(蔚山廣域市)
동남구,東南區·(天安市)
한국어,朝鮮語
아산시,牙山市
기장군,机张郡
시흥시,始興市
보령시,保寧市
경주시,慶州市
낙성대역,落星垈站
문경시,聞慶市
목포시,木浦市
밀양시,密陽市
담양군,潭陽郡
달성군,達城郡
단양군,丹阳郡·(韩国)
무안군,務安郡
동작구,銅雀區
송도역,松島站·(韓國)
서울역,首爾站
대한민국,大韩民国
청량리역,清凉里站
용산역,龙山站·(首尔)
수원시,水原市
세종특별자치시,世宗特別自治市
대구광역시,大邱廣域市
삼성그룹,三星集团
속초시,束草市
순천시 (전라남도),順天市
성남시,城南市
영등포구,永登浦區
강서구 (부산광역시),江西区·(釜山广域市)
광산구,光山区
충주역,忠州站
강서구 (서울특별시),江西區·(首爾特別市)
도라산역,都羅山站
마포구,麻浦區
부평구,富平區
