김명순,金明淳
조영남,趙英男
김광협,金光侠
이한영,李韓永
최덕신,崔德新
백남순,白南淳
김정일,金正日
리광천,李光川
김주성,金柱成
량춘화,梁春华
조영숙,赵永淑
신선호,申善浩
김영재,金英宰
홍금성,洪金成
제임스 드레스녹,傑瑞·韋恩·派瑞許
김영춘,金永春
리동운,李东云
박철민,朴哲民
리찬명,李昌明
김영남,金永南
김용범,金鎔範
김금속,金锦锡
김명혁,金明赫
김여정,金與正
박의춘,朴義春
신동혁,申东赫
최웅천,崔雄展
최부일,崔富日
주규창,朱奎昌
우동측,禹东测
리병삼,李炳三
리명준,李明俊
최명호,崔敏鎬
김철호,金哲鎬
계순희,桂顺姬
박승진,朴勝人
김한솔,金汉率
김일성,金日成
권혁봉,權赫峰
신철범,辛哲邦
정춘미,钟春美
송일호,宋日昊
김사량,金史良
김영숙,金容淑
엄길선,严吉善
박정애,朴正愛
홍수정,洪秀貞
장명일,張明一
리혁철,李赫哲
신영남,申勇南
진별희,陈别喜
김정숙,金貞淑
오진우,吴振宇
지윤남,志尹南
박성관,朴成冠
주광민,朱光民
김일,金日
김봉철,金奉哲
김락겸,金乐兼
김은주,金恩周
조명록,赵明禄
리광혁,李光榮
강건,姜健
래리 앨런 앱셔,賴瑞·艾布殊爾
정호균,郑浩钧
리용철,李勇哲
박정순,朴正淳
박재경,朴在京
김광혁,金光赫
정수혁,鄭秀赫
김보현,金輔鉉
김창만,金昌滿
박금철,朴金喆
문예봉,文藝峰
박남철,朴南哲
박영순,朴英顺
김은향,金恩香
박성철,朴成哲
박봉주,朴奉珠
김책,金策
리현성,李賢成
리형무,李亨武
리일진,李日俊
리진혁,李鎮赫
리제강,李济刚
리금철,李金哲
리미경,李美庆
안금애,安琴爱
박현숙,朴贤淑
홍은정,洪雲仲
김경일,金京一
박승혁,朴成赫
리철명,李哲民
최영림,崔永林
홍영조,洪映早
김정남,金正男
리금숙,李琴淑
김국진,金功榛
김향미,金香美
허가이,許哥誼
경원하,慶元河
장국철,張功哲
조동섭,趙東燮
