곡산군,谷山郡
조선민주주의인민공화국의 핵무기,朝鲜核问题
정주시,定州市
연안군,延安郡
김정숙군,金正淑郡
제1기 최고인민회의 대의원 선거,1948年朝鮮民主主義人民共和國最高人民會議選舉
조선왕조실록,朝鮮王朝實錄
남북 관계,朝韩关系
명간군,化城郡
갑산군,甲山郡
은천군,銀泉郡
과일군,瓜飴郡
신원군,新院郡
삼천군,三泉郡
평양과학기술대학,平壤科學技術大學
신흥군,新興郡
평양개성고속도로,平壤開城高速公路
화성 정치범수용소,化城強制收容所
요도 호 사건,淀号劫机事件
동명왕릉,東明王陵
획수,笔划数
한국 한자음,韓語漢字音
조선민주주의인민공화국의 영화,朝鮮民主主義人民共和國電影
승호군,胜湖区域
단군릉,檀君陵
룡강군,龍岡郡
조선로동당 중앙군사위원회,朝鲜劳动党中央军事委员会
경공업성체육단,輕工業省體育團
명천군,明川郡
송원군,松源郡
시중군,時中郡
화평군,和坪郡
철산군,鐵山郡
고원역,高原站
조선민주주의인민공화국,朝鮮民主主義人民共和國
4.25체육단,4.25體育團
라선시,羅先市
광명망,光明網
천지,天池
태양절,太陽節
대안구역,大安区域
장풍군,長豐郡
최고인민회의,最高人民会议
요덕군,耀德郡
흥남구역,興南區域
삭주군,朔州郡
애국가,愛國歌
조선민주주의인민공화국 축구 국가대표팀,朝鮮國家足球隊
평성시,平城市
단천시,端川市
태풍 볼라벤,颱風布拉萬
녕변 원자력 연구소,宁边原子能研究中心
개천 정치범수용소,价川集中營
2006년 조선민주주의인민공화국 핵 실험,2006年朝鮮核試驗
청천강,清川江
사리원시,沙里院市
송림시,松林市
조선민주주의인민공화국의 인구순 도시 목록,朝鮮民主主義人民共和國城市列表
자강도,慈江道
장진호 전투,長津湖戰役
조선민주주의인민공화국의 선거,朝鮮民主主義人民共和國選舉
주체사상탑,主体思想塔
경흥군,慶興郡
고려항공,高麗航空
봉천군,峯泉郡
천리마 운동,千里馬運動
대동강역,大同江站
판문역,板門站
온성군,穩城郡
부령군,富寧郡
조선민주주의인민공화국-중화인민공화국 관계,中朝关系
UTC+08:30,UTC+08:30
향산군,香山郡
청단군,青丹郡
태탄군,苔灘郡
신의주청년역,新义州青年站
백두산청년선,白頭山青年線
봉산군,鳳山郡
한국어,朝鮮語
동신군,東新郡
개풍구역,開豐區域
삼수군,三水郡
벽성군,碧城郡
운전군,雲田郡
서평양역,西平壤站
린산군,麟山郡
신평군,新坪郡
연탄군,燕灘郡
토산군,兔山郡
동평양대극장,東平壤大劇院
평양 지하철도 천리마선,千里馬線
재령군,載寧郡
신계군,新溪郡
고풍군,古豐郡
위원군,渭原郡
성간군,城干郡
봉동역,凤东站
금수산태양궁전,錦繡山太陽宮
독원영주원,天主教德源自治會院區
대일 전승 기념일,第二次世界大战对日战争胜利纪念日
해주시,海州市
신의주특별행정구,新義州特別行政區
조선민주주의인민공화국의 경제,朝鲜民主主义人民共和国经济
서해갑문,西海水闸
천리마구역,千里馬區域
강동군,江東郡
프렌드십 게임,1984年友誼運動會
경의선,京義線
문화어,文化語
조선인민군,朝鲜人民军
조선민주주의인민공화국 야구 국가대표팀,朝鮮棒球代表隊
강령군,康翎郡
선군정치,先军政治
한국의 역법,檀君紀元
동창군,東倉郡
황주군,黃州郡
천마군,天摩郡
배천군,白川郡
동림군,東林郡
련광정,練光亭
북창 정치범수용소,北倉集中營
일본 순시선 괴선박 격침 사건,奄美大岛海战
태백산맥,太白山脈
창바이산맥,长白山脈
평양시,平壤
고구려 고분군,高句丽古墓群
조중우의교,中朝友谊桥
로력영웅,朝鲜民主主义人民共和国劳动英雄
신포시,新浦市
금천군,金川郡
장연군,長淵郡
은파군,銀波郡
연사군,延社郡
손하역,孙河站
사리원청년역,沙里院青年站
평양 타임스,平壤時報
정평군,定平郡
양덕군,陽德郡
신양군,新陽郡
북창군,北倉郡
문덕군,文德郡
염주군,鹽州郡
국규 9566,KPS 9566
평양 지하철도 혁신선,革新線
연산군,延山郡
김정일 장군의 노래,金正日將軍之歌
관남 지방,關南地方
룡천 열차 폭발 사고,2004年朝鲜龙川火车站爆炸事件
룡천군,龍川郡
한반도 군사 분계선,三八线
아리랑 축제,阿里郎节
통일역,統一站
대관군,大館郡
룡림군,龍林郡
곽산군,郭山郡
박천군,博川郡
구장군,球場郡
출신성분,出身成分
윤이상관현악단,尹伊桑管弦樂團
선천군,宣川郡
벽동군,碧潼郡
