Latvija,拉脫維亞
Jūrmala,尤爾馬拉
Jelgava,叶尔加瓦
Jēkabpils,葉卡布皮爾斯
Rīgas Centrāltirgus,里加中央市場
Rīga,里加
Zinātņu akadēmijas augstceltne,科學院大廈
Varakļānu novads,瓦拉克利亞尼市鎮
Alūksnes ezers,阿盧克斯內湖
Piltene,皮尔泰内
Viļāni,維利亞尼
Latvijas dzelzceļi,拉脱维亚铁路运输
1949. gada marta deportācijas,冲浪行动
Rīgas Svētā Jēkaba katedrāle,圣雅各伯主教座堂·(里加)
Sabile,薩比萊
Latvijas futbola izlase,拉脫維亞國家足球隊
Baltijas jūra,波罗的海
Aknīste,阿克尼斯泰
Rīgas Tehniskā universitāte,里加工业大学
Liepājas diecēze (Romas katoļu),天主教利耶帕亞教區
Viesīte,維耶西泰
Bauskas pils,包斯卡城堡
Limbažu rajons,林巴日區
Arēna Rīga,里加體育館
Rīgas radio un televīzijas tornis,里加广播电视塔
Jaunjelgava,新葉爾加瓦
Eiro,欧元
Strūves ģeodēziskais loks,斯特鲁维测地弧
Zilupe (upe),錫尼亞亞河·(韋利卡亞河支流)
Valpurģu nakts,沃普尔吉斯之夜
Zilupe,濟盧佩
Gauja,高亞河
Gulbenes novads,古爾貝內市鎮
Latgale,拉特加爾
Rumāņi,羅馬尼亞人
Bauska,包斯卡
Latvijas Universitāte,拉脱维亚大学
Sigulda,錫古爾達
Inguši,印古什人
Daugava,道加瓦河
Kuldīgas rajons,庫爾迪加區
Valmieras rajons,瓦爾米耶拉區
Talsu rajons,塔爾西區
Ogres rajons,奧格雷區
Irbes šaurums,伊尔别海峡
Aizpute,艾茲普泰
Rīgas rajons,里加區
Kurzemes cietoksnis,库尔兰包围战
Latvijas Kauss futbolā,拉脫維亞盃
Tukuma rajons,圖庫姆斯區
Smiltene,斯米爾泰內
Saulkrasti,紹爾克拉斯蒂
Rēzekne,雷澤克內
Lielupe,利耶盧佩河
Zemgale,瑟米加利亞
Latvijas ģerbonis,拉脱维亚国徽
Liepājas rajons,利耶帕亞區
Jēkabpils rajons,葉卡布皮爾斯區
Saldus rajons,薩爾杜斯區
Aizkraukles rajons,艾茲克勞克萊區
Brocēni,布羅采尼
Latvijas Futbola federācija,拉脫維亞足球總會
Tukums,圖庫姆斯
Baltic International Airlines,波羅的海國際航空
Krāslava,克拉斯拉瓦
PSRS basketbola izlase,蘇聯國家男子籃球隊
Saeima,拉脱维亚议会
Pulvertornis (Rīga),火药塔·(里加)
Kurzeme,庫爾蘭
Baškīri,巴什基爾人
Aloja,阿洛亞
Baltijas Līga futbolā,波羅的海聯賽
Baltijas Asambleja,波罗的海会议
Lietuvieši,立陶宛人
Latvijas Banka,拉脫維亞銀行
Lībieši,立窝尼亚人
Pāvilosta,帕維洛斯塔
Salacgrīva,薩拉茨格里瓦
Latvijas Nacionālie bruņotie spēki,拉脱维亚军事
Ainaži,艾納日
Aizkraukle,艾茲克勞克萊
Latviešu valoda,拉脱维亚语
Skonto FC,史干圖足球會
Balvi,巴爾維
Latvijas Valsts prezidents,拉脫維亞總統
Venta,文塔河
Jidišs,意第緒語
Dzintara ceļš,琥珀之路
Starptautiskā lidosta "Rīga",里加国际机场
Vaiņodes novads,瓦伊尼奧代市鎮
Starptautiskā lidosta "Liepāja",利耶帕亚国际机场
Latvija Eirovīzijas dziesmu konkursā,拉脱维亚在欧洲歌唱大赛之历年表现
Valkas rajons,瓦爾卡區
Bauskas rajons,包斯卡區
Dobeles rajons,多貝萊區
Preiļu rajons,普雷利區
Staicele,斯泰采萊
Mazsalaca,馬茲薩拉察
Lubāna,盧巴納
Baltkrievu valoda,白俄罗斯语
Latvieši,拉脫維亞人
Krievi,俄羅斯人
Abava,阿巴瓦河
FK Liepājas Metalurgs,美達雷斯足球會
FK Daugava Rīga (2003),里加道加瓦足球俱樂部
Rīgas Valsts 1. ģimnāzija,里加国家第一中学
Rāznas ezers,拉茲納湖
Latvijas futbola Virslīga,拉脫維亞超級足球聯賽
Balvu rajons,巴爾維區
Talsi,塔尔西
Rīgas "Dinamo",里加迪納摩
Kandava,坎達瓦
Kārsava,卡爾薩瓦
FB Gulbene,古爾貝內足球俱樂部
Cēsu rajons,采西斯區
Gulbenes rajons,古爾貝內區
Salaspils,薩拉斯皮爾斯
Varakļāni,瓦拉克利亞尼
Valdemārpils,瓦爾代馬爾皮爾斯
Latvija Bērnu Eirovīzijas dziesmu konkursā,拉脫維亞在歐洲青少年歌唱大賽之歷年表現
2003. gada Eirovīzijas dziesmu konkurss,2003年歐洲歌唱大賽
Dienvidigauņu valoda,南爱沙尼亚语
FK Ventspils,雲特史比斯足球會
Grobiņa,格羅比尼亞
Bārta (upe),巴爾塔河
Viļaka,維利亞卡
Olaine,奧萊內
Ludzas rajons,盧扎區·(拉脫維亞)
Preiļi,普雷利
Cesvaine,采斯瓦伊內
Dagda,達格達
Rēzeknes rajons,雷澤克內區
Pļaviņu novads,普利亞維尼亞斯市鎮
Ventspils rajons,文茨皮爾斯區
Kokneses novads,科克內塞市鎮
Aknīstes novads,阿克尼斯泰市鎮
Latvijas Nacionālā opera un balets,拉脫維亞國家歌劇院
Rāznas nacionālais parks,拉茲納國家公園
Dzelzceļa līnija Glūda—Reņģe,格卢达-伦尼杰铁路
Rīgas Svētā Pētera baznīca,圣彼得教堂·(里加)
Dobele,多貝萊
Ogre,奧格雷
Baltijas valstis,波罗的海国家
Alūksne,阿盧克斯內
.lv,.lv
Omuļupe,厄赫內河
AirBaltic,波罗的海航空
Madona,馬多納
Rail Baltica,波羅的海鐵路
Lielvārdes novads,利耶爾瓦爾代市鎮
Skrunda,斯克倫達
FK Jelgava,葉爾加瓦足球俱樂部
Trīs brāļi,里加三兄弟
Eiropas autoceļš E67,欧洲E67公路
Baloži (pilsēta),巴洛日
Lielvārde,利耶爾瓦爾代
Durbes kauja,杜尔贝战役
Dziesmotā revolūcija,歌唱革命
Vangaži,萬加日
Latgaliešu valoda,拉特加萊語
Lībiešu valoda,立窝尼亚语
Latvijas administratīvais iedalījums,拉脫維亞行政區劃
Gulbene,古爾貝內
Līvāni,利瓦尼
Vidzeme,維澤梅
Latvija olimpiskajās spēlēs,奥林匹克运动会拉脱维亚代表团
Gaujas nacionālais parks,戈雅國家公園
Latvijas Sociālistiskā partija,拉脱维亚社会党
Saldus,薩爾杜斯
Ludza,盧扎
Daugavpils rajons,陶格夫匹爾斯區
Strenči,斯特倫奇
Jelgavas rajons,葉爾加瓦區
Līgatne,利加特內
Engures ezers,恩古雷湖
Pļaviņas,普利亚维尼亚斯
Madonas rajons,馬多納區
Seda,塞達·(拉脫維亞)
Latvijas eiro monētas,拉脫維亞的歐元硬幣
Ilūkste,伊盧克斯泰
Krāslavas rajons,克拉斯拉瓦區
Baltijas valstu okupācija,佔領波羅的海國家
Subate,蘇巴泰
Eiropas autoceļš E22,欧洲E22公路
Rīgas pils,里加城堡
Vanšu tilts (Rīga),曼舒大桥
Ask.fm,Ask.fm
Melngalvju nams,黑头宫
Daugavpils,陶格夫匹尔斯
Latvijas dzelzceļš,拉脱维亚铁路
Latvijas pilsoņa pase,拉脱维亚护照
Valka,瓦爾卡
Brocēnu novads,布羅采尼市鎮
Jelgavas diecēze,天主教葉爾加瓦教區
Auce,奧采
Ape,阿佩
Rūjiena,魯伊耶納
Naukšēnu novads,瑙克謝尼市鎮
Alūksnes rajons,阿盧克斯內區
FC Daugava,道加瓦足球俱樂部
Pārkrievošana,俄羅斯化
Ventspils,文茨皮尔斯
Cēsis,采西斯
Starptautiskais E ceļu tīkls,欧洲高速公路
Autoceļš A1 (Latvija),A1公路·(拉脱维亚)
Brīvības piemineklis,自由紀念碑·(里加)
Sēlija,塞羅尼亞
Saskaņas Centrs,和谐中心
Priekule,普列庫萊·(拉脫維亞)
Dzelzceļa līnija Torņakalns—Tukums II,托尔尼亚卡尔内斯-图库姆斯铁路
Eiropas autoceļš E77,欧洲E77公路
Sivers,西韋爾斯湖
Diena (laikraksts),Diena
Valmiera,瓦爾米耶拉
Ķegums,基耶古姆斯
Baltijas tīģeri,波羅的之虎
Transports Latvijā,拉脫維亞交通
Latvijas Republikas Ministru prezidents,拉脫維亞總理
Rēzeknes-Aglonas diecēze,天主教雷澤克內-阿格洛納教區
Latvijas ģeogrāfija,拉脫維亞地理
Daugavpils novads,陶格夫匹爾斯市鎮
Reformu partija (Latvija),改革党·(拉脱维亚)
Stende,斯滕代
Mikrotīkls,MikroTik
Latvijas basketbola izlase,拉脫維亞國家男子籃球隊
Latvijas Televīzija,拉脫維亞電視台
Burtnieks,布爾特內克斯湖
Līgatnes novads,利加特內市鎮
Dailes teātris,戴列斯劇場
Latvijas diplomātisko misiju uzskaitījums,拉脫維亞駐外機構列表
Kuldīga,库尔迪加
Vācbaltieši,波罗的海德意志人
"Dievs, svētī Latviju",上帝保佑拉脫維亞
Sitas ezers,錫塔湖
Dobeles pils,多貝萊城堡
Dzērbenes pagasts,泽尔贝内堂区
Latvija 2012. gada vasaras olimpiskajās spēlēs,2012年夏季奧林匹克運動會拉脫維亞代表團
Lats,拉脫維亞拉特
Latvija 2008. gada vasaras olimpiskajās spēlēs,2008年夏季奥林匹克运动会拉脱维亚代表团
Latvija 2010. gada ziemas olimpiskajās spēlēs,2010年冬季奥林匹克运动会拉脱维亚代表团
Latvija 1924. gada ziemas olimpiskajās spēlēs,1924年冬季奥林匹克运动会拉脱维亚代表团
Murata ezers,穆拉季湖
Skrīveri,斯克里韋里
Vecpiebalgas pagasts,旧皮耶巴尔加堂区
Baltijas Kauss futbolā,波羅的海盃
Rucava,鲁察瓦
Jaunpils pils,新皮爾斯城堡
Dzelzceļa līnija Rīga—Daugavpils,里加-陶格夫匹尔斯铁路
Vienotība,團結·(拉脫維亞)
RFS,里加足球学校
Brocēni (stacija),布罗采尼站
Latvijas Olimpiskā komiteja,拉脫維亞奧林匹克委員會
Latviešu virtuve,拉脫維亞飲食
Delfi (portāls),Delfi
Cena (stacija),采拿站
Bērzupe (stacija),贝尔祖佩站
Lubāns,盧班斯湖
Daugmale (stacija),道格马莱站
Neretiņa,內雷塔河
Kaņieris,卡涅里斯湖
Jelgava (stacija),叶尔加瓦站
Liepāja (stacija),利耶帕亚站
Limbaži,林巴日
Rīgas līcis,里加湾
Somi,芬兰人
Gardene (stacija),加尔登内站
Zaļo un Zemnieku savienība,綠人與農民聯盟
Liepāja,利耶帕亚
Eša ezers,埃熱澤爾斯湖
Kūku pagasts,库卡斯堂区
FK Auda,奥达足球俱乐部
Babītes ezers,巴比泰湖
Latvijas—Krievijas miera līgums,拉脫維亞-蘇俄和平條約
Gaiziņš,蓋幸肯山
Aiviekste,艾維埃克斯泰河
Rundāles pils,隆黛爾宮
Lutriņu pagasts,卢特里尼堂区
Īslīces pagasts,以斯利采堂区
Kolkas pagasts,科尔卡堂区
Lielais Ludzas ezers,大盧扎湖
Mūsa,穆沙河
Bīriņu muiža,比里尼宮
Karosta,卡洛斯塔
Vecrīga,里加老城
Vārkavas novads,瓦爾卡瓦市鎮
Rīgas vagonbūves rūpnīca,里加车辆制造厂
Salacgrīvas jahtu osta,萨拉茨格里瓦港
Dundagas pagasts,敦达加堂区
Rīgas Doms,里加主教座堂
Turība (stacija),图里巴站
Džūkste (stacija),朱克斯泰站
Dzērbenes muiža,泽尔贝内庄园
Ēdoles pils,埃多爾城堡
Vaives pagasts,瓦伊韦堂区
Latvijas Nacionālā bibliotēka,拉脫維亞國家圖書館
Latvijas Zaļā partija,拉脱维亚绿党
Nacionālā apvienība "Visu Latvijai!"—"Tēvzemei un Brīvībai/LNNK",民族聯盟·(拉脫維亞)
FK Metta,梅塔足球俱樂部
Latvijas Sociāldemokrātiskā Strādnieku partija,拉脱维亚社会民主工人党
Ķīšezers,基舍澤爾斯湖
Cēsu vaivadija,文登省
Priekuļi,普里埃庫利
BFC Daugavpils,陶格夫匹爾斯足球會
Rīgas Ekonomikas augstskola,里加斯德哥尔摩经济学院
Rudzu maize,黑麦面包
Dubna (upe),杜布納河·(道加瓦河流域)
Usmas ezers,烏斯馬湖
Dreidzs,德里濟斯湖
Cukurfabrika (stacija),楚库尔法布里卡站
Dalbe (stacija),达尔贝站
Kurzemes pussala,库尔兰半岛
11. Saeimas vēlēšanas,2011年拉脫維亞議會選舉
Latvijas Ceļš,拉脱维亚道路
Ludzas pils,盧扎城堡
