Judith Nisse Shklar,朱迪丝·N·施克莱
Valērijs Žolnerovičs,瓦列里斯·佐尔内罗维奇斯
Mihails Barišņikovs,米哈伊尔·巴里什尼科夫
Ernests Gulbis,厄內斯特·古爾比斯
Latviešu Indriķis,拉脱维亚的亨利
Frīdrihs Ketlers,腓特烈·克特勒
Dzidra Ritenberga,迪卓雅·瑞登伯格
Romāns Višņaks,羅門·維許尼亞克
Bertolds,漢諾威的貝特霍爾德
Kārlis Ulmanis,卡尔利斯·乌尔马尼斯
Andris Piebalgs,安德里斯·皮耶巴尔格斯
Iveta Apkalna,伊維塔‧艾普卡娜
Jānis Lūsis,賈尼斯·盧西斯
Gundars Bojārs,波雅希
Aivars Lembergs,艾瓦斯·倫伯格斯
Brandenburgas Vilhelms,威廉·馮·勃蘭登堡
Guntis Ulmanis,貢蒂斯·烏爾馬尼斯
Pauls Valdens,保罗·瓦尔登
Augusts Voss,奥古斯特·爱德华多维奇·沃斯
Aivars Endziņš,恩津斯
Ritus Krjauklis,里图斯·克利亚乌克里斯
Andrejs Upīts,安德烈斯·乌匹茨
Vladimirs Kamešs,弗拉迪米爾斯·卡梅斯
Rainis,瑞尼斯
Jānis Bērziņš,伯津
Marians Pahars,帕哈斯
Ernsts Gliks,约翰·恩斯特·格吕克
Valdis Dombrovskis,瓦尔迪斯·东布罗夫斯基斯
Konrāds Kalējs,康拉斯·卡雷斯
Herberts Cukurs,赫柏茨·希庫爾斯
Vitālijs Maksimenko,维塔利斯·马克西蒙科
Mārtiņš Pļaviņš,马丁斯·普拉维斯
Vizma Belševica,V. 贝尔舍维卡
Jēkabs Ketlers,雅各布·克特勒
Mihails Tāls,米哈伊尔·塔尔
Ādolfs Bļodnieks,阿道夫斯·布罗德涅克斯
Einars Repše,埃纳尔斯·雷普舍
Jānis Balodis,亚尼斯·巴洛迪斯
Anmary,安瑪莉
Bartolomejs Hēneke,巴塞洛缪·霍内克
Deniss Kačanovs,卡克諾夫斯
Mārtiņš Freimanis,馬丁斯·弗雷馬尼斯
Viktors Arājs,維克托斯·阿拉斯
Vitālijs Astafjevs,维塔利耶斯·阿斯塔夫耶夫斯
Gustavs Zemgals,古斯塔夫斯·曾加爾斯
Artjoms Rudņevs,魯德內夫
Māris Martinsons,马里斯·马丁松斯
Valters Caps,瓦尔特·察普
Viktors Ščerbatihs,维克托斯·谢尔巴蒂斯
Konstantīns Raudive,康士坦丁·魯迪夫
Egils Levits,埃吉尔斯·列维特斯
Vīts Rimkus,維特斯‧利姆庫斯
Andris Bērziņš,安德里斯·貝爾津什 (拉脫維亞總統)
latvieši,拉脫維亞人
Juris Hartmanis,尤里斯·哈特马尼斯
Imants Bleidelis,伊曼茨·布雷德利斯
Pēteris Ugrjumovs,彼得·優格馬福
Igors Stepanovs,伊戈尔斯·斯特帕诺夫斯
Roberts Zīle,罗伯茨·兹勒
Aleksandrs Cauņa,亞歷山德克斯·考納
Jānis Pujats,雅尼斯·普亞茲
Kaspars Gorkšs,戈爾克斯
Artis Pabriks,阿爾提斯·帕布里克斯
Vilhelms no Modenas,薩賓娜的紅衣主教威廉
Mariss Jansons,马里斯·扬颂斯
Marija Naumova,瑪麗亞 N
Baltazars fon Kampenhauzens,巴爾塔薩·馮·坎彭豪森
Edvīns Šnore,埃德温·斯努尔
Andris Šics,安德里斯·希茨
Arnis Mednis,阿尼斯·梅德尼斯
Vilhelms Ketlers,威廉·克特勒
Gidons Krēmers,基東·克雷默
Zbigņevs Stankevičs,茲比格涅夫斯·斯坦克維奇斯
Andrejs Perepļotkins,安德烈斯·佩雷珀特金斯
Mareks Mejeris,馬雷克斯·梅耶里斯
Andris Ameriks,亞美里克斯
Andrejs Eberhards Budbergs,安德烈亚斯·埃伯哈德·冯·布德伯格
Andris Bērziņš,安德里斯·贝尔津什
Miša Maiskis,米沙·麦斯基
Andrejs Rubins,安德烈斯·鲁宾斯
Raimonds Pauls,萊伊蒙茨·保爾斯
Vilhelms Georgs fon Fermors,威廉·費摩爾
Valdis Birkavs,瓦爾迪斯·比爾卡夫斯
Intars Busulis,英塔爾·布蘇利斯
Andris Biedriņš,安德里斯·比耶德林斯
Pēteris Vasks,彼得里斯·瓦斯克斯
Jānis Čakste,雅尼斯·恰克斯特
Ivars Smilga,伊瓦尔·斯米尔加
Aleksejs Višņakovs,阿萊克塞斯·維斯納科夫斯
Juris Šics,尤里斯·希茨
Alfrēds Rubiks,阿尔弗雷兹·彼得罗维奇·鲁比克斯
Aleksandrs Fertovs,亞歷山德克斯·化圖夫斯
Kārlis Balodis,卡尔·巴洛特
Aleksandrs Šabalovs,亚历山大·沙巴洛夫
Guntars Krasts,克拉茲
Vilis Lācis,维利斯·拉齐斯
Dairis Bertāns,達里斯·貝坦斯
Lija Mara,利亚·玛拉
Vaira Vīķe-Freiberga,維拉·薇契-斐柏嘉
Jānis Jurkāns,尤肯斯
Elīna Garanča,艾琳娜·嘉兰莎
Sandra Kalniete,桑德拉·卡尔尼特
Aija Andrejeva,艾賈·安德烈耶娃
Anastasija Sevastova,安娜絲塔西卓·希瓦妥娃
Uļjana Semjonova,乌莉娅娜·谢苗诺娃
Valdis Zatlers,瓦尔季斯·扎特莱尔斯
Aigars Kalvītis,艾加尔斯·卡尔维季斯
Ivars Godmanis,伊瓦尔斯·戈德马尼斯
Zigfrīds Anna Meierovics,齐格弗里兹·安纳·梅耶罗维茨
Andris Nelsons,安德里斯·尼尔森斯
Andris Vaņins,安德里斯·瓦寧斯
Pēteris Stučka,斯图奇卡
Hermanis fon Bukshēvdens,多尔帕特的赫尔曼
Māris Štrombergs,马里斯·斯特罗姆伯格斯
Dāvis Bertāns,戴維斯·貝坦斯
Alberts Kviesis,阿尔贝茨·克维埃西斯
Vilhelms Munters,威廉·蒙特斯
Kristaps Janičenoks,克里斯塔普斯·揚尼切諾克斯
Moriss Halle,哈雷
Juris Laizāns,萊贊斯
Jēkabs Peterss,雅雅各布·彼得斯
Pēteris Slavens,彼得里斯·斯拉文斯
Alberts Rumba,艾伯茨·伦巴
Vilhelms Neimanis,威廉·諾伊曼
Kristīne Opolais,克里斯蒂‧奥坡莱斯
Ksenija Solo,克塞尼亚·索罗
Kurzemes Marija Amālija,庫爾蘭的瑪麗亞·艾瑪莉亞
Aleksandrs Koliņko,阿萊克桑德斯·科林科
Māris Verpakovskis,马里斯·维尔帕科夫斯基斯
Lipmans Berss,利普曼·伯斯
Andris Ambainis,安德里斯·安貝尼斯
Aleksandrs Samoilovs,亚历山大·萨莫洛夫
Luīze Šarlote no Brandenburgas,布蘭登堡的路易絲·夏洛特
Līga Dekmeijere,里加·德克梅耶尔
Larisa Neilande,拉里薩·內蘭德
Renārs Kaupers,雷納斯·考普斯
Indulis Emsis,因杜利斯·埃姆西斯
Aspazija,阿斯帕姬娅
Augusts Kirhenšteins,奥古斯特·基尔兴施泰因
Juris Upatnieks,尤里斯·乌帕特尼克斯
Krišjānis Barons,克里沙尼·巴隆斯
Alberts Lapiņš,阿尔伯特·亚努维奇·拉平
Nils Ušakovs,尼爾斯·烏薩科夫斯
Anatolijs Gorbunovs,阿纳托利斯·戈尔布诺夫斯
Hugo Celmiņš,胡戈·采尔明什
Gustavs Klucis,古斯塔夫·克卢茨斯
Boriss Teterevs,鲍里斯·泰特里夫
Andris Liepa,安德里斯·列帕
Jānis Birks,雅尼斯·比尔克斯
Biruta Baumane,比魯塔·包馬涅
Edmunds Jansons,埃德蒙兹·扬松斯
Ojārs Ēriks Kalniņš,卡寧斯
Knuts Skujenieks,K. 斯库耶尼克斯
Eduards Liepiņš,爱德华·达维多维奇·列平
Deniss Ivanovs,丹尼斯·伊凡诺夫斯
Lauris Dārziņš,勞里斯·達吉斯
Arturs Alberings,阿尔图尔斯·阿尔贝林斯
Marģers Skujenieks,马尔格尔斯·斯库耶涅克斯
Haralds Silovs,哈拉兹·思洛夫斯
Mārtiņš Lācis,馬丁·拉特西斯
Ieva Akuratere,伊娃·阿库拉特雷
Oskars Melbārdis,奥斯卡斯·梅尔巴蒂斯
Helmuts Štegmanis,赫尔穆斯·斯蒂格曼
Igors Rausis,伊戈尔斯·劳西
Ināra Mūrniece,伊娜拉·莫妮卡
Agate Muceniece,Agata Muceniece
Lilita Ozoliņa,丽丽塔·奥佐利亚
Laura Ikauniece-Admidiņa,劳拉·伊坎尼恩斯
Vitālijs Manskis,维塔利·弗谢沃洛多维奇·曼斯基
Pēteris Skudra,彼得·斯庫德拉
Lelde Gasūna,莱尔德·加苏娜
Jānis Peive,雅尼斯·沃尔德玛罗维奇·佩维
Jevgeņijs Paškēvičs,葉夫蓋尼·帕斯肯維奇
Vladislavs Gutkovskis,弗拉迪斯拉夫斯·古特科夫斯基斯
Ginta Lapiņa,金塔·拉皮娜
Regīna Razuma,雷吉娜·拉祖玛
Ivo Fomins,伊沃·福明斯
Leonīds Tambijevs,列昂尼德·坦比耶夫
Kristīne Šefere,克里斯汀·舍费尔
Jurijs Rubenis,尤里·鲁本
Fēlikss Cielēns,菲利克斯·切连斯
Valters Frīdenbergs,瓦爾特斯·弗里登伯格
Zigfrīds Muktupāvels,齐格弗里兹·穆克图帕维尔斯
Juris Kaža,朱里斯·卡扎
Džemma Skulme,杰玛·斯库尔梅
Kaspars Bērziņš,卡斯帕斯·別爾津什
Irina Odojevceva,I.V. 奥多耶夫采娃
Mihails Zemļinskis,米黑尔斯·詹姆霖斯克斯
Eduards Bērziņš,爱德华·贝尔津
Heinrihs Eihe,亨里希·艾歇
Ojārs Spārītis,史帕瑞特斯
Arturs Sproģis,阿图尔斯·斯普罗吉斯
Gundars Celitāns,甘达尔斯·塞利坦斯
Vladimirs Bespalovs,比斯帕洛夫斯
Valdis Pelšs,瓦尔迪斯·艾热诺维奇·佩尔什
Filips Hiršhorns,菲利浦·赫斯宏
Vladimirs Babičevs,弗拉季米尔斯·巴比切夫斯
Ansis Cīrulis,安西斯·西鲁里斯
Jānis Nords,亞尼斯諾德斯
Pauls Stradiņš,保尔斯·斯特拉金什
Rolands Kalniņš,羅蘭茲·卡爾尼斯
Gints Freimanis,金特斯·弗雷马尼斯
Boriss Frumins,鮑里斯·弗魯明
Ināra Tetereva,伊纳拉·泰特雷瓦
Lolita Cauka,洛丽塔·考卡
Pauls Kalniņš,保爾斯·卡爾尼斯
Pēteris Šmits,彼得·彼得羅維奇·施密特
Rolfs Kāns,罗尔夫·卡恩
Kārlis Ozoliņš (valsts darbinieks),卡利斯·奥佐林什
Jānis Jarāns,贾尼斯·贾兰斯
Ģirts Karlsons,卡爾森斯
Arveds Švābe,阿尔韦德斯·史瓦贝
Olga Rajecka,奥尔加·拉杰卡
Samanta Tīna,薩曼塔·蒂娜
Andrejs Štolcers,安祖·史杜錫
Vladimirs Koļesņičenko,弗拉基米尔·科埃斯·伊琴科
Alberts Kauls,阿尔伯特·埃內斯托维奇·考尔斯
Jānis Blūms,揚尼斯·布盧姆斯
Valērijs Šabala,瓦莱里·沙巴拉
Ivars Kalniņš,伊瓦爾斯·卡爾尼什
Ernsts fon Rasburgs,厄恩斯特·冯·拉斯伯格
Rihards Zariņš,理哈兹·扎林士
Roberts Eidemanis,罗伯特·彼得罗维奇·埃德曼
Dagnija Dreika,达格尼娅·德莱卡
Andrejs Prohorenkovs,安德烈斯·普罗霍伦科夫
Jēkabs Dravnieks,叶卡布斯·德拉韦涅克斯
Raimonds Vējonis,莱蒙德斯·韦约尼斯
Lauris Reiniks,洛瑞斯·雷尼克斯
Mārtiņš Meiers,馬丁斯·美耶斯
Kristaps Grebis,克里斯塔普斯·格里比斯
Pēteris Briedis,彼得·布里迪斯
Maija Doveika,迈亚·多维卡
Jānis Endzelīns,雅尼斯·恩澤林斯
Krišjānis Berķis,克里什亚尼斯·贝尔基斯
Andris Keišs,安德瑞斯·凯斯
Andris Ārgalis,阿格里斯
Arvīds Jansons,阿尔维兹·杨松斯
Andrejs Butriks,布垂克斯
Mihails Zadornovs,米哈伊尔·尼古拉耶维奇·扎多诺夫
Gundars Daudze,昆达斯·道泽
Rolands Freimanis,羅蘭·費爾馬尼斯
Pjotrs Avens,彼得·奥列格维奇·埃文
Kristaps Porziņģis,克里斯塔普斯·波爾津吉斯
Kārlis Zariņš,卡尔利斯·赖因霍尔德·扎林什
Aigars Štokenbergs,艾加斯·斯托肯伯格斯
Edgars Vinters,埃德加·温特尔
Vilhelms Purvītis,韦勒姆斯·珀维蒂斯
Rutanja Olda,拉特安亚·阿尔达
Guna Zariņa,古纳·扎里扎
Jurijs Žigajevs,尤里·日格耶夫
Pauls Putniņš,保尔斯·普特尼什
Ģirts Ķesteris,吉茲·喀士德利斯
Ieva Pope,叶娃·普佩
Aļona Ostapenko,耶蓮娜·奧斯塔佩柯
Georgs Pelēcis,格奥尔格斯·佩里西斯
Gints Gabrāns,金茨·加布拉恩斯
Ieva Lagūna,伊娃·拉格那
Rihards Kols,理查德·科爾斯
Laimdota Straujuma,萊姆多塔·斯特勞尤馬
Dmitrijs Miļkevičs,德米特里斯·米尔克维奇斯
Diāna Marcinkēviča,戴安娜·马辛科维卡
Edgars Rinkēvičs,埃德加斯·林克維奇斯
Oskars Kastēns,卡斯坦斯
Māris Kučinskis,马里斯·库钦斯基斯
Ingūna Butāne,英古纳·布塔恩
Kirils Stucka,基里尔·安德烈耶维奇·斯图茨卡
Laila Pakalniņa,萊拉·巴卡尼娜
Jānis Vucāns,福強斯
Kārina Pētersone,佩特頌
Artis Lazdiņš,阿迪斯·拉津斯
Artūrs Plēsnieks,阿图尔斯·派斯尼克斯
Mikus Fomins,米库斯·福明斯
Igo (mūziķis),伊戈
Jānis Strēlnieks,揚尼斯·斯特雷爾涅克斯
Vilis Daudziņš,维利斯·道齐什
Agnese Āboltiņa,阿格内塞·阿博尔季尼亚
Markus Riva,馬庫斯·里瓦
Kristīne Nevarauska,克里斯蒂娜·内瓦劳斯卡
Jānis Strenga,亚尼斯·斯特伦加
Mārtiņš Brauns,马丁士·布劳恩斯
Kaspars Vecvagars,卡斯帕斯·維瓦加斯
Deandrē Jedlins,德安德烈·叶德林
Matīss Akuraters,马蒂斯·阿库拉特斯
Romans Suta,Romans Suta
Jānis Reinis,雅尼斯·雷尼斯
Rēzija Kalniņa,蕾濟亞·卡甯娜
Uldis Vazdiks,乌尔迪斯·瓦兹迪克斯
Uldis Dumpis,烏爾蒂斯·杜畢士
Deniss Vasiļjevs,丹尼斯·瓦西里耶夫斯
Dons,唐斯
Kārlis Lejnieks,卡爾利斯·萊吉尼克斯
Laimute Balode,萊姆特·巴羅德
Eduards Šturms,埃杜阿爾德斯·什圖爾姆斯
Arturs Krišjānis Kariņš,艾特爾斯·克里斯亞尼斯·卡林斯
Ojārs Siliņš,奧爾亞斯·西林什
Mārtiņš Zīverts,马丁什·济韦尔茨
Miķelis Dancis,迈克·丹西斯
Roze Stiebra,罗泽·施蒂布拉
Pāvels Šteinbors,佩維爾斯·史泰因博爾斯
Leonīds Kalniņš,列昂尼兹·卡尔尼斯
Dainis Kazakevičs,戴尼斯·卡扎凱維奇
Rodions Kurucs,羅迪昂斯·庫魯斯
Ksenija Sidorova,克塞尼亚·西多罗娃
Elīza Tīruma,伊麗莎·季魯馬
Simona Orinska,希茉娜
Hermanis Albats,赫尔曼尼斯·阿尔巴茨
Roberts Gobziņš,罗伯茨·戈布兹什
Voldemārs Akurāters,伏地魔·阿库拉特斯
Signe Baumane,西格内·包马内
Ernests Apoga,埃内斯特·弗里采维奇·阿波加
Ronalds Zaķis,羅納德斯·贊克兹
Angelina Kučvaļska,安吉麗娜·布拉爾斯卡
Mārcis Auziņš,歐金
Niks Matvejevs,尼克斯·马特维耶夫斯
Alfrēds Hartmanis,阿尔弗雷德斯·哈尔特曼尼斯
Jānis Ikaunieks,雅尼斯·伊考涅克斯
Viesturs Koziols,维埃斯图尔斯·科济奥尔斯
Alberts Bels,阿尔贝茨·贝尔斯
Valērijs Belokoņs,瓦列里斯·贝洛科尼斯
Pēteris Liepiņš,佩德力士·利平什
Žoržs Tikmers,佐爾日斯·蒂克莫斯
Pēteris Strautmanis,彼得·斯特劳曼尼斯
Haralds Kārlis,哈拉爾德斯·卡利斯
Jānis Vagris,贾尼斯·瓦格里斯
Laura Rizoto,勞拉·里佐托
Gunta Vaičule,岡塔·拉迪賽娃
Anžejs Pasečņiks,昂熱·帕施尼克
Andris Rāviņš,拉文斯
Staņislavs Petkēvičs,斯坦尼斯瓦夫·佩特凯维奇
Einars Semanis,埃纳尔斯·塞马尼斯
Ance Krauze,安斯·克劳兹
Pēteris Gaudiņš,彼得里斯·高迪什
Dāvis Ikaunieks,戴维斯·伊考尼克斯
Voldemārs Salnais,沃尔德马尔斯·萨尔奈斯
Jānis Timma,揚尼斯·提馬
Guntars Račs,贡塔尔斯·拉什
Andrejs Radzevičs,安德烈斯·瓦達那維奇
Andrejs Dižbite,安德烈·马丁诺维奇·迪日比特
Žanis Peiners,扎尼斯·佩內斯
Aigars Šķēle,埃加爾斯·什克萊
Viesturs Kairišs,维斯特·凯里什
Krists Neilands,克里斯特·尼兰兹
Juris Jurašs,尤里斯·尤拉什
Mārtiņš Staķis,馬丁·史達基
Didzis Šmits,季济斯·什米茨
Monika Radovska,莫妮卡·拉多夫斯卡
Miķelis Lībietis,米克利斯·利别蒂斯
Rebeka Koha,麗貝卡·科哈
Justs Sirmais,賈斯特斯 (歌手)
Antonijs Černomordijs,安東尼·切爾諾莫迪
Boriss Bogdaškins,波格丹斯基斯
Kristers Aparjods,克里斯特斯·阿帕約茲
Adris Plūksna,阿德里斯·普卢克斯纳
Aminata Savadogo,阿米娜塔
Evika Siliņa,埃维卡·西利尼亚
Inga Freidenfelds,英奇·弗里登费尔兹
Emīls Liepiņš,Emīls Liepiņš
Pēteris Bumbērs,彼得·邦伯斯
Kārlis Lasmanis,卡爾利斯·拉斯馬尼斯
Agate Rašmane,阿加特·拉什马内
Edgars Krūmiņš,埃德加斯·克魯明斯
Agnis Čavars,阿格尼斯·卡瓦斯
Edgars Šubrovskis,埃德加斯·舒布罗夫斯基斯
Darja Semeņistaja,达尔亚·赛门尼斯塔娅
Poļina Rožkova,波利娜·罗日科娃
Tobu,Tobu
Edgars Krūmiņš,埃德加斯·克魯米甚
Elīna Vaska,埃利娜·瓦斯卡
Rain Elwood,蕾恩·埃尔伍德
Artūrs Kurucs,阿尔图尔斯·库鲁克斯
Aleksandrs Sircovs,亚历山大斯·西尔科夫
Māris Sprindžuks,马里斯·斯普林朱克斯
Daniels Ontužāns,丹尼尔斯·昂图赞斯
Tīna Graudiņa,季娜·格劳季尼亚
Anastasija Kravčenoka,阿纳斯塔西娅·萨莫伊洛娃
Ģirts Feldbergs,吉茲·費爾德伯格斯
Eduards Emsis,愛德華茲·埃姆西斯
Toms Grēviņš,湯姆斯·格雷文斯
Kamilla Bartone,卡米拉·巴尔通
Una Celma,伍娜·塞尔玛
Mārtiņš Kazāks,马丁斯·卡扎克斯
Zane Daudziņa,赞恩·多齐娜
Daiga Mieriņa,代佳·米埃林娜
Līga Meņģelsone,莉加·梅尼杰尔索内
Ritvars Suharevs,里特瓦斯·苏哈雷夫斯
Līga Zeļģe,利加·泽杰
Ilze Vazdika,伊尔兹·瓦兹迪卡
Roberts Zvejnieks,罗伯茨·兹韦伊尼埃克斯
Ināra Kolmane,伊娜拉·科尔马内
Roberts Krūzbergs,罗伯茨·克鲁日贝格斯
Jurģis Krāsons,尤尔吉斯·克拉松
Māris Putniņš,马里斯·普特宁斯
Matīss Kaža,马蒂斯·卡扎
Ieva Aleksandrova-Eklone,伊娃·亚历山大洛娃-厄克隆
Ansis Bērziņš,安西斯·贝尔津什
Kristers Tobers,克里斯特·杜貝斯
Aivita Putniņa,艾维塔·普特尼娜
Vilma Lasmane,维尔玛·拉斯曼讷
Daniels Balodis,丹尼爾斯·巴洛迪斯
Robin Kasyanov,罗宾·卡西亚诺夫
Kārlis Vītols,卡利斯·维托尔斯
Alekss Krasts,Alekss Krasts
Emīls Cipulis,Emīls Cipulis
Raimonds Krollis,雷蒙茲·克羅利斯
Arnis Bebrišs,Arnis Bebrišs
Roberts Plūme,羅伯茨·普呂姆
Vilnis Kalnaellis,维尔尼斯·卡尔奈里斯
Elīna Ieva Vītola,Elīna Ieva Vītola
Mārtiņš Bots,馬丁斯·博茨
Krists Lindenblats,Krists Lindenblats
Nauris Miezis,諾睿斯·密亞齊斯
