Zygmunt I Stary,齐格蒙特一世
Krzysztof Kieślowski,克日什托夫·基斯洛夫斯基
Andrzej Wajda,安德烈·華依達
Kazimierz II Sprawiedliwy,卡齐米日二世
Kazimierz III Wielki,卡齐米日三世
Władysław III Laskonogi,瓦迪斯瓦夫三世·(大波兰)
Władysław II Wygnaniec,瓦迪斯瓦夫二世·(西里西亞)
Władysław I Herman,瓦迪斯瓦夫一世·赫爾曼
Przemysł II,普熱梅斯瓦夫二世
Leszek Czarny,萊謝克二世
Konrad I mazowiecki,康拉德一世·(馬佐夫舍)
Laurent Koscielny,羅倫·哥斯尼
Lech Kaczyński,萊赫·卡欽斯基
Zbigniew Zamachowski,齊伯尼·查馬修瓦斯基
Otylia Jędrzejczak,奥蒂利娅·延杰伊恰克
Aleksander Kwaśniewski,亞歷山大·克瓦希涅夫斯基
Agata Kulesza,阿嘉塔·庫雷札
Zygmunt Chychła,齐格蒙特·黑赫瓦
Tomasz Wylenzek,托马什·维伦热克
Bogdan Musiol,波格丹·穆肖乌
Donald Tusk,唐納德·圖斯克
Tadeusz Reichstein,塔德乌什·赖希施泰因
Julius Axelrod,朱利叶斯·阿克塞尔罗德
Alana Beard,阿兰娜·比尔德
Lech Wałęsa,莱赫·瓦文萨
Marian Woronin,马里安·沃罗宁
Ryszard Kaczorowski,雷沙尔德·卡丘罗夫斯基
Wojciech Jaruzelski,沃伊切赫·雅鲁泽尔斯基
Stanisław Ostrowski,斯坦尼斯瓦夫·奥斯特洛夫斯基
Leszek Miller,莱舍克·米莱尔
Franciszek Macharski,方濟各·馬哈爾斯基
Jerzy Buzek,耶日·布澤克
Edward Bernard Raczyński,爱德华·伯纳德·拉陈斯基
Stanisław Wojciechowski,斯坦尼斯瓦夫·沃伊切霍日夫斯基
Władysław Raczkiewicz,瓦迪斯瓦夫·拉茨凯维奇
August Zaleski,奥古斯特·扎勒斯基
Jan Krzysztof Bielecki,扬·克日什托夫·别莱茨基
Marek Belka,马雷克·贝尔卡
Jan Paweł II,若望保祿二世
Emil Hirschfeld,埃米尔·希施费尔德
Jarosław Kaczyński,雅罗斯瓦夫·卡钦斯基
Tomasz Majewski,托马什·马耶夫斯基
Zbigniew Boniek,日比格涅夫·博涅克
Paul Baran (informatyk),保羅·巴蘭
Przemysław Prusinkiewicz,普热梅斯瓦夫·普鲁辛凯维奇
Raymond Kopa,雷蒙·科帕
Leon Jogiches,列奥·约基希斯
Marcin Możdżonek,馬爾欽·莫兹德兹雷克
Jennifer Suhr,詹尼弗·蘇爾
Eugen Polanski,欧根·波兰斯基
Stanisław Lem,史坦尼斯瓦夫·萊姆
Anita Włodarczyk,安妮塔·沃達爾奇克
Tadeusz Mazowiecki,塔德乌什·马佐维耶茨基
Maria Skłodowska-Curie,玛丽·居里
Kazimierz Marcinkiewicz,卡齐米日·马尔钦凯维奇
Waldemar Pawlak,瓦尔德马·帕夫拉克
Hanna Suchocka,汉娜·苏霍茨卡
Michał Jeliński,米哈乌·耶林斯基
Zygmunt Smalcerz,齐格蒙特·斯马尔采日
Małgorzata Bela,瑪高莎·貝拉
Andrzej Majewski (aforysta),安德烈·马耶夫斯基
Andrzej Sypytkowski,安杰伊·瑟佩特科夫斯基
Bezprym,貝斯普里姆
Anna Rybicka (florecistka),安娜·雷比茨卡
Andrzej Szeptycki,安德略·蕭普提斯基
Piotr Kiełpikowski,彼得·凯乌皮科夫斯基
Ryszard Sobczak,理夏德·索布恰克
Jarosław Rodzewicz,雅罗斯瓦夫·罗泽维奇
Anni Friesinger-Postma,安妮·弗里辛格-波斯特马
Wojtek Wolski,沃伊泰克·沃尔斯基
Zygmunt Anczok,齐格蒙特·安乔克
Bolesław Prus,博莱斯瓦夫·普鲁斯
Adam Kszczot,亚当·克什乔特
Suzanna von Nathusius,蘇珊娜·馮·納特修斯
Stephanie Kwolek,斯蒂芬妮·克沃勒克
Kazimierz Funk,卡西米尔·冯克
Ryszard Szurkowski,理夏德·舒尔科夫斯基
Jerzy Janowicz,傑西·雅諾維茨
Edward Strasburger,爱德华·斯特拉斯伯格
Charles Kowal,查爾斯·科瓦爾
Tomasz Wałdoch,托马什·瓦乌多赫
Radosław Kawęcki,拉多斯瓦夫·卡域斯基
Katarzyna Piter,卡塔日娜·皮特尔
Menachem Begin,梅纳赫姆·贝京
Lukas Podolski,卢卡斯·波多尔斯基
Henryk Kasperczak,亨里克·卡斯佩尔恰克
Arkadiusz Milik,阿卡迪烏什·米利克
Kamil Glik,卡米爾·格里克
Wojciech Smarzowski,沃伊切赫·斯馬喬夫斯基
Karol Radek,卡尔·拉狄克
Isaac Bashevis Singer,艾薩克·巴什維斯·辛格
Adam Kokoszka,亞當·科科斯卡
Adam Korol,亚当·科罗尔
Adam Maida,亞當·梅達
Adam Krzesiński,亚当·克热辛斯基
Barbara Wolnicka,芭尔芭拉·沃尔尼茨卡-谢夫奇克
Magdalena Mroczkiewicz,玛格达莱娜·姆罗奇凯维奇
Radosław Sikorski,拉多斯瓦夫·西科尔斯基
Victor Klemperer,维克多·克伦佩勒
Mieszko II Lambert,梅什科二世
Józef Gosławski,约瑟夫·高斯瓦夫斯基
Lestek,萊謝克
Adam Mickiewicz,亚当·密茨凯维奇
Robert Lewandowski,罗伯特·莱万多夫斯基
Łukasz Fabiański,烏卡什·法比安斯基
Miroslav Klose,米罗斯拉夫·克洛泽
Benoît Mandelbrot,本華·曼德博
Jakub Błaszczykowski,雅库布·布瓦什奇科夫斯基
Anna Maria Jopek,安娜·瑪莉亞·約佩克
Adam Sandurski,亚当·桑杜尔斯基
Adam Robak,亚当·罗巴克
Adam Rapacki (polityk),阿达姆·拉帕茨基
Marcel Reich-Ranicki,马塞尔·莱希-拉尼基
Stanisław Ryłko,斯坦尼斯瓦夫·里尔科
Herkules Dembowski,埃尔科莱·登博夫斯基
Magdalena Cielecka,玛格达莱娜·切莱茨卡
Cezary Siess,采扎里·谢斯
Marian Sypniewski,马里安·瑟普涅夫斯基
Rob Van Dam,羅伯·凡·達姆
Robert Felisiak,罗伯特·费利西亚克
Filip Adamski,菲利普·亚当斯基
Czesław Miłosz,切斯瓦夫·米沃什
Samuel Eilenberg,塞缪尔·艾伦伯格
