Polska,波兰
Grudzień,12月
Język niemiecki,德语
Wawer,瓦韦尔区
Bemowo,貝莫沃區
Śródmieście (Warszawa),市中心区·(华沙)
Auschwitz-Birkenau,奥斯威辛集中营
Wisznia (dopływ Sanu),維什尼亞河
Poznań,波茲南
Szeszupa,舍舒佩河
Poznań Główny,波茲南火車總站
Województwo lubuskie,盧布斯卡省
Województwo łódzkie,罗兹省
Wybory parlamentarne w Polsce w 2011 roku,2011年波蘭議會選舉
Województwo małopolskie,小波兰省
Głogów,格沃古夫
Babsk (województwo łódzkie),巴布斯克
Górny Śląsk,上西里西亞
Mistrzostwa Europy w Koszykówce Mężczyzn 2009,2009年歐洲籃球錦標賽
Zamek w Malborku,马尔堡城堡
Nysa Łużycka,尼萨河
Ekstraklasa w piłce nożnej,波蘭足球甲級聯賽
Gdynia,格丁尼亚
Mierzeja Helska,海爾半島
Łyna,維納河
Węgorapa,安格拉普河
Województwo dolnośląskie,下西里西亞省·(波蘭)
Województwo podkarpackie,喀尔巴阡山省
Województwo podlaskie,波德拉謝省
Warszawa,华沙
Rumia,魯米亞
Kluczbork,克盧奇堡
Województwo pomorskie,濱海省·(波蘭)
Szczebrzeszyn,什切布熱申
Szczecin,什切青
Województwo kujawsko-pomorskie,庫亞維-濱海省
Trakt Królewski w Warszawie,皇家之路·(华沙)
Wąchock,翁霍茨克
Województwo lubelskie,卢布林省
Mosina,莫西納
Luboń,盧邦
Górne Łużyce,上盧薩蒂亞
Oświęcim,奥斯威辛
Iława,伊瓦瓦
Świętochłowice,希维托赫洛维采
Pałac w Wilanowie,維拉諾宮
Orlica (rzeka),奧爾利采河
Toruń,托伦
Województwo mazowieckie,馬佐夫舍省
Województwo opolskie,奧波萊省
Śląsk,西里西亞
Język litewski,立陶宛语
Wisła,维斯瓦河
Gniezno,格涅兹诺
Szamotuły,沙莫圖維
Kórnik,庫爾尼克
Język białoruski,白俄罗斯语
Województwo warmińsko-mazurskie,瓦爾米亞-馬祖里省
Morze Bałtyckie,波罗的海
Jidysz,意第緒語
Województwo świętokrzyskie,聖十字省·(波蘭)
Województwo śląskie,西里西亚省
Swarzędz,斯瓦任兹
Pobiedziska,波別濟斯卡
Murowana Goślina,穆羅瓦納-戈希利納
Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,華沙生命科學大學
Gmina (Polska),乡·(波兰)
Białystok,比亚韦斯托克
Zamek Królewski na Wawelu,瓦維爾城堡
Język ukraiński,乌克兰语
Puszczykowo,普什奇科沃
Katowice,卡托维兹
Mistrzostwa Europy w Piłce Nożnej 2012,2012年欧洲足球锦标赛
Leszno,莱什诺
Grodzisk Wielkopolski,大波蘭地區格羅濟斯克
Gołańcz,戈萬奇
Czempiń,琴平
Pułtusk,普烏圖斯克
Łódź,罗兹·(波兰)
Jarocin,亚罗钦
Kościan,科希強
Giełda Papierów Wartościowych w Warszawie,華沙證券交易所
Narew,納雷夫河
Odra,奧得河
