Polska,波蘭
Nysa Łużycka,尼萨河
Poznań Główny,波茲南火車總站
Poznań Wschód,波兹南火车东站
Tramwaje w Poznaniu,波茲南電車
grudzień,12月
Ekstraklasa w piłce nożnej,波蘭足球甲級聯賽
Rogal świętomarciński,圣马丁羊角面包
Oświęcim,奥斯威辛
Wybory parlamentarne w Polsce w 2011 roku,2011年波蘭議會選舉
Wybory parlamentarne w Polsce w 2007 roku,2007年波兰议会选举
Świętochłowice,希维托赫洛维采
Zamek w Malborku,马尔堡城堡
Wawer,瓦沃區
Śródmieście,希鲁德梅希切区
Bemowo,貝莫沃區
język niemiecki,德语
województwo dolnośląskie,下西里西亚省
unikatowy identyfikator NLP,波蘭國家圖書館識別碼(舊)
Łyna,維納河
Mierzeja Helska,赫爾半島
Węgorapa,安格拉普河
Wisznia,維什尼亞河
identyfikator NUKAT,波蘭國家聯合圖書目錄識別碼
województwo kujawsko-pomorskie,庫亞維-濱海省
województwo lubelskie,卢布林省
Akademia Muzyczna im. Karola Szymanowskiego w Katowicach,卡托維治音樂學院
Mistrzostwa Europy w Koszykówce 1963,1963年欧洲篮球锦标赛
Głogów,格沃古夫
Górne Łużyce,上盧薩蒂亞
Iława,伊瓦瓦
województwo lubuskie,盧布斯卡省
województwo łódzkie,罗兹省
Murowana Goślina,穆羅瓦納-戈希利納
Owińska,欧维因斯卡
Auschwitz-Birkenau,奥斯威辛集中营
Dzielnica senioralna,長子領地
Poznański Szybki Tramwaj,波茲南快速電車
Orlica,奧爾利采河
Zespół Pałacowy w Wilanowie,維拉諾夫宮
Szeszupa,舍舒佩河
Kanał Elbląski,埃尔布隆格运河
Twierdza Poznań,波兹南要塞
Twierdza Modlin,莫德林要塞
Trakt Królewski w Warszawie,皇家之路
województwo opolskie,奧波萊省
jidysz,意第緒語
Czempiń,琴平
Gołańcz,戈萬奇
język białoruski,白俄罗斯语
Małopolska,小波兰
Toruń,托伦
identyfikator aplikacji w GOG,GOG應用程式識別碼
język ukraiński,乌克兰语
Chodzież,霍傑日
Czarnków,恰恩庫夫
Kórnik,庫爾尼克
Szamotuły,沙莫圖維
województwo małopolskie,小波兰省
województwo mazowieckie,馬佐夫舍省
identyfikator SJP Online,SJP在线ID
identyfikator SGJP Online,SGJP在线ID
Doroszewski Online ID,Doroszewski在线ID
Kopaliński Online ID,Kopaliński在线ID
identyfikator WSO PWN,WSO在线ID
Mistrzostwa Świata w Wioślarstwie 2009,2009年世界划船錦標賽
Babsk,巴布斯克
województwo świętokrzyskie,聖十字省
Gniezno,格涅茲諾
Rumia,魯米亞
Kluczbork,克盧奇堡
Puszczykowo,普什奇科沃
Zamek Królewski na Wawelu,瓦維爾城堡
identyfikator PLWABN,波蘭國家圖書館識別碼
Mosina,莫西納
Luboń,盧邦
województwo śląskie,希隆斯克省
województwo pomorskie,濱海省
Mistrzostwa Europy w Piłce Nożnej 2012,2012年歐洲足球錦標賽
Pniewy,普涅維
Rawicz,拉維奇
Walki o Przemyśl w 1918 roku,普热梅希尔战役
gmina,鄉
Przyjaźń-84,1984年友誼運動會
Koło,科沃
Kościan,科希強
Śląsk,西里西亞
Swarzędz,斯瓦任兹
Pobiedziska,波別濟斯卡
Tychy,蒂黑
język romski,罗姆语
Kwisa,克維薩河
Konin,科寧
Kostrzyn,科斯琴
Poznańskie Słowiki,波兹南夜莺合唱团
Fort Winiary,Winiary要塞
Teatr Wielki im. Stanisława Moniuszki w Poznaniu,大劇院（波茲南）
Ratusz w Poznaniu,波茲南市政廳
województwo zachodniopomorskie,西滨海省
język wilamowski,維拉莫維安語
województwo warmińsko-mazurskie,瓦爾米亞-馬祖里省
województwo wielkopolskie,大波兰省
Racibórz,拉齐布日
lista prezydentów Polski,波兰总统列表
Pełniący obowiązki Prezydenta Rzeczypospolitej Polskiej,代理
Wronki,弗龍基
Września,弗熱希尼亞
Order Uśmiechu,微笑勋章
język litewski,立陶宛語
Nowy Tomyśl,新托梅希爾
Leszno,莱什诺
Giełda Papierów Wartościowych w Warszawie,華沙證券交易所
Narew,納雷夫河
Mistrzostwa Europy w Koszykówce Mężczyzn 2009,2009年歐洲籃球錦標賽
Mistrzostwa Europy w Pływaniu na krótkim basenie 2011,2011年欧洲短池游泳锦标赛
Górny Śląsk,上西里西亞
Lech Poznań,波茲南萊赫足球俱樂部
Środa Wielkopolska,大波蘭地區希羅達
Poznań,波茲南
ESCP Europe,ESCP欧洲商学院
Obrzycko,奧布日茨科
Ostrów Wielkopolski,大波蘭地區奧斯特魯夫
województwo podkarpackie,喀尔巴阡山省
Grodzisk Wielkopolski,大波蘭地區格羅濟斯克
Jarocin,亚罗钦
województwo podlaskie,波德拉謝省
Wąchock,翁霍茨克
Kotlina Freienwaldzka,奥得沼泽
Manufaktura,工坊
Fabryka Samochodów Ciężarowych w Lublinie,FSC汽车工厂
Gdynia,格丁尼亚
Warszawa,华沙
Łódź,罗兹
Morze Bałtyckie,波罗的海
Tarnobrzeg,塔尔诺布热格
Fabryka Samochodów Osobowych,FSO汽車廠
język karaimski,卡拉伊姆語
Biblioteka Jagiellońska,雅蓋隆圖書館
Międzyrzec Podlaski,缅济热茨
Język rusiński,卢森尼亚语
Nowy Dwór Królewski,克鲁莱夫斯基新庄园
Szczecin,什切青
bitwa pod Grunwaldem,格倫瓦德之戰
Orlen Arena,Orlen體育館
język cerkiewnosłowiański,教會斯拉夫語
Operacja wschodniokarpacka,杜克拉山口之战
Ełk,埃烏克
Pułtusk,普烏圖斯克
Koszalin,科沙林
Partia Zieloni,绿党
Zielonka,傑隆卡
Jastrowie,亞斯特羅維
Kalisz,卡利什
Rzeszów,热舒夫
Szczebrzeszyn,什切布熱申
Wisła,維斯瓦河
Kurów,库鲁夫行政區
Międzynarodowe Targi Poznańskie,波茲南國際會展中心
Zamek Królewski w Poznaniu,皇家城堡
Kolegiata św. Marii Magdaleny w Poznaniu,圣德莲学院教堂
Województwo poznańskie,波茲南省
Biblioteka Raczyńskich w Poznaniu,Raczyński庫
statuty litewskie,立陶宛大公国法规
Polskie Wydawnictwo Muzyczne,波蘭音樂出版社
Nowy Sącz,新松奇
Odra,奧得河
Sanok,萨诺克
Białystok,比亞韋斯托克
Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,華沙生命科學大學
Biskupiec,比斯庫佩茨
Muzeum Warszawy,華沙博物館
Obóz przy ul. Przemysłowej w Łodzi,儿童集中营
Słubice,斯武比采
Grabów nad Prosną,普羅斯納河畔格拉布夫
Pieszyce,佩希采
Cytadela Warszawska,華沙要塞
Konkurs Eurowizji dla Młodych Tancerzy 2005,2005年歐洲青年舞蹈家大賽
Opole,奥波莱
Olsztyn,奥尔什丁
etnolekt śląski,西里西亞語
Kraków,克拉科夫
Spisz,什皮斯
język kaszubski,卡舒比语
regiony historyczne Polski,波兰历史地区
język pruski,普魯士語
Łużyce,卢萨蒂亚
język połabski,波拉布語
Chrzanów,赫扎努夫
Polonez,波蘭舞曲
Polskie Linie Lotnicze LOT,LOT波蘭航空
Świnoujście,希維諾烏伊希切
Opalenica,奧帕萊尼察
powiat siedlecki,謝德爾采縣
Wirtualna Polska,虚拟波兰
Bydgoszcz,比得哥什
Końskowola,孔斯科沃拉
język polski,波蘭語
Kutno,庫特諾
Polska Partia Socjalistyczna,波兰社会党
Stronnictwo Narodowo-Demokratyczne,波兰民族民主党
Konfederacja Narodu,民族同盟
Warta,瓦尔塔河
Ogrodzieniec,奥格罗杰涅茨
Jezioro Leśniańskie,萊希尼亞湖
Sobór św. Wincentego i św. Jakuba we Wrocławiu,聖味噌爵聖雅各伯主教座堂
Dom Kereta,奇勒屋
Przemyśl,普热梅希尔
Wrocław,弗罗茨瓦夫
Wolin,沃林
.pl,.pl
Order Zasługi Rzeczypospolitej Polskiej,波蘭共和國功績勳章
powiat olsztyński,奧爾什丁縣
Order Orła Białego,白鷹勳章
Polesie,波利西亞
Katowice,卡托维兹
Lublin,卢布林
Gdańsk,格但斯克
Sopot,索波特
Police,波利采
Ziębice,津比采
Osieczna,奧謝奇納
Płośnica,普沃希尼察
Kurów,库鲁夫
Narodowa Demokracja,国家民主运动
Łąka Prudnicka,瓦卡普魯德尼克卡
Łęczna,文奇納
Biała Podlaska,比亞瓦-波德拉斯卡
II liga polska w piłce nożnej,波蘭足球丙級聯賽
Łęg,文格河
Ślęża,斯萊扎山
Śmigiel,希米蓋爾
Polski Komitet Wyzwolenia Narodowego,波蘭民族解放委員會
Łuków,武庫夫
Sokolnictwo,鷹匠
Wielkopolska,大波兰
Rząd Rzeczypospolitej Polskiej na uchodźstwie,波蘭流亡政府
Ostroróg,奥斯特罗鲁格乡
Łupawa (rzeka),武帕瓦河
Niezależny Samorządny Związek Zawodowy „Solidarność”,團結工聯
Czerwionka-Leszczyny,策维翁卡莱茨济内行政区
Polacy,波蘭人
Województwo jeleniogórskie,耶萊尼亞古拉省
"Centrum Handlu, Sztuki i Biznesu Stary Browar",斯塔里布勞沃
Bodzentyn,博曾滕乡
Sejm Rzeczypospolitej Polskiej,波兰共和国下议院
Beskidy,贝斯基德山
Drelów,德雷卢夫
Związek Ludowo-Narodowy,波兰国民联盟
powiat poznański,波茲南縣
Górnik Konin,科寧礦工
stosunki polsko-rosyjskie,俄波关系
Kazimierz,卡齐米日
Karpaty,喀爾巴阡山脈
Wieluń,维隆
Łomża,沃姆扎
San,桑河
Znicz Pruszków,普魯斯科夫火炬足球俱乐部
PKP Intercity,PKP城際
Ścinawa,希齊納瓦
Ślesin,希萊辛
Most Śląsko-Dąbrowski,斯拉科-東布羅夫斯基橋
Ślęza,希倫扎河
Staszów,察伊库夫乡
Karkonosze,克尔科诺谢山
Brzeg,布熱格
Uznam,乌瑟多姆岛
Synagoga Remu,萊姆猶太會堂
Środa Śląska,希隆斯克地區希羅達
Świder,希維德河
Świdnik,斯維德尼克
Województwo pilskie,皮瓦省
Częstochowa,琴斯托霍瓦
Pińczów,平丘夫乡
Świecie,希維切
Szamotuły,沙莫图维乡
Gleźnowo,格列兹诺沃
Biskupiec,比斯库佩茨乡
Suwałki,苏瓦乌基乡
Senat Rzeczypospolitej Polskiej,波兰参议院
