João Carlos dos Santos,若昂·卡洛斯·多斯桑托斯
Adriano Martins (futebolista),艾杜安奴·費利拿·馬田斯
Leandro Lessa Azevedo,利沙·利安度
Éverton Santos,艾華頓·山度士
Leandro Domingues,李安度·杜明基斯
Deodoro da Fonseca,德奧多羅·達·豐塞卡
Kléber Laube Pinheiro,克莱伯·皮涅鲁
Ricardo Alexandre dos Santos,里卡多·亚历山大·多斯·桑托斯
Juan Silveira dos Santos,胡安·西尔维拉·多斯·桑托斯
Hulk (futebolista),浩克·(足球运动员)
José Paulo Bezerra Maciel Junior,保利尼奥
Dante Bonfim Costa Santos,丹特·(足球运动员)
Mano Menezes,曼諾·文尼薩斯
Júlia da Silva Bruhns,茱莉亚·达·席尔瓦-布鲁恩斯
Luiz Adriano,路易斯·阿德里亚诺
Ralf (futebolista),拉尔夫·德·索萨·特莱斯
"Ricardinho (futebolista, 1976)",里卡迪尼奥
Willian Borges da Silva,威廉·伯格斯·达·席尔瓦
Roger Machado,罗杰·马沙杜·马基斯
Euller,烏拿
Neymar,内马尔
Leandro Montera da Silva,李安度·蒙迪拿·達施華
Edmilson dos Santos Silva,艾特美臣
Reinaldo da Cruz Oliveira,連拿度·達·告魯斯·奧利華拉
Bruno Quadros,般奴·艾華頓·古亞度斯
Pita (futebolista),埃德瓦尔多·奥利维拉·查韦斯
Leandro Damião,莱安德罗·达米安
Júlio Baptista,儒利奥·巴普蒂斯塔
João Havelange,若昂·阿维兰热
Zinho,津尼奥
Bebeto,白必圖
Felipe Massa,菲利佩·马萨
Alexandre Pato,阿歷山大·柏圖
Bruno Senna,布鲁诺·塞纳
Maria Leopoldina da Áustria,奥地利的玛丽亚·莱奥波尔迪娜
Nílton Santos,尼顿·山度士
Gisele Bündchen,吉赛尔·邦辰
Adriana Lima,阿德瑞娜·利瑪
Alessandra Ambrósio,亞歷桑德拉·安布羅休
Kevin Kurányi,凯文·库兰伊
Jamelli,保罗·贾梅利
Valdir Benedito,瓦尔迪尔·贝内迪托
Marcinho (futebolista),馬斯奧·米蘭達·費利達斯·羅渣·達施華
Nélson Luís Kerchner,内尔松·路易斯·克尔希纳
Nádson,纳德森·罗德里格斯·德·索萨
Zilda Arns,齐尔达·阿恩斯
Alexandre Paes Lopes,阿歷山大·洛佩斯
Heitor Villa-Lobos,海托爾·維拉-羅伯斯
Juninho Pernambucano,儒尼尼奥·佩南布卡诺
Oscar Niemeyer,奧斯卡·尼邁耶
Bernard Anício Caldeira Duarte,伯纳德·阿尼西奥·卡尔德拉·杜阿尔特
Ramires (futebolista),拉美利斯
Mário de Andrade,马里奥·安德拉德
Donizete Oliveira,多尼泽特·奥利维拉
Bernardo Fernandes da Silva,貝納多·費南迪斯·達·席爾瓦
Ramon Menezes,拉蒙·梅内塞斯
Sinha,安东尼奥·内尔森
Felipe Melo,菲臘比·美路
Fernando Rech,費蘭度·列治
Júlio César Soares Espíndola,儒利奥·塞萨尔
Jorge Amado,若热·亚马多
Carmen Miranda,卡門·米蘭達
Adhemar Ferreira da Silva,阿德马尔·达席尔瓦
Zózimo (futebolista),索斯莫
Ademar de Barros,艾迪馬·德·巴羅斯
Fabio Pereira da Silva,法比奥·达·席尔瓦
Ânderson Luís da Silva,路易松
Hebe Camargo,赫柏·卡马戈
Juscelino Kubitschek,儒塞利諾·庫比契克
Adriano Correia,阿德里亚诺·科雷亚·克拉罗
Diego Ribas,迭戈·里巴斯·达·库尼亚
Lucimar da Silva Ferreira,盧斯奧
Pedro II do Brasil,佩德罗二世·(巴西)
Getúlio Vargas,热图利奥·瓦加斯
Nilmar,尼尔玛·奥诺拉托·达·席尔瓦
Elano,埃拉诺
Carlos Alberto Santos (futebolista),卡路士·艾拔圖·蘇沙·杜斯·山度士
Edmilson Alves,艾美臣·艾維斯
Uéslei,烏斯利·雷蒙度·彭利拿·迪·施華
Dida (futebolista),迪達
Rafael Pereira da Silva (1990),拉斐尔·达·席尔瓦
Isabeli Fontana,伊莎貝莉·芳塔娜
Gilberto Silva,吉尔伯托·席尔瓦
Thiago Motta,蒂亞戈·莫塔
Felipão (treinador de futebol),路易斯·菲利佩·斯科拉里
João Gilberto,若昂·吉尔贝托
Ranieri Mazzilli,拉涅里·馬齐利
João Figueiredo,若昂·菲格雷多
Luís Fabiano,路爾斯·法比安奴
David Luiz,大衛·雷斯
Marcos Senna,马科斯·塞纳
Carlos Alberto Parreira,卡洛斯·阿尔贝托·佩雷拉
Gustavo Kuerten,古斯塔沃·库尔滕
Evair,艾巴依路
Everton Ramos da Silva,艾弗頓·拉莫斯·達·席爾瓦
Carlos Alberto Dias,卡洛斯·阿爾貝托·迪亞士
Sérgio Manoel Júnior,塞尔吉奥·马诺埃尔
Lopes Tigrão,韋寧頓·盧比斯
Ânderson Lima,安達臣·利馬
Jairzinho,雅伊济尼奥
Jean Carlo Witte,謝安·卡路·韋迪
Alcindo Sartori,艾仙度·沙杜尼
Diego de Souza Gama Silva,迪亞高·達·蘇沙·加瑪·施華
José Carlos Ferreira Filho,荷西·卡路士·費利拿·菲略
Ayrton Senna,艾爾頓·冼拿
Gil (futebolista),卡洛斯·吉尔伯托·纳西门托·席尔瓦
Aílton Gonçalves da Silva,艾尔顿·贡萨尔维斯·达席尔瓦
Grafite (futebolista),加菲迪
Robert da Silva Almeida,罗伯特·达·席尔瓦·阿尔梅达
Fellype Gabriel,菲利佩·加布里埃尔
Paulo Silas,保罗·西拉斯
Bertrand de Orléans e Bragança,贝特朗·(奥尔良-布拉干萨)
Marques (futebolista),马奎斯·巴蒂斯塔·德·阿布莱乌
Lucas Piazón,卢卡斯·皮亚松
Gilson do Amaral,基仙奴·杜·阿曼龍
Baré (futebolista),贾德尔·沃内·思平德
Rodrigo Lacerda Ramos,洛迪高·拉莫斯
Alex Rodrigo Dias da Costa,阿歷士·洛里高·迪亞士·達哥斯達
Emerson Ferreira da Rosa,埃默森·费雷拉·达罗萨
Fábio Aurélio,法比奥·奥雷利奥
Vítor Júnior,域陀·祖利亞
Dunga,邓加
Oséas,奥塞亚斯·雷斯·多斯桑托斯
Alessandro Cambalhota,亚历山德罗·坎巴尔霍塔
Eduardo Francisco da Silva Neto,艾杜亞度·法蘭斯高·達·施華·尼圖
Almir de Souza Fraga,阿尔米尔·迪·苏沙·弗拉加
André Cruz,安德烈·克鲁斯
Marcio Richardes de Andrade,馬斯奧·李察迪斯·達·安達迪
Geílson,基爾臣·迪·卡華路·蘇亞雷斯
Sandro Cardoso dos Santos,桑德罗·卡尔多索·多斯·桑托斯
Thiago Silva (futebolista),蒂亚戈·席尔瓦
Tom Jobim,安東尼奧·卡洛斯·裘賓
Vilém Flusser,維蘭·傅拉瑟
Maxwell Scherrer Cabelino Andrade,马克斯韦尔·舒尔勒·卡贝里诺·安德拉德
Denílson Pereira Neves,丹尼遜·彭利拿·尼維斯
Guimarães Rosa,若昂·吉马朗伊斯·罗萨
Sammir,森美亞
Eder Citadin Martins,埃德爾·奇塔丁·馬丁斯
Rubens Barrichello,魯本斯·巴里切羅
Maria II de Portugal,瑪麗亞二世·(葡萄牙)
Alice Braga,艾莉丝·布拉加
Morena Baccarin,莫雷纳·巴卡林
Roberto Dinamite,羅伯托·迪納米特
Thiago Alcântara,蒂亚戈·阿尔坎塔拉
Ricardo Rosset,里卡多·羅塞特
Hugo Arthuso,乌戈·亚瑟索
Cicinho,西西尼奥
Doni Marangon,多尼·亞歷山大·馬拉戈
Ricardo Zonta,里卡多·宗塔
Nelson Piquet,尼爾遜·畢奇
Adriano Imperador,阿祖安奴
Carlos Lacerda,卡洛斯·拉塞尔达
Zumbi dos Palmares,祖比·帕尔马雷斯
Marta (futebolista),玛塔
Izabel Goulart,伊莎贝尔·古拉特
Maria Esther Bueno,玛丽亚·布埃诺
Maria Amélia de Bragança,巴西公主玛丽亚·阿梅利亚
Fabiana Murer,法比亚娜·穆雷尔
Paulo Coelho,保羅·科埃略
Pelé,比利
Antônio Benedito da Silva,安东尼奥·贝内迪托·达·席尔瓦
Paulo Assunção,保羅·阿辛卡奧
Jorge de Amorim Campos,佐真奴
Josué Anunciado de Oliveira,祖素
Will Robson Emilio de Andrade,威尔·罗布森·埃米利奥·安德拉德
Elkeson,艾克森
Fernando Henrique Cardoso,费尔南多·恩里克·卡多佐
Jordana Brewster,乔丹娜·布鲁斯特
Paulo Freire,保罗·弗莱雷
Roberto Rivellino,罗伯托·里维利诺
Lucas Leiva,盧卡斯·雷瓦
Eike Batista,埃克·巴蒂斯塔
Renato Dirnei Florêncio,雷纳托·迪尔内·弗洛伦西奥
Cléo (futebolista),克莱奥
Emerson Fittipaldi,埃默松·菲蒂帕尔迪
Toninho Cerezo,托尼尼奧·塞雷佐
Lucas Di Grassi,盧卡斯·迪·格拉西
Nelson Piquet Jr.,尼爾遜·小畢奇
Sônia Braga,索尼娅·布拉加
Floriano Peixoto,弗洛里亚诺·佩绍托
Ana Beatriz Barros,安娜·貝琪茲·巴洛斯
Robson Caetano,罗布松·达席尔瓦
Oscar dos Santos Emboaba Júnior,奧斯卡·(足球運動員)
Antônio Pizzonia,安东尼奥·皮佐尼亚
Astrud Gilberto,阿斯特鲁德·吉尔贝托
Sarah Menezes,萨拉赫·梅内泽斯
Clarice Lispector,克拉丽斯·利斯佩克托
Fernando Collor,费尔南多·科洛尔·德梅洛
Gal Costa,蓋兒·柯絲塔
Belletti,儒利亚诺·贝莱蒂
Caroline Trentini,卡羅琳·特倫尼
Alex Sandro,阿歷士·辛度
Sebastião Lazaroni,塞巴斯蒂奥·拉扎罗尼
Gustavo Schiavolin,古斯塔沃·弗兰茨·斯基亚沃林
Daniel Alves,丹尼尔·阿尔维斯
Pedro Paulo Diniz,佩德羅·迪尼茲
Cristiano da Matta,克里斯蒂亚诺·达·马塔
Teliana Pereira,特莉阿娜·佩蕾拉
Gomes (futebolista),靴里奴·高美斯
Maicon Douglas Sisenando,麦孔·道格拉斯·西塞南多
Nathalia Dill,纳塞利亚·迪尔
Francisca de Bragança,弗朗西絲卡公主·(巴西)
Cristiane Rozeira,克里斯蒂安妮
Jaqueline Carvalho,杰奎琳·卡瓦略
Márcio Rafael Ferreira de Souza,拉芬拿
Casemiro Mior,米路
Orani Tempesta,奧拉尼·若望·坦佩斯塔
Rodrigo Tabata,罗德里戈·巴尔博扎·田畑
Raquel Zimmermann,慧卡·芝瑪曼
José Sarney,若泽·萨尔内
Royce Gracie,羅伊斯·格雷西
Jajá Coelho,杰克森·阿维利诺·科埃略
Geovanni,祖雲尼
Joubert Araújo Martins,若伯特·阿劳若·马丁斯
Sérgio Luís Donizetti,若昂·保罗
Márcio Rodrigues,馬格朗·(足球運動員)
Sérgio da Rocha,思齊·達·羅恰
Marcelo Vieira da Silva Júnior,马塞洛·维埃拉
Dilma Rousseff,迪爾瑪·羅塞夫
Januária de Bragança,巴西的雅努阿麗亞公主
