Xanana Gusmão,沙纳纳·古斯芒
Abel Xavier,阿贝尔·沙维尔
"Aldegundes de Bragança, condessa de Bardi",布拉干薩的阿德根迪絲
José Sócrates,若澤·蘇格拉底
Rui Machado,魯伊·馬查多
Augusta Vitória de Hohenzollern-Sigmaringen,霍亨索倫的奧古斯塔·維多利亞
Maniche,马尼切
Luísa Sobral,路易莎·索布拉尔
João Pedro da Silva Pereira,祖奧·彭利拿
Rui Manuel César Costa,鲁伊·科斯塔
Teófilo Braga,特奥菲洛·布拉加
Francisco da Costa Gomes,弗朗西斯科·達科斯塔·戈麥斯
Ederzito António Macedo Lopes,埃德尔·(葡萄牙足球运动员)
Silvestre Varela,西尔维斯特·瓦雷拉
Vitorino Antunes,維托里諾·安圖內斯
Eduardo Mondlane,爱德华多·蒙德拉纳
Manoel de Oliveira,曼諾·迪·奧利維拉
Hugo Viana,曉高·維亞拿
Petit (futebolista),佩蒂特
Simão Sabrosa,西芒·萨布罗萨
José Policarpo,若瑟·保理加布
Rui Patrício,鲁伊·帕特里西奥
Bernardino Machado,贝尔纳迪诺·马沙多
Amaury Bischoff,阿莫里·比紹夫
Cristiano Ronaldo,基斯坦奴·朗拿度
Michelle Larcher de Brito,米雪·拉莎·迪·比圖
Paulo Ferreira (futebolista),保羅·費拉拿
Ricardo Quaresma,列卡度·哥利斯馬
Joaquim de Almeida,若阿金·德阿尔梅达
José Manuel Durão Barroso,若泽·曼努埃尔·巴罗佐
Marco Caneira,馬高·簡利拿
Bruno Alves,布鲁诺·阿尔维斯
Bebé (futebolista),贝贝·(足球运动员)
Francisco Craveiro Lopes,弗朗西斯科·克拉维罗·洛佩斯
José Saramago,若泽·萨拉马戈
Marcos Aoás Corrêa,馬昆奴斯·哥利亞
Maria Teresa de Noronha,瑪莉亞·特雷莎·德·諾羅哈
Manuela Ferreira Leite,李瑪莉
José Saraiva Martins,若瑟·薩拉依瓦·瑪爾定
Telma Monteiro,特尔玛·蒙泰罗
Vanessa Fernandes,瓦妮莎·费尔南德斯
Tiago Mendes,蒂亚戈·门德斯
Ânderson Luís da Silva,路易松
António Egas Moniz,安东尼奥·埃加斯·莫尼斯
Manuel Pinto da Costa,曼努埃尔·平托·达科斯塔
Luís Miguel Brito Garcia Monteiro,米格尔·蒙泰罗
José Bosingwa,若泽·博辛瓦
António Lobo Antunes,安东尼奥·洛博·安图内斯
António de Spínola,安东尼奥·斯皮诺拉
Vítor Baía,维托尔·巴亚
Manuel Henrique Tavares Fernandes,文路爾·費南迪斯
Domingos Paciência,多明戈斯·帕西恩西亚
Artur Alves dos Reis,阿尔维斯·多斯·雷斯
Carlos Lopes (atleta),卡洛斯·洛佩斯
Rui Silva,鲁伊·席尔瓦
