Osasco,奥萨斯库
Mato Grosso do Sul,南马托格罗索州
Pelotas,佩洛塔斯
Manicoré,馬尼科雷
Embraer,巴西航空工业公司
Brasil,巴西
Campinas,坎皮纳斯
Curitiba,库里蒂巴
Fortaleza,福塔莱萨
Lista do Patrimônio Mundial no Brasil,巴西世界遺產列表
Ipatinga Futebol Clube,伊帕汀加體育會
São Paulo (estado),圣保罗州
São Paulo,聖保羅·(巴西)
Monte Roraima,罗赖马山
Língua portuguesa,葡萄牙語
Diocese de Roraima,天主教羅賴馬教區
Diocese de Osório,天主教奥索里乌教区
Caxias do Sul,南卡希亞斯
Rio Juruá,茹魯阿河
Rio Mamoré,馬莫雷河
Real (moeda brasileira),巴西雷亚尔
São José (Santa Catarina),圣若泽
Parque Nacional de Caparaó,卡帕拉奧國家公園
Porto Velho,韋柳港
Rio Araguaia,阿拉瓜亚河
Rio Japurá,雅普拉河
TV Globo,环球电视网·(巴西)
Brasília,巴西利亚
UTC−2,UTC−02:00
Fernando de Noronha,费尔南多·迪诺罗尼亚群岛
Rio Madeira,马代拉河
Sergipe,塞尔希培州
Língua iídiche,意第緒語
Distrito Federal (Brasil),聯邦區·(巴西)
Diocese de Montenegro,天主教蒙特内格鲁教区
Rio de Janeiro,里约热内卢
Ernestina (Rio Grande do Sul),埃内斯蒂娜
Planalto Brasileiro,巴西高原
Rio Negro (Amazonas),内格罗河·(亚马孙河支流)
Trópico de Capricórnio,南回归线
Ponte Rio Negro,内格罗河大桥
Amazônia,亞馬遜雨林
Lagoa Santa (Minas Gerais),聖湖鎮·(米納斯吉拉斯州)
Matinhos,马蒂尼奥斯
Diocese de Taubaté,天主教陶巴特教区
Badminton nos Jogos Pan-Americanos de 2007,2007年泛美運動會羽毛球比賽
Cascavel (Paraná),卡斯卡韋爾·(巴拉那州)
Campeonato Brasileiro de Futebol,巴西足球甲級聯賽
Rio Amazonas,亚马孙河
Grande Prêmio do Brasil,巴西大奖赛
Tocantins,托坎廷斯州
Jogos Olímpicos de Verão de 2016,2016年夏季奧林匹克運動會
Rio Xingu,欣古河
Caldas Novas,卡尔达斯诺瓦斯
Recife,累西腓
Alto Caparaó,上卡帕朗
Letões,拉脫維亞人
Rio Paraná,巴拉那河
Bagé,巴熱·(南里奧格蘭德州)
Diocese de Cruz Alta,天主教上克鲁斯教区
Crixás,克里沙斯
Carapicuíba,卡拉皮庫伊巴
Reserva (Paraná),雷塞尔瓦
Rio Purus,普魯斯河
ISO 3166-2:BR,ISO·3166-2:BR
Cruzeiro Esporte Clube,高士路體育會
Leblon,莱伯伦
Cone Sul,南錐體
Sepultura (banda),神碑合唱團
Natal (Rio Grande do Norte),纳塔尔·(巴西)
Grande Prêmio do Brasil de 1989,1989年巴西大獎賽
Universidade Federal de Minas Gerais,米纳斯吉拉斯联邦大学
Niterói,尼泰罗伊
Petrobras,巴西石油
Rio Paraguai,巴拉圭河
São José do Hortêncio,圣若泽-杜奥尔滕休
Palmas,帕尔马斯·(托坎廷斯州)
Chaco,大查科
Maringá,馬林加·(巴西)
Bom Jardim de Goiás,戈亚斯州邦雅尔丁
Paraná,巴拉那州
Clube de Regatas do Flamengo,法林明高競賽會
Estádio Olímpico Nilton Santos,尼頓·山度士奧林匹克體育場
Copa do Mundo FIFA de 1950,1950年國際足協世界盃
Macapá,马卡帕
Sinop,锡诺普·(马托格罗索州)
Grêmio Barueri,格雷米奥巴鲁埃里
Florianópolis,弗洛里亚诺波利斯
Boa Vista (Roraima),博阿维斯塔·(罗赖马州)
Grande Prêmio do Brasil de 2006,2006年巴西大奖赛
Grande Prêmio do Brasil de 2005,2005年巴西大奖赛
Parque Ibirapuera,伊比拉布埃拉公园
Shaman (banda),魔法巫醫樂團
Monumento Natural dos Morros do Pão de Açúcar e da Urca,塔糖山·(巴西)
Arquidiocese de Londrina,天主教隆德里納總教區
Diocese de Goiás,天主教戈亞斯教區
Ilha da Queimada Grande,大凱馬達島
Estádio Heriberto Hülse,埃里贝托·乌尔塞体育场
São Bernardo do Campo,圣贝尔纳多-杜坎普
Associação Atlética Ponte Preta,邦迪比達體育會
Caldazinha,卡尔达齐尼亚
Irmãos das Escolas Cristãs,喇沙會
Hino Nacional Brasileiro,巴西國歌
Pampa,彭巴草原
Grêmio Foot-Ball Porto Alegrense,甘美奧阿雷格里港足球會
Copa das Confederações FIFA de 2013,2013年洲際國家盃
Anápolis,阿纳波利斯
Linha do equador,赤道
Grande Prêmio do Brasil de 2007,2007年巴西大奖赛
Grande Prêmio do Brasil de 2008,2008年巴西大奖赛
Grande Prêmio do Brasil de 2009,2009年巴西大奖赛
Grande Prêmio do Brasil de 2010,2010年巴西大奖赛
Grande Prêmio do Brasil de 2012,2012年巴西大奖赛
Grande Prêmio do Brasil de 2011,2011年巴西大奖赛
Tramandaí,特拉曼达伊
Lituanos,立陶宛人
Gloster Meteor,格罗斯特流星战斗机
Brasil nos Jogos Olímpicos de Verão de 2008,2008年夏季奥林匹克运动会巴西代表团
Brasil nos Jogos Olímpicos de Verão de 2012,2012年夏季奧林匹克運動會巴西代表團
Casamento entre pessoas do mesmo sexo no Brasil,巴西同性婚姻
Rio Uruguai,烏拉圭河
Rio Içá,普圖馬約河
Figueirense Futebol Clube,費古倫斯足球會
Águas de Santa Bárbara,阿瓜斯-迪圣巴巴拉
Ciclone Catarina,颶風卡塔琳娜
Grande Prêmio do Brasil de 2000,2000年巴西大奖赛
Sport Club do Recife,利斯菲體育會
Grande Prêmio do Brasil de 2001,2001年巴西大獎賽
Grande Prêmio do Brasil de 2002,2002年巴西大奖赛
Grande Prêmio do Brasil de 2004,2004年巴西大奖赛
Grande Prêmio do Brasil de 2003,2003年巴西大奖赛
Presidente Lucena,卢塞纳总统城
São Domingos (Paraíba),圣多明戈斯-迪蓬巴尔
Baía de Guanabara,瓜纳巴拉湾
Encantado,恩坎塔杜
Diocese de Itaguaí,天主教伊塔瓜伊教区
Diocese de Blumenau,天主教布卢梅瑙教区
Rio São Francisco,聖弗朗西斯科河
Guarulhos,瓜鲁柳斯
Olinda,奧林達
São Luís (Maranhão),圣路易斯·(马拉尼昂州)
Velódromo Municipal do Rio,巴拉自行車館
Parque Aquático Maria Lenk,瑪麗亞·蓮克水上運動中心
Diocese de Cristalândia,天主教克里斯塔兰迪亚教区
Língua hixcariana,希卡利亚纳语
Língua vêneta,威尼斯語
Língua pirarrã,皮拉罕語
Atol das Rocas,罗卡斯环礁
Nova Iguaçu,新伊瓜蘇
Universidade Estadual de Feira de Santana,費拉迪聖安娜州立大學
Rio Iguaçu,伊瓜苏河
São José dos Campos,聖若澤-杜斯坎普斯
Usina Hidrelétrica de Itaipu,伊泰普水电站
Ponta Grossa,蓬塔格羅薩
Clube Náutico Capibaribe,紐迪高體育會
Rio Acre,阿克里河
Armas Nacionais do Brasil,巴西国徽
Final do Campeonato Mundial de Clubes da FIFA de 2000,2000年國際足協世界球會錦標賽決賽
Estádio Jornalista Mário Filho,馬拉簡拿運動場
Blumenau,布盧梅瑙
Ribeirão Preto,里貝朗普雷圖
Fortaleza Esporte Clube,福塔雷薩體育會
Rio Tocantins,托坎廷斯河
Operação Condor,兀鷹行動
Sorocaba,索羅卡巴
Arquipélago de São Pedro e São Paulo,圣佩德罗和圣保罗群岩
Trindade e Martim Vaz,特林達迪和馬丁瓦斯群島
Diocese de Juína,天主教茹伊纳教区
Bauru,包鲁
Ouro Preto,欧鲁普雷图
Petrópolis,彼得罗波利斯
Ametista do Sul,南阿梅蒂斯塔
Antônio Prado,安东尼奥帕拉多
Anta Gorda,安塔戈尔达
Aratiba,阿拉蒂巴
Arambaré,阿兰巴雷
Alto Feliz,上费利兹
Amaral Ferrador,阿马拉尔费拉多尔
Arroio do Tigre,阿罗约多蒂格雷
Copa do Mundo FIFA de 2014,2014年國際足協世界盃
Santo André (São Paulo),聖安德烈·(聖保羅州)
Liberdade (distrito de São Paulo),自由区·(圣保罗)
Água Limpa,阿瓜林帕
Água Santa (Rio Grande do Sul),阿瓜桑塔
Cristo Redentor,救世基督像
Joinville,若因维利
Pantanal,潘塔納爾濕地
São José do Rio Preto,普雷图河畔圣若泽
Londrina,隆德里納
Eliminatórias da Copa do Mundo FIFA de 2014 - Europa,2014年國際足協世界盃外圍賽·(歐洲區)
Confederação Brasileira de Futebol,巴西足球协会
Água Fria de Goiás,戈亚斯州阿瓜夫里亚
Carnaval do Rio de Janeiro,里约狂欢节
