Hebe Camargo,赫柏·卡马戈
Leandro Damião,莱安德罗·达米安
Edevaldo de Freitas,埃迪瓦爾多
Gustavo Tsuboi,古斯塔夫·坪井
João Carlos dos Santos,若昂·卡洛斯·多斯桑托斯
Ayrton Senna,艾爾頓·冼拿
Carlos Alexandre Souza Silva,卡洛斯·阿歷山大·蘇沙·施華
Reinaldo da Cruz Oliveira Nascimento,連拿度·達·告魯斯·奧利華拉
Oscar Niemeyer,奧斯卡·尼邁耶
Luís Fernando Lojudice Martinez,路易斯·费尔南多·马丁内斯
Éverton Leandro dos Santos Pinto,艾華頓·山度士
Bruno Quadros,般奴·艾華頓·古亞度斯
Pita,埃德瓦尔多·奥利维拉·查韦斯
Helena Ignez,海伦娜·伊格涅兹
Deodoro da Fonseca,德奧多羅·達·豐塞卡
Bispo do Rosário,亞瑟·畢思坡·多羅薩裡奧
Hulk,胡尔克
Nádson Rodrigues de Souza,纳德森·罗德里格斯·德·索萨
Paulo Roberto Jamelli Júnior,保罗·贾梅利
Ralf de Souza Teles,拉尔夫·德·索萨·特莱斯
José Paulo Bezerra Maciel Junior,何塞·保罗·贝塞拉·马希尔·儒尼奥尔
Luiz Adriano,路易斯·阿德里亚诺
Ricardo Luís Pozzi Rodrigues,里卡迪尼奥
Pelé,贝利
Bernardo Fernandes da Silva,貝納多·費南迪斯·達·席爾瓦
Juan Silveira dos Santos,胡安·西尔维拉·多斯·桑托斯
Ramon Menezes,拉蒙·梅内塞斯
Henrique Soares da Costa,恩里克·苏亚雷斯·达科斯塔
Zilda Arns,齐尔达·阿恩斯
Carlos Lacerda,卡洛斯·拉塞尔达
Adriano Ferreira Martins,艾杜安奴·費利拿·馬田斯
Ricardo Alexandre dos Santos,里卡多·亚历山大·多斯·桑托斯
Alessandra Ambrósio,亞歷桑德拉·安布羅休
Guimarães Rosa,若昂·吉马朗埃斯·罗萨
Kevin Kurányi,凯文·库兰伊
Willian Borges da Silva,威廉·博尔热斯·达席尔瓦
Neuton,纽顿
Rafael Farias Tavares,馬治林
Leandro Montera da Silva,莱安德罗·蒙特拉·达席尔瓦
Edmilson dos Santos Silva,艾特美臣·度斯·山度士·施華
Neymar,内马尔·达席尔瓦
Claudiano Bezerra da Silva,加卡 (足球選手)
Juninho Pernambucano,儒尼尼奥·佩南布卡诺
Luiz Carlos Eccel,類斯·嘉祿·埃塞爾
Alexandre Pato,阿歷山大·柏圖
Júlio Baptista,儒利奥·巴普蒂斯塔
Bernard Anício Caldeira Duarte,伯纳德·阿尼西奥·卡尔德拉·杜阿尔特
Oscar dos Santos Emboaba Júnior,奥斯卡·多斯桑托斯·埃姆博阿巴·儒尼奥尔
Bebeto,白必圖
Christiane Torloni,克里斯奇安妮·托尔罗尼
Ramires,拉美利斯
Valdir Benedito,瓦尔迪尔·贝内迪托
Leandro Domingues,莱昂德罗·多明格斯·巴尔博扎
Kléber Laube Pinheiro,克莱伯·皮涅鲁
Leandro Lessa Azevedo,利沙·利安度
Márcio Miranda Freitas Rocha da Silva,马尔西奥·米兰达·弗雷塔斯·罗沙·达席尔瓦
Mário de Andrade,马里奥·安德拉德
Carlos Alberto Souza dos Santos,卡路士·艾拔圖·蘇沙·杜斯·山度士
Júlia da Silva Bruhns,茱莉亚·达·席尔瓦-布鲁恩斯
Paulo Coelho,保罗·科埃略
Nélson Luís Kerchner,尼尔森·鲁伊斯·科尔克纳
Mano Menezes,马诺·梅内塞斯
Anderson Bamba,班巴·安德森
Isabeli Fontana,伊莎貝莉·芳塔娜
Rodolfo Amoedo,魯道夫·阿莫阿多
Heitor Villa-Lobos,埃托尔·维拉-洛博斯
Dante Bonfim Costa Santos,丹特 (足球运动员)
Helmut Sick,赫爾穆特·西克
Felipe Melo,费利佩·梅洛
Antônio Naelson Matias,安东尼奥·内尔森
Glória Pires,格洛里亚·佩雷兹
Felipe Massa,菲利佩·马萨
Maria Leopoldina de Áustria,奥地利的玛丽亚·莱奥波尔迪娜
Benny Feilhaber,本尼·费尔哈伯
Zinho,津尼奥
Rafael Albuquerque,拉斐爾·阿爾布開克
Felipe Saad,費利佩·薩阿德
Eduardo Ribeiro dos Santos,爱德华多·里贝罗
Adriana Lima,阿德瑞娜·利瑪
Fernando Rech,费尔南多·雷赫
Thiago Alcântara,蒂亚戈·阿尔坎塔拉
Josué Anunciado de Oliveira,祖素
Gisele Bündchen,吉赛尔·邦辰
Roger Silva,罗杰·罗德里格斯·达·席尔瓦
Jorge Amado,若热·亚马多
Juscelino Kubitschek,儒塞利諾·庫比契克
Alexandre Paes Lopes,阿歷山大·洛佩斯
João Havelange,若昂·阿维兰热
Donizete Oliveira,多尼泽特·奥利维拉
Marcelo Vieira da Silva Júnior,马塞洛·维埃拉·达席尔瓦·儒尼奥尔
Rildo da Costa Menezes,里尔多
Marcos Aoás Corrêa,马尔基尼奥斯
Zizinho,托馬斯·蘇亞雷斯·達席爾瓦
Gilberto Silva,吉尔伯托·席尔瓦
Achim Steiner,阿齐姆·施泰纳
Ronaldinho Gaúcho,罗纳尔迪尼奥
Jussiê,帕保路加西亞
Mariano Ferreira Filho,馬里安奴
Nelson de Jesus Silva,迪達
Julio Cesar Soares Espíndola,儒利奥·塞萨尔
Brandão,埃瓦爾森·萊莫斯·達·席瓦
Eike Batista,埃克·巴蒂斯塔
Paulo Freire,保羅·弗萊雷
Bruno Mendes,布魯諾·门德斯
Cléverson Gabriel Córdova,克莱奥
Raphael Botti,拉巴爾·荷西·保迪
Edmilson Alves,艾美臣·艾華斯
Jairzinho,雅伊尔津霍
Ânderson Lima,安達臣·利馬
Pedro II do Brasil,佩德罗二世
Elano,埃拉诺
Nilmar,尼尔玛·奥诺拉托·达·席尔瓦
Grafite,加菲迪
Aílton Gonçalves da Silva,艾尔顿·贡萨尔维斯·达席尔瓦
Lúcio,盧斯奧
Nílton Santos,尼尔顿·桑托斯
Paulo Assunção,保罗·阿松桑
Jorge de Amorim Campos,若日尼奥
José Carlos Ferreira Filho,荷西·卡路士·費利拿·菲略
Wellington Nogueira Lopes de Avellar,韋寧頓·盧比斯
Diego de Souza Gama Silva,迪亞高·達·蘇沙·加瑪·施華
Renato Dirnei Florêncio,雷纳托·迪尔内·弗洛伦西奥
Ilan Araújo Dall'Igna,伊兰·阿罗约
Adilson Ferreira de Souza,艾迪臣·費利拿·迪·蘇沙
Uéslei,烏斯利·雷蒙度·彭利拿·迪·施華
Zeca Pagodinho,泽卡·帕戈丁
Jean Carlo Witte,謝安·卡路·韋迪
Zequinha de Abreu,Zequinha de Abreu
Bruno Senna,布鲁诺·塞纳
Cármen Lúcia,卡爾門·露西亞
Nathalia Dill,纳塞利亚·迪尔
Teliana Pereira,特莉阿娜·佩蕾拉
João Goulart,若昂·古拉特
Alcindo Sartori,艾仙度·沙杜尼
Geílson de Carvalho Soares,基爾臣·迪·卡華路·蘇亞雷斯
Jorge Samir Cruz Campos,萨米尔
Éder Citadin Martins,埃德爾·奇塔丁·馬丁斯
Luiz Inácio Lula da Silva,路易斯·伊纳西奥·卢拉·达席尔瓦
Sérgio da Rocha,塞爾吉奧·達·羅恰
Bruno Barreto,布魯諾·巴雷托
Thiago Silva,蒂亚戈·席尔瓦
Nelson Piquet,尼爾遜·畢奇
Adriano Leite Ribeiro,阿祖安奴
Rafael Pereira da Silva,拉斐尔·达·席尔瓦
Luís Fabiano,路易斯·法比亚诺
Getúlio Vargas,热图利奥·瓦加斯
Rubens Barrichello,魯本斯·巴里切羅
Maurício Gugelmin,毛里西奧·古熱爾明
Raul Boesel,劳尔·博埃塞尔
Ânderson Luís da Silva,路易松
Carlos Alberto Parreira,卡洛斯·阿尔贝托·佩雷拉
Marcio Richardes de Andrade,馬斯奧·李察迪斯·達·安達迪
Gustavo Kuerten,古斯塔沃·库尔滕
Ataliba,卡路士·伊度亞度·蘇亞斯
Sandro Cardoso dos Santos,桑德罗·卡尔多索·多斯·桑托斯
Carlos Alberto Costa Dias,卡洛斯·阿爾貝托·迪亞士
Sérgio Manoel Júnior,塞尔吉奥·马诺埃尔
José Maria Marin,何塞·玛丽亚·马林
Adriano Correia Claro,阿德里亚诺·科雷亚·克拉罗
Emerson Ferreira da Rosa,埃默森·费雷拉·达罗萨
Fábio Pereira da Silva,法比奥·达·席尔瓦
José Elias Moedim Júnior,澤·埃利亞斯
Breno Vinícius Rodrigues Borges,布雷诺·博格斯
Amazonino Mendes,亚马孙诺·门迪斯
Ronald Golias,罗纳德·戈里亚斯
Diego Ribas da Cunha,迭戈·里巴斯·达·库尼亚
Jorge Antônio Putinatti,約爾金霍·普提那堤
Edu Marangon,埃杜·馬拉戈
Rogério Márcio Botelho,高科
Dilma Rousseff,迪爾瑪·羅塞夫
João Gilberto,若昂·吉尔伯托
Nathalia Timberg,娜塔莉娅·廷伯格
Carlos Gilberto Nascimento Silva,卡洛斯·吉尔伯托·纳西门托·席尔瓦
Euller,烏拿
Eric Fernando Botteghin,埃里克·博特金
Giovane Élber,吉奥瓦尼·埃尔伯
Ricardo Mello,里卡多·梅洛
David Luiz,大衛·雷斯
