Augusta Vitória de Hohenzollern-Sigmaringen,奧古斯塔·維多利亞 (霍亨索倫-西格馬林根)
Abel Xavier,阿贝尔·沙维尔
"Aldegundes de Bragança, Duquesa de Guimarães",阿德根迪絲
Tomé de Barros Queirós,托梅·德巴羅斯·奎羅斯
António Lobo Antunes,安东尼奥·洛博·安图内斯
Xanana Gusmão,沙纳纳·古斯芒
José Manuel Durão Barroso,若泽·曼努埃尔·巴罗佐
Rita Blanco,丽塔·布兰科
Maria Guinot,瑪莉亞·吉諾
Marisa Matias,瑪麗莎·馬蒂亞斯
Vanessa Fernandes,瓦妮莎·费尔南德斯
Cristiano Ronaldo,克里斯蒂亚诺·罗纳尔多
Calouste Gulbenkian,C·古爾本基安
Teófilo Braga,特奧菲洛·布拉加
Telma Monteiro,泰尔玛·蒙泰罗
Diogo Freitas do Amaral,阿瑪諾
Joaquim de Almeida,喬昆迪·艾曼達
Ricardo Quaresma,里卡多·夸雷斯马
Alexandra Lencastre,亚历山德拉·伦卡斯特雷
António Egas Moniz,安东尼奥·埃加斯·莫尼斯
José Sócrates,若瑟·蘇格拉底
Adelaide Ferreira,阿德莱德
Michelle Larcher de Brito,米雪·拉莎·迪·比圖
Paulo Ferreira,保罗·费雷拉
Luísa Sobral,路易莎·索布拉尔
Célia Lawson,西莉亞·勞森
João Pedro da Silva Pereira,祖奧·彭利拿
Soledad Miranda,莎蓮·瑪琳黛
Rui Manuel César Costa,鲁伊·科斯塔
Sara Tavares,萨拉·塔瓦雷斯
Francisco da Costa Gomes,弗朗西斯科·達科斯塔·戈麥斯
Belmiro de Azevedo,貝爾米羅·德阿澤維多
Francisco Lázaro,法蘭西斯科・拉薩諾
Guerra Junqueiro,格拉·容克罗
Luisa Isabel Álvarez de Toledo,路易薩·伊莎貝爾·阿爾瓦雷斯·德·托萊多-毛拉
Vitorino Antunes,維托里諾·安圖內斯
Armindo Rodrigues de Sttau Monteiro,阿明多·蒙泰罗
António de Spínola,安东尼奥·斯皮诺拉
Silvestre Varela,西尔维斯特·瓦雷拉
António Vitorino,安东尼奥·维多利诺
António Ribeiro,安東尼·里貝羅
José Saraiva Martins,若瑟·薩拉依瓦·瑪爾定
Éderzito António Macedo Lopes,艾達·盧比斯
Camilo Pessanha,庇山耶
Ânderson Luís da Silva,路易松
Bruno Alves,布鲁诺·阿尔维斯
Manuela Bravo,曼努埃拉·巴禾
Madalena Iglésias,馬達利那·伊格萊西亞斯
Liberato Pinto,利貝拉托·平托
Henrique Hilário,亨里克·希拉里奥
Catarina Furtado,卡塔莉娜·弗塔度
Rui Machado,魯伊·馬查多
Teresa Villaverde,特雷莎·维拉芙尔德
Tiago Mendes,蒂亚戈·门德斯
Hélder Postiga,埃尔德·波斯蒂加
Joaquim Manuel Sampaio Silva,奎姆
Marcos Aoás Corrêa,马尔基尼奥斯
Manoel de Oliveira,曼諾·迪·奧利維拉
Maniche,马尼切
José Saramago,若泽·萨拉马戈
Petit,佩蒂特
Hugo Viana,曉高·維亞拿
Sidónio Pais,西多尼奥·拜斯
Frederico Gil,弗雷德里科·吉尔
Lúcia Moniz,露夏·夢妮
Amílcar Cabral,阿米爾卡·卡布拉爾
Liédson,列特臣
Carlos Mendes,卡洛斯·曼德斯
Adelino André Vieira Freitas,維埃里尼亞
Marco Caneira,馬高·簡利拿
João Vieira Pinto,祖奧·本托
Manuel de Arriaga,曼努埃爾·若澤·德·阿里亞加
Teresa Heinz Kerry,特雷莎·海因茨·克里
Nina Bratchikova,尼娜·布拉奇科娃
Francisco Craveiro Lopes,弗朗西斯科·Craveiro·洛佩斯
Jesualdo Ferreira,热苏亚尔多·费雷拉
Maria Teresa de Noronha,瑪莉亞·特雷莎·德·諾羅哈
Paulo Futre,保羅·富特雷
Bruno Martins Indi,馬田斯·恩迪
Nuno Gomes,努诺·戈梅斯
Bebé,贝贝
Rolando Jorge Pires da Fonseca,罗兰多·豪尔赫·皮雷斯·达·丰塞卡
Catarina Wallenstein,卡塔里娜·华伦斯坦
Leonor Silveira,雷奥勒·希尔维拉
Manuel Henrique Tavares Fernandes,曼努埃尔·费尔南德斯
Rui Patrício,鲁伊·帕特里西奥
Vítor Baía,维托尔·巴亚
Amália Rodrigues,亞美莉亞·羅德里奎
Artur Antunes Coimbra,济科
Fernando Gomes,費蘭度·高美斯
Fernando Manuel Costa Santos,費爾南多·桑托斯
Daniel Fernandes,丹尼爾·費南迪斯
Eduardo Mondlane,愛達杜·孟德蘭
Maria Isabel Barreno,瑪麗亞·伊莎貝爾·巴雷諾
Manuela Ferreira Leite,李瑪莉
Jorge Ribeiro,若热·里贝罗
Simão Sabrosa,西芒·萨布罗萨
Artur Virgílio Alves dos Reis,阿尔维斯·多斯里斯
Rosa Mota,羅莎·莫塔
Lúcia de Jesus dos Santos,露西亞修女
Danny,丹尼·阿尔维斯
Marcelo Caetano,馬爾塞洛·達斯內維斯·阿爾維斯·卡丹奴
Alves Barbosa,阿尔维斯·巴博萨
Maria Barroso,瑪利亞·巴羅佐
Domingos Paciência,多明戈斯·帕西恩西亚
Aníbal Cavaco Silva,阿尼巴尔·卡瓦科·席尔瓦
Rui Costa,魯伊·科斯塔
Fernando Meira,费尔南多·梅拉
William Silva de Carvalho,威廉·卡維奴
Ricardo Sá Pinto,里卡多·萨平托
Manuel Pinto da Costa,曼努埃尔·平托·达科斯塔
Luís Miguel Brito Garcia Monteiro,米格尔·蒙泰罗
Miguel Torga,米格尔·托尔加
José da Cruz Policarpo,若瑟·保理加布
Pedro Pauleta,保莱塔
Olegário Benquerença,奥莱加里欧·本奎伦卡
Pedro Passos Coelho,佩德罗·帕索斯·科埃略
Paulo Portas,保羅·波塔斯
Samora Machel,萨莫拉·马谢尔
João Moutinho,若昂·穆蒂尼奥
Eliseu,埃利塞乌·佩雷拉·多斯桑托斯
Nelson Évora,内尔松·埃沃拉
José Travassos,查華素斯
Francisco Sá Carneiro,簡尼路
Universidade de Coimbra,科英布拉大學
Ticha Penicheiro,蒂莎·佩妮谢萝
