lista do Património Mundial no Brasil,巴西世界遺產列表
Novonor,奥德布雷希特
Campinas,坎皮纳斯
Mato Grosso do Sul,南马托格罗索州
Planalto Brasileiro,巴西高原
Alto Caparaó,上卡帕朗
Osasco,奥萨斯库
Escuderia Fittipaldi,菲蒂帕尔迪车队
Rio Japurá,雅普拉河
Ipatinga Futebol Clube,伊帕廷加足球俱乐部
Embraer,巴西航空工业公司
Manicoré,馬尼科雷
Bagé,巴熱
Jogos Olímpicos de Verão de 2016,2016年夏季奥林匹克运动会
Tocantins,托坎廷斯
Brasil,巴西
Monte Roraima,罗赖马山
Curitiba,库里蒂巴
português,葡萄牙语
Inventário dos Monumentos RJ ID,里约热内卢纪念碑目录ID
Rio Xingu,欣古河
Universidade Federal de Minas Gerais,米纳斯吉拉斯联邦大学
São José,圣若泽
São Paulo,聖保羅州
Fortaleza,福塔莱萨
Povo letão,拉脫維亞人
Diocese de Roraima,天主教羅賴馬教區
Diocese de Osório,天主教奥索里乌教区
Grande Prêmio do Brasil de 2000,2000年巴西大奖赛
Grande Prêmio do Brasil de 1997,1997年巴西大獎賽
Grande Prêmio do Brasil de 1998,1998年巴西大獎賽
Grande Prêmio do Brasil de 1999,1999年巴西大獎賽
Rio Araguaia,阿拉瓜亚河
UTC−2,UTC−02:00
Rio Madeira,馬代拉河
Porto Velho,波多韦柳
Caxias do Sul,南卡希亞斯
São Paulo,聖保羅
Rio Mamoré,馬莫雷河
Pelotas,佩洛塔斯
identificador na Biblioteca Nacional do Brasil,巴西國家圖書館識別碼
Jardim Botânico do Rio de Janeiro,里約植物園
Usina Hidrelétrica de Sobradinho,Sobradinho 水壩
Grande Prêmio do Brasil de 2001,2001年巴西大獎賽
Grande Prêmio do Brasil de 2002,2002年巴西大奖赛
Grande Prêmio do Brasil de 2003,2003年巴西大奖赛
real,巴西雷亚尔
Recife,累西腓
Parque Nacional de Caparaó,卡帕拉奧國家公園
Ernestina,埃内斯蒂娜
cruzeiro novo,巴西克魯塞羅
Rio Juruá,茹魯阿河
Grande Prémio do Brasil de 2009,2009年巴西大奖赛
Grande Prêmio do Brasil de 2007,2007年巴西大奖赛
Grande Prêmio do Brasil de 2008,2008年巴西大奖赛
Fernando de Noronha,费尔南多·迪诺罗尼亚群岛
Brasil na Copa do Mundo FIFA de 1982,1982年世界杯足球赛巴西队
Caldazinha,卡尔达齐尼亚
Grande Prémio do Brasil de 1980,1980年巴西大獎賽
Hino Nacional Brasileiro,巴西國歌
Grande Prémio do Brasil de 1978,1978年巴西大獎賽
Grande Prémio do Brasil de 1977,1977年巴西大奖赛
Grande Prémio do Brasil de 1979,1979年巴西大奖赛
Grande Prêmio do Brasil de 2004,2004年巴西大奖赛
Grande Prémio do Brasil de 2005,2005年巴西大奖赛
Grande Prêmio do Brasil de 2006,2006年巴西大奖赛
Grande Prémio do Brasil,巴西大奖赛
Sergipe,塞尔希培州
número na Plataforma Lattes,Lattes平台编号
Distrito Federal,聯邦區
Diocese de Montenegro,天主教蒙特内格鲁教区
número do processo de tombamento no IPHAN,巴西国家历史和艺术遗产管理局ID
CONDEPHAAT ID,圣保罗保护历史、考古、艺术和旅游遗产委员会ID
Grande Prêmio do Brasil de 2012,2012年巴西大奖赛
Grande Prêmio do Brasil de 2010,2010年巴西大奖赛
Grande Prêmio do Brasil de 2011,2011年巴西大奖赛
Grande Prémio do Brasil de 1973,1973年巴西大奖赛
Grande Prémio do Brasil de 1974,1974年巴西大獎賽
Grande Prémio do Brasil de 1975,1975年巴西大奖赛
Grande Prémio do Brasil de 1976,1976年巴西大奖赛
Grande Prémio do Brasil de 1984,1984年巴西大奖赛
Grande Prémio do Brasil de 1981,1981年巴西大奖赛
Grande Prémio do Brasil de 1982,1982年巴西大奖赛
Grande Prémio do Brasil de 1983,1983年巴西大奖赛
Grêmio Barueri,格雷米奥巴鲁埃里
Brasil na Copa do Mundo FIFA de 1930,1930年世界杯足球赛巴西队
Rio Paraná,巴拉那河
Identificador do Patrimônio Belga no Brasil,比利时遗产在巴西的ID
São Paulo: os estrangeiros e a construção da cidade ID,圣保罗：外国人和城市建设数据库ID
Natal,纳塔尔
língua iídiche,意第緒語
Rio Negro,内格罗河
Crixás,克里沙斯
Reserva,雷塞尔瓦
Floresta amazônica,亞馬遜雨林
identificador da Câmara dos Deputados,巴西众议员编号
Rio de Janeiro,里约热内卢
Caldas Novas,卡尔达斯诺瓦斯
Carapicuíba,卡拉皮庫伊巴
Sarcófago,石棺 (樂團)
Diocese de Cruz Alta,天主教上克鲁斯教区
Copa do Mundo FIFA de 1950,1950年世界盃足球賽
Florianópolis,弗洛里亚诺波利斯
São José do Hortêncio,圣若泽-杜奥尔滕休
Rio Paraguai,巴拉圭河
Trópico de Capricórnio,南回归线
Porto de Santos,桑托斯港
Bom Jardim de Goiás,戈亚斯州邦雅尔丁
Lagoa Santa,聖湖鎮
Grande Prémio do Brasil de 1985,1985年巴西大奖赛
Grande Prémio do Brasil de 1986,1986年巴西大奖赛
Grande Prémio do Brasil de 1987,1987年巴西大奖赛
Grande Prémio do Brasil de 1988,1988年巴西大奖赛
Niterói,尼泰罗伊
Rio Uaupés,沃佩斯河
Clube Náutico Capibaribe,瑙蒂科足球俱乐部
Irmãos das Escolas Cristãs,喇沙會
Arquidiocese de Londrina,天主教隆德里納總教區
Gloster Meteor,流星战斗机
Grande Prémio do Brasil de 1992,1992年巴西大獎賽
Brasília,巴西利亚
Palmas,帕尔马斯
TV Globo,环球电视网
Paraná,巴拉那州
Grande Prémio do Brasil de 1989,1989年巴西大獎賽
Grande Prémio do Brasil de 1990,1990年巴西大獎賽
Grande Prémio do Brasil de 1991,1991年巴西大獎賽
Operação Condor,兀鷹行動
Hixkaryana,希卡利亚纳语
Língua deni,丹尼語
Língua galibi,卡利纳語
Sinop,锡诺普
Metrô de Teresina,特雷西納地鐵
Diocese de Blumenau,天主教布卢梅瑙教区
Estádio do Café,咖啡體育場
Blumenau,布盧梅瑙
Estádio do Maracanã,馬拉卡納體育場
São Luís,圣路易斯
Grande Prémio do Brasil de 1996,1996年巴西大獎賽
cruzeiro,巴西克魯賽羅
Grande Prémio do Brasil de 1993,1993年巴西大獎賽
Grande Prémio do Brasil de 1994,1994年巴西大獎賽
Grande Prémio do Brasil de 1995,1995年巴西大獎賽
Rio Purus,普魯斯河
ISO 3166-2:BR,ISO 3166-2:BR
Universidade Federal da Bahia,巴伊亚联邦大学
Olinda,奧林達
Rio São Francisco,聖弗朗西斯科河
Brasil nos Jogos Olímpicos de Verão de 2012,2012年夏季奧林匹克運動會巴西代表團
Brasil nos Jogos Olímpicos de Verão de 2008,2008年夏季奥林匹克运动会巴西代表团
Ponte Rio Negro,内格罗河大桥
Oriental Brewery,OB啤酒
Cascavel,卡斯卡韋爾
Clube de Regatas do Flamengo,弗拉门戈体育俱乐部
Estádio Nilton Santos,阿维兰热奥林匹克体育场
Santos Futebol Clube,桑托斯足球俱乐部
Macapá,馬卡帕
Velódromo da Barra,巴拉自行車館
Parque Aquático Maria Lenk,瑪麗亞·蓮克水上運動中心
Diocese de Cristalândia,天主教克里斯塔兰迪亚自治监督区
Rio Acre,阿克里河
Cristo Redentor,里約熱內盧基督像
Universidade Estadual de Feira de Santana,費拉迪聖安娜州立大學
Joinville,若因维利
Furacão Catarina,熱帶氣旋卡塔琳娜
Águas de Santa Bárbara,阿瓜斯-迪圣巴巴拉
equipe de vôlei masculino do SESI-SP,SESI São Paulo
Rio Uruguai,烏拉圭河
Reconhecimento de uniões entre pessoas do mesmo sexo no Brasil,巴西民事結合
Campeonato do Mundo de Futebol FIFA de 2014,2014年世界盃足球賽
São Bernardo do Campo,圣贝尔纳多-杜坎普
Shaman,魔法巫醫樂團
Boa Vista,博阿維斯塔
Formação Marília,馬利亞組
Aeroporto Internacional Afonso Pena,阿方索·佩納國際機場
Coronel Fabriciano,法布里西亚诺上校城
Pampas,潘帕
Diocese de São Gabriel da Cachoeira,天主教聖加布里埃爾-卡舒埃拉教區
Sport Club Internacional,國際體育會
Matinhos,马蒂尼奥斯
Badminton nos Jogos Pan-Americanos de 2007,2007年泛美運動會羽毛球比賽
Diocese de Taubaté,天主教陶巴特教区
Botafogo de Futebol e Regatas,保地花高足球競賽會
Rio Tocantins,托坎廷斯河
Teresina,特雷西納
Campeonato Brasileiro de Futebol,巴西足球甲級聯賽
Catalão,卡塔蘭
Final do Campeonato Mundial de Clubes da FIFA de 2000,2000年国际足联世界俱乐部锦标赛决赛
linha do equador,赤道
Polícia Civil do Brasil,民事警察
Chaco,大查科
Guarulhos,瓜鲁柳斯
Cruzeiro Esporte Clube,高士路體育會
Diocese de Goiás,天主教戈亞斯教區
Festival do Rio,里約熱內盧國際電影節
Santos,桑托斯
rio Amazonas,亚马孙河
Planalto das Guianas,圭亚那地盾
Tramandaí,特拉曼达伊
fusos horários no Brasil,巴西時間
Leblon,莱伯伦
Pantanal,潘塔納爾濕地
Ilha Queimada Grande,大凱馬達島
nheengatu,亞馬遜通用語
Copa das Confederações de 2013,2013年洲際國家盃
Carnaval do Rio de Janeiro,里約嘉年華
Ametista do Sul,南阿梅蒂斯塔
Antônio Prado,安东尼奥帕拉多
João Pessoa,若昂佩索阿
Grêmio Football Porto Alegrense,甘美奧阿雷格里港足球會
Goiânia,戈亚尼亚
Centro Federal de Educação Tecnológica de Minas Gerais,米納斯吉拉斯科技教育聯邦中心
Maringá,馬林加
capoeira,卡波耶拉
língua pirarrã,皮拉罕語
Línguas muras,木拉語
Anta Gorda,安塔戈尔达
Sport Club Corinthians Paulista,哥連泰斯保利斯塔體育會
Língua vêneta,威尼斯語
Rio Iguaçu,伊瓜苏河
Sepultura,神碑合唱團
Sport Club do Recife,累西腓竞技俱乐部
Associação Atlética Ponte Preta,邦迪比達
Estádio Heriberto Hülse,埃里贝托·乌尔塞体育场
Petrobras,巴西石油
Pão de Açúcar,塔糖山
Vereda,韦雷达
Coroaci,科罗阿西
Parque Nacional de Ubajara,烏巴雅拉國家公園
língua guarani,瓜纳尼语
Diocese de Itaguaí,天主教伊塔瓜伊教区
Encantado,恩坎塔杜
Dilermando de Aguiar,迪勒尔曼杜-迪阿吉亚尔
Axixá,阿希沙
Cone Sul,南錐體
Petrópolis,彼得罗波利斯
Poconé,波科内
1981 no Brasil,1981年巴西
2012 no Brasil,2012年巴西
1931 no Brasil,1931年巴西
Parque Ibirapuera,伊比拉布埃拉公园
Taubaté,陶巴特
Cachoeira do Sul,南卡舒埃拉
Nova Iguaçu,新伊瓜蘇
São José do Rio Preto,普雷图河畔圣若泽
bandeira do Brasil,巴西国旗
Sorocaba,索羅卡巴
Alto Feliz,上费利兹
Ouro Preto,欧鲁普雷图
Aracaju,阿拉卡茹
Anápolis,阿纳波利斯
Arambaré,阿兰巴雷
Amaral Ferrador,阿马拉尔费拉多尔
Cataratas do Iguaçu,伊瓜苏瀑布
parque nacional do Brasil,巴西國家公園
Vitória,维多利亚
Edifício Altino Arantes,阿尔蒂诺·阿兰特斯大厦
Liberdade,自由区
Campeonato Sul-Americano de Futebol de 1919,1919年南美足球錦標賽
Condado,孔达杜
Xambioá,尚比奥阿
Maceió,马塞约
Rede Integrada de Transporte,整合交通網
São José dos Campos,聖若澤多斯坎波斯
Santo André,聖安德烈
qualificação europeia do campeonato do mundo da FIFA de 2014,2014年世界盃外圍賽
Confederação Brasileira de Futebol,巴西足球协会
MRS Logística S.A.,MRS物流公司
Lituanos,立陶宛人
Sociedade Esportiva Palmeiras,帕尔梅拉斯体育俱乐部
Brasão de armas do Brasil,巴西国徽
Usina Hidrelétrica de Itaipu,伊泰普水电站
Copa Libertadores da América de Futebol Feminino de 2012,2012年女子南美解放者杯
Salvador,萨尔瓦多
Língua aquém,夏凡特语
Pemon,佩蒙人
Edifício Copan,科潘大厦
Glória,格洛里亚
São Caetano de Odivelas,聖卡埃塔諾德奧迪韋拉斯
Fluminense Football Club,富明尼斯足球會
Nanuque,纳努克
Água Santa,阿瓜桑塔
Águas Lindas de Goiás,戈亚斯州阿瓜斯林达斯
Atol das Rocas,罗卡斯环礁
Ilha de Marajó,馬拉若島
Minas Gerais,米纳斯吉拉斯州
Rio Içá,普圖馬約河
Figueirense Futebol Clube,費古倫斯足球會
Igreja de Nossa Senhora da Candelária,坎德拉里亚教堂
Campeonatos estaduais de futebol do Brasil,巴西各州足球联赛
Museu de Arte de São Paulo,聖保羅藝術博物館
Londrina,隆德里納
São Gonçalo,聖貢薩洛
Igreja São Francisco de Assis,圣方济各堂 (贝洛奥里藏特)
Red Bull Futebol e Entretenimento Ltda.,巴西紅牛
Capitão Gervásio Oliveira,热瓦西奥·奥利维拉上尉镇
Presidente Dutra,杜特拉總統鎮
Alegrete do Piauí,皮奥伊州波塔莱格雷
Paranapuã,帕拉纳普昂
Baía de Guanabara,瓜纳巴拉湾
Presidente Lucena,卢塞纳总统城
Jacuizinho,雅奎濟紐
Jaguari,雅瓜里
São Domingos,圣多明戈斯-迪蓬巴尔
Fortaleza Esporte Clube,福塔莱萨体育俱乐部
Itumbiara,伊通比亚拉
Campo Grande,大坎普
Ibirubá,伊比鲁巴
Duque de Caxias,卡希亞斯公爵城
Autódromo de Jacarepaguá,尼爾森·畢奇國際賽道
Rio Branco,里奥布朗库
Ijuí,伊茹伊
Salto do Jacuí,萨尔图-杜雅库里
Juiz de Fora,茹伊斯迪福拉
Paraíba,帕拉伊巴
Curupira,庫魯皮拉
Arara,阿拉拉
Cachoeira de Paulo Afonso,保罗·阿方索瀑布
Ribeirão Preto,里貝朗普雷圖
São Paulo Futebol Clube,聖保羅足球會
Campina Grande,大坎皮納
Ponta Grossa,蓬塔格羅薩
Seleção Brasileira de Voleibol Masculino,巴西國家男子排球隊
Pará,帕拉州
Força Aérea Brasileira,巴西空軍
Turiaçu,图里亚苏
Brasil na Copa do Mundo FIFA de 1994,1994年世界杯足球赛巴西队
Seleção Brasileira de Voleibol Feminino,巴西國家女子排球隊
Comissão Nacional da Verdade,国家真相委员会
Barroco no Brasil,巴西的巴洛克風格
Bauru,包鲁
Diocese de Juína,天主教茹伊纳教区
Autódromo José Carlos Pace,因特拉戈斯赛道
Ordem Nacional do Cruzeiro do Sul,南十字星勛章
Jóia,若亚
Saldanha Marinho,萨尔达尼亚马里纽
Arquipélago de São Pedro e São Paulo,圣佩德罗和圣保罗群岩
Trindade e Martim Vaz,特林達迪和馬丁瓦斯群島
Edifício Itália,意大利大厦
Cuiabá,库亚巴
Esporte Clube Bahia,巴伊亚竞技俱乐部
Feira de Santana,費拉迪聖安娜
Seleção Brasileira de Futebol,巴西國家足球隊
Caratinga,卡拉廷加
Canoas,卡諾阿斯
Lauro de Freitas,劳鲁-迪弗雷塔斯
Mogi das Cruzes,摩基达斯克鲁易斯市
São Carlos,聖卡洛斯
Aratiba,阿拉蒂巴
Arroio do Tigre,阿罗约多蒂格雷
Gama,伽马
Diamantina,迪亚曼蒂纳
Brasiléia,布拉西萊亞
São Domingos do Prata,圣多明戈斯杜普拉塔
Olímpia,奥林匹亚圣保罗
Conceição de Ipanema,康塞桑-迪伊帕内马
Alto Longá,上隆加
