Portugal,葡萄牙
Universidade do Minho,米尼奧大學
Metro do Porto,波多捷運
Rio Sabor,薩博爾河
Rio Águeda,阿圭達河
Dieta mediterrânica,地中海飲食
Ilha da Madeira,馬德拉島
Rio Mondego,蒙德古河
Tratado de Lisboa,里斯本条约
HPIP ID,葡萄牙影响力实体ID
Ponte da Lezíria,雷兹里亚桥
identificador de membro do parlamento português,葡萄牙议会议员编号
identificador PTBNP,葡萄牙國家圖書館識別碼
Casamento entre pessoas do mesmo sexo em Portugal,葡萄牙同性婚姻
Igreja dos Clérigos,教士教堂
Qualificações para o Campeonato Europeu de Futebol de 2004,2004年歐洲國家盃外圍賽
Rio Dão,当河
Rio Sorraia,索雷亞馬河
Rio Zêzere,泽济里河
língua tétum,德顿语
Lisboa,里斯本
São Caetano,圣卡埃塔诺
Sistema Central,中央山脈
judeu-português,猶太-葡萄牙語
Massacre de Lisboa de 1506,里斯本大屠殺
Metro Transportes do Sul,南塔霍都會交通
Rio Sado,薩多河
Rio Mira,米拉河
Açores,亚速尔群岛
Francesinha,葡式三明治
Montemor-o-Velho,舊蒙特莫爾
Porto,波爾圖
Algarve,阿爾加維
Alentejo,阿連特茹
Dia de São Martinho,聖瑪爾定節
Porto Santo,圣港岛
Ilhas Selvagens,萨维奇群岛
Ordem do Infante Dom Henrique,殷皇子大十字勳章
Taça de Portugal,葡萄牙盃
Vinho da Madeira,马德拉酒
Ilhas Desertas,德塞塔群岛
Sporting Clube de Braga,布拉加體育會
Comboios de Portugal,葡萄牙铁路
Torres Novas,新托里什
Sporting Clube de Portugal,里斯本竞技
euro,歐元
.pt,.pt
galego,加利西亞語
Coimbra,科英布拉
Funchal,丰沙尔
Cabo de São Vicente,圣维森特角
Braga,布拉加
Grande Prémio de Portugal,葡萄牙大獎賽
Associação Desportiva da Camacha,卡馬沙體育會
Grande Prémio de Portugal de 1993,1993年葡萄牙大獎賽
Grande Prémio de Portugal de 1994,1994年葡萄牙大獎賽
Grande Prémio de Portugal de 1995,1995年葡萄牙大獎賽
Parada,Parada (Vila do Conde)
Palácio Nacional da Pena,佩纳宫
Praia da Vitória,普拉亞達維多利亞
Murtede,穆尔特代
Ordinariato Castrense de Portugal,天主教葡萄牙軍中教長區
português,葡萄牙语
estrada europeia 802,欧洲E802公路
Região do Centro,中部大區
alcáçova,阿卡乍堡
Região Norte,北部大區
Área Metropolitana de Lisboa,里斯本大都會區
Rio Douro,杜罗河
São Martinho de Recezinhos,São Martinho de Recezinhos
Grande Prémio de Portugal de 1996,1996年葡萄牙大獎賽
Cabanelas,Cabanelas (Mirandela)
Fortaleza de Sagres,薩格里什堡
Supercopa da UEFA de 2004,2004年歐洲超級盃
Campeonato Europeu de Futebol de 2004,2004年歐洲足球錦標賽
Madeira,馬德拉
Ourique,奧里基
Campeonato Mundial de Ciclismo em Estrada de 2001,2001年公路自行车世界锦标赛
Elevador da Bica,比卡升降机
Elevador da Glória,荣耀升降机
Elevador do Lavra,修道院升降机
Mogadouro,莫加多魯
Freixo de Espada à Cinta,弗雷舒德埃什帕達阿辛塔
Póvoa de Lanhoso,波瓦迪拉尼奧蘇
asturiano,阿斯图里亚斯语
Ordem Militar da Torre e Espada,古代高貴的塔劍大十字勳章
São Salvador do Campo,圣萨尔瓦多-杜坎普
entidade intermunicipal,市際共同體
Angeja,Angeja
Estação Ferroviária de Lisboa-Santa Apolónia,聖阿波隆尼亞車站
Macaronésia,馬卡羅尼西亞
Vila do Conde,孔迪镇
Celorico da Beira,塞洛里庫達貝拉
Arcos,Arcos (Vila do Conde)
Largo do Chiado,希亚多广场
classificação do património em Portugal,葡萄牙文物分类
Seleção Portuguesa de Futebol Feminino,葡萄牙國家女子足球隊
Casa da Música,波多音樂廳
Alcaria Ruiva,Alcaria Ruiva
Canelas,Canelas (Vila Nova de Gaia)
mirandês,米兰德斯语
árabe,阿拉伯语
Torres Vedras,托雷斯韋德拉什
Vila Franca de Xira,希拉自由鎮
Vieira do Minho,米尼奧河畔維埃拉
Anjos,安若什
Terras de Bouro,特拉什杜博魯
Vimioso,維苗蘇
Celorico de Basto,塞洛里庫迪巴什圖
Rio Cávado,卡瓦多河
Chapa,沙帕
Cardanha,卡达尼亚
Rito moçárabe,摩爾阿拉伯禮
Ordem dos Frades Menores,方濟會小修士
Samões,Samões
Estradas europeias,欧洲高速公路
Rio Minho,米尼奧河
Montemor-o-Novo,新蒙特莫爾
Vila Nova de Famalicão,法馬利康新鎮
Moura,莫拉
Loures,洛里什
Carrazeda de Ansiães,卡拉澤達丹西昂伊什
Odemira,奧德米拉
Vila Nova de Foz Côa,福什科阿新鎮
Banco Português de Investimento,BPI银行
Linha do Sul,南線 (葡萄牙)
Ervidel,Ervidel
Caramos,Caramos
Soure,索雷
Angueira,Angueira
Cabrela,卡布雷拉
Península Ibérica,伊比利亚半岛
Vidigueira,維迪蓋拉
Vila Verde,韋爾迪鎮
