Setúbal,塞图巴尔
Portuguese Republic,葡萄牙
Funchal,丰沙尔
Coimbra,科英布拉
Queluz,克盧什
Sintra,辛特拉
Distrito de Setúbal,塞圖巴爾區
Distrito de Santarém,聖塔倫區
Distrito de Portalegre,波塔萊格雷區
Distrito de Lisboa,里斯本區
Distrito de Leiria,萊里亞區
Fátima,花地瑪
Distrito de Faro,法魯區
Distrito de Évora,埃武拉區
Distrito de Castelo Branco,布朗庫堡區
Cascais,卡斯凯什
Distrito de Beja,貝雅區
Ponta Delgada,蓬塔德爾加達
Madeira,馬德拉
Distrito de Viseu,維塞烏區
Distrito de Vila Real,雷阿爾城區
Vila Real,雷阿爾城
Distrito de Viana do Castelo,維亞納堡區
Distrito do Porto,波爾圖區
Distrito da Guarda,瓜達區
Distrito de Coimbra,科英布拉區
Distrito de Bragança,布拉干薩區
Distrito de Braga,布拉加區
Francisco de Sá Carneiro Airport,费尔南多·萨·卡内罗机场
Madeira Airport,克里斯蒂亚诺·罗纳尔多国际机场
Tavira,塔維拉
Santa Cruz,聖克魯斯
Sacavém,萨卡文
Cabo da Roca,罗卡角
Óbidos,奧比杜什
Iberian Peninsula,伊比利亚半岛
Câmara de Lobos,卡馬拉-德洛布什
Cabo da Roca,罗卡角
Batalha,巴塔利亞
Alcobaça,阿爾科巴薩
Abrantes,阿布兰特什
Tomar,托馬爾
Angra do Heroísmo,英雄港
Azores,亚速尔群岛
Vila do Conde,孔迪镇
Rio Tinto,里奧廷托
Póvoa de Varzim,波瓦-迪瓦爾津
Figueira da Foz,菲蓋拉-達福什
Europe,欧洲
Sines,锡尼什
São Vicente,聖維森特
São Brás de Alportel,聖布拉什迪阿爾波特爾
Nazaré,納扎雷
Calheta,卡列塔
Belém,贝伦塔
Torres Vedras,托雷斯韋德拉什
Douro,杜罗河
Nisa,尼薩
Portalegre,波塔萊格雷
Monforte,蒙福爾特
Mosteiro dos Jerónimos,熱羅尼莫斯修道院
Aveiro,阿威罗
Castelo de Paiva,派瓦堡
Santa Maria da Feira,圣玛丽亚达费拉
Mealhada,梅阿利亞達
São João da Madeira,聖若昂-達馬德拉
Sever do Vouga,沃加河畔塞維爾
Vale de Cambra,瓦萊迪坎布拉
Beja,貝雅
Odemira,奧德米拉
Serpa,塞爾帕
Braga,布拉加
Celorico de Basto,塞洛里庫迪巴什圖
Esposende,埃斯波森迪
Guimarães,基馬拉斯
Póvoa de Lanhoso,波瓦迪拉尼奧蘇
Terras de Bouro,特拉什杜博魯
Vieira do Minho,米尼奧河畔維埃拉
Vila Nova de Famalicão,法馬利康新鎮
Vila Verde,韋爾迪鎮
Vizela,維澤拉
