Inna,茵娜
George Emil Palade,喬治·埃米爾·帕拉德
Alexandra Stan,亞歷山德拉·斯坦
Alexandra Nechita,亞莉山卓·妮齊塔
Lidia Șimon,利迪娅·希蒙
Georgeta Damian,杰奥尔杰塔·安德鲁安凯
Argentina Menis,阿尔真蒂娜·梅尼斯
Vika Jigulina,維多利亞·科涅娃
Gheorghe Albu (fotbalist),格奥尔基·阿尔布
Gabriela Szabó,加布里埃拉·薩博
Angela Gheorghiu,安杰拉·乔治乌
Paul Celan,保罗·策兰
Miklós Bánffy (scriitor),班菲·米克洛斯
Roxana Scarlat,罗克萨娜·斯卡拉特
Ion C. Brătianu,扬·康斯坦丁·布勒蒂亚努
Laura Badea,劳拉·巴代亚
Tristan Tzara,卓斯坦·查拉
Liviu Librescu,利維烏·利布雷斯庫
Constantin Brâncuși,康斯坦丁·布朗庫西
Cristian Mungiu,克里斯蒂安·蒙久
Ana Pauker,安娜·波克尔
Alexandra Dulgheru,亚历山德拉·杜尔盖鲁
Iulian Filipescu,尤利安·菲利佩斯库
Nadia Comăneci,纳迪娅·科马内奇
Petre Roman,彼得·罗曼
Edward Maya,爱德华·玛雅
Victor Hănescu,維克托·哈內斯庫
Andreea Grigore,安德烈娅·格里戈雷
Angelica Adelstein-Rozeanu,安杰莉卡·罗泽亚努
Diana Chelaru (gimnastă),迪亚娜·凯拉鲁
Gheorghe Popescu,格奧爾基·樸比斯古
Ion Antonescu,扬·安东内斯库
Emil Boc,埃米尔·博克
Helmut Duckadam,赫尔穆特·杜卡达姆
Răzvan Raț,勒兹万·拉茨
Mihai Răzvan Ungureanu,米哈伊·勒兹万·温古雷亚努
Sorana Cîrstea,索拉娜·科斯蒂亚
Monica Niculescu,莫妮卡·尼古列斯庫
Andrei Pavel,安德烈·帕維爾
Maia Morgenstern,马娅·莫根施特恩
Henri Coandă,亨利·科安德
Ella Zeller,埃拉·泽勒
Sandra Izbașa,桑德拉·伊兹巴沙
Doina Ignat,多依娜·伊格纳特
Elisabeta Lipă,伊丽莎白·利珀
Eugen Ionescu,欧仁·尤内斯库
Nicolae Lupescu,尼古拉·卢佩斯库
Nicolae Văcăroiu,尼古拉·沃克罗尤
Theodor Stolojan,特奥多尔·斯托洛然
Valeriu Bularca,瓦列留·布拉尔卡
