Județul Alba,阿爾巴縣
Marea Neagră,黑海
România la Jocurile Olimpice de vară din 2012,2012年夏季奧林匹克運動會羅馬尼亞代表團
România,羅馬尼亞
Frații Școlilor Creștine,喇沙會
Brăila,布勒伊拉
Piatra-Neamț,皮亞特拉-尼亞姆茨
Pitești,皮特什蒂
Munții Carpați,喀尔巴阡山脉
Secui,塞凯伊人
Dunărea,多瑙河
Județul Constanța,康斯坦察縣
"Comuna Vârghiș, Covasna",沃爾吉什鄉
Județul Brăila,布勒伊拉縣
Mișcarea Legionară,铁卫团
Pădurile primare și bătrâne de fag din Carpați și din alte regiuni ale Europei,喀尔巴阡山脉及欧洲其它地区的原始山毛榉林
Suceava,蘇恰瓦
Zalău,扎勒乌
"Comuna Zam, Hunedoara",扎姆鄉·(胡內多阿拉縣)
Iași,雅西
România la Jocurile Olimpice de vară din 2008,2008年夏季奧林匹克運動會羅馬尼亞代表團
Județul Vâlcea,沃爾恰縣
Ocna Sibiului,錫比烏鹽礦鎮
Bistrița,比斯特里察
Județul Caraș-Severin,卡拉什-塞維林縣
Cugir,庫吉爾
Limba croată,克罗地亚语
"Comuna Brebu, Caraș-Severin",布雷布鄉·(卡拉什-塞維林縣)
Palatul Parlamentului,羅馬尼亞議會宮
Miercurea Nirajului,尼拉日河畔米耶爾庫雷亞
Tratatul de la București (1918),布加勒斯特條約·(1918年)
Județul Satu Mare,薩圖馬雷縣
Județul Vaslui,瓦斯盧伊縣
"Ungheni, Mureș",溫蓋尼·(穆列什縣)
Județul Neamț,尼亞姆茨縣
"Comuna Șoarș, Brașov",什瓦爾什鄉
Limba română,羅馬尼亞語
Limba bulgară,保加利亚语
Limba idiș,意第緒語
Bocșa,博克沙
Sărmașu,瑟爾馬舒
Oțelu Roșu,紅鋼市
Drumul european E60,欧洲E60公路
Craiova,克拉約瓦
Județul Prahova,普拉霍瓦縣
Târgoviște,特爾戈維什泰
Județul Galați,加拉茨縣
Județul Dâmbovița,登博維察縣
Limba ucraineană,乌克兰语
Reșița,雷希察
Echipa națională de fotbal a României,羅馬尼亞國家足球隊
Sângeorgiu de Pădure,聖喬治烏德珀杜雷
Bragadiru,布拉加迪魯
Județul Olt,奧爾特縣
Județul Maramureș,馬拉穆列什縣
Județul Călărași,克勒拉希縣
Bicaz,比卡茲
Motru,莫特魯
SuperLiga României,羅馬尼亞足球甲級聯賽
Rupea,魯佩亞
Jimbolia,詹博利亞
Parcul Național Cheile Nerei - Beușnița,內拉峽谷-貝烏什尼察國家公園
Limba slovacă,斯洛伐克语
Constanța,康斯坦察
Stepa euroasiatică,欧亚大草原
Pantelimon,潘泰利蒙
"Râul Barcău, Criș",巴爾克烏河
Chitila,基蒂拉
Banat,巴納特
ASA 2013 Târgu Mureș,特爾古穆列什足球俱樂部
Județul Gorj,戈爾日縣
Județul Covasna,科瓦斯納縣
Județul Sălaj,瑟拉日縣
"Comuna Cerna, Tulcea",切爾納鄉·(圖爾恰縣)
"Comuna Ormeniș, Brașov",奧爾梅尼什鄉
Râul Vaser,瓦瑟河
Limba maghiară,匈牙利语
Limba greacă,希腊语
Brașov,布拉索夫
Parcul Național Semenic - Cheile Carașului,塞梅尼克-卡拉什峽谷國家公園
Galați,加拉茨
Valahia,瓦拉幾亞
Ubisoft România,育碧罗马尼亚
Județul Harghita,哈爾吉塔縣
Județul Mureș,穆列什縣
Stema României,羅馬尼亞國徽
Județul Dolj,多爾日縣
TAROM,羅馬尼亞航空
Geografia României,羅馬尼亞地理
Tulcea,圖爾恰
Limba romani,罗姆语
Sibiu,錫比烏
Timișoara,蒂米什瓦拉
Județul Hunedoara,胡內多阿拉縣
Arad,阿拉德·(羅馬尼亞)
Alba Iulia,阿爾巴尤利亞
Județul Teleorman,特列奧爾曼縣
Județul Tulcea,圖爾恰縣
Marea Câmpie Ungară,匈牙利大平原
Județul Mehedinți,梅赫丁茨縣
Județul Ilfov,伊爾福夫縣
Parcul Național Cheile Bicazului - Hășmaș,比卡茲峽谷-赫什馬什國家公園
FC Rapid București,布加勒斯特迅速足球俱樂部
Romanian Open,提里亚克网球公开赛
Botoșani,博托沙尼
Turci,土耳其人
Focșani,福克沙尼
Nehoiu,內霍瓦
Județul Botoșani,博托沙尼縣
Muzeul Național de Istorie a României,國立羅馬尼亞歷史博物館
Nogai,諾蓋人
Vaslui,瓦斯盧伊
Săveni,瑟韋尼
Isaccea,伊薩克恰
Catedrala Sfântul Mihail din Alba Iulia,圣弥额尔主教座堂·(阿尔巴尤利亚)
Limba arabă,阿拉伯语
Oradea,奥拉迪亚
Județul Argeș,阿爾傑什縣
Ploiești,普洛耶什蒂
Județul Arad,阿拉德縣
"Cristian, Brașov",克里斯蒂安鄉·(布拉索夫縣)
Zărnești,澤爾內什蒂
Sighișoara,锡吉什瓦拉
Județul Ialomița,雅洛米察縣
Râmnicu Vâlcea,勒姆尼庫沃爾恰
Județul Bihor,比霍爾縣
Județul Bacău,巴克烏縣
FCSB,FCSB足球俱樂部
Județul Suceava,蘇恰瓦縣
Găgăuzi,加告茲人
Județul Bistrița-Năsăud,比斯特里察-訥瑟烏德縣
"Comuna Bârca, Dolj",伯爾卡鄉
Valea lui Mihai,米哈伊谷鄉
Bechet,貝凱特
Salcea,薩爾恰
