Alexandra Stan,亞歷山德拉·斯坦
Arthur Văitoianu,阿圖爾·沃伊托伊安努
Lidia Șimon,莉迪婭·西蒙
Vika Jigulina,Vika Jigulina
Argentina Menis,阿尔真蒂娜·梅尼斯
Georgeta Damian,杰奥尔杰塔·安德鲁安凯
Bogdan Lobonț,博格丹·洛邦特
Ana-Maria Avram,安娜-玛丽娅·艾弗拉姆
Gheorghe Popescu,樸比斯古
Emil Constantinescu,埃米爾·康斯坦丁奈斯科
Irina Spîrlea,伊莉娜·斯皮尔利亚
Gabriela Drăgoi,加布里埃拉·德勒戈伊
Laura Badea,劳拉·巴代亚
Gheorghe Albu,格奥尔基·阿尔布
Alexandra Nechita,亞莉山卓·妮齊塔
Octavian Goga,奥克塔维安·戈加
Lavinia Miloșovici,拉维尼娅·米洛绍维奇
Liviu Librescu,利維烏·利布雷斯庫
Daniel Prodan,丹尼尔·普罗丹
Monica Roșu,莫妮卡·羅舒
Zsolt Muzsnay,穆日瑙伊·若尔特
Elena Ceaușescu,埃列娜·齐奥塞斯库
Iolanda Balaș,約蘭達·巴拉斯
Ilie Verdeț,伊利耶·维尔德茨
Dan Bălan,丹·巴兰
Cristian Mungiu,克里斯蒂安·蒙久
Henri Coandă,亨利·科安德
Gheorghe Zamfir,喬爾治·詹斐爾
Miklós Bánffy,班菲·米克洛什
Roxana Scarlat,罗克萨娜·斯卡拉特
George Emil Palade,喬治·埃米爾·帕拉德
Victor Hănescu,維克托·哈內斯庫
Petre Roman,彼得·罗曼
Constantin Brâncuși,康斯坦丁·布朗庫西
Edward Maya,爱德华·玛雅
Dimitrie Ghica,德米特里·吉卡
Valeriu Bularca,瓦列留·布拉尔卡
Allysin Chaynes,阿利森·查恩斯
Alina Alexandra Dumitru,阿林娜·亚历山德拉·杜米特鲁
Inna,茵娜
Mircea Lucescu,米尔恰·卢塞斯库
Roman Codreanu,罗曼·科德雷亚努
Ciprian Marica,西普里安·马里卡
Panait Istrati,帕纳伊特·伊斯特拉
Cristian Dumitrescu,克里斯蒂安·杜米特雷斯库
Chivu Stoica,基伏·斯托伊卡
Sorana Cîrstea,索蘭娜·姬絲蒂亞
Simona Halep,西蒙娜·哈勒普
Daniel Spoerri,丹枇爾·史波利
György Jakubinyi,喬治·賈庫賓伊
Titu Maiorescu,T. 马约雷斯库
Viorel Moldovan,维奥雷尔·莫尔多万
Florin Piersic,弗洛林·彼耶尔西克
Ion Antonescu,扬·安东内斯库
Tristan Tzara,卓斯坦·查拉
Viorica Susanu,维奥丽卡·苏萨努
Helmut Duckadam,赫尔穆特·杜卡达姆
Răzvan Raț,拉茲萬·拉特
Petru Groza,彼得鲁·格罗查
Cătălina Ponor,卡緹琳娜·波諾爾
Nicolae Lupescu,尼古拉·卢佩斯库
Theodor Stolojan,特奥多尔·杜米特鲁·斯托洛然
Nicolae Văcăroiu,尼古拉·沃克罗尤
Ioana Raluca Olaru,拉盧卡·奧拉魯
Edina Gallovits-Hall,埃迪纳·加洛维特斯-霍尔
Iulian Filipescu,尤利安·菲利佩斯库
Gabriel Tamaș,加布里埃爾·塔馬斯
Herta Müller,赫塔·米勒
Paul Celan,保罗·策兰
Emil Boc,埃米尔·博克
Angela Gheorghiu,安杰拉·乔治乌
Dinu Lipatti,迪努·李帕蒂
Elena Georgescu,埃列娜·杰奥尔杰斯库
Corneliu Zelea Codreanu,科尔内留·泽莱亚·科德雷亚努
Constanța Burcică,康斯坦察·布尔奇克
Mihai Răzvan Ungureanu,米哈伊·勒兹万·温古雷亚努
Ion C. Brătianu,扬·康斯坦丁·布勒蒂亚努
Nadia Comăneci,纳迪娅·科马内奇
Ikechi Anya,伊克基·安亞
Gabriela Szabó,加布里埃拉·薩博
Anamaria Marinca,安娜玛丽亚·马林卡
Petre Becheru,彼得·贝克鲁
Violeta Beclea-Szekely,施沙基利
Daniela Costian,丹妮拉·科斯蒂安
Vali Ionescu,瓦莉·约内斯库
Eugen Ionescu,欧仁·尤内斯库
Adrian Năstase,阿德里安·讷斯塔塞
Alexandra Dulgheru,亚历山德拉·杜尔盖鲁
Mihai Antonescu,米海伊·安东内斯库
Iasmin Latovlevici,伊斯明·拉托夫萊維奇
Monica Niculescu,莫妮卡·尼古列斯庫
Ana Pauker,安娜·波克尔
Cristian Panin,帕寧
Aurelia Dobre,奥雷利娅·多布蕾
Elisabeta de Neuwied,伊麗莎白 (羅馬尼亞王后)
Nicolae Timofti,尼古拉·蒂莫夫蒂
Simona Amânar,西蒙娜·阿玛娜尔
Daniela Silivaș,達妮艾拉·西莉華絲
Sorin Ghionea,索林·吉奥尼亞
Ana Maria Brânză,安娜·玛丽亚·布伦泽
Stan Ioan Pătraș,斯坦·伊万·珀特拉什
Paula Seling,保拉·赛林
Sandra Romain,桑德拉·罗曼
Virginia Ruzici,弗吉尼亞·魯西奇
Alexandra Cadanțu,亚历珊德拉·卡丹图
Larisa Iordache,拉里莎·约尔达凯
Adina Ioana Vălean,阿迪娜-伊奧納·瓦蘭
Ileana Silai,伊莱亚娜·西拉伊
Vasile Dîncu,瓦西里·登库
Doina Ignat,多依娜·伊格纳特
Ovidiu Cernăuțeanu,欧威
Mircea Albulescu,米塞亚·阿尔比莱斯卡
Ana Blandiana,安娜·布兰迪亚娜
Linda Maria Baros,琳达·馬利亞·巴洛斯
Iurie Leancă,尤里·良格
Victor Ponta,维克托·蓬塔
Angelica Adelstein-Rozeanu,安積莉卡·露絲安奴
Dudu Georgescu,杜杜·杰奥尔杰斯库
György Kurtág,库塔格·捷尔吉
Vlad Munteanu,弗拉德·蒙特亞努
Cleopatra Stratan,克莱奥帕特拉·斯特拉坦
Radu Vasile,拉杜·瓦西里
Corina Crețu,柯莉娜·克雷杜
Daciana Sârbu,达西安娜·萨尔布
Ion Iliescu,扬·伊利埃斯库
Elisabeta Lipă,伊丽莎白·利珀
Emil Cioran,埃米爾·蕭沆
Andreea Acatrinei,安德烈娅·阿卡特里内伊
Pavel Badea,帕维尔·巴迪亚
Adrian Pintea,阿德里安·平提亚
Maia Morgenstern,美亞·莫根絲坦
Andrei Pavel,安德烈·帕維爾
Viorica Ursuleac,維奧里卡·烏蘇莉克
Diana Chelaru,迪安娜·凯拉鲁
Andreea Grigore,安德烈娅·格里戈雷
Sergiu Celibidache,谢尔盖·切利比达奇
Ștefan Radu,斯特凡·拉杜
Marin Moraru,馬林·莫拉魯
Alexandra Maria Lara,亚历山德拉·玛丽亚·拉那
Sandra Izbașa,桑德拉·伊兹巴沙
Ileana a României,伊萊亞娜公主 (羅馬尼亞)
Ecaterina Szabó,埃卡特琳娜·绍博
Vasile Iordache,瓦西里·约尔达凯
Călin Popescu-Tăriceanu,克林·波佩斯库-特里恰努
Adrian Voinea,阿德里安·沃伊內亞
Camelia Potec,卡梅利娅·阿林娜·波泰克
Maricica Puică,玛丽奇卡·普伊克
Beatrice Câșlaru,比阿特丽斯·克什拉鲁
Ruxandra Dragomir,德拉戈米尔
Adriana Hölszky,阿德里安娜·赫尔斯基
Harvey Keitel,哈维·凯特尔
Florica Musicescu,弗洛里卡·穆西切斯库
Valeria Răcilă,瓦列里娅·勒奇勒
Gino Iorgulescu,吉诺·约尔古列斯库
Gheorghe Hagi,格奥尔基·哈吉
Cristian Chivu,克里斯蒂安·基伏
Lucian Mureșan,祿嘉·穆列尚
Titus Corlățean,蒂图斯·科尔拉泰安
Alexandru Averescu,亚历山德鲁·阿维雷斯库
Traian Băsescu,特拉扬·伯塞斯库
Valeriu Lazarov,瓦列里乌·拉扎罗夫
Principesa Elisabeta a Romaniei,羅馬尼亞的伊莉莎白
Maria Cioncan,玛丽亚·琼坎
Irina-Camelia Begu,伊琳娜-卡梅利亞·貝古
Laurențiu Reghecampf,劳伦·尤·雷盖坎普夫
Mihaela Peneș,米哈埃拉·佩內
Anișoara Cușmir-Stanciu,阿尼什瓦拉·库什米尔-斯坦丘
Maria a României,玛丽 (爱丁堡)
Vladimir Filat,弗拉德·费拉特
Nicolae Rădescu,尼古拉·勒代斯库
László Sepsi,拉茲·薩比斯
Victor Babeș,维克多·巴贝什
Mircea Coșea,柯希亞
Ionuț Mazilu,约努茨·马济卢
Daniel Niculae,丹尼爾·尼古拉
Marcel Iancu,马塞尔·扬科
Ion Gheorghe Maurer,扬·格奥尔基·毛雷尔
Vasile Iorga,瓦西里·约尔加
Doina Melinte,依娜梅林特
Iulian Apostol,朱利安·艾斯托尔
József Dudás,杜达什·约瑟夫
Ilena Gheorghi,艾莲娜·乔治
Paula Ivan,波拉·伊萬
Gheorghe Vrănceanu,格奧爾基·弗倫斯努
Mihaela Loghin,米哈埃拉·洛金
Viorica Viscopoleanu,维奥丽卡·维斯科波莱亚努
Mihai Mălaimare Jr.,小米哈·馬拉邁爾
Ileana Cotrubaș,伊萊亞娜·柯特魯巴斯
Diana Mocanu,迪亚娜·莫卡努
Mihaela Melinte,米哈拉·梅林特
Lia Manoliu,利亞·馬諾利
Petre Dumitrescu,彼得·杜米特雷斯库
Colin Kolles,科林·科勒斯
Steve Holmes,史蒂夫·霍姆斯
Adrian Ilie,伊利耶
Ioan Fiscuteanu,约安·费斯库特阿努
Florin Răducioiu,拉度斯奧
Paul Niculescu-Mizil,保罗·尼古列斯库-米齐尔
Ella Zeller,埃拉·泽勒
Alexandru Marghiloman,亞歷山德魯·馬吉羅曼
Cristina Rus,克里斯蒂娜·鲁斯
Vasile Dîba,瓦西里·德巴
Marcel Hellman,馬歇爾·赫爾曼
Arnold Rosé,阿诺德·罗斯
Constantina Diță,康斯坦丁娜·托梅斯库·迪塔
Mihai Trăistariu,米哈伊·維維斯塔里烏
Gheorghe Funar,格奥尔格·富纳尔
Ladislau Bölöni,拉斯洛·博洛尼
Nicolae Rainea,尼古莱·莱内
Mugur Isărescu,穆古尔·伊萨雷斯库
Alexandru Papiu-Ilarian,亞歷山德魯·帕皮烏·伊拉里安
Ștefan Bănică,小斯蒂芬·巴尼卡
Petru Lucinschi,彼得·盧欽斯基
Cornel Damian,高略·達米安
Aurel Percă,奧來留·佩爾克
Adrian Mutu,阿德里安·穆图
Alina Astafei,加林娜·阿斯塔费伊
Artur Phleps,亞瑟·菲雷普斯
Jean Alexandru Steriadi,让·亚历山德鲁·斯特里亚迪
Daniel Potra,达恩·波特拉
Luminița Anghel,呂明妮塔·安格爾
Stefan W. Hell,斯特凡·W·赫尔
Ion Dincă,扬·丁卡
Ioan Silviu Suciu,伊万·西尔维乌·苏丘
Daniel Popescu,达尼埃尔·波佩斯库
Răzvan Șelariu,勒兹万·谢拉留
Vasile Miriuță,瓦西里·米留彻
Nana Falemi,納拿·拿加斯森
Adrian Ungur,阿德里安·烏格
Nicolae Dobrin,尼古拉·多布林
Iosif Czako,曹科·约瑟夫
Mălina Olinescu,馬琳娜·奧林斯庫
Zoia Ceaușescu,佐娅·齐奥塞斯库
Victor Ciorbea,维克托·乔尔贝亚
Marius Urzică,马里乌斯·乌尔济克
Loredana Boboc,洛雷达娜·博博克
Andreea Isărescu,安德烈娅·伊瑟雷斯库
Emeric Jenei,埃姆里希·耶内
Andrei Alexandrescu,Andrei Alexandrescu
Marian Simion,马里安·西米翁
Nicoleta Alexandru,尼古拉
Nicoleta Matei,尼克
Ladislau Simon,拉迪斯劳·希蒙
Jean Negulesco,浸·尼古拉可
Gheorghe Tătaru,格奥尔基·特塔鲁
George Enescu,乔治·埃内斯库
Radu Jude,拉杜·茹德
Simina Grigoriu,西米娜·格里格留
Take Ionescu,塔凱·約內斯庫
Vasile Luca,瓦西列·卢卡
Dan Lungu,丹·伦古
Fănuș Neagu,F. 内亚古
Cristian Săpunaru,克里斯蒂安·瑟普納魯
Gheorghe Benția,格奥尔基·本茨亚
