Marea Neagră,黑海
Ocna Sibiului,錫比烏鹽礦鎮
Vâlcea,沃爾恰縣
Cugir,库吉尔
România la Jocurile Olimpice de vară din 2012,2012年夏季奧林匹克運動會羅馬尼亞代表團
Alba,阿爾巴縣
Pitești,皮特什蒂
cod RAN,RAN ID
Suceava,蘇恰瓦
Pădurile primare de mesteceni din Carpați și pădurile bătrâne de fagi din Germania,喀爾巴阡山脈原始山毛櫸森林和德國古山毛櫸森林
Vârghiș,沃爾吉什鄉
Mișcarea Legionară,铁卫团
Cluj Arena,克盧日體育場
România,羅馬尼亞
Armata a 3-a Română,第3軍團
Frații Școlilor Creștine,喇沙會
Zalău,札勒烏
Bicaz,比卡茲
Constanța,康斯坦察縣
Prahova,普拉霍瓦縣
Neamț,尼亞姆茨縣
Brăila,布勒伊拉縣
România la Jocurile Olimpice de vară din 2000,2000年夏季奥林匹克运动会罗马尼亚代表团
Maramureș,馬拉穆列什縣
Iași,雅西
Rupea,魯佩亞
Jimbolia,任博利亞
Piatra Neamț,皮亞特拉-尼亞姆茨
Brăila,布勒伊拉
Caraș-Severin,卡拉什-塞維林縣
Secui,塞凯伊人
Palatul Parlamentului,羅馬尼亞人民宮
România la Jocurile Olimpice de vară din 2008,2008年夏季奧林匹克運動會羅馬尼亞代表團
Satu Mare,薩圖馬雷縣
Bistrița,比斯特里察
Zam,扎姆鄉
Șoarș,什瓦爾什鄉
Parcul Național Cheile Bicazului - Hășmaș,比卡茲峽谷-赫什馬什國家公園
Cerna,切爾納鄉
Brebu,布雷布鄉
Călărași,克勒拉希縣
geografia României,羅馬尼亞地理
Bocșa,博克沙
Parcul Național Cheile Nerei - Beușnița,內拉峽谷-貝烏什尼察國家公園
România,羅馬尼亞國家足球隊
Ungheni,溫蓋尼
Teleorman,特列奧爾曼縣
SuperLiga României,羅馬尼亞足球甲級聯賽
Motru,莫特魯
Vaslui,瓦斯盧伊縣
Dunărea,多瑙河
Târgoviște,特爾戈維什泰
Sărmașu,瑟爾馬舒
drumul european E60,欧洲E60公路
Craiova,克拉約瓦
Munții Carpați,喀爾巴阡山脈
Tratatul de la București,布加勒斯特條約
Miercurea Nirajului,尼拉日河畔米耶爾庫雷亞
Sălaj,瑟拉日縣
Harghita,哈爾吉塔縣
Vaser,瓦瑟河
Ormeniș,奧爾梅尼什鄉
Ilfov,伊爾福夫縣
limba croată,克罗地亚语
Galați,加拉茨縣
Dâmbovița,登博維察縣
Gorj,戈爾日縣
Sectorul 6,第6区
Cibin,奇宾河
Ubisoft România,育碧罗马尼亚
Olt,奧爾特縣
FC Rapid București,布加勒斯特迅速足球俱樂部
BRD Năstase Țiriac Trophy,提里亚克网球公开赛
Țara Românească,瓦拉幾亞
Stema României,羅馬尼亞國徽
Arad,阿拉德
Stepa euroasiatică,欧亚大草原
Constanța,康斯坦察
Mehedinți,梅赫丁茨縣
Mureș,穆列什縣
Parcul Național Semenic - Cheile Carașului,塞梅尼克-卡拉什峽谷國家公園
Reșița,雷希察
Nogai,諾蓋人
Râmnicu Vâlcea,勒姆尼庫沃爾恰
Ursus Breweries,乌尔苏斯啤酒
Covasna,科瓦斯納縣
ASA Târgu Mureș,特爾古穆列什足球俱樂部
TAROM,羅馬尼亞航空
Sighișoara,锡吉什瓦拉
Pantelimon,潘泰利蒙
Barcău,巴爾克烏河
Banat,巴納特
limba bulgară,保加利亞語
limba română,羅馬尼亞語
Catedrala Sfântul Mihail din Alba Iulia,圣弥额尔主教座堂
limba ucraineană,乌克兰语
Slănic-Moldova,斯勒尼克摩爾多瓦
Perieți,佩列齊鄉
Săveni,瑟韋尼
Isaccea,伊薩克恰
limba maghiară,匈牙利語
Arad,阿拉德縣
Regiunea de dezvoltare Centru,中央發展地區
Bragadiru,布拉加迪魯
Sângeorgiu de Pădure,聖喬治烏德珀杜雷
Chitila,基蒂拉
Zărnești,澤爾內什蒂
Ialomița,雅洛米察縣
Vaslui,瓦斯盧伊
Focșani,福克沙尼
Sibiu,錫比烏
Galați,加拉茨
Giurgiu,久爾久縣
Cristian,克里斯蒂安鄉
Valea lui Mihai,米哈伊谷鄉
Muzeul Național de Istorie al României,國立羅馬尼亞歷史博物館
Nehoiu,內霍瓦
Bârca,伯爾卡鄉
limba romani,罗姆语
Limba meglenoromână,梅戈来诺-罗马尼亚语
Timișoara,蒂米什瓦拉
Oradea,奥拉迪亚
Biserici fortificate din Transilvania,特兰西瓦尼亚村落及其设防的教堂
Dolj,多爾日縣
FCSB,布加勒斯特星足球俱樂部
Argeș,阿爾傑什縣
Ploiești,普洛耶什蒂
Marea Câmpie Ungară,匈牙利大平原
Hunedoara,胡內多阿拉縣
Bihor,比霍爾縣
Bacău,巴克烏縣
turci,土耳其人
Tulcea,圖爾恰縣
Tulcea,圖爾恰
Oțelu Roșu,紅鋼市
Botoșani,博托沙尼
Botoșani,博托沙尼縣
limba idiș,意第緒語
Universitatea Națională de Artă Teatrală și Cinematografică „Ion Luca Caragiale” din București,罗马尼亚国立戏剧与电影大学
