Bucharest,布加勒斯特
România,罗马尼亚
Constanţa,康斯坦察
Iaşi,雅西
Craiova,克拉約瓦
Cluj-Napoca,克卢日-纳波卡
Galaţi,加拉茨
Tulcea,圖爾恰
Târgu Jiu,特爾古日烏
Suceava,蘇恰瓦
Slatina,斯拉蒂納
Sibiu,錫比烏
Satu Mare,薩圖馬雷
Râmnicu Vâlcea,勒姆尼庫沃爾恰
Oradea,奥拉迪亚
Moldoveanu,摩尔多韦亚努峰
Buzău,布澤烏
Drobeta-Turnu Severin,德羅貝塔-塞維林堡
Alba Iulia,阿爾巴尤利亞
Zalău,札勒烏
Vaslui,瓦斯盧伊
Henri Coandă International Airport,布加勒斯特奥托佩尼-亨利·科安德国际机场
Vrancea,弗朗恰縣
Turda,圖爾達
Teleorman,特列奧爾曼縣
Suceava,蘇恰瓦縣
Roman,羅曼
Prahova,普拉霍瓦縣
Olt,奧爾特縣
Maramureş,馬拉穆列什縣
Lugoj,盧戈日
Covasna,科瓦斯納縣
Cluj,克卢日县
Caraş-Severin,卡拉什-塞維林縣
Braşov,布拉索夫縣
Botoşani,博托沙尼縣
Dolj,多爾日縣
Deva,德瓦
Bistriţa-Năsăud,比斯特里察-訥瑟烏德縣
Bârlad,伯尔拉德
Argeş,阿爾傑什縣
Alexandria,亚历山德里亚
Ilfov,伊爾福夫縣
Vâlcea,沃爾恰縣
Turnu Măgurele,圖爾努默古雷萊
Tulcea,圖爾恰縣
Târgu Secuiesc,特尔古-塞奎斯
Timiş,蒂米什縣
Tecuci,泰庫奇
Sinaia,錫納亞
Sibiu,錫比烏縣
Satu Mare,薩圖馬雷縣
Sălaj,瑟拉日縣
Săcele,瑟切萊
Rădăuți,勒德烏齊
Odorheiu Secuiesc,奧多爾黑尤-塞庫耶斯克
Neamţ,尼亞姆茨縣
Mureş,穆列什縣
Mehedinţi,梅赫丁茨縣
Medgidia,梅吉迪亞
Mangalia,曼加利亞
Constanța,康斯坦察縣
Codlea,科德萊亞
Câmpulung Moldovenesc,摩爾多瓦地區肯普隆格
Câmpina,坎皮納
Câmpia Turzii,肯皮亞圖爾濟
Cernavodă,切爾納沃德
Caracal,卡拉卡爾
Călăraşi,克勒拉希縣
Buzău,布澤烏縣
Brăila,布勒伊拉縣
Iaşi,雅西縣
Ialomiţa,雅洛米察縣
Hunedoara,胡內多阿拉縣
Gorj,戈爾日縣
Giurgiu,久爾久縣
Galaţi,加拉茨縣
Fălticeni,弗爾蒂切尼
Făgăraș,弗格拉什
Dorohoi,多羅霍伊
Dâmboviţa,登博維察縣
Dej,代日
Bihor,比霍爾縣
Bacău,巴克烏縣
Arad,阿拉德縣
Alba,阿爾巴縣
Aiud,阿尤德
Europe,欧洲
Sighișoara,锡吉什瓦拉
Zimnicea,濟姆尼恰
Vatra Dornei,瓦特拉多爾內
Valea lui Mihai,米哈伊谷鄉
Urziceni,乌尔济切尼
Târgu Ocna,特爾古奧克納
Sulina,蘇利納
Sovata,索瓦塔
Siret,錫雷特
Simeria,錫梅里亞
Salonta,薩隆塔
Reghin,雷京
Otopeni,奧托佩尼
Moldova Nouă,新摩爾多瓦
Mizil,米濟爾
Marghita,馬爾吉塔
Lipova,利波瓦
Jimbolia,任博利亞
Jibou,日博烏
Cugir,庫吉爾
Cristuru Secuiesc,達拉巴尼
Corabia,科拉比亞
Carei,卡雷
Calafat,卡拉法特
Buftea,布夫泰亞
Brad,布拉德
Borsec,博爾塞克
Ineu,伊內烏
Gherla,蓋爾拉
Gheorgheni,格奧爾蓋尼
Gătaia,格塔亞
Blaj,布拉日
Beiuş,貝尤什
Băile Herculane,伯伊萊海爾庫拉內
Agnita,阿格尼塔
Abrud,阿布鲁德
Predeal,普雷代亞爾
Olt,奧爾特河
Jiu,日烏河
Isaccea,伊薩克恰
Câmpulung,肯普隆格
Câmpeni,肯佩尼
Huedin,胡埃丁
Făget,弗傑特
Curtici,庫爾蒂奇
Ardud,阿爾杜德
Anina,阿尼納
Albac,阿尔巴克乡
Cehu Silvaniei,切胡錫爾瓦涅伊
Carpathians,咯尔巴阡山脉
