"Гройс, Борис Ефимович",鮑里斯·格羅伊斯
"Васильчикова, Татьяна Илларионовна",塔蒂亞娜·馮·梅特尼西·維納堡
Анатолий Тимофеевич Фоменко,阿纳托利·季莫费耶维奇·福缅科
Валерий Фёдорович Быковский,瓦列里·贝科夫斯基
Фёдор Михайлович Достоевский,費奧多爾·米哈伊洛維奇·陀思妥耶夫斯基
Григорий Яковлевич Перельман,格里戈里·佩雷尔曼
Виктор Ан,安賢洙
Ольга Николаевна Каниськина,奥莉加·卡尼斯金娜
Евгений Касперский,尤金·卡巴斯基
Татьяна Сергеевна Чернова,塔吉楊娜·切爾諾娃
Елена Анатольевна Лашманова,埃琳娜·拉什马诺娃
Анна Юрьевна Нетребко,安娜·涅特列布科
Сергей Юшенков,谢尔盖·尤申科夫
София Асгатовна Губайдулина,索菲娅·阿斯戈托芙娜·古拜杜丽娜
Даниэль Фридман,丹尼尔·弗里德曼
Борис Николаевич Ельцин,鲍里斯·叶利钦
Валерий Абисалович Гергиев,瓦列里·格吉耶夫
Родион Константинович Щедрин,罗季翁·康斯坦丁诺维奇·谢德林
Глюк’oZa,格露可札
Валерий Васильевич Герасимов,瓦列里·格拉西莫夫
Сергей Николаевич Лебедев,谢尔盖·列别杰夫
Сергей Михайлович Никольский,谢尔盖·尼科尔斯基
"Кисин, Евгений Игоревич",艾夫根尼·紀新
Владимир Крамник,弗拉基米尔·鲍里索维奇·克拉姆尼克
Святослав Теофилович Рихтер,斯维亚托斯拉夫·里赫特
Борис Акунин,鮑里斯·阿庫寧
Деанна Нолан,迪安娜·诺兰
"Гунина, Валентина Евгеньевна",瓦莲京娜·古尼娜
Фазу Гамзатовна Алиева,法祖·阿里耶娃
"Беляев, Спартак Тимофеевич",斯巴达克·别利亚耶夫
МакSим,马克欣
Сергей Анатольевич Тороп,維薩里翁
Сергей Александрович Кирдяпкин,谢尔盖·科德亚普金
Иван Сергеевич Ухов,伊萬·烏科夫
"Скворцов, Николай Валерьевич",尼古拉·瓦列里耶维奇·斯克沃尔佐夫
Александр Исаевич Солженицын,亚历山大·索尔仁尼琴
Эльвира Сахипзадовна Набиуллина,埃尔薇拉·纳比乌林娜
"Чичерова, Анна Владимировна",安娜·奇切洛娃
Наталья Николаевна Антюх,纳塔利娅·安秋赫
Сергей Владимирович Мандреко,谢尔盖·曼德雷科
"Смирнов, Алексей Григорьевич",阿里克谢·斯米尔诺夫
Мария Сергеевна Савинова,玛利亚·萨维诺娃
Юлия Михайловна Зарипова,尤莉婭·扎瑞波娃
Михаил Тимофеевич Калашников,米哈伊尔·季莫费耶维奇·卡拉什尼科夫
Расул Гамзатович Гамзатов,拉苏尔·伽姆扎托夫
Галина Ивановна Зыбина,加琳娜·齊賓
"Павлюченко, Роман Анатольевич",罗曼·帕夫柳琴科
Валерий Яковлевич Леонтьев,瓦列里里昂惕夫
