код игры Riot Pixels,Riot Pixels遊戲識別碼
Новгородская область,諾夫哥羅德州
Россия,俄罗斯
76-я гвардейская десантно-штурмовая дивизия,蘇聯紅軍第76禁衛空降師
код VK Play,VK Play識別碼
Нижегородская область,下诺夫哥罗德州
Смоленская область,斯摩棱斯克州
Смоленск,斯摩棱斯克
АВТОВАЗ,奧托瓦茲汽車集團
Жигулёвские горы,日古利山脈
Тверская область,特维尔州
код члена Государственной Думы Российской Федерации,国家杜马议员编号
Нева,涅瓦河
код ОКАТО,OKATO识别码
Тверь,特维尔
код человека на Кинопоиске,Kinopoisk个人编号
код в гос. регистре фильмов РФ,俄羅斯文化部電影標識符
Волга,伏尔加河
идентификатор ВКонтакте,VK賬號
Йошкар-Ола,约什卡尔奥拉
Ярославль,雅罗斯拉夫尔
Чёрное море,黑海
Абакан,阿巴坎
Иваново,伊万诺沃
код ГВР,国家水体注册码（俄罗斯）
индекс ГРАУ,俄罗斯（苏联）武器和火箭目录
Костромская область,科斯特罗马州
Москва,莫斯科
возрастной рейтинг произведения в РФ,RARS评级
код АСУЖТ (ЕСР),ESR車站代碼
Владимир,弗拉基米尔
код фильма на Кинопоиске,電影搜索電影標識符
Ивановская область,伊万诺沃州
Балтийское море,波罗的海
Владимирская область,弗拉基米尔州
Рязань,梁赞
код серии игр Игромании,Igromania系列标识符
код StopGame,StopGame識別碼
Кострома,科斯特羅馬
Ярославская область,雅羅斯拉夫爾州
код Русского Викигида / kulturnoe-nasledie.ru,kulturnoe-nasledie.ru編號
код РГБ,RSL編碼（個人）
код ГКГН,國家地理名稱目錄(俄)
Кавказские горы,高加索山脉
учётная запись в Живом Журнале,LiveJournal账号
Анабар,阿納巴爾河
Свердловская область,斯维尔德洛夫斯克州
Чебоксары,切博克萨雷
Омск,鄂木斯克
код жанра на Яндекс Музыке,Yandex曲風編號
Новосибирск,新西伯利亚
Екатеринбург,葉卡捷琳堡
Брянская область,布良斯克州
Казань,喀山
Ростов-на-Дону,顿河畔罗斯托夫
Калуга,卡盧加
код в Большой российской энциклопедии онлайн (старая версия),俄羅斯大百科全書線上編號
Тульская область,图拉州
Пенза,奔萨
