Moscow,莫斯科
Novosibirsk,新西伯利亚
Saint Petersburg,聖彼得堡
Kazan,喀山
Russian Federation,俄罗斯
Omsk,鄂木斯克
Chelyabinsk,車里雅賓斯克
Samara,薩馬拉
Rostov-na-Donu,顿河畔罗斯托夫
Yuzhno-Sakhalinsk,南萨哈林斯克
Blagoveshchensk,海兰泡
Vladivostok,海参崴
Khabarovsk,伯力
Irkutsk,伊爾庫茨克
Petropavlovsk-Kamchatsky,堪察加彼得巴甫洛夫斯克
Kyzyl,克孜勒
Khanty-Mansiysk,汉特-曼西斯克
Kemerovo,克麥羅沃
Tyumen,秋明
Tomsk,托木斯克
Barnaul,巴尔瑙尔
Cheboksary,切博克萨雷
Kaliningrad,加里寧格勒
Izhevsk,伊熱夫斯克
Smolensk,斯摩棱斯克
Petrozavodsk,彼得罗扎沃茨克
Perm,彼尔姆
Penza,奔萨
Orenburg,奥伦堡
Saratov,薩拉托夫
Volgograd,伏尔加格勒
Vladikavkaz,弗拉季高加索
Yaroslavl,雅罗斯拉夫尔
Syktyvkar,瑟克特夫卡爾
Ulyanovsk,乌里扬诺夫斯克
Ufa,烏法
Tver,特维尔
Kirov,基洛夫
Lipetsk,利佩茨克
Murmansk,摩爾曼斯克
Astrakhan,阿斯特拉罕
Nakhodka,納霍德卡
Birobidzhan,比罗比詹
Angarsk,安加尔斯克
Amur Oblast,阿穆尔州
Ulan-Ude,烏蘭烏德
Primorskiy Kray,滨海边疆区
Khabarovskiy Kray,哈巴罗夫斯克边疆区
Chita,赤塔
Sakhalin Oblast,萨哈林州
Sakhalin,库页岛
Magadan Oblast,马加丹州
Magadan,马加丹
Chukotskiy Avtonomnyy Okrug,楚科奇自治区
Anadyr,阿纳德尔
Salekhard,萨列哈尔德
Omsk Oblast,鄂木斯克州
Novosibirsk Oblast,新西伯利亚州
Novokuznetsk,新库兹涅茨克
Nizhnevartovsk,下瓦爾托夫斯克
Kurgan,库尔干
Respublika Altay,阿尔泰共和国
Chelyabinsk Oblast,車里雅賓斯克州
Yamalo-Nenetskiy Avtonomnyy Okrug,亚马尔-涅涅茨自治区
Ural Mountains,乌拉尔山脉
Tyumenskaya Oblast’,秋明州
Respublika Tyva,图瓦共和国
Sverdlovsk Oblast,斯维尔德洛夫斯克州
Altayskiy Kray,阿尔泰边疆区
Achinsk,阿钦斯克
Abakan,阿巴坎
Ivanovo,伊万诺沃
Kursk,库尔斯克
Berezniki,别列兹尼基
Belgorod,别尔哥罗德
Kostroma,科斯特羅馬
Elista,埃利斯塔
Cherepovets,切列波韋茨
Respublika Kareliya,卡累利阿共和国
Kamyshin,卡梅申
Kaluga,卡盧加
Kalmykiya,卡尔梅克共和国
Novocherkassk,新切爾卡斯克
Novaya Zemlya,新地岛
Nizhnekamsk,下卡姆斯克
Novokuybyshevsk,新古比雪夫斯克
Sochi,索契
Perm Krai,彼爾姆邊疆區
Saratovskaya Oblast,萨拉托夫州
Saransk,萨兰斯克
Rybinsk,雷宾斯克
Rostov Oblast,罗斯托夫州
Shakhty,沙赫特
Pskov,普斯科夫
Yelets,叶列茨
Vologda Oblast,沃洛格达州
Vologda,沃洛格达
Volgograd Oblast,伏爾加格勒州
Vladimir,弗拉基米尔
Vyborg,维堡
Tolyatti,陶里亚蒂
Tambov,坦波夫
Taganrog,塔甘羅格
Ukhta,乌赫塔
Tver Oblast,特维尔州
Tula,圖拉
Komi,科米共和国
Kislovodsk,基兹洛沃茨克
Kirov Oblast,基洛夫州
Magnitogorsk,马格尼托哥尔斯克
Nevinnomyssk,涅溫諾梅斯克
Nenetskiy Avtonomnyy Okrug,涅涅茨自治区
Murmansk Oblast,摩爾曼斯克州
Bashkortostan,巴什科尔托斯坦共和国
Armavir,阿爾馬維爾
Arkhangelsk Oblast,阿尔汉格尔斯克州
Yevrey (Jewish) Autonomous Oblast,犹太自治州
Bratsk,布拉茨克
Shadrinsk,沙德林斯克
Serov,谢罗夫
Rubtsovsk,魯布佐夫斯克
Norilsk,諾里爾斯克
Miass,米阿斯
Mezhdurechensk,梅日杜列琴斯克
Leninsk-Kuznetsky,列寧斯克-庫茲涅茨基
Kurgan Oblast,库尔干州
Respublika Khakasiya,哈卡斯共和国
Kansk,坎斯克
Ishim,伊希姆
Vorkuta,沃尔库塔
Verkhnyaya Pyshma,上佩什馬
Troitsk,特羅伊茨克
Surgut,蘇爾古特
Berdsk,別爾茨克
Belovo,別洛沃
Seversk,謝韋爾斯克
Vladimirskaya Oblast’,弗拉基米尔州
Respublika Mariy-El,马里埃尔共和国
Nizhny Novgorod Oblast,下诺夫哥罗德州
Glazov,格拉佐夫
Gelendzhik,格連吉克
Gatchina,加特契纳
Gubkin,古布金
Kursk Oblast,库尔斯克州
Kropotkin,克魯泡特金
Belgorod Oblast,别尔哥罗德州
Krasnodarskiy Kray,克拉斯诺达尔边疆区
Kovrov,科夫罗夫
Kostroma Oblast,科斯特罗马州
Buzuluk,布祖盧克
Bryansk Oblast,布良斯克州
Dimitrovgrad,季米特洛夫格勒
Derbent,傑爾賓特
Dagestan,达吉斯坦共和国
Kaluga Oblast,卡卢加州
Korolev,科羅廖夫
Novgorod Oblast,諾夫哥羅德州
Noginsk,諾金斯克
Odintsovo,奧金佐沃
Obninsk,奥布宁斯克
Novotroitsk,新特羅伊茨克
Novomoskovsk,新莫斯科斯克
Solikamsk,索利卡姆斯克
Smolensk Oblast,斯摩棱斯克州
Peterhof,彼得宮城
Pervouralsk,第一烏拉爾斯克
Penza Oblast,奔萨州
Orsk,奧爾斯克
Oryol Oblast,奥廖尔州
Orekhovo-Zuyevo,奧列霍沃-祖耶沃
Sarapul,萨拉普尔
Samara Oblast,萨马拉州
Salavat,薩拉瓦特
Ryazan Oblast,梁赞州
Severodvinsk,北德文斯克
Sarov,薩羅夫
Pyatigorsk,五山城
Pushkino,普希金諾
Pskov Oblast,普斯科夫州
Sterlitamak,斯捷尔利塔马克
Stavropol Kray,斯塔夫罗波尔边疆区
Yeysk,葉伊斯克
Volgodonsk,伏尔加顿斯克
Yaroslavl Oblast,雅羅斯拉夫爾州
Votkinsk,沃特金斯克
Voronezh Oblast,沃罗涅日州
Zlatoust,兹拉托乌斯特
Zelenodolsk,泽列诺多尔斯克
Tikhvin,季赫溫
Tambov Oblast,坦波夫州
Ulyanovsk Oblast,乌里扬诺夫斯克州
Respublika Mordoviya,莫尔多瓦共和国
Mineralnye Vody,礦水城
Michurinsk,米丘林斯克
Kolpino,科爾皮諾
Kolomna,科洛姆纳
Kirovo-Chepetsk,基洛沃-切佩茨克
Kineshma,基涅什马
Lyubertsy,柳別爾齊
Leningrad Oblast,列宁格勒州
Kuznetsk,庫茲涅茨克
Khimki,希姆基
Neftekamsk,涅夫捷卡姆斯克
Mytishchi,梅季希
Murom,穆罗姆
Moscow Oblast,莫斯科州
Sheremetyevo International Airport,谢列梅捷沃国际机场
Balashov,巴拉紹夫
Balashikha,巴拉希哈
Balakovo,巴拉科沃
Azov,亞速
Astrakhan Oblast,阿斯特拉罕州
Arzamas,阿爾扎馬斯
Magas,馬加斯
Vilyuchinsk,维柳钦斯克
Mirny,米尔内
Lesozavodsk,列索扎沃茨克
Krasnokamensk,克拉斯諾卡緬斯克
Belogorsk,别洛戈尔斯克
Amursk,阿穆尔斯克
Udachny,乌达奇内
Tynda,滕达
Tulun,图伦
Fokino,福基諾
Shelekhov,謝列霍夫
Partizansk,游击队城
Korsakov,科尔萨科夫
Sharypovo,沙雷波沃
Nizhneudinsk,下烏金斯克
Nazarovo,納扎羅沃
Nadym,納德姆
Minusinsk,米努辛斯克
Megion,梅吉翁
Lesosibirsk,列索西比爾斯克
Kuybyshev,古比雪夫
Kamyshlov,卡梅什洛夫
Iskitim,伊斯基季姆
Irbit,伊爾比特
Dudinka,杜金卡
Yemanzhelinsk,葉曼熱林斯克
Verkhnyaya Salda,上薩爾達
Zelenogorsk,泽列诺戈尔斯克
Tavda,塔夫達
Zavodoukovsk,扎沃多烏科夫斯克
Zarinsk,扎林斯克
Snezhinsk,斯涅任斯克
Raduzhny,拉杜日內
Barabinsk,巴拉賓斯克
Asino,阿西诺
Asbest,阿斯别斯特
Aleysk,阿列伊斯克
Neftekumsk,涅夫捷庫姆斯克
Usinsk,烏辛斯克
Borovichi,博羅維奇
Borisoglebsk,鲍里索格列布斯克
Bor,博爾
Apatity,阿帕季特
Anapa,阿纳帕
Aleksin,阿列克辛
Aleksandrov,亞歷山德羅夫
Agryz,阿格雷兹
Respublika Adygeya,阿迪格共和国
Adler,阿德列爾
Marks,馬克思鎮
Malgobek,馬爾戈別克
Gorodets,戈羅傑茨
Ivanovo Oblast,伊万诺沃州
Gusev,古謝夫
Gudermes,古傑爾梅斯
Gubakha,古巴哈
Kungur,昆古爾
Kumertau,庫梅爾套
Kstovo,克斯托沃
Krymsk,克雷姆斯克
Blagoveshchensk,布拉戈維申斯克
Birsk,比爾斯克
Beloretsk,別洛列茨克
Belorechensk,別洛列琴斯克
Belebey,別列別伊
Belaya Kholunitsa,白霍盧尼察
Krasnokamsk,克拉斯諾卡姆斯克
Krasnogorsk,克拉斯諾戈爾斯克
Krasnoarmeysk,紅軍城
Krasnoarmeysk,红军城
Kotlas,科特拉斯
Dubna,杜布纳
Chekhov,契訶夫
Chechenskaya Respublika,车臣共和国
Chapayevsk,恰帕耶夫斯克
Buguruslan,布古魯斯蘭
Donetsk,頓涅茨克
Domodedovo,多莫傑多沃
Dmitrov,德米特罗夫
Dedovsk,傑多夫斯克
Chuvashskaya Respublika,楚瓦什共和国
Chusovoy,丘索沃伊
Karachayevo-Cherkesiya,卡拉恰伊-切尔克斯共和国
Karabulak,卡拉布拉克
Kanash,卡納什
Kaliningrad Oblast,加里宁格勒州
Kalach-na-Donu,頓河畔卡拉奇
Kabardino-Balkarskaya Respublika,卡巴爾達-巴爾卡爾共和國
Novodvinsk,新德文斯克
Novoaleksandrovsk,新亞歷山德羅夫斯克
North Ossetia-Alania,北奥塞梯-阿兰共和国
Pokhvistnevo,波赫維斯特涅沃
Sovetsk,苏维埃茨克
Solnechnogorsk,索爾涅奇諾戈爾斯克
Pechory,普喬雷
Pechora,伯朝拉
Ostrogozhsk,奧斯特羅戈日斯克
Rzhev,勒熱夫
Rtishchevo,勒季謝沃
Rostov,罗斯托夫
Severomorsk,北莫爾斯克
Sestroretsk,谢斯得罗列茨克
Sertolovo,謝爾托洛夫
Revda,列夫達
Reutov,列烏托夫
Ramenskoye,拉緬斯科耶
Protvino,普羅特維諾
Svetlograd,斯韋特洛格勒
Stupino,斯图皮诺
Zainsk,扎因斯克
