Beijing,北京
Tianjin,天津
Shenzhen,深圳
Wuhan,武汉
Guangzhou,广州
Shanghai,上海市
People’s Republic of China,中国
Chengdu,成都市
Xi’an,西安
Nanjing,南京
Shenyang,沈阳
Harbin,哈尔滨
Changchun,长春市
Shijiazhuang,石家庄
Hefei,合肥市
Hangzhou,杭州市
Zhengzhou,郑州
Fuzhou,福州市
Dongguan,东莞
Chongqing,重庆市
Changsha,长沙市
Kunming,昆明市
Jinan,济南
Ürümqi,乌鲁木齐
Hohhot,呼和浩特市
Taiyuan,太原
Xining,西宁市
Xiamen,厦门市
Hainan Dao,海南
Haikou,海口
Guiyang,贵阳
Nanning,南宁
Nanchang,南昌
Zibo,淄博市
Yinchuan,银川
Foshan,佛山市
Qingdao,青岛市
Lanzhou,兰州
Suzhou,苏州
Lhasa,拉萨
Zhangjiakou,张家口
Siping,四平市
Qiqihar,齐齐哈尔
Inner Mongolia Autonomous Region,内蒙古
Liaoyang,辽阳市
Liaoning Sheng,辽宁省
Jinzhou,锦州市
Jilin Sheng,吉林
Jilin,吉林市
Jiamusi,佳木斯
Heilongjiang Sheng,黑龙江
Heihe,黑河市
Fuxin,阜新市
Fushun,抚顺市
Datong,大同市
Daqing,大庆
Dandong,丹东市
Chengde,承德市
Benxi,本溪市
Baotou,包头市
Anshan,鞍山市
Zunyi,遵义市
Zigong,自贡市
Zhuzhou,株洲
Shangqiu,商丘市
Tangshan,唐山市
Taizhou,泰州市
Sichuan Sheng,四川省
Shiyan,十堰
Xingtai,邢台
Xiaogan,孝感市
Xianyang,咸阳
Zhuhai,珠海
Xiangtan,湘潭市
Xiangyang,襄樊
Wuzhou,梧州市
Wuxi,无锡
Changde,常德
Wuhu,芜湖市
Wenzhou,温州市
Weinan,渭南
Weihai,威海
Weifang,潍坊市
Hunan Sheng,湖南
Huizhou,惠州市
Hubei Sheng,湖北省
Huangshi,黄石
Huaibei,淮北
Heze,菏泽
Hengyang,衡阳市
Henan Sheng,河南省
Hebei Sheng,河北
Handan,邯郸
Guizhou Sheng,贵州
Guilin,桂林市
Guigang,贵港市
Guangdong Sheng,广东
Yueyang,岳阳市
Ningbo,宁波
Neijiang,内江市
Nanyang,南阳市
Nantong,南通
Nanchong,南充市
Mianyang,绵阳市
Meizhou,梅州市
Meishan,眉山
Maoming,茂名
Luzhou,泸州市
Luoyang,洛阳市
Luohe,漯河市
Longyan,龙岩市
Puning,普宁市
Zhenjiang,镇江
Zhejiang Sheng,浙江
Zhaotong,昭通市
Zhaoqing,肇庆市
Zhanjiang,湛江市
Zhangzhou,漳州市
Anyang,灯塔路
Zaozhuang,枣庄市
Kunshan,玉山镇
Yunnan Sheng,云南省
Yunfu,云浮市
Yulin,玉林
Yongzhou,永州市
Yixing,宜城街道
Yichang,宜昌市
Yibin,叙府
Yantai,烟台市
Yangzhou,扬州市
Yancheng,盐城
Shangrao,上饶
Ganzhou,赣州
Gansu Sheng,甘肃省
Fuzhou,抚州市
Fuyang,阜阳市
Fujian Sheng,福建省
Dongying,胜利街道
Dazhou,达州市
Dalian,大连市
Shaoxing,绍兴市
Shaoguan,韶关市
Shanxi Sheng,山西省
Shantou,汕头
Shandong Sheng,山东省
Shaanxi,陕西
Sanya,三亚市
Jieyang,揭阳市
Quzhou,衢州市
Qujing,曲靖市
Quanzhou,泉州市
Qinzhou,钦州
Qinhuangdao,秦皇岛市
Jinjiang,晋江市
Qingyuan,清远市
Puyang,浦阳
Putian,莆田市
Pingxiang,萍乡
Pingdingshan,平顶山市
Chuzhou,滁州市
Chongqing Shi,重庆
Jiangyin,江阴市
Chaozhou,潮州市
Changzhou,常州市
Bozhou,亳州市
Bijie,毕节市
Bengbu,蚌埠市
Shaoyang,邵阳市
Baoding,保定市
Anshun,安顺市
Anqing,安庆
Linyi,临沂市
Linfen,临汾
Liaocheng,聊城市
Leshan,乐山市
Laibin,来宾
Kaifeng,开封市
Jiujiang,九江市
Jining,济宁市
Jinhua,金华
Jingzhou,荆州市
Jiaxing,嘉兴市
Jiaozuo,焦作市
Jiangxi Sheng,江西
