angela merkel,アンゲラ・メルケル,angera・merukeru
martin schulz,マルティン・シュルツ,marutin・shurutsu
franz mehring,フランツ・メーリング,furantsu・mēringu
luise rainer,ルイーゼ・ライナー,ruīze・rainā
roman neustädter,ロマン・ノイシュテッター,roman・noishutettā
klaus ernst,クラウス・エルンスト,kurausu・erunsuto
paul deussen,パウル・ドイセン,pauru・doisen
konrad adenauer,コンラート・アデナウアー,konrāto・adenauā
emre can,エムレ・ジャン,emure・jan
james krüss,ジェイムス・クリュス,jeimusu・kuryusu
franzl lang,フランツル・ラング,furantsuru・rangu
franz von stuck,フランツ・フォン・シュトゥック,furantsu・fon・shutukku
bernhard langer,ベルンハルト・ランガー,berunharuto・rangā
rudolf kriß,ルードルフ・クリス,rūdorufu・kurisu
rainer bonhof,ライナー・ボンホフ,rainā・bonhofu
albert einstein,アルベルト・アインシュタイン,aruberuto・ainshutain
robert harting,ロベルト・ハルティング,roberuto・harutingu
andreas eschbach,アンドレアス・エシュバッハ,andoreasu・eshubahha
fritz lang,フリッツ・ラング,furittsu・rangu
gerhard schröder,ゲアハルト・シュレーダー,geaharuto・shurēdā
katja ebstein,カーチャ・エプシュタイン,kācha・epushutain
joachim gauck,ヨアヒム・ガウク,yoahimu・gauku
christian wulff,クリスティアン・ヴルフ,kurisutian・vurufu
karl albrecht,カール・アルブレヒト,kāru・aruburehito
sepp maier,ゼップ・マイヤー,zeppu・maiyā
max klinger,マックス・クリンガー,makkusu・kuringā
jürgen grabowski,ユルゲン・グラボウスキ,yurugen・gurabousuki
helmut kohl,ヘルムート・コール,herumūto・kōru
patrick ebert,パトリック・エベルト,patorikku・eberuto
silvio gesell,シルビオ・ゲゼル,shirubio・gezeru
ludwig erhard,ルートヴィヒ・エアハルト,rūtovihi・eaharuto
christoph schlingensief,クリストフ・シュリンゲンズィーフ,kurisutofu・shuringenzīfu
joachim meisner,ヨアヒム・マイスナー,yoahimu・maisunā
gonzalo castro,ゴンサロ・カストロ,gonsaro・kasutoro
ferdinand tönnies,フェルディナント・テンニース,ferudinanto・tennīsu
marc forster,マーク・フォースター,māku・fōsutā
ulrike nassemeyfarth,ウルリケ・マイフェルト,ururike・maiferuto
dirk nowitzki,ダーク・ノヴィツキー,dāku・novitsukī
hanna schygulla,ハンナ・シグラ,hanna・shigura
hans wilsdorf,ハンス・ウィルスドルフ,hansu・wirusudorufu
albrecht von bayern,アルブレヒト・フォン・バイエルン,aruburehito・fon・baierun
zedd,ゼッド,zeddo
peter sloterdijk,ペーター・スローターダイク,pētā・surōtādaiku
thomas kraft,トーマス・クラフト,tōmasu・kurafuto
rudolf mößbauer,ルドルフ・メスバウアー,rudorufu・mesubauā
karl valentin,カール・ヴァレンティン,kāru・varentin
kurt georg kiesinger,クルト・ゲオルク・キージンガー,kuruto・georuku・kījingā
bernd hölzenbein,ベルント・ヘルツェンバイン,berunto・herutsenbain
helmut schmidt,ヘルムート・シュミット,herumūto・shumitto
eugen roth,オイゲン・ロート,oigen・rōto
rupert mayer,ルーペルト・マイヤー,rūperuto・maiyā
tom wlaschiha,トム・ヴラシア,tomu・vurashia
fritz walter,フリッツ・ヴァルター,furittsu・varutā
trixi worrack,トリクシー・ヴォラク,torikushī・vuォraku
ernst hartwig,エルンスト・ハルトヴィッヒ,erunsuto・harutovihhi
reinhold schünzel,ラインホルト・シュンツェル,rainhoruto・shuntseru
carl orff,カール・オルフ,kāru・orufu
werner herzog,ヴェルナー・ヘルツォーク,vuェrunā・herutsōku
horst köhler,ホルスト・ケーラー,horusuto・kērā
johannes rau,ヨハネス・ラウ,yohanesu・rau
roman herzog,ローマン・ヘルツォーク,rōman・herutsōku
stefan bötticher,シュテファン・ベティヒャー,shutefan・betihyā
manfred wolf,マンフレート・ウォルフ,manfurēto・worufu
franz xaver schwarz,フランツ・クサーヴァー・シュヴァルツ,furantsu・kusāvā・shuvarutsu
konrad bloch,コンラート・ブロッホ,konrāto・burohho
günter netzer,ギュンター・ネッツァー,gyuntā・nettsā
bastian schweinsteiger,バスティアン・シュヴァインシュタイガー,basutian・shuvainshutaigā
uli hoeneß,ウリ・ヘーネス,uri・hēnesu
bernd schuster,ベルント・シュスター,berunto・shusutā
richard von weizsäcker,リヒャルト・フォン・ヴァイツゼッカー,rihyaruto・fon・vaitsuzekkā
walter scheel,ヴァルター・シェール,varutā・shēru
karl carstens,カール・カルステンス,kāru・karusutensu
reinhard baumeister,ラインハルト・バウマイスター,rainharuto・baumaisutā
björn lindemann,ビョルン・リンデマン,byorun・rindeman
birol ünel,ビロル・ユーネル,biroru・yūneru
lothar matthäus,ローター・マテウス,rōtā・mateusu
hermann haken,ヘルマン・ハーケン,heruman・hāken
paul breitner,パウル・ブライトナー,pauru・buraitonā
rudi völler,ルディ・フェラー,rudi・ferā
oliver riedel,オリバー・リーデル,oribā・rīderu
hermann hesse,ヘルマン・ヘッセ,heruman・hesse
egon krenz,エゴン・クレンツ,egon・kurentsu
manfred gerlach,マンフレート・ゲルラッハ,manfurēto・gerurahha
heinrich lübke,ハインリヒ・リュプケ,hainrihi・ryupuke
gustav heinemann,グスタフ・ハイネマン,gusutafu・haineman
theodor heuss,テオドール・ホイス,teodōru・hoisu
herta müller,ヘルタ・ミュラー,heruta・myurā
friedrich ebert,フリードリヒ・エーベルト,furīdorihi・ēberuto
erich honecker,エーリッヒ・ホーネッカー,ērihhi・hōnekkā
walter eucken,ヴァルター・オイケン,varutā・oiken
sidney sam,シドニー・サム,shidonī・samu
uwe seeler,ウーヴェ・ゼーラー,ūvuェ・zērā
koray günter,コライ・ギュンター,korai・gyuntā
jochen rindt,ヨッヘン・リント,yohhen・rinto
oliver kirch,オリヴァー・キルヒ,orivā・kiruhi
paul von hindenburg,パウル・フォン・ヒンデンブルク,pauru・fon・hindenburuku
edmund stoiber,エドムント・シュトイバー,edomunto・shutoibā
ottmar hitzfeld,オットマー・ヒッツフェルト,ottomā・hittsuferuto
erich maria remarque,エーリヒ・マリア・レマルク,ērihi・maria・remaruku
pierre littbarski,ピエール・リトバルスキー,piēru・ritobarusukī
uwe rahn,ウーベ・ラーン,ūbe・rān
frank ordenewitz,フランク・オルデネビッツ,furanku・orudenebittsu
hans magnus enzensberger,ハンス・マグヌス・エンツェンスベルガー,hansu・magunusu・entsensuberugā
claus luthe,クラウス・ルーテ,kurausu・rūte
stefan effenberg,シュテファン・エッフェンベルク,shutefan・effenberuku
feodor lynen,フェオドル・リュネン,feodoru・ryunen
ernst otto fischer,エルンスト・オットー・フィッシャー,erunsuto・ottō・fisshā
mario gómez,マリオ・ゴメス,mario・gomesu
franz beckenbauer,フランツ・ベッケンバウアー,furantsu・bekkenbauā
georg hackl,ゲオルク・ハックル,georuku・hakkuru
sandra bullock,サンドラ・ブロック,sandora・burokku
franz josef strauß,フランツ・ヨーゼフ・シュトラウス,furantsu・yōzefu・shutorausu
horst seehofer,ホルスト・ゼーホーファー,horusuto・zēhōfā
otfried preußler,オトフリート・プロイスラー,otofurīto・puroisurā
nico,ニコ,niko
andreas ottl,アンドレアス・オットル,andoreasu・ottoru
heinrich rubens,ハインリヒ・ルーベンス,hainrihi・rūbensu
ronald pofalla,ローラント・ポファッラ,rōranto・pofarra
raphael schäfer,ラファエル・シェーファー,rafaeru・shēfā
michael glos,ミヒャエル・グロース,mihyaeru・gurōsu
sofian chahed,ソフィアン・シャヘド,sofian・shahedo
tilo gutzeit,ツィロ・グーツァイト,tsiro・gūtsaito
hermann staudinger,ヘルマン・シュタウディンガー,heruman・shutaudingā
alfred schwarzmann,アルフレート・シュヴァルツマン,arufurēto・shuvarutsuman
tim hoogland,ティム・ホーグラント,timu・hōguranto
lothar collatz,ローター・コラッツ,rōtā・korattsu
joachim löw,ヨアヒム・レーヴ,yoahimu・rēvu
ludwig mies van der rohe,ルートヴィヒ・ミース・ファン・デル・ローエ,rūtovihi・mīsu・fan・deru・rōe
bernard katz,ベルンハルト・カッツ,berunharuto・kattsu
laura ludwig,ラウラ・ルートヴィヒ,raura・rūtovihi
sebastian vettel,セバスチャン・ベッテル,sebasuchan・betteru
martin schmitt,マルティン・シュミット,marutin・shumitto
wolfgang overath,ヴォルフガング・オヴェラート,vuォrufugangu・ovuェrāto
günther beckstein,ギュンター・ベックシュタイン,gyuntā・bekkushutain
erik zabel,エリック・ツァベル,erikku・tsaberu
georg,ゲオルク,georuku
timo gebhart,ティモ・ゲプハルト,timo・gepuharuto
albert schweitzer,アルベルト・シュヴァイツァー,aruberuto・shuvaitsā
adrian sutil,エイドリアン・スーティル,eidorian・sūtiru
alfred meyer,アルフレート・マイヤー,arufurēto・maiyā
harald schmid,ハラルト・シュミット,hararuto・shumitto
elisabeth charlotte von der pfalz,エリーザベト・シャルロッテ・フォン・デア・プファルツ,erīzabeto・sharurotte・fon・dea・pufarutsu
heinrich böll,ハインリヒ・ベル,hainrihi・beru
günter grass,ギュンター・グラス,gyuntā・gurasu
heino,ハイノ,haino
stefan raab,シュテファン・ラープ,shutefan・rāpu
eugen polanski,オイゲン・ポランスキ,oigen・poransuki
adolf butenandt,アドルフ・ブーテナント,adorufu・būtenanto
wolfgang reinhold,ヴォルフガング・ラインホルト,vuォrufugangu・rainhoruto
christian weber,クリスティアン・ヴェーバー,kurisutian・vuェーbā
walter burkert,ヴァルター・ブルケルト,varutā・burukeruto
ludwig kaas,ルートヴィヒ・カース,rūtovihi・kāsu
carl gustav hempel,カール・グスタフ・ヘンペル,kāru・gusutafu・henperu
curt backeberg,クルト・バッケベルク,kuruto・bakkeberuku
martin noth,マルティン・ノート,marutin・nōto
adil chihi,アディル・シヒ,adiru・shihi
henry koster,ヘンリー・コスター,henrī・kosutā
thomas müller,トーマス・ミュラー,tōmasu・myurā
peer steinbrück,ペール・シュタインブリュック,pēru・shutainburyukku
adalbert von preußen,アーダルベルト・フォン・プロイセン,ādaruberuto・fon・puroisen
bernd eichinger,ベルント・アイヒンガー,berunto・aihingā
robert siodmak,ロバート・シオドマク,robāto・shiodomaku
werner jaeger,ヴェルナー・イェーガー,vuェrunā・yēgā
nicolas höfler,ニコラス・ヘフラー,nikorasu・hefurā
heinrich ehrler,ハインリヒ・エールラー,hainrihi・ērurā
lothar zagrosek,ローター・ツァグロセク,rōtā・tsaguroseku
gerhard stöck,ゲルハルト・シュテック,geruharuto・shutekku
karl blossfeldt,カール・ブロスフェルト,kāru・burosuferuto
reiner knizia,ライナー・クニツィア,rainā・kunitsia
valerius cordus,ヴァレリウス・コルドゥス,vareriusu・korudusu
bernhard weiß,ベルンハルト・ヴァイス,berunharuto・vaisu
hilde schrader,ヒルデ・シュレーダー,hirude・shurēdā
christina obergföll,クリスティーナ・オーバークフォル,kurisutīna・ōbākuforu
philipp lahm,フィリップ・ラーム,firippu・rāmu
linda stahl,リンダ・シュタール,rinda・shutāru
gerd müller,ゲルト・ミュラー,geruto・myurā
leonid kreutzer,レオニード・クロイツァー,reonīdo・kuroitsā
günther herbig,ギュンター・ヘルビヒ,gyuntā・herubihi
martin hengel,マルティン・ヘンゲル,marutin・hengeru
paul spiegel,パウル・シュピーゲル,pauru・shupīgeru
peter frenkel,ペーター・フレンケル,pētā・furenkeru
hubert hahne,ヒューベルト・ハーネ,hyūberuto・hāne
karl hein,カール・ハイン,kāru・hain
ernst mayr,エルンスト・マイヤー,erunsuto・maiyā
betty heidler,ベティ・ハイドラー,beti・haidorā
karl heinrich barth,カール・ハインリヒ・バルト,kāru・hainrihi・baruto
rita wilden,リタ・ウィルデン,rita・wiruden
markus söder,マルクス・ゼーダー,marukusu・zēdā
bernd schneider,ベルント・シュナイダー,berunto・shunaidā
carl von linde,カール・フォン・リンデ,kāru・fon・rinde
dorothea von brandenburgkulmbach,ドロテア・フォン・ブランデンブルク,dorotea・fon・burandenburuku
agnesmaria von andechsmeranien,アニェス・ド・メラニー,aniェsu・do・meranī
heinz keßler,ハインツ・ケスラー,haintsu・kesurā
philipp,フィリップ,firippu
rosa luxemburg,ローザ・ルクセンブルク,rōza・rukusenburuku
agnes pockels,アグネス・ポッケルス,agunesu・pokkerusu
margot frank,マルゴット・フランク,marugotto・furanku
edith frankholländer,エーディト・フランク,ēdito・furanku
günther lützow,ギュンター・リュッツオウ,gyuntā・ryuttsuou
christian vietoris,クリスチャン・ベアトリス,kurisuchan・beatorisu
otto frank,オットー・フランク,ottō・furanku
ernst lubitsch,エルンスト・ルビッチ,erunsuto・rubitchi
klaus wowereit,クラウス・ヴォーヴェライト,kurausu・vuォーvuェraito
konrad von thüringen,コンラート・フォン・テューリンゲン,konrāto・fon・tyūringen
ralf bartels,ラルフ・バーテルス,rarufu・bāterusu
kurt welter,クルト・ヴェルター,kuruto・vuェrutā
hellmuth walter,ヘルムート・ヴァルター,herumūto・varutā
nikolaus von oldenburg,ニコラウス・フォン・オルデンブルク,nikorausu・fon・orudenburuku
sabine busch,ザビーネ・ブッシュ,zabīne・busshu
manfred eicher,マンフレート・アイヒャー,manfurēto・aihyā
rüdiger safranski,リュトガー・ザフランスキー,ryutogā・zafuransukī
tommy haas,トミー・ハース,tomī・hāsu
kurt knispel,クルト・クニスペル,kuruto・kunisuperu
gustav radbruch,グスタフ・ラートブルフ,gusutafu・rātoburufu
hannelore kraft,ハンネローレ・クラフト,hannerōre・kurafuto
nadine kleinert,ナディネ・クライナート,nadine・kuraināto
otto von northeim,オットー・フォン・ノルトハイム,ottō・fon・norutohaimu
herbert eulenberg,ヘルベルト・オイレンベルク,heruberuto・oirenberuku
hans böhm,ハンス・ベーム,hansu・bēmu
paul rudolph,パウル・ルドルフ,pauru・rudorufu
max lorenz,マックス・ロレンツ,makkusu・rorentsu
günther maleuda,ギュンター・マロイダ,gyuntā・maroida
gerhard klopfer,ゲルハルト・クロップファー,geruharuto・kuroppufā
wolfgang scheidel,ヴォルフガング・シャイデル,vuォrufugangu・shaideru
wolfgang danne,ヴォルフガング・ダンネ,vuォrufugangu・danne
maro engel,マロ・エンゲル,maro・engeru
werner hamacher,ヴェルナー・ハーマッハー,vuェrunā・hāmahhā
gudrun wagner,グードルン・ワーグナー,gūdorun・wāgunā
johann wilhelm,ヨハン・ヴィルヘルム,yohan・viruherumu
karl wilhelm friedrich,カール・ヴィルヘルム・フリードリヒ,kāru・viruherumu・furīdorihi
hanns zischler,ハンス・ツィッシュラー,hansu・tsisshurā
heinz lammerding,ハインツ・ラマーディング,haintsu・ramādingu
basilius besler,バシリウス・ベスラー,bashiriusu・besurā
tatjana patitz,タチアナ・パティッツ,tachiana・patittsu
anton ulrich,アントン・ウルリヒ,anton・ururihi
ellen von unwerth,エレン・フォン・アンワース,eren・fon・anwāsu
gisela birkemeyer,ギゼラ・ビルケマイヤー,gizera・birukemaiyā
margot glockshuber,マーゴット・グロクシュバー,māgotto・gurokushubā
urban hettich,ウルバン・ヘティヒ,uruban・hetihi
bartholomäus ringwaldt,バルトロメウス・リングヴァルト,barutoromeusu・ringuvaruto
maximilian maria von thurn und taxis,マクシミリアン・マリア・フォン・トゥルン・ウント・タクシス,makushimirian・maria・fon・turun・unto・takushisu
michael schumacher,ミハエル・シューマッハ,mihaeru・shūmahha
katja seizinger,カーチャ・ザイツィンガー,kācha・zaitsingā
kurt weill,クルト・ヴァイル,kuruto・vairu
danny latza,ダニー・ラッツァ,danī・rattsa
ernst barkmann,エルンスト・バルクマン,erunsuto・barukuman
otto heckmann,オットー・ヘックマン,ottō・hekkuman
helmut gröttrup,ヘルムート・グレトルップ,herumūto・guretoruppu
justus möser,ユストゥス・メーザー,yusutusu・mēzā
ernst von salomon,エルンスト・フォン・ザロモン,erunsuto・fon・zaromon
wolfgang haken,ヴォルフガング・ハーケン,vuォrufugangu・hāken
michael karoli,ミヒャエル・カローリ,mihyaeru・karōri
hannah herzsprung,ハンナー・ヘルツシュプルング,hannā・herutsushupurungu
ralf isau,ラルフ・イーザウ,rarufu・īzau
sami khedira,サミ・ケディラ,sami・kedira
gershon kingsley,ガーション・キングスレイ,gāshon・kingusurei
wilhelm worringer,ウィルヘルム・ヴォリンガー,wiruherumu・vuォringā
hans von obstfelder,ハンス・フォン・オープストフェルダー,hansu・fon・ōpusutoferudā
erwin schrödinger,エルヴィン・シュレーディンガー,eruvin・shurēdingā
gerhard fieseler,ゲルハルト・フィーゼラー,geruharuto・fīzerā
markus rühl,マーカス・ルール,mākasu・rūru
uwe ampler,ウーヴェ・アンプラー,ūvuェ・anpurā
wolfgang hohlbein,ヴォルフガング・ホールバイン,vuォrufugangu・hōrubain
jaki liebezeit,ヤキ・リーベツァイト,yaki・rībetsaito
wilhelm marschall,ヴィルヘルム・マルシャル,viruherumu・marusharu
jakob sporrenberg,ヤーコプ・シュポレンベルク,yākopu・shuporenberuku
justus von dohnányi,ユストゥス・フォン・ドホナーニ,yusutusu・fon・dohonāni
johann andreas stein,ヨハン・アンドレアス・シュタイン,yohan・andoreasu・shutain
kurt bodewig,クルト・ボーデヴィヒ,kuruto・bōdevihi
karl joël,カール・ジョエル,kāru・joeru
engelbert humperdinck,エンゲルベルト・フンパーディンク,engeruberuto・funpādinku
max bauer,マックス・バウアー,makkusu・bauā
hans bethge,ハンス・ベートゲ,hansu・bētoge
leni riefenstahl,レニ・リーフェンシュタール,reni・rīfenshutāru
alexandra maria lara,アレクサンドラ・マリア・ララ,arekusandora・maria・rara
franka potente,フランカ・ポテンテ,furanka・potente
karoline von günderrode,カロリーネ・フォン・ギュンダーローデ,karorīne・fon・gyundārōde
werner haase,ヴェルナー・ハーゼ,vuェrunā・hāze
gertrud von sachsen,ゲルトルート・フォン・ザクセン,gerutorūto・fon・zakusen
bernhard minetti,ベルンハルト・ミネッティ,berunharuto・minetti
wim wenders,ヴィム・ヴェンダース,vimu・vuェndāsu
max ophüls,マックス・オフュルス,makkusu・ofyurusu
william dieterle,ウィリアム・ディターレ,wiriamu・ditāre
beate klarsfeld,ベアテ・クラルスフェルト,beate・kurarusuferuto
martina gedeck,マルティナ・ゲデック,marutina・gedekku
kurt beck,クルト・ベック,kuruto・bekku
gisela von schwaben,ギーゼラ・フォン・シュヴァーベン,gīzera・fon・shuvāben
philippine charlotte von preußen,フィリッピーネ・シャルロッテ・フォン・プロイセン,firippīne・sharurotte・fon・puroisen
jürgen vogel,ユルゲン・フォーゲル,yurugen・fōgeru
ulf schirmer,ウルフ・シルマー,urufu・shirumā
anton diffring,アントン・ディフリング,anton・difuringu
jürgen trittin,ユルゲン・トリッティン,yurugen・torittin
michael ballack,ミヒャエル・バラック,mihyaeru・barakku
steffi graf,シュテフィ・グラフ,shutefi・gurafu
margarethe von trotta,マルガレーテ・フォン・トロッタ,marugarēte・fon・torotta
klaus kinski,クラウス・キンスキー,kurausu・kinsukī
gerda christian,ゲルダ・クリスティアン,geruda・kurisutian
bernd förster,ベルント・フェルスター,berunto・ferusutā
hansjosef kapellmann,ユップ・カペルマン,yuppu・kaperuman
alfred eisenstaedt,アルフレッド・アイゼンスタット,arufureddo・aizensutatto
theo waigel,テオドール・ヴァイゲル,teodōru・vaigeru
gregor gysi,グレゴール・ギジ,guregōru・giji
alfred hugenberg,アルフレート・フーゲンベルク,arufurēto・fūgenberuku
gudrun ensslin,グドルン・エンスリン,gudorun・ensurin
joachim brendel,ヨアヒム・ブレンデル,yoahimu・burenderu
wilhelm ostwald,ヴィルヘルム・オストヴァルト,viruherumu・osutovaruto
joachim sauer,ヨアヒム・ザウアー,yoahimu・zauā
otto meissner,オットー・マイスナー,ottō・maisunā
karl decker,カール・デッカー,kāru・dekkā
gesine lötzsch,ゲジーネ・レッチュ,gejīne・retchu
corinna harfouch,コリンナ・ハルフォーフ,korinna・harufōfu
horst köppel,ホルスト・ケッペル,horusuto・kepperu
philipp lenard,フィリップ・レーナルト,firippu・rēnaruto
max von laue,マックス・フォン・ラウエ,makkusu・fon・raue
reinhard selten,ラインハルト・ゼルテン,rainharuto・zeruten
wilhelm wien,ヴィルヘルム・ヴィーン,viruherumu・vīn
werner naumann,ヴェルナー・ナウマン,vuェrunā・nauman
thomas dörflein,トーマス・デルフライン,tōmasu・derufurain
hansi müller,ハンジ・ミュラー,hanji・myurā
karlheinz förster,カールハインツ・フェルスター,kāruhaintsu・ferusutā
david mcallister,デイヴィッド・マカリスター,deividdo・makarisutā
theodor wisch,テオドール・ヴィッシュ,teodōru・visshu
ludwig claisen,ルートヴィヒ・クライゼン,rūtovihi・kuraizen
wilhelm,ヴィルヘルム,viruherumu
lisa kreuzer,リサ・クロイツァー,risa・kuroitsā
frank peter zimmermann,フランク・ペーター・ツィンマーマン,furanku・pētā・tsinmāman
patrick funk,パトリック・フンク,patorikku・funku
otto stern,オットー・シュテルン,ottō・shuterun
richard strauss,リヒャルト・シュトラウス,rihyaruto・shutorausu
cem özdemir,ジェム・オズデミル,jemu・ozudemiru
nelly sachs,ネリー・ザックス,nerī・zakkusu
jürgen klinsmann,ユルゲン・クリンスマン,yurugen・kurinsuman
marco werner,マルコ・ヴェルナー,maruko・vuェrunā
hans von salmuth,ハンス・フォン・ザルムート,hansu・fon・zarumūto
karl ernst,カール・エルンスト,kāru・erunsuto
ludwig biermann,ルードヴィッヒ・ビーアマン,rūdovihhi・bīaman
karl elmendorff,カール・エルメンドルフ,kāru・erumendorufu
inge borkh,インゲ・ボルク,inge・boruku
markus weinzierl,マルクス・ヴァインツィール,marukusu・vaintsīru
dietrich von hildebrand,ディートリッヒ・フォン・ヒルデブラント,dītorihhi・fon・hirudeburanto
robert schuman,ロベール・シューマン,robēru・shūman
wolfgang schäuble,ヴォルフガング・ショイブレ,vuォrufugangu・shoibure
karl genzken,カール・ゲンツケン,kāru・gentsuken
ehrenfried boege,エーレンフリート・ベーゲ,ērenfurīto・bēge
hans von greiffenberg,ハンス・フォン・グライフェンベルク,hansu・fon・guraifenberuku
joseph effner,ヨーゼフ・エフナー,yōzefu・efunā
sexy cora,セクシー・コーラ,sekushī・kōra
bruno frank,ブルーノ・フランク,burūno・furanku
manfred von brauchitsch,マンフレート・フォン・ブラウヒッチュ,manfurēto・fon・burauhitchu
helmut lipfert,ヘルムート・リップフェルト,herumūto・rippuferuto
johannes stark,ヨハネス・シュタルク,yohanesu・shutaruku
horst feistel,ホルスト・ファイステル,horusuto・faisuteru
oskar von hindenburg,オスカー・フォン・ヒンデンブルク,osukā・fon・hindenburuku
