douglas adams,ダグラス・アダムズ,dagurasu・adamuzu
john barnes,ジョン・バーンズ,jon・bānzu
patrick stewart,パトリック・スチュワート,patorikku・suchuwāto
charlie chaplin,チャールズ・チャップリン,chāruzu・chappurin
jack clayton,ジャック・クレイトン,jakku・kureiton
virginia woolf,ヴァージニア・ウルフ,vājinia・urufu
frank lloyd,フランク・ロイド,furanku・roido
hans wilsdorf,ハンス・ウィルスドルフ,hansu・wirusudorufu
alex salmond,アレックス・サモンド,arekkusu・samondo
gordon brown,ゴードン・ブラウン,gōdon・buraun
sacha baron cohen,サシャ・バロン・コーエン,sasha・baron・kōen
harold pinter,ハロルド・ピンター,harorudo・pintā
jimmy wales,ジミー・ウェールズ,jimī・wēruzu
adrian mariappa,エイドリアン・マリアッパ,eidorian・mariappa
danny graham,ダニー・グレアム,danī・gureamu
tom cleverley,トム・クレヴァリー,tomu・kurevarī
ben foster,ベン・フォスター,ben・fosutā
gavin mahon,ギャヴィン・マホン,gyavin・mahon
han suyin,ハン・スーイン,han・sūin
monty python,モンティ・パイソン,monti・paison
scott adkins,スコット・アドキンス,sukotto・adokinsu
eddie redmayne,エディ・レッドメイン,edi・reddomein
henry gray,ヘンリー・グレイ,henrī・gurei
david cameron,デーヴィッド・キャメロン,dēviddo・kyameron
judi dench,ジュディ・デンチ,judi・denchi
simon wells,サイモン・ウェルズ,saimon・weruzu
kate bush,ケイト・ブッシュ,keito・busshu
sean dyche,ショーン・ダイチ,shōn・daichi
ashley young,アシュリー・ヤング,ashurī・yangu
marvin sordell,マーヴィン・ソーデル,māvin・sōderu
sophie wilson,ソフィー・ウィルソン,sofī・wiruson
hertha ayrton,ハータ・エアトン,hāta・eaton
stephen hawking,スティーヴン・ホーキング,sutīvun・hōkingu
david mitchell,デイヴィッド・ミッチェル,deividdo・mitcheru
nicky hopkins,ニッキー・ホプキンス,nikkī・hopukinsu
ralph fiennes,レイフ・ファインズ,reifu・fainzu
doris lessing,ドリス・レッシング,dorisu・resshingu
kieran gibbs,キーラン・ギブス,kīran・gibusu
james degale,ジェームス・デゲール,jēmusu・degēru
tom ince,トム・インス,tomu・insu
arthur balfour,アーサー・バルフォア,āsā・barufoa
arthur percival,アーサー・パーシバル,āsā・pāshibaru
neville chamberlain,ネヴィル・チェンバレン,neviru・chenbaren
chris smalling,クリス・スモーリング,kurisu・sumōringu
jonny evans,ジョニー・エヴァンズ,jonī・evanzu
desmond llewelyn,デスモンド・リュウェリン,desumondo・ryuwerin
frank lampard,フランク・ランパード,furanku・ranpādo
timothy dalton,ティモシー・ダルトン,timoshī・daruton
theo walcott,セオ・ウォルコット,seo・worukotto
carl jenkinson,カール・ジェンキンソン,kāru・jenkinson
friedrich hayek,フリードリヒ・ハイエク,furīdorihi・haieku
john lennon,ジョン・レノン,jon・renon
robert louis stevenson,ロバート・ルイス・スティーヴンソン,robāto・ruisu・sutīvunson
ikechi anya,イケチ・アンヤ,ikechi・anya
rupert grint,ルパート・グリント,rupāto・gurinto
ellie goulding,エリー・ゴールディング,erī・gōrudingu
