ana de la reguera,アナ・デ・ラ・レゲラ,ana・de・ra・regera
juventud guerrera,フベントゥ・ゲレーラ,fubentu・gerēra
fray tormenta,フライ・トルメンタ,furai・torumenta
lucas barrios,ルーカス・バリオス,rūkasu・bariosu
carlos fuentes,カルロス・フエンテス,karurosu・fuentesu
pablo barrera,パブロ・バレーラ,paburo・barēra
omar bravo,オマール・ブラボ,omāru・burabo
gerardo torrado,ヘラルド・トラード,herarudo・torādo
porfirio díaz,ポルフィリオ・ディアス,porufirio・diasu
ángel zárraga,アンヘル・サラガ,anheru・saraga
stephen austin,スティーブン・オースティン,sutībun・ōsutin
pedro lascuráin,ペドロ・ラスクライン,pedoro・rasukurain
manuel ávila camacho,マヌエル・アビラ・カマチョ,manueru・abira・kamacho
vicente guerrero,ビセンテ・ゲレロ,bisente・gerero
gustavo díaz ordaz,グスタボ・ディアス・オルダス,gusutabo・diasu・orudasu
carlos salinas de gortari,カルロス・サリナス・デ・ゴルタリ,karurosu・sarinasu・de・gorutari
kuno becker,クノ・ベッカー,kuno・bekkā
tania libertad,タニア・リベルタ,tania・riberuta
francisco león de la barra,フランシスコ・レオン・デ・ラ・バーラ,furanshisuko・reon・de・ra・bāra
lorenzo barcelata,ロレンソ・バルセラータ,rorenso・baruserāta
ramón vargas,ラモン・バルガス,ramon・barugasu
francisco carvajal,フランシスコ・カルバハル,furanshisuko・karubaharu
frida kahlo,フリーダ・カーロ,furīda・kāro
cara buono,カーラ・ブオノ,kāra・buono
héctor rebaque,ヘクトール・レバーク,hekutōru・rebāku
paul aguilar,パウル・アギラール,pauru・agirāru
efraín juárez,エフライン・フアレス,efurain・fuaresu
egidio arévalo ríos,エヒディオ・アレバロ・リオス,ehidio・arebaro・riosu
pável pardo,パベル・パルド,paberu・parudo
martín luis guzmán,マルティン・ルイス・グスマン,marutin・ruisu・gusuman
dr atl,ドクター・アトル,dokutā・atoru
lupe vélez,ルーペ・ヴェレス,rūpe・vuェresu
ricardo osorio,リカルド・オソリオ,rikarudo・osorio
david alfaro siqueiros,ダビッド・アルファロ・シケイロス,dabiddo・arufaro・shikeirosu
silvestre revueltas,シルベストレ・レブエルタス,shirubesutore・rebuerutasu
josé clemente orozco,ホセ・クレメンテ・オロスコ,hose・kuremente・orosuko
abraham ángel,アブラハム・アンヘル,aburahamu・anheru
nicolás bravo,ニコラス・ブラボ,nikorasu・burabo
nezahualcóyotl,ネサワルコヨトル,nesawarukoyotoru
abraham laboriel,エイブラハム・ラボリエル,eiburahamu・raborieru
bora milutinović,ボラ・ミルティノビッチ,bora・mirutinobitchi
místico,カリスティコ,karisutiko
andrés manuel lópez obrador,アンドレス・マヌエル・ロペス・オブラドール,andoresu・manueru・ropesu・oburadōru
katy jurado,ケティ・フラド,keti・furado
dominika paleta,ドミニカ・パレタ,dominika・pareta
rosario castellanos,ロサリオ・カステリャノス,rosario・kasuteryanosu
elena poniatowska,エレナ・ポニアトウスカ,erena・poniatousuka
antonio carbajal,アントニオ・カルバハル,antonio・karubaharu
guadalupe victoria,グアダルーペ・ビクトリア,guadarūpe・bikutoria
diego luna,ディエゴ・ルナ,diego・runa
venustiano carranza,ベヌスティアーノ・カランサ,benusutiāno・karansa
jared borgetti,ハレド・ボルヘッティ,haredo・boruhetti
héctor moreno,エクトル・モレノ,ekutoru・moreno
jorge campos,ホルヘ・カンポス,horuhe・kanposu
plutarco elías calles,プルタルコ・エリアス・カリェス,purutaruko・eriasu・kariェsu
josé lópez portillo,ホセ・ロペス・ポルティーヨ,hose・ropesu・porutīyo
miguel bernal jiménez,ミゲル・ベルナル・ヒメネス,migeru・berunaru・himenesu
adolfo bautista,アドルフォ・バウティスタ,adorufo・bautisuta
pedro armendáriz,ペドロ・アルメンダリス,pedoro・arumendarisu
gerónimo,ジェロニモ,jeronimo
anahí,アナイ,anai
alexander salkind,アレクサンダー・サルキンド,arekusandā・sarukindo
leonardo márquez,レオナルド・マルケス,reonarudo・marukesu
luis donaldo colosio,ルイス・ドナルド・コロシオ,ruisu・donarudo・koroshio
margo glantz,マルゴ・グランツ,marugo・gurantsu
carlos slim,カルロス・スリム,karurosu・surimu
thalía,タリア,taria
diego rivera,ディエゴ・リベラ,diego・ribera
carlos reygadas,カルロス・レイガダス,karurosu・reigadasu
gloria trevi,グロリア・トレビ,guroria・torebi
bernardo segura,ベルナルド・セグラ,berunarudo・segura
israel castro,イスラエル・カストロ,isuraeru・kasutoro
lila downs,リラ・ダウンズ,rira・daunzu
guillermo franco,ギジェルモ・フランコ,gijerumo・furanko
andrés guardado,アンドレス・グアルダード,andoresu・guarudādo
mario molina,マリオ・モリーナ,mario・morīna
lázaro cárdenas,ラサロ・カルデナス,rasaro・karudenasu
enrique peña nieto,エンリケ・ペーニャ・ニエト,enrike・pēnya・nieto
ricardo montalbán,リカルド・モンタルバン,rikarudo・montaruban
victoriano huerta,ビクトリアーノ・ウエルタ,bikutoriāno・ueruta
ernesto zedillo,エルネスト・セディージョ,erunesuto・sedījo
maribel domínguez,マリベル・ドミンゲス,mariberu・domingesu
jonathan dos santos,ジョナタン・ドス・サントス,jonatan・dosu・santosu
filippa giordano,フィリッパ・ジョルダーノ,firippa・jorudāno
esteban gutiérrez,エステバン・グティエレス,esuteban・gutieresu
adolfo lópez mateos,アドルフォ・ロペス・マテオス,adorufo・ropesu・mateosu
guido pizarro,ギド・ピサーロ,gido・pisāro
carlton cuse,カールトン・キューズ,kāruton・kyūzu
oscar pérez rojas,オスカル・ペレス・ロハス,osukaru・peresu・rohasu
yolanda ramírez,ヨラ・ラミレス,yora・ramiresu
leo santa cruz,レオ・サンタ・クルス,reo・santa・kurusu
agustín de iturbide y green,アグスティン・デ・イトゥルビデ・イ・グリーン,agusutin・de・iturubide・i・gurīn
óscar de la hoya,オスカー・デ・ラ・ホーヤ,osukā・de・ra・hōya
óscar valdez,オスカル・バルデス,osukaru・barudesu
saturnino herrán,サトゥルニノ・エラン,saturunino・eran
mariano arista,マリアノ・アリスタ,mariano・arisuta
luis hernández,ルイス・エルナンデス,ruisu・erunandesu
luis herrera de la fuente,ルイス・エレラ・デ・ラ・フエンテ,ruisu・erera・de・ra・fuente
verónica segura,ヴェロニカ・セグラ,vuェronika・segura
orlando salido,オルランド・サリド,orurando・sarido
lorena ochoa,ロレーナ・オチョア,rorēna・ochoa
abner mares,アブネル・マレス,abuneru・maresu
gael garcía bernal,ガエル・ガルシア・ベルナル,gaeru・garushia・berunaru
alfonso cuarón,アルフォンソ・キュアロン,arufonso・kyuaron
benito juárez,ベニート・フアレス,benīto・fuaresu
aarón galindo,アーロン・ガリンド,āron・garindo
rafael márquez,ラファエル・マルケス,rafaeru・marukesu
claudio suárez,クラウディオ・スアレス,kuraudio・suaresu
demián bichir,デミアン・ビチル,demian・bichiru
kitten natividad,キトゥン・ナティビダッド,kitun・natibidaddo
nery castillo,ネリー・カスティージョ,nerī・kasutījo
miguel miramón,ミゲル・ミラモン,migeru・miramon
ignacio comonfort,イグナシオ・コモンフォルト,igunashio・komonforuto
león trotski,レフ・トロツキー,refu・torotsukī
salvador contreras,サルバドール・コントレラス,sarubadōru・kontorerasu
anastasio bustamante,アナスタシオ・ブスタマンテ,anasutashio・busutamante
