françois hollande,フランソワ・オランド,furansowa・orando
chrétien de troyes,クレティアン・ド・トロワ,kuretian・do・torowa
pierre abélard,ピエール・アベラール,piēru・aberāru
maryse bastié,マリーズ・バスティエ,marīzu・basutie
joachim du bellay,ジョアシャン・デュ・ベレー,joashan・dyu・berē
le corbusier,ル・コルビュジエ,ru・korubyujie
adrien rabiot,アドリアン・ラビオ,adorian・rabio
luce irigaray,リュス・イリガライ,ryusu・irigarai
arthur rimbaud,アルチュール・ランボー,aruchūru・ranbō
luigi cherubini,ルイジ・ケルビーニ,ruiji・kerubīni
yassine benzia,ヤシン・ベンジア,yashin・benjia
yves mariot,イヴ・マリオット,ivu・mariotto
rémi garde,レミ・ガルド,remi・garudo
georges brassens,ジョルジュ・ブラッサンス,joruju・burassansu
nicolas sarkozy,ニコラ・サルコジ,nikora・sarukoji
claude debussy,クロード・ドビュッシー,kurōdo・dobyusshī
henry dunant,アンリ・デュナン,anri・dyunan
michel hazanavicius,ミシェル・アザナヴィシウス,misheru・azanavishiusu
sławomir mrożek,スワヴォーミル・ムロージェク,suwavuォーmiru・murōjeku
philippe de bourgogne,フィリップ・ド・ブルゴーニュ,firippu・do・burugōnyu
aly cissokho,アリ・シソコ,ari・shisoko
claude monet,クロード・モネ,kurōdo・mone
paul morand,ポール・モラン,pōru・moran
sarah bernhardt,サラ・ベルナール,sara・berunāru
bafétimbi gomis,バフェティンビ・ゴミス,bafetinbi・gomisu
vilfredo pareto,ヴィルフレド・パレート,virufuredo・parēto
marcellin berthelot,マルセラン・ベルテロ,maruseran・berutero
maurice de broglie,モーリス・ド・ブロイ,mōrisu・do・buroi
léon blum,レオン・ブルム,reon・burumu
bérénice marlohe,ベレニス・マーロウ,berenisu・mārou
landry bonnefoi,ランドリー・ボンヌフォワ,randorī・bonnufowa
bérénice bejo,ベレニス・ベジョ,berenisu・bejo
charles baudelaire,シャルル・ボードレール,sharuru・bōdorēru
gace brulé,ガス・ブリュレ,gasu・buryure
jean bodel,ジャン・ボデル,jan・boderu
auguste comte,オーギュスト・コント,ōgyusuto・konto
jean jaurès,ジャン・ジョレス,jan・joresu
paul doumer,ポール・ドゥメール,pōru・dumēru
stendhal,スタンダール,sutandāru
georges duhamel,ジョルジュ・デュアメル,joruju・dyuameru
geoffroi de villehardouin,ジョフロワ・ド・ヴィルアルドゥアン,jofurowa・do・viruaruduan
gaëtan vestris,ガエタノ・ヴェストリス,gaetano・vuェsutorisu
félix tisserand,フェリックス・チスラン,ferikkusu・chisuran
sylvain marveaux,シルヴァン・マルヴォー,shiruvan・maruvuォー
arlette laguiller,アルレット・ラギエ,aruretto・ragie
olivier besancenot,オリヴィエ・ブザンスノ,orivie・buzansuno
élisée reclus,エリゼ・ルクリュ,erize・rukuryu
louis pasteur,ルイ・パスツール,rui・pasutsūru
henri matisse,アンリ・マティス,anri・matisu
gustave eiffel,ギュスターヴ・エッフェル,gyusutāvu・efferu
émile zola,エミール・ゾラ,emīru・zora
éric cayrolle,エリック・カイロール,erikku・kairōru
marine le pen,マリーヌ・ル・ペン,marīnu・ru・pen
michel rocard,ミシェル・ロカール,misheru・rokāru
henri farman,アンリ・ファルマン,anri・faruman
raymond barre,レイモン・バール,reimon・bāru
alain poher,アラン・ポエール,aran・poēru
michel mercier,ミシェル・メルシエ,misheru・merushie
rené maurice fréchet,モーリス・ルネ・フレシェ,mōrisu・rune・fureshe
jeanaugustedominique ingres,ドミニク・アングル,dominiku・anguru
henry murger,アンリ・ミュルジェール,anri・myurujēru
louise borgia,ルイーザ・ボルジア,ruīza・borujia
avril lavigne,アヴリル・ラヴィーン,avuriru・ravīn
louis blériot,ルイ・ブレリオ,rui・burerio
auguste rodin,オーギュスト・ロダン,ōgyusuto・rodan
victor hugo,ヴィクトル・ユーゴー,vikutoru・yūgō
hedi slimane,エディ・スリマン,edi・suriman
édouard balladur,エドゥアール・バラデュール,eduāru・baradyūru
michel jobert,ミシェル・ジョベール,misheru・jobēru
françois bayrou,フランソワ・バイル,furansowa・bairu
octave mirbeau,オクターヴ・ミルボー,okutāvu・mirubō
yoan gouffran,ヨアン・グフラン,yoan・gufuran
adèle haenel,アデル・エネル,aderu・eneru
florian marange,フロリアン・マランジュ,furorian・maranju
pierre barouh,ピエール・バルー,piēru・barū
jean moulin,ジャン・ムーラン,jan・mūran
brigitte fontaine,ブリジット・フォンテーヌ,burijitto・fontēnu
adolphe thiers,アドルフ・ティエール,adorufu・tiēru
conon de béthune,コノン・ド・ベテュヌ,konon・do・betyunu
philippe pétain,フィリップ・ペタン,firippu・petan
mouhamadou dabo,ムアマドゥ・ダボ,muamadu・dabo
rémy vercoutre,レミ・ヴェルクートゥル,remi・vuェrukūturu
steed malbranque,スティード・マルブランク,sutīdo・maruburanku
françois asselineau,フランソワ・アスリノ,furansowa・asurino
jean gabin,ジャン・ギャバン,jan・gyaban
alexandre lacazette,アレクサンドル・ラカゼット,arekusandoru・rakazetto
david bellion,ダヴィド・ベリオン,davido・berion
benoît trémoulinas,ベノワ・トレムリナス,benowa・toremurinasu
grégory sertic,グレゴリー・セルティッチ,guregorī・serutitchi
paul langevin,ポール・ランジュバン,pōru・ranjuban
landry n'guemo,ランドリー・エングエモ,randorī・enguemo
ludovic sané,リュドヴィク・サネ,ryudoviku・sane
marc planus,マルク・プラニュス,maruku・puranyusu
paul verlaine,ポール・ヴェルレーヌ,pōru・vuェrurēnu
stéphane mallarmé,ステファヌ・マラルメ,sutefanu・mararume
andreï tarkovski,アンドレイ・タルコフスキー,andorei・tarukofusukī
laurent jalabert,ローラン・ジャラベール,rōran・jarabēru
laurent fignon,ローラン・フィニョン,rōran・finyon
grégory coupet,グレゴリー・クーペ,guregorī・kūpe
hector berlioz,エクトル・ベルリオーズ,ekutoru・beruriōzu
samuel umtiti,サミュエル・ユムティティ,samyueru・yumutiti
josé bové,ジョゼ・ボヴェ,joze・bovuェ
frédéric bastiat,フレデリック・バスティア,furederikku・basutia
rachi,ラシ,rashi
m'baye niang,エムベイェ・ニアン,emubeye・nian
alfred malherbe,アルフレ・マレルブ,arufure・marerubu
étienne léopold trouvelot,エティエンヌ・レオポール・トルーヴェロ,etiennu・reopōru・torūvuェro
henri saivet,アンリ・セヴェ,anri・sevuェ
stéphane audran,ステファーヌ・オードラン,sutefānu・ōdoran
françois quesnay,フランソワ・ケネー,furansowa・kenē
albert taillandier,ジョルジュ・テヤンディエ,joruju・teyandie
pierre bonnard,ピエール・ボナール,piēru・bonāru
sophie germain,ソフィ・ジェルマン,sofi・jeruman
jeandominique cassini,ジョヴァンニ・カッシーニ,jovanni・kasshīni
léon walras,レオン・ワルラス,reon・warurasu
marcel duchamp,マルセル・デュシャン,maruseru・dyushan
gustave doré,ギュスターヴ・ドレ,gyusutāvu・dore
anna de noailles,アンナ・ド・ノアイユ,anna・do・noaiyu
fahid ben khalfallah,ファヒド・ベン・ハルファラー,fahido・ben・harufarā
bernard arnault,ベルナール・アルノー,berunāru・arunō
rachida dati,ラシダ・ダティ,rashida・dati
edmond dulac,エドマンド・デュラック,edomando・dyurakku
florian thauvin,フロリアン・トヴァン,furorian・tovan
eugène delacroix,ウジェーヌ・ドラクロワ,ujēnu・dorakurowa
maurice ravel,モーリス・ラヴェル,mōrisu・ravuェru
frédéric chopin,フレデリック・ショパン,furederikku・shopan
julien offray de la mettrie,ジュリアン・オフレ・ド・ラ・メトリー,jurian・ofure・do・ra・metorī
michel onfray,ミシェル・オンフレ,misheru・onfure
évariste galois,エヴァリスト・ガロア,evarisuto・garoa
robert brasillach,ロベール・ブラジヤック,robēru・burajiyakku
tony garnier,トニー・ガルニエ,tonī・garunie
jules verne,ジュール・ヴェルヌ,jūru・vuェrunu
sigamary diarra,シガマリ・ディアッラ,shigamari・diarra
sambou yatabaré,サンブ・ヤタバレ,sanbu・yatabare
mehdi mostefa,メフディ・モステファ,mefudi・mosutefa
frédéric hantz,フレデリック・アンツ,furederikku・antsu
robert schuman,ロベール・シューマン,robēru・shūman
