イチロー,ichirō
カイタケシ,kaitakeshi
オノ・ヨーコ,ono・yōko
タマキノゾム,tamakinozomu
セッシュウ,sesshuu
ミヤコハルミ,miyakoharumi
ブリキ,buriki
ツグミ,tsugumi
マツモトユキヒロ,matsumotoyukihiro
マド・ミチオ,mado・michio
ジョージ・ナカシマ,jōji・nakashima
アルベルト・フジモリ,aruberuto・fujimori
エドワード・ガントレット,edowādo・gantoretto
クルルヤナ,kururuyana
ビートタケシ,bītotakeshi
テイアサ,teiasa
サダキチ・ハートマン,sadakichi・hātoman
アキヒト,akihito
ナツサイ,natsusai
シュンカン,shunkan
フーゴ・ラッサール,fūgo・rassāru
ディビッドソンジュンマーカス,dibiddosonjunmākasu
マツアキラ,matsuakira
リキヨシ,rikiyoshi
トクヒトシ,tokuhitoshi
タマヒ,tamahi
キョウマチコ,kyoumachiko
ヤジロウ,yajirou
チャールズ・ジェンキンス,chāruzu・jenkinsu
ジュウミナモト,juuminamoto
クウカイ,kuukai
サブロー,saburō
ミヨシ・ウメキ,miyoshi・umeki
アズマキヨヒコ,azumakiyohiko
アンジェラ・アキ,anjera・aki
ディーン・フジオカ,dīn・fujioka
マサムネ,masamune
アダチタカシ,adachitakashi
ジュディ・オング,judi・ongu
ホウネン,hounen
クボタマコト,kubotamakoto
ツルネン・マルテイ,tsurunen・marutei
カシワクラツトム,kashiwakuratsutomu
アヤカ,ayaka
ゲンチトセ,genchitose
キャリーパミュパミュ,kyarīpamyupamyu
シンゼイ,shinzei
ローラ・シギハラ,rōra・shigihara
シンラン,shinran
シルバー・サムライ,shirubā・samurai
チャールズ・ペダーセン,chāruzu・pedāsen
オーノキヨフミ,ōnokiyofumi
ニシアマネ,nishiamane
タテヒロシ,tatehiroshi
アンズサユリ,anzusayuri
モリタケシ,moritakeshi
チャフトシ,chafutoshi
ワールズ・エンド・ガールフレンド,wāruzu・endo・gārufurendo
ハラヒロシ,harahiroshi
ヨドドノ,yododono
ハラタイラ,harataira
ニッコウ,nikkou
マシュー・キイチ・ヒーフィー,mashū・kiichi・hīfī
ハマミツヲ,hamamitsuwo
ジエン,jien
カトウ・サトリ,katou・satori
セルヒオ・エスクデロ,seruhio・esukudero
ヒトミ,hitomi
サカシゲル,sakashigeru
トンア,tona
ブライアン・ティー,buraian・tī
イモトヨウコ,imotoyouko
ハナコ,hanako
ソウギ,sougi
モリノリヒサ,morinorihisa
カオル,kaoru
リョウゲン,ryougen
コナミカナタ,konamikanata
マヤ,maya
タキミノル,takiminoru
リョウベン,ryouben
ショー・コスギ,shō・kosugi
スミス,sumisu
セミマル,semimaru
ミチアキ,michiaki
シュレッダー,shureddā
チャン・リーメイ,chan・rīmei
アイバ・トクリ・ダキノ,aiba・tokuri・dakino
フィオナ・グラハム,fiona・gurahamu
ヤマト,yamato
キセン,kisen
ウルティモ・ドラゴン,urutimo・doragon
チバアキオ,chibaakio
ムサシ,musashi
キシコマ,kishikoma
エンニン,ennin
トウキ,touki
ツツミツヨシ,tsutsumitsuyoshi
