제임스 드레스녹,ジェームズ・ドレスノク,jēmuzu・doresunoku,jeimseu deureseunog
김책,キンサク,kinsaku,gimcaeg
강건,キョウケン,kyouken,ganggeon
박열,ボクレツ,bokuretsu,bagyeol
허헌,モトケン,motoken,heoheon
장웅,チョウツヨシ,choutsuyoshi,jangung
김철,キムアキラ,kimuakira,gimceol
최광,チェヒカリ,chehikari,coegwang
최현,チェケン,cheken,coehyeon
김억,キンオク,kinoku,gimeog
김옥,キンギョク,kingyoku,gimog
최휘,チェアキラ,cheakira,coehwi
백석,シライシ,shiraishi,baegseog
김웅,カネオ,kaneo,gimung
서휘,ジョアキラ,joakira,seohwi
김무정,タケチン,takechin,gimmujeong
홍창수,トクヤマアキラモリ,tokuyamaakiramori,hongcangsu
최원,チェトオ,chetoo,coeweon
안길,ヤスキチ,yasukichi,angil
장철,チョウトオル,choutooru,jangceol
임훈,ニンクン,ninkun,imhun
임화,ハヤシカズ,hayashikazu,imhwa
여정,リョセイ,ryosei,yeojeong
박훈,ボクイサオ,bokuisao,baghun
장혁,チョウカワ,choukawa,janghyeog
이,リ,MODIFIED,ri,i
한영,カンヒサシ,MODIFIED,kanhisashi,hanyeong
최,チェ,MODIFIED,che,coe
덕신,トクシン,MODIFIED,tokushin,deogsin
조,チョウ,MODIFIED,chou,jo
영남,ヒデオ,MODIFIED,hideo,yeongnam
김,キム,MODIFIED,kimu,gim
명순,アキラアツシ,MODIFIED,akiraatsushi,myeongsun
백,シロ,MODIFIED,shiro,baeg
남순,ミナミアツシ,MODIFIED,minamiatsushi,namsun
박,ボク,MODIFIED,boku,bag
성철,ナルアキラ,MODIFIED,naruakira,seongceol
한솔,カンリツ,MODIFIED,kanritsu,hansol
승진,ウケタマワフ,MODIFIED,uketamawafu,seungjin
장,チョウ,MODIFIED,chou,jang
성택,ナルサワ,MODIFIED,narusawa,seongtaeg
리,リ,MODIFIED,ri,ri
승기,マスモト,MODIFIED,masumoto,seunggi
홍,ヒロシ,MODIFIED,hiroshi,hong
용호,リュウヒロシ,MODIFIED,ryuuhiroshi,yongho
영일,エイイツ,MODIFIED,eiitsu,yeongil
허,モト,MODIFIED,moto,heo
정,テイ,MODIFIED,tei,jeong
대세,ダイヨ,MODIFIED,daiyo,daese
사량,シリョウ,MODIFIED,shiryou,saryang
창만,アキラミツル,MODIFIED,akiramitsuru,cangman
문,ブン,MODIFIED,bun,mun
예봉,ゲイホウ,MODIFIED,geihou,yebong
영숙,ヨンスク,MODIFIED,yonsuku,yeongsug
정숙,テイシュク,MODIFIED,teishuku,jeongsug
오,ゴ,MODIFIED,go,o
