kārlis ulmanis,カールリス・ウルマニス,kārurisu・urumanisu
ernests gulbis,エルネスツ・ガルビス,erunesutsu・garubisu
mihails barišņikovs,ミハイル・バリシニコフ,mihairu・barishinikofu
jānis lūsis,ヤーニス・ルーシス,yānisu・rūshisu
jēkabs ketlers,ヤーコプ・ケトラー,yākopu・ketorā
frīdrihs ketlers,フリードリヒ・ケトラー,furīdorihi・ketorā
romāns vainšteins,ロマーンス・ヴァインシュタインス,romānsu・vainshutainsu
elīna garanča,エリーナ・ガランチャ,erīna・garancha
leo mihelsons,レオ・マイケルソン,reo・maikeruson
māris verpakovskis,マーリス・ヴェルパコフスキス,mārisu・vuェrupakofusukisu
valdis zatlers,ヴァルディス・ザトレルス,varudisu・zatorerusu
anastasija sevastova,アナスタシヤ・セバストワ,anasutashiya・sebasutowa
ivars godmanis,イヴァルス・ゴドマニス,ivarusu・godomanisu
aigars kalvītis,アイガルス・カルヴィティス,aigarusu・karuvitisu
ainārs kovals,アイナルス・コバルス,ainarusu・kobarusu
gidons krēmers,ギドン・クレーメル,gidon・kurēmeru
mariss jansons,マリス・ヤンソンス,marisu・yansonsu
vilhelms fon fermors,ヴィリム・ヴィリモヴィチ・フェルモル,virimu・virimovichi・ferumoru
pēteris vasks,ペトリス・ヴァスクス,petorisu・vasukusu
artjoms rudņevs,アルチョムス・ルドニェフス,aruchomusu・rudoniェfusu
valters caps,ヴァルター・ツァップ,varutā・tsappu
aleksandrs koliņko,アレクサンドルス・コリンコ,arekusandorusu・korinko
staņislavs olijars,スタニスラフ・オリヤール,sutanisurafu・oriyāru
raivis belohvoščiks,ライヴィス・ベロホヴォシュチィクス,raivisu・berohovuォshuchiィkusu
vilhelms ketlers,ヴィルヘルム・ケトラー,viruherumu・ketorā
māris kučinskis,マーリス・クチンスキス,mārisu・kuchinsukisu
aleksejs saramotins,アレクセイス・サラモティンス,arekuseisu・saramotinsu
igors vihrovs,イゴール・ビフロフ,igōru・bifurofu
pēteris stučka,ピョートル・ストゥチカ,pyōtoru・sutuchika
jānis mediņš,ヤーニス・メディンシュ,yānisu・medinshu
jānis ivanovs,ヤニス・イヴァノフス,yanisu・ivanofusu
juris silovs,ユリス・シロヴス,yurisu・shirovusu
larisa neilande,ラリサ・ネーランド,rarisa・nērando
luīze šarlote no brandenburgas,ルイーゼ・シャルロッテ・フォン・ブランデンブルク,ruīze・sharurotte・fon・burandenburuku
inese galante,イネッサ・ガランテ,inessa・garante
jāzeps vītols,ヤーセプス・ヴィートリス,yāsepusu・vītorisu
andris biedriņš,アンドリス・ビエドリンシュ,andorisu・biedorinshu
jānis čakste,ヤーニス・チャクステ,yānisu・chakusute
afanasijs kuzmins,アファナシジス・クズミンス,afanashijisu・kuzuminsu
miša maiskis,ミッシャ・マイスキー,missha・maisukī
jānis bērziņš,ヤン・ベルジン,yan・berujin
edvīns šnore,エドヴィンス・シュノア,edovinsu・shunoa
marians pahars,マリアン・パハース,marian・pahāsu
andris bērziņš,アンドリス・ベールジンシュ,andorisu・bērujinshu
valdis dombrovskis,ヴァルディス・ドンブロウスキス,varudisu・donburousukisu
guntis ulmanis,グンティス・ウルマニス,guntisu・urumanisu
pauls valdens,パウル・ヴァルデン,pauru・varuden
juris hartmanis,ユリス・ハルトマニス,yurisu・harutomanisu
mihails tāls,ミハイル・タリ,mihairu・tari
egils levits,エギルス・レヴィッツ,egirusu・revittsu
andrejs rubins,アンドレイス・ルビンス,andoreisu・rubinsu
