andrzej wajda,アンジェイ・ワイダ,anjei・waida
zygmunt chychła,ジグムント・チチラ,jigumunto・chichira
margareta kozuch,マルガレーテ・コズーフ,marugarēte・kozūfu
paul baran,ポール・バラン,pōru・baran
laurent koscielny,ローラン・コシールニー,rōran・koshīrunī
krzysztof kieślowski,クシシュトフ・キェシロフスキ,kushishutofu・kiェshirofusuki
jerzy stuhr,イエルジー・スチュエル,ierujī・suchueru
hermann friedmann,ヘルマン・フリートマン,heruman・furītoman
zbigniew boniek,ズビグニェフ・ボニエク,zubiguniェfu・bonieku
emil hirschfeld,エミール・ヒルシュフェルト,emīru・hirushuferuto
krzysztof zanussi,クシシュトフ・ザヌッシ,kushishutofu・zanusshi
zbigniew zamachowski,ズビグニェフ・ザマホフスキ,zubiguniェfu・zamahofusuki
donald tusk,ドナルド・トゥスク,donarudo・tusuku
julius axelrod,ジュリアス・アクセルロッド,juriasu・akuseruroddo
kacper przybyłko,カツペル・プシビウコ,katsuperu・pushibiuko
tomasz majewski,トマシュ・マエフスキ,tomashu・maefusuki
aleksander kwaśniewski,アレクサンデル・クファシニェフスキ,arekusanderu・kufashiniェfusuki
isaac bashevis singer,アイザック・バシェヴィス・シンガー,aizakku・bashevisu・shingā
ignace gelb,イグナス・ゲルブ,igunasu・gerubu
benoît mandelbrot,ブノワ・マンデルブロ,bunowa・manderuburo
raymond kopa,レイモン・コパ,reimon・kopa
leon jogiches,レオ・ヨギヘス,reo・yogihesu
otylia jędrzejczak,オティリア・イェジェイチャク,otiria・yejeichaku
anni friesingerpostma,アンニ・フリージンガー,anni・furījingā
kevin mirocha,ケビン・ミロチャ,kebin・mirocha
lech kaczyński,レフ・カチンスキ,refu・kachinsuki
krystyna feldman,クリスティーナ・フェルドマン,kurisutīna・ferudoman
maciej kozłowski,マチェイ・コズラウスキー,machei・kozurausukī
lech wałęsa,レフ・ヴァウェンサ,refu・vawensa
alexander granach,アレクサンダー・グラナック,arekusandā・guranakku
adam mickiewicz,アダム・ミツキェヴィチ,adamu・mitsukiェvichi
edyta piecha,エディタ・ピエーハ,edita・piēha
miroslav klose,ミロスラフ・クローゼ,mirosurafu・kurōze
harry warner,ハリー・ワーナー,harī・wānā
olek krupa,オレク・クルパ,oreku・kurupa
moris rosenfeld,モリス・ローゼンフェルド,morisu・rōzenferudo
ryksa śląska,リクサ・シロンスカ,rikusa・shironsuka
henryk kasperczak,ヘンリク・カスペルチャク,henriku・kasuperuchaku
anita włodarczyk,アニタ・ヴォダルチク,anita・vuォdaruchiku
stanisław lem,スタニスワフ・レム,sutanisuwafu・remu
eugen polanski,オイゲン・ポランスキ,oigen・poransuki
jennifer suhr,ジェニファー・サー,jenifā・sā
tadeusz reichstein,タデウシュ・ライヒスタイン,tadeushu・raihisutain
małgorzata musierowicz,マウゴジャタ・ムシェロヴィチ,maugojata・musherovichi
marian woronin,マリアン・ヴォロニン,marian・vuォronin
adam harasiewicz,アダム・ハラシェヴィチ,adamu・harashevichi
maria skłodowskacurie,マリ・キュリー,mari・kyurī
ryszard kaczorowski,リシャルト・カチョロフスキ,risharuto・kachorofusuki
wojciech jaruzelski,ヴォイチェフ・ヤルゼルスキ,vuォichefu・yaruzerusuki
marek belka,マレック・ベルカ,marekku・beruka
jerzy buzek,イェジ・ブゼク,yeji・buzeku
józef oleksy,ユゼフ・オレクスィ,yuzefu・orekusi
tadeusz mazowiecki,タデウシュ・マゾヴィエツキ,tadeushu・mazovietsuki
stephanie kwolek,ステファニー・クオレク,sutefanī・kuoreku
kazimierz marcinkiewicz,カジミェシュ・マルチンキェヴィチ,kajimiェshu・maruchinkiェvichi
jarosław kaczyński,ヤロスワフ・カチンスキ,yarosuwafu・kachinsuki
roman giertych,ロマン・ギェルティフ,roman・giェrutifu
karol radek,カール・ラデック,kāru・radekku
karol rathaus,カロル・ラートハウス,karoru・rātohausu
josef jadassohn,ヨーゼフ・ヤーダスゾーン,yōzefu・yādasuzōn
leszek balcerowicz,レシェク・バルツェロヴィチ,resheku・barutserovichi
hanna suchocka,ハンナ・スホツカ,hanna・suhotsuka
adam kokoszka,アダム・ココシュカ,adamu・kokoshuka
lidia zamenhof,リディア・ザメンホフ,ridia・zamenhofu
kazimierz bein,カジミエシュ・バイン,kajimieshu・bain
sławomir mrożek,スワヴォーミル・ムロージェク,suwavuォーmiru・murōjeku
edward strasburger,エードゥアルト・シュトラースブルガー,ēduaruto・shutorāsuburugā
menachem begin,メナヘム・ベギン,menahemu・begin
józef chasyd,ヨーゼフ・ハシッド,yōzefu・hashiddo
stanisław wielgus,スタニスワフ・ヴィエルグス,sutanisuwafu・vierugusu
adam matysek,アダム・マティセク,adamu・matiseku
adam przeworski,アダム・プシェヴォルスキ,adamu・pushevuォrusuki
adam rapacki,アダム・ラパツキ,adamu・rapatsuki
paulina ligocka,パウリーナ・リゴツカ,paurīna・rigotsuka
tomasz wróblewski,トーマシュ・ウロブレフスキ,tōmashu・uroburefusuki
tomasz wałdoch,トマシュ・ヴァウドフ,tomashu・vaudofu
wojciech korfanty,ヴォイチェフ・コルファンティ,vuォichefu・korufanti
alexander herr,アレクサンダー・ヘル,arekusandā・heru
kamil glik,カミル・グリク,kamiru・guriku
arkadiusz milik,アルカディウシュ・ミリク,arukadiushu・miriku
lukas podolski,ルーカス・ポドルスキ,rūkasu・podorusuki
bolesław prus,ボレスワフ・プルス,boresuwafu・purusu
adam sarota,アダム・サロタ,adamu・sarota
adam stefan sapieha,アダム・ステファン・サピエハ,adamu・sutefan・sapieha
marcin matkowski,マルチン・マトコフスキ,maruchin・matokofusuki
roman ingarden,ローマン・インガルデン,rōman・ingaruden
adam zagajewski,アダム・ザガエフスキ,adamu・zagaefusuki
andrzej szarmach,アンジェイ・シャルマッフ,anjei・sharumaffu
krystian zimerman,クリスティアン・ツィマーマン,kurisutian・tsimāman
rafał wolski,ラファウ・ヴォルスキ,rafau・vuォrusuki
robert lewandowski,ロベルト・レヴァンドフスキ,roberuto・revandofusuki
jakub błaszczykowski,ヤクブ・ブワシュチコフスキ,yakubu・buwashuchikofusuki
marek saganowski,マレク・サガノフスキ,mareku・saganofusuki
marcin gortat,マルチン・ゴルタット,maruchin・gorutatto
jerzy makula,イェジー・マクラ,yejī・makura
bartosz kurek,バルトシュ・クレク,barutoshu・kureku
aleksander tansman,アレクサンデル・タンスマン,arekusanderu・tansuman
stanisław messing,スタニスラフ・メッシング,sutanisurafu・messhingu
tadeusz baird,タデウシュ・バイルト,tadeushu・bairuto
mirosław hermaszewski,ミロスワフ・ヘルマシェフスキ,mirosuwafu・herumashefusuki
mariusz jop,マリウシュ・ヨプ,mariushu・yopu
marcel witeczek,マルセル・ヴィテチェク,maruseru・vitecheku
irena sendlerowa,イレーナ・センドラー,irēna・sendorā
