hebe camargo,ヘーペ・カマルゴ,hēpe・kamarugo
gustavo tsuboi,グスターボ・ツボイ,gusutābo・tsuboi
joão carlos dos santos,ジョアン・カルロス・ドス・サントス,joan・karurosu・dosu・santosu
willian borges da silva,ウィリアン・ボルジェス・ダ・シウヴァ,wirian・borujesu・da・shiuva
esmeralda garcia,エスメラルダ・ガルシア,esumeraruda・garushia
vítor meira,ヴィトール・メイラ,vitōru・meira
pelé,ペレ,pere
zinho,ジーニョ,jīnyo
gisele bündchen,ジゼル・ブンチェン,jizeru・bunchen
kevin kurányi,ケヴィン・クラニー,kevin・kuranī
joão havelange,ジョアン・アヴェランジェ,joan・avuェranje
bernardo fernandes da silva,ベルナルド・フェルナンデス・ダ・シルバ,berunarudo・ferunandesu・da・shiruba
zizinho,ジジーニョ,jijīnyo
alessandra ambrósio,アレッサンドラ・アンブロジオ,aressandora・anburojio
adriana lima,アドリアナ・リマ,adoriana・rima
nélson luís kerchner,ネルソン・ルイス・カーシュナー,neruson・ruisu・kāshunā
alexandre paes lopes,アレシャンドレ・パエス・ロペス,areshandore・paesu・ropesu
austregésilo de athayde,アウストレジェジロ・デ・アタイデ,ausutorejejiro・de・ataide
paulo coelho,パウロ・コエーリョ,pauro・koēryo
josé paulo bezerra maciel junior,ジョゼ・パウロ・ベセーラ・マシエル・ジュニオール,joze・pauro・besēra・mashieru・juniōru
ayrton senna,アイルトン・セナ,airuton・sena
neymar,ネイマール,neimāru
nelson prudêncio,ネルソン・プルデンシオ,neruson・purudenshio
kléber laube pinheiro,クレーベ・ラウベ・ピニェイロ,kurēbe・raube・piniェiro
ricardo alexandre dos santos,リカルド・アレッシャンドレ・ドス・サントス,rikarudo・aresshandore・dosu・santosu
zilda arns,ジウダ・アルンス,jiuda・arunsu
claudiano bezerra da silva,クラウディアーノ・ベセーラ・ダ・シウヴァ,kuraudiāno・besēra・da・shiuva
juninho pernambucano,ジュニーニョ・ペルナンブカーノ,junīnyo・perunanbukāno
augusto pestana,アウグスト・ペスタナ,augusuto・pesutana
oscar niemeyer,オスカー・ニーマイヤー,osukā・nīmaiyā
emilie snethlage,エミーリエ・スネトラーゲ,emīrie・sunetorāge
helmut sick,ヘルムート・ジック,herumūto・jikku
valdir benedito,バウディール・ベネディット,baudīru・beneditto
