глюкоза,グリュコーザ,guryukōza
борис акунин,ボリス・アクーニン,borisu・akūnin
носорог,ライノ,raino
александра маринина,アレクサンドラ・マリーニナ,arekusandora・marīnina
земфира,ゼムフィラ,zemufira
алсу,アルスー,arusū
полина дашкова,ポリーナ・ダシコワ,porīna・dashikowa
иларион,イラリオン,irarion
хамелеон,カメレオン,kamereon
лео хао,レオ・ハオ,reo・hao
витас,ヴィタス,vitasu
александр,アレクサンドル,arekusandoru
иван александрович,イヴァン・アレクサンドロヴィチ,ivan・arekusandorovichi
жасмин,ジャスミン,jasumin
света,スヴェータ,suvuェーta
данг ван лам,ダン・バン・ラム,dan・ban・ramu
револьвер оцелот,リボルバー・オセロット,riborubā・oserotto
витя вронски,ヴィトヤ・ヴロンスキー,vitoya・vuronsukī
джина джерсон,ジーナ・ガーソン,jīna・gāson
владлен татарский,ウラドレン・タタルスキー,uradoren・tatarusukī
шара буллет,シャラ・マゴメドフ,shara・magomedofu
россия,ロシア,roshia
автоваз,アフトヴァース,afutovāsu
нижегородская область,ニジニ・ノヴゴロドシュウ,nijini・novugorodoshuu
жигули,ジグリサンカイ,jigurisankai
смоленск,スモレンスク,sumorensuku
тверь,トヴェリ,tovuェri
москва,モスクワ,mosukuwa
чебоксары,チェボクサル,chebokusaru
санктпетербург,サンクトペテルブルク,sankutopeteruburuku
новосибирск,ノヴォシビルスク,novuォshibirusuku
абакан,アバカン,abakan
ярославль,ヤロスラヴリ,yarosuravuri
кострома,コストロマ,kosutoroma
туманная,トウマンコウ,toumankou
екатеринбург,エカテリンブルク,ekaterinburuku
нижний новгород,ニジニ・ノヴゴロド,nijini・novugorodo
самара,サマーラ,samāra
иваново,イヴァノヴォ,ivanovuォ
байкал,バイカルコ,baikaruko
омск,オムスク,omusuku
пенза,ペンザ,penza
казань,カザン,kazan
челябинск,チェリャビンスク,cheryabinsuku
зеленоградск,ゼレノグラーツク,zerenogurātsuku
академгородок,アカデムゴロドク,akademugorodoku
волгоград,ヴォルゴグラード,vuォrugogurādo
ульяновск,ウリヤノフスク,uriyanofusuku
рязань,リャザン,ryazan
сибирские траппы,シベリア・トラップ,shiberia・torappu
пермь,ペルミ,perumi
брянск,ブリャンスク,buryansuku
виштынецкое,ヴィシュティーティスコ,vishutītisuko
уфа,ウファ,ufa
тула,トゥーラ,tūra
нивхи,ニヴフ,nivufu
владивосток,ウラジオストク,urajiosutoku
красноярск,クラスノヤルスク,kurasunoyarusuku
орёл,オリョール,oryōru
калуга,カルーガ,karūga
светлый,スヴェトルイ,suvuェtorui
курск,クルスク,kurusuku
томск,トムスク,tomusuku
советск,ソヴィェツク,soviェtsuku
черняховск,チェルニャホフスク,cherunyahofusuku
лапландия,ラップランド,rappurando
балтийск,バルチースク,baruchīsuku
гусев,グセフ,gusefu
белгород,ベルゴロド,berugorodo
тольятти,トリヤッチ,toriyatchi
гвардейск,グヴァルジェイスク,guvarujeisuku
неман,ネマン,neman
воронеж,ヴォロネジ,vuォroneji
тюмень,チュメニ,chumeni
тамбов,タンボフ,tanbofu
дзержинск,ジェルジンスク,jerujinsuku
липецк,リペツク,ripetsuku
мурманск,ムルマンスク,murumansuku
калининград,カリーニングラード,karīningurādo
краснодар,クラスノダール,kurasunodāru
архангельск,アルハンゲリスク,aruhangerisuku
евразийская степь,ユーラシア・ステップ,yūrashia・suteppu
барнаул,バルナウル,barunauru
янтарный,ヤンタルヌイ,yantarunui
кызыл,クズル,kuzuru
кемерово,ケメロヴォ,kemerovuォ
петрозаводск,ペトロザヴォーツク,petorozavuォーtsuku
майкоп,マイコープ,maikōpu
вологда,ヴォログダ,vuォroguda
маньчжурия,マンシュウ,manshuu
астрахань,アストラハン,asutorahan
салехард,サレハルド,sareharudo
череповец,チェレポヴェツ,cherepovuェtsu
тотьма,トチマ,tochima
сыктывкар,スィクティフカル,sikutifukaru
элиста,エリスタ,erisuta
иркутск,イルクーツク,irukūtsuku
боровичи,ボロヴィチ,borovichi
боровск,ボロフスク,borofusuku
хабаровск,ハバロフスク,habarofusuku
братск,ブラーツク,burātsuku
бронницы,ブロンニツィ,buronnitsi
сызрань,シズラニ,shizurani
псков,プスコフ,pusukofu
буинск,ブインスク,buinsuku
якутск,ヤクーツク,yakūtsuku
бугульма,ブグリマ,bugurima
буй,ブイ,bui
буйнакск,ブイナクスク,buinakusuku
валдай,ヴァルダイ,varudai
велиж,ヴェリジ,vuェriji
венёв,ヴェニョーフ,vuェnyōfu
углегорск,ウグレゴルスク,uguregorusuku
грозный,グロズヌイ,gurozunui
дальнегорск,ダリネゴルスク,darinegorusuku
гатчина,ガッチナ,gatchina
махачкала,マハチカラ,mahachikara
унеча,ウネーチャ,unēcha
удачный,ウダーチヌイ,udāchinui
углич,ウグリチ,ugurichi
удомля,ウドムリャ,udomurya
коломна,コロムナ,koromuna
ставрополь,スタヴロポリ,sutavuropori
севастополь,セヴァストポリ,sevasutopori
магас,マガス,magasu
верхоянск,ベルホヤンスク,beruhoyansuku
вилючинск,ヴィリュチンスク,viryuchinsuku
вичуга,ヴィチュガ,vichuga
волгодонск,ヴォルゴドンスク,vuォrugodonsuku
узловая,ウズロヴァヤ,uzurovaya
благовещенск,ブラゴヴェシチェンスク,buragovuェshichensuku
устюжна,ウスチュジナ,usuchujina
ухта,ウフタ,ufuta
уссурийск,ウスリースク,usurīsuku
видное,ヴィドノエ,vidonoe
весьегонск,ヴェシエゴンスク,vuェshiegonsuku
вилюйск,ヴィリュイスク,viryuisuku
владикавказ,ウラジカフカス,urajikafukasu
нальчик,ナリチク,narichiku
острог,オストログ,osutorogu
фурманов,フルマノフ,furumanofu
фрязино,フリャジノ,furyajino
фокино,フォーキノ,fōkino
яндекс,ヤンデックス,yandekkusu
черкесск,チェルケスク,cherukesuku
коммунар,コムナル,komunaru
новокузнецк,ノヴォクズネツク,novuォkuzunetsuku
волгореченск,ヴォルゴレチェンスク,vuォrugorechensuku
набережные челны,ナーベレジヌイェ・チェルヌイ,nāberejinuye・cherunui
воркута,ヴォルクタ,vuォrukuta
химки,ヒムキ,himuki
холм,ホルム,horumu
холмск,ホルムスク,horumusuku
саратов,サラトフ,saratofu
оренбург,オレンブルク,orenburuku
магнитогорск,マグニトゴルスク,magunitogorusuku
воскресенск,ヴォスクレセンスク,vuォsukuresensuku
карабаново,カラバノヴォ,karabanovuォ
воткинск,ヴォトキンスク,vuォtokinsuku
биробиджан,ビロビジャン,birobijan
нижний тагил,ニジニ・タギル,nijini・tagiru
сахалин,カラフト,karafuto
волжский,ヴォルシスキー,vuォrushisukī
чайковский,チャイコフスキー,chaikofusukī
чапаевск,チャパエフスク,chapaefusuku
вышний волочёк,ヴイシニー・ヴォロチョーク,vuishinī・vuォrochōku
вяземский,ヴャーゼムスキー,vuャーzemusukī
чекалин,チェカリン,chekarin
саранск,サランスク,saransuku
киров,キーロフ,kīrofu
айны,アイヌ,ainu
великие луки,ヴェリーキエ・ルーキ,vuェrīkie・rūki
луганск,ルハーンシク,ruhānshiku
вязники,ヴャズニキ,vuャzuniki
ижевск,イジェフスク,ijefusuku
южносахалинск,ユジノサハリンスク,yujinosaharinsuku
вязьма,ヴャジマ,vuャjima
волоколамск,ヴォロコラムスク,vuォrokoramusuku
ковров,コヴロフ,kovurofu
ельня,エリニャ,erinya
чудово,チュドヴォ,chudovuォ
чкаловск,チカロフスク,chikarofusuku
сибирь,シベリア,shiberia
городец,ゴロジェッツ,gorojettsu
чухлома,チューフロマ,chūfuroma
шахтёрск,シャフチョルスク,shafuchorusuku
шарья,シャリヤ,shariya
дмитров,ドミトロフ,domitorofu
гдов,グドフ,gudofu
глазов,グラゾフ,gurazofu
елец,エレツ,eretsu
гагарин,ガガーリン,gagārin
галич,ガーリチ,gārichi
чистополь,チストポリ,chisutopori
чехов,チェーホフ,chēhofu
бийск,ビイスク,biisuku
газпром,ガスプロム,gasupuromu
пушкин,プーシキン,pūshikin
гороховец,ゴロホヴェツ,gorohovuェtsu
шахты,シャフティ,shafuti
магадан,マガダン,magadan
азнакаево,アズナカエヴォ,azunakaevuォ
агрыз,アグルィズ,aguruィzu
гудермес,グデルメス,guderumesu
азов,アゾフ,azofu
щёкино,シチョーキノ,shichōkino
камов,カモフ,kamofu
шуя,シューヤ,shūya
приозерск,プリオゼルスク,puriozerusuku
анадырь,アナディリ,anadiri
гурьевск,グリエフスク,guriefusuku
давлеканово,ダブレカノボ,daburekanobo
алдан,アルダン,arudan
щёлково,シチョルコヴォ,shichorukovuォ
александров,アレクサンドロフ,arekusandorofu
энгельс,エンゲリス,engerisu
наука,ナウカ,nauka
протон,プロトン,puroton
дальнереченск,ダリネレチェンスク,darinerechensuku
данилов,ダニーロフ,danīrofu
электрогорск,エレクトロゴルスク,erekutorogorusuku
электросталь,エレクトロスタリ,erekutorosutari
электроугли,エレクトロウグリ,erekutorouguri
демидов,デミドフ,demidofu
дедовск,デドフスク,dedofusuku
десногорск,デスノゴルスク,desunogorusuku
алексин,アレクシン,arekushin
юрга,ユルガ,yuruga
альметьевск,アリメチエフスク,arimechiefusuku
амурск,アムールスク,amūrusuku
димитровград,ディミトロフグラード,dimitorofugurādo
дмитровск,ドミトロフスク,domitorofusuku
ангарск,アンガルスク,angarusuku
дзержинский,ジェルジンスキー,jerujinsukī
донавиа,ドンアヴィア,donavia
новатэк,ノヴァテク,novateku
андреаполь,アンドレアポリ,andoreapori
анива,アニワ,aniwa
домодедово,ドモジェドヴォ,domojedovuォ
долинск,ドリンスク,dorinsuku
долгопрудный,ドルゴプルドニ,dorugopurudoni
юхнов,ユーフノフ,yūfunofu
дно,ドノー,donō
апатиты,アパチートゥイ,apachītui
ярцево,ヤールツェヴォ,yārutsevuォ
ясногорск,ヤスノゴルスク,yasunogorusuku
апрелевка,アプレレフカ,apurerefuka
дубна,ドゥブナ,dubuna
донской,ドンスコイ,donsukoi
дорогобуж,ドロゴブージ,dorogobūji
клипер,クリーペル,kurīperu
ейск,エイスク,eisuku
егорьевск,エゴリエフスク,egoriefusuku
елабуга,エラブガ,erabuga
духовщина,ドゥホフシチーナ,duhofushichīna
дудинка,ドゥディンカ,dudinka
приамурье,ソトマンシュウ,sotomanshuu
ханка,ハンカコ,hankako
прохоровка,プロホロフカ,purohorofuka
арск,アルスク,arusuku
арсеньев,アルセーニエフ,arusēniefu
арзамас,アルザマス,aruzamasu
артём,アルチョーム,aruchōmu
дятьково,ジャチコヴォ,jachikovuォ
елизово,エリゾヴォ,erizovuォ
асино,アシノ,ashino
енисейск,エニセイスク,eniseisuku
укок,ウコクコウゲン,ukokukougen
ачинск,アチンスク,achinsuku
ахтубинск,アフトゥビンスク,afutubinsuku
железноводск,ジェレズノヴォツク,jerezunovuォtsuku
ефремов,イェフレーモフ,yefurēmofu
красная поляна,クラースナヤ・ポリャーナ,kurāsunaya・poryāna
ессентуки,エセントゥキ,esentuki
имандра,イマンドラコ,imandorako
бавлы,バヴルィ,bavuruィ
багратионовск,バグラティオノフスク,bagurationofusuku
железнодорожный,ジェレズノドロジュニ,jerezunodorojuni
саяны,サヤンサンミャク,sayansanmyaku
ильмень,イリメニコ,irimeniko
арбат,アルバートドオリ,arubātodoori
балашиха,バラシハ,barashiha
балахна,バラフナ,barafuna
жуковский,ジュコーフスキー,jukōfusukī
заводоуковск,ザヴォドウコフスク,zavuォdoukofusuku
жуковка,ジューコフカ,jūkofuka
жиздра,ジズドラ,jizudora
жуков,ジューコフ,jūkofu
байкальск,バイカリスク,baikarisuku
балабаново,バラバノヴォ,barabanovuォ
барабинск,バラビンスク,barabinsuku
бежецк,ベジェツク,bejetsuku
батайск,バタイスク,bataisuku
заинск,ザインスク,zainsuku
западная двина,ザパドナヤ・ドヴィナ,zapadonaya・dovina
заволжск,ザヴォルシスク,zavuォrushisuku
белёв,ベリョーフ,beryōfu
зарайск,ザライスク,zaraisuku
белозерск,ベロゼルスク,berozerusuku
белогорск,ベロゴルスク,berogorusuku
беломорск,ベロモルスク,beromorusuku
белый,ベールイ,bērui
звенигород,ズヴェニゴロド,zuvuェnigorodo
зеленоград,ゼレノグラード,zerenogurādo
казбек,カズベクサン,kazubekusan
курган,クルガン,kurugan
выборг,ヴィボルグ,viborugu
зеленодольск,ゼレノドリスク,zerenodorisuku
бикин,ビキン,bikin
беслан,ベスラン,besuran
березники,ベレズニキ,berezuniki
полесье,ポリーシャ,porīsha
богородицк,ボゴロジツク,bogorojitsuku
волхов,ヴォルホフ,vuォruhofu
бокситогорск,ボクシトゴルスク,bokushitogorusuku
бологое,ボロゴエ,borogoe
большой камень,ボリショイ・カーメニ,borishoi・kāmeni
болхов,ボルホフ,boruhofu
болохово,ボロホヴォ,borohovuォ
кингисепп,キンギセップ,kingiseppu
новая ладога,ノヴァヤ・ラドガ,novaya・radoga
игарка,イガルカ,igaruka
ивантеевка,イヴァンテエフカ,ivanteefuka
бодайбо,ボダイボ,bodaibo
болгар,ボルガル,borugaru
альфа,アルファブタイ,arufabutai
лдпр,ロシアジユウミンシュトウ,roshiajiyuuminshutou
златоуст,ズラトウースト,zuratoūsuto
кубок кремля,クレムリン・カップ,kuremurin・kappu
алроса,アルロサ,arurosa
ивангород,イヴァンゴロド,ivangorodo
злынка,ズルィンカ,zuruィnka
знаменск,ズナメンスク,zunamensuku
мосфильм,モスフィルム,mosufirumu
зубцов,ズブツォフ,zubutsofu
люберцы,リュベルツィ,ryuberutsi
суздаль,スーズダリ,sūzudari
миасс,ミアス,miasu
молокане,モロカンハ,morokanha
мирный,ミールヌイ,mīrunui
сланцы,スランツィ,surantsi
сертолово,セルトロヴォ,serutorovuォ
луга,ルーガ,rūga
черниговка,チェルニゴフカ,cherunigofuka
яблоко,ヤブロコ,yaburoko
тихвин,チフヴィン,chifuvin
сосновый бор,ソスノヴイ・ボール,sosunovui・bōru
шлиссельбург,シュリッセリブルク,shurisseriburuku
яхрома,ヤフロマ,yafuroma
новороссийск,ノヴォロシースク,novuォroshīsuku
анапа,アナパ,anapa
темрюк,テムリュク,temuryuku
великий устюг,ヴェリキイ・ウスチュグ,vuェrikii・usuchugu
истра,イストラ,isutora
осетия,オセチア,osechia
ишимбай,イシンバイ,ishinbai
армавир,アルマヴィル,arumaviru
