angela merkel,앙겔라 메르켈,anggelra mereukel
martin schulz,마르틴 슐츠,mareutin syulceu
georg schwarzenbeck,한스게오르크 슈바르첸베크,hanseugeoreukeu syubareucenbekeu
giovane élber,지오바니 에우베르,jiobani eubereu
thomas kraft,토마스 크라프트,tomaseu keurapeuteu
roman neustädter,로만 노이슈테터,roman noisyuteteo
paul deussen,파울 도이센,paul doisen
reinhold schünzel,라인홀트 쉰첼,rainholteu swincel
franzl lang,프란츨 랑,peuranceul rang
gonzalo castro,곤살로 카스트로,gonsalro kaseuteuro
robert harting,로베르트 하르팅,robereuteu hareuting
arno peters,아르노 페터스,areuno peteoseu
marc forster,마르크 포르스터,mareukeu poreuseuteo
reinhard marx,라인하르트 마르크스,rainhareuteu mareukeuseu
jürgen grabowski,위르겐 그라보프스키,wireugen geurabopeuseuki
romano guardini,로마노 구아르디니,romano guareudini
alexander koch,알렉산더 코흐,alregsandeo koheu
konrad adenauer,콘라트 아데나워,konrateu adenaweo
hanna schygulla,하나 쉬굴라,hana swigulra
hans wilsdorf,한스 빌스도르프,hanseu bilseudoreupeu
dirk nowitzki,디르크 노비츠키,direukeu nobiceuki
ulrike nassemeyfarth,울리케 마이파르트,ulrike maipareuteu
zedd,제드,jedeu
walter kasper,발터 카스퍼,balteo kaseupeo
carl orff,카를 오르프,kareul oreupeu
bernhard langer,베른하르트 랑거,bereunhareuteu ranggeo
rainer bonhof,라이너 본호프,raineo bonhopeu
georg sterzinsky,게오르크 스테르진스키,georeukeu seutereujinseuki
luise rainer,루이제 라이너,ruije raineo
fritz lang,프리츠 랑,peuriceu rang
tom schilling,톰 실링,tom silring
ludwig erhard,루트비히 에르하르트,ruteubihi ereuhareuteu
kurt georg kiesinger,쿠르트 게오르크 키징거,kureuteu georeukeu kijinggeo
ferdinand tönnies,페르디난트 퇴니스,pereudinanteu toeniseu
helmut schmidt,헬무트 슈미트,helmuteu syumiteu
max klinger,막스 클링거,magseu keulringgeo
joachim meisner,요아힘 마이스너,yoahim maiseuneo
patrick ebert,파트리크 에베르트,pateurikeu ebereuteu
emre can,엠레 잔,emre jan
gerhard ludwig müller,게르하르트 루트비히 뮐러,gereuhareuteu ruteubihi mwilreo
franz xaver schwarz,프란츠 크사버 슈바르츠,peuranceu keusabeo syubareuceu
ludwig thoma,루트비히 토마,ruteubihi toma
albrecht von bayern,알브레히트 폰 바이에른,albeurehiteu pon baiereun
bastian schweinsteiger,바스티안 슈바인슈타이거,baseutian syubainsyutaigeo
günter netzer,귄터 네처,gwinteo neceo
karl valentin,카를 발렌틴,kareul balrentin
tom wlaschiha,톰 블라시하,tom beulrasiha
karl albrecht,카를 알브레히트,kareul albeurehiteu
fritz walter,프리츠 발터,peuriceu balteo
helmut kohl,헬무트 콜,helmuteu kol
gerhard schröder,게르하르트 슈뢰더,gereuhareuteu syuroedeo
peter sloterdijk,페터 슬로터다이크,peteo seulroteodaikeu
werner herzog,베르너 헤어초크,bereuneo heeocokeu
joachim gauck,요아힘 가우크,yoahim gaukeu
christian wulff,크리스티안 불프,keuriseutian bulpeu
lothar matthäus,로타어 마테우스,rotaeo mateuseu
annette schwarz,아네테 슈바르츠,anete syubareuceu
horst köhler,호르스트 쾰러,horeuseuteu koelreo
uli hoeneß,울리 회네스,ulri hoeneseu
marcel reichranicki,마르셀 라이히라니츠키,mareusel raihiraniceuki
bernd schuster,베른트 슈스터,bereunteu syuseuteo
paul breitner,파울 브라이트너,paul beuraiteuneo
johannes rau,요하네스 라우,yohaneseu rau
rita könig,리타 쾨니히,rita koenihi
dennis seidenberg,데니스 자이덴베르크,deniseu jaidenbereukeu
roman herzog,로만 헤어초크,roman heeocokeu
herta müller,헤르타 뮐러,hereuta mwilreo
birol ünel,비롤 위넬,birol winel
oliver riedel,올리버 리델,olribeo ridel
heinrich lübke,하인리히 륍케,hainrihi rwibke
gustav heinemann,구스타프 하이네만,guseutapeu haineman
theodor heuss,테오도어 호이스,teodoeo hoiseu
