gerónimo,제로니모,jeronimo
andrépierre gignac,앙드레피에르 지냐크,angdeurepiereu jinyakeu
stephen austin,스티븐 오스틴,seutibeun oseutin
porfirio díaz,포르피리오 디아스,poreupirio diaseu
frida kahlo,프리다 칼로,peurida kalro
alfonso cuarón,알폰소 쿠아론,alponso kuaron
león trotski,레프 트로츠키,repeu teuroceuki
lucero,루세로,rusero
gustavo díaz ordaz,구스타보 디아스 오르다스,guseutabo diaseu oreudaseu
inés efron,이네스 에프론,ineseu epeuron
carlos salinas de gortari,카를로스 살리나스 데 고르타리,kareulroseu salrinaseu de goreutari
lorena ochoa,로레나 오초아,rorena ocoa
thalía,탈리아,talria
diego rivera,디에고 리베라,diego ribera
lupe vélez,루페 벨레스,rupe belreseu
josé lópez portillo,호세 로페스 포르티요,hose ropeseu poreutiyo
manuel ávila camacho,마누엘 아빌라 카마초,manuel abilra kamaco
nicolás bravo,니콜라스 브라보,nikolraseu beurabo
miguel alemán valdés,미겔 알레만 발데스,migel alreman baldeseu
vicente guerrero,비센테 게레로,bisente gerero
jonathan dos santos,호나탄 도스 산토스,honatan doseu santoseu
lucas barrios,루카스 바리오스,rukaseu barioseu
carlos fuentes,카를로스 푸엔테스,kareulroseu puenteseu
andrés guardado,안드레스 과르다도,andeureseu gwareudado
anahí,아나이,anai
pablo barrera,파블로 바레라,pabeulro barera
omar bravo,오마르 브라보,omareu beurabo
guadalupe victoria,과달루페 빅토리아,gwadalrupe bigtoria
gerardo torrado,헤라르도 토라도,herareudo torado
javier hernández balcázar,하비에르 에르난데스 발카사르,habiereu ereunandeseu balkasareu
héctor moreno,엑토르 모레노,egtoreu moreno
venustiano carranza,베누스티아노 카란사,benuseutiano karansa
lila downs,릴라 다운스,rilra daunseu
zuria vega,수리아 베가,suria bega
katy jurado,카티 후라도,kati hurado
kuno becker,쿠노 베커,kuno bekeo
josé joaquín de herrera,호세 호아킨 데 에레라,hose hoakin de erera
pedro armendáriz,페드로 아르멘다리스,pedeuro areumendariseu
jared borgetti,하레드 보르헤티,haredeu boreuheti
