セッシュウ,셋슈,sesshuu,sessyu
ブリキ,브리키,buriki,beuriki
ツグミ,츠구미,tsugumi,ceugumi
リノリコ,이방자,rinoriko,ibangja
オノ・ヨーコ,오노 요코,ono・yōko,ono yoko
ナツサイ,나츠나,natsusai,naceuna
ゼアミ,제아미,zeami,jeami
アキヒト,아키히토,akihito,akihito
アルベルト・フジモリ,알베르토 후지모리,aruberuto・fujimori,albereuto hujimori
ツルネン・マルテイ,쓰루넨 마루테이,tsurunen・marutei,sseurunen marutei
トクヒトシ,나루히토,tokuhitoshi,naruhito
オゾンファ,오선화,ozonfa,oseonhwa
リキヨシ,이청,rikiyoshi,iceong
チョウホンクン,장훈,chouhonkun,janghun
ハヤシミホ,린하이펑,hayashimiho,rinhaipeong
キフミオ,고분유,kifumio,gobunyu
クウカイ,구카이,kuukai,gukai
ブンヨコウ,문세광,bunyokou,munsegwang
トクヤマアキラモリ,홍창수,tokuyamaakiramori,hongcangsu
アキヤマシゲルクン,추성훈,akiyamashigerukun,cuseonghun
ディーン・フジオカ,딘 후지오카,dīn・fujioka,din hujioka
マサムネ,마사무네,masamune,masamune
キョウトオルユウ,강창웅,kyoutooruyuu,gangcangung
シンゼイ,신제이,shinzei,sinjei
シンラン,신란,shinran,sinran
リヨシエ,이양지,riyoshie,iyangji
ジエン,지엔,jien,jien
アンジェラ・アキ,안젤라 아키,anjera・aki,anjelra aki
セルヒオ・エスクデロ,세르히오 에스쿠데로,seruhio・esukudero,sereuhio eseukudero
カトウ・サトリ,사토리 카토,katou・satori,satori kato
アヤカ,아야카,ayaka,ayaka
エンニン,엔닌,ennin,ennin
ヒトミ,히토미,hitomi,hitomi
ブライアン・ティー,브라이언 티,buraian・tī,beuraieon ti
ノヤマハツツヨシ,노초웅,noyamahatsutsuyoshi,nocoung
ショー・コスギ,쇼 코스기,shō・kosugi,syo koseugi
ノハラミサエ,봉미선,noharamisae,bongmiseon
ヨドドノ,요도도노,yododono,yododono
ゴセイゲン,오청원,goseigen,oceongweon
セミマル,세미마루,semimaru,semimaru
キセン,기센,kisen,gisen
シュレッダー,슈레더,shureddā,syuredeo
フィオナ・グラハム,피오나 그레이엄,fiona・gurahamu,piona geureieom
コウヒロシヒメ,고용희,kouhiroshihime,goyonghyi
カスガノツボネ,가스가노쓰보네,kasuganotsubone,gaseuganosseubone
マツコ・デラックス,마츠코 디럭스,matsuko・derakkusu,maceuko direogseu
タムリン・トミタ,탬린 토미타,tamurin・tomita,taemrin tomita
アサヒヒメ,아사히히메,asahihime,asahihime
デキスギエイサイ,박영민,dekisugieisai,bagyeongmin
ルルティア,루루티아,rurutia,rurutia
ミハエル・コーガン,미하엘 코간,mihaeru・kōgan,mihael kogan
コオリアオ,효세이,kooriao,hyosei
イセ,이세,ise,ise
コユキ,코유키,koyuki,koyuki
カズオ・イシグロ,가즈오 이시구로,kazuo・ishiguro,gajeuo isiguro
キタロウ,키타로,kitarou,kitaro
ミナモトシズカ,신이슬,minamotoshizuka,siniseul
カシノユカ,카시유카,kashinoyuka,kasiyuka
ワタルスケ,야스케,watarusuke,yaseuke
アレックス・ラミレス,알렉스 라미레스,arekkusu・ramiresu,alregseu ramireseu
イサム・ノグチ,이사무 노구치,isamu・noguchi,isamu noguci
タモリ,타모리,tamori,tamori
サイチョウ,사이초,saichou,saico
ボクシュンキン,박춘금,bokushunkin,bagcungeum
カンショウユウ,한창우,kanshouyuu,hancangu
ツナコ,츠나코,tsunako,ceunako
キンジョウハジメヤスシ,김기태,kinjouhajimeyasushi,gimgitae
ナツダカネカブト,우종갑,natsudakanekabuto,ujonggab
キムイタルコトブキ,김달수,kimuitarukotobuki,gimdalsu
カレン・ロバート,로버트 컬런,karen・robāto,robeoteu keolreon
タケロンミコト,부론손,takeronmikoto,buronson
オオヤマバイタチ,최영의,ooyamabaitachi,coeyeongyi
ナターシャ・グジー,나탈리야 구지,natāsha・gujī,natalriya guji
フエキユウコ,유민,fuekiyuuko,yumin
