aleksandrs starkovs,알렉산드르스 스타르코우스,alregsandeureuseu seutareukouseu
ernests gulbis,에르네스츠 굴비스,ereuneseuceu gulbiseu
mihails barišņikovs,미하일 바리시니코프,mihail barisinikopeu
kārlis ulmanis,카를리스 울마니스,kareulriseu ulmaniseu
artjoms rudņevs,아르툠스 루드네우스,areutyomseu rudeuneuseu
juris hartmanis,유리스 하르트마니스,yuriseu hareuteumaniseu
vasilijs stepanovs,바실리스 스테파노우스,basilriseu seutepanouseu
mihails tāls,미하일스 탈스,mihailseu talseu
rainis,라이니스,rainiseu
egils levits,에길스 레비츠,egilseu rebiceu
andrejs perepļotkins,안드레이스 페레플료트킨스,andeureiseu perepeulryoteukinseu
andris bērziņš,안드리스 베르진슈,andeuriseu bereujinsyu
inta kļimovičadrēviņa,인타 클리모비차,inta keulrimobica
jānis lūsis,야니스 루시스,yaniseu rusiseu
sandis ozoliņš,산디스 오졸린슈,sandiseu ojolrinsyu
valdis dombrovskis,발디스 돔브로우스키스,baldiseu dombeurouseukiseu
guntis ulmanis,군티스 울마니스,guntiseu ulmaniseu
mariss jansons,마리스 얀손스,mariseu yansonseu
ainārs kovals,아이나르스 코발스,ainareuseu kobalseu
jānis čakste,야니스 착스테,yaniseu cagseute
aigars fadejevs,아이가르스 파데예우스,aigareuseu padeyeuseu
staņislavs olijars,스타니슬라우스 올리야르스,seutaniseulrauseu olriyareuseu
vaira vīķefreiberga,바이라 비케프레이베르가,baira bikepeureibereuga
vadims vasiļevskis,바딤스 바실레우스키스,badimseu basilreuseukiseu
edvīns bietags,에드빈스 비에탁스,edeubinseu bietagseu
jevgeņijs saproņenko,예우게니스 사프로넨코,yeugeniseu sapeuronenko
igors vihrovs,이고르스 비흐로우스,igoreuseu biheurouseu
mārtiņš rubenis,마르틴슈 루베니스,mareutinsyu rubeniseu
oskars dankers,오스카르스 당케르스,oseukareuseu dangkereuseu
viktors ščerbatihs,빅토르스 슈체르바티흐스,bigtoreuseu syucereubatiheuseu
indulis emsis,인둘리스 엠시스,indulriseu emsiseu
kārlis skrastiņš,카를리스 스크라스틴슈,kareulriseu seukeuraseutinsyu
viktors arājs,빅토르스 아라이스,bigtoreuseu araiseu
martins dukurs,마르틴스 두쿠르스,mareutinseu dukureuseu
moriss halle,모리스 할레,moriseu halre
jānis daliņš,야니스 달린슈,yaniseu dalrinsyu
arnis mednis,아르니스 메드니스,areuniseu medeuniseu
kaspars gorkšs,카스파르스 고르크슈,kaseupareuseu goreukeusyu
aleksandrs cauņa,알렉산드르스 차우냐,alregsandeureuseu caunya
vitālijs astafjevs,비탈리스 아스타페우스,bitalriseu aseutapeuseu
andris nelsons,안드리스 넬손스,andeuriseu nelsonseu
gustavs zemgals,구스타우스 젬갈스,guseutauseu jemgalseu
valdis zatlers,발디스 자틀레르스,baldiseu jateulrereuseu
vilis krištopans,빌리스 크리슈토판스,bilriseu keurisyutopanseu
aigars kalvītis,아이가르스 칼비티스,aigareuseu kalbitiseu
miša maiskis,미샤 마이스키,misya maiseuki
afanasijs kuzmins,아파나시스 쿠즈민스,apanasiseu kujeuminseu
alberts kviesis,알베르츠 크비에시스,albereuceu keubiesiseu
