lech wałęsa,레흐 바웬사,reheu bawensa
donald tusk,도날트 투스크,donalteu tuseukeu
laurent koscielny,로랑 코시엘니,rorang kosielni
lech kaczyński,레흐 카친스키,reheu kacinseuki
jerzy stuhr,예지 스투흐르,yeji seutuheureu
jan frycz,얀 프리치,yan peurici
franciszek smuda,프란치셰크 스무다,peurancisyekeu seumuda
julius axelrod,줄리어스 액설로드,julrieoseu aegseolrodeu
stanisław wojciechowski,스타니스와프 보이치에호프스키,seutaniseuwapeu boiciehopeuseuki
marek belka,마레크 벨카,marekeu belka
włodzimierz cimoszewicz,브워지미에시 치모셰비치,beuweojimiesi cimosyebici
jerzy buzek,예지 부제크,yeji bujekeu
natalia avelon,나탈리아 아벨론,natalria abelron
tomasz majewski,토마시 마예프스키,tomasi mayepeuseuki
maria skłodowskacurie,마리 퀴리,mari kwiri
krzysztof kieślowski,크쥐시토프 키에슬로프스키,keujwisitopeu kieseulropeuseuki
anni friesingerpostma,아니 프리징거포스트마,ani peurijinggeoposeuteuma
zbigniew boniek,즈비그니에프 보니에크,jeubigeuniepeu boniekeu
otylia jędrzejczak,오틸리아 옝제이차크,otilria yengjeicakeu
andrzej wajda,안제이 바이다,anjei baida
paul baran,폴 배런,pol baereon
thomas godoj,토마스 고도이,tomaseu godoi
wojciech jaruzelski,보이치에흐 야루젤스키,boicieheu yarujelseuki
paweł kukiz,파베우 쿠키스,pabeu kukiseu
stephanie kwolek,스테퍼니 퀄렉,seutepeoni kweolreg
eugen polanski,오이겐 폴란스키,oigen polranseuki
zbigniew zamachowski,즈비그니에프 자마호프스키,jeubigeuniepeu jamahopeuseuki
anita włodarczyk,아니타 브워다르치크,anita beuweodareucikeu
stanisław lem,스타니스와프 렘,seutaniseuwapeu rem
leszek miller,레셰크 밀레르,resyekeu milrereu
władysław raczkiewicz,브와디스와프 라치키에비치,beuwadiseuwapeu racikiebici
aleksander kwaśniewski,알렉산데르 크바시니에프스키,alregsandereu keubasiniepeuseuki
agata kulesza,아가타 쿨레샤,agata kulresya
adam kokoszka,아담 코코슈카,adam kokosyuka
wisława szymborska,비스와바 심보르스카,biseuwaba simboreuseuka
henryk sienkiewicz,헨리크 시엔키에비치,henrikeu sienkiebici
sławomir mrożek,스와보미르 므로제크,seuwabomireu meurojekeu
jarosław kaczyński,야로스와프 카친스키,yaroseuwapeu kacinseuki
waldemar pawlak,발데마르 파블라크,baldemareu pabeulrakeu
tadeusz mazowiecki,타데우시 마조비에츠키,tadeusi majobieceuki
kazimierz marcinkiewicz,카지미에시 마르친키에비치,kajimiesi mareucinkiebici
alexander granach,알렉산더 그라나흐,alregsandeo geuranaheu
adam mickiewicz,아담 미츠키에비치,adam miceukiebici
raymond kopa,레몽 코파,remong kopa
leon jogiches,레오 요기헤스,reo yogiheseu
monika sozanska,모니카 조찬스카,monika jocanseuka
lestek,레스테크,reseutekeu
józef gosławski,유제프 고스와프스키,yujepeu goseuwapeuseuki
kazimierz funk,카지미르 풍크,kajimireu pungkeu
adam harasiewicz,아담 하라셰비치,adam harasyebici
miroslav klose,미로슬라프 클로제,miroseulrapeu keulroje
łukasz fabiański,우카시 파비안스키,ukasi pabianseuki
olek krupa,알렉산데르 크루파,alregsandereu keurupa
kamil glik,카밀 글리크,kamil geulrikeu
anna maria jopek,안나 마리아 요페크,anna maria yopekeu
małgorzata bela,마우고시아 벨라,maugosia belra
