leandro damião,레안드루 다미앙,reandeuru damiang
joão carlos dos santos,주앙 카를루스 두스 산투스,juang kareulruseu duseu santuseu
thiago alcântara,티아고 알칸타라,tiago alkantara
júlio baptista,줄리우 바프티스타,julriu bapeutiseuta
gisele bündchen,지젤 번천,jijel beonceon
paulo coelho,파울로 코엘료,paulro koelryo
luiz adriano,루이스 아드리아누,ruiseu adeurianu
helena ignez,엘레나 이그네스,elrena igeuneseu
nélson luís kerchner,네우송 루이스 케르슈네르,neusong ruiseu kereusyunereu
ayrton senna,아이르통 세나,aireutong sena
valdir benedito,발디르 베네디토,baldireu benedito
pelé,펠레,pelre
zilda arns,지우다 아른스,jiuda areunseu
juninho pernambucano,주니뉴 페르남부카누,juninyu pereunambukanu
hulk,헐크,heolkeu
kléber laube pinheiro,클레베르 라우비 피녜이루,keulrebereu raubi pinyeiru
ricardo alexandre dos santos,히카르두 알레샨드리 두스 산투스,hikareudu alresyandeuri duseu santuseu
heitor villalobos,에이토르 빌라로부스,eitoreu bilrarobuseu
mário de andrade,마리우 지 안드라지,mariu ji andeuraji
oscar niemeyer,오스카르 니에메예르,oseukareu niemeyereu
glória pires,글로리아 피르스,geulroria pireuseu
alessandra ambrósio,알레산드라 암브로지우,alresandeura ambeurojiu
adriana lima,아드리아나 리마,adeuriana rima
alexandre pato,알레샨드리 파투,alresyandeuri patu
donizete oliveira,도니제치 올리베이라,donijeci olribeira
oscar dos santos emboaba júnior,오스카르 두스 산투스 임보아바 주니오르,oseukareu duseu santuseu imboaba junioreu
zinho,지뉴,jinyu
felipe melo,펠리피 멜루,pelripi melru
bebeto,베베투,bebetu
bernardo fernandes da silva,베르나르도 페르난드스 다 시우바,bereunareudo pereunandeuseu da siuba
ramires,하미리스,hamiriseu
carolina dieckmann,카롤리나 지에크망,karolrina jiekeumang
júlio césar soares espíndola,줄리우 세자르 소아리스 이스핀돌라,julriu sejareu soariseu iseupindolra
kevin kurányi,케빈 쿠라니,kebin kurani
mano menezes,마누 메네지스,manu menejiseu
jorge amado,조르지 아마두,joreuji amadu
joão havelange,주앙 아벨란제,juang abelranje
zizinho,지지뉴,jijinyu
nilmar,니우마르,niumareu
elano,일라누,ilranu
éverton santos,이베르통 산투스,ibereutong santuseu
reinaldo da cruz oliveira,헤이나우두 다 크루스 올리베이라,heinaudu da keuruseu olribeira
willian borges da silva,윌리앙 보르지스 다 시우바,wilriang boreujiseu da siuba
leandro montera da silva,레안드루 몬테라 다 시우바,reandeuru montera da siuba
edmilson dos santos silva,에드미우송 두스 산투스 시우바,edeumiusong duseu santuseu siuba
deodoro da fonseca,데오도루 다 폰세카,deodoru da ponseka
neymar,네이마르,neimareu
juan silveira dos santos,주앙 시우베이라 두스 산투스,juang siubeira duseu santuseu
cléo,클레우,keulreu
nathalia dill,나탈리아 딜,natalria dil
