alexandra stan,알렉산드라 스탄,alregsandeura seutan
ikechi anya,이케치 안야,ikeci anya
inna,이나,ina
george emil palade,조지 에밀 펄레이드,joji emil peolreideu
alexandra nechita,알렉산드라 네치타,alregsandeura necita
liviu librescu,리비우 리브레스쿠,ribiu ribeureseuku
dan balan,단 벌란,dan beolran
cristian mungiu,크리스티안 문지우,keuriseutian munjiu
herta müller,헤르타 뮐러,hereuta mwilreo
ion antonescu,이온 안토네스쿠,ion antoneseuku
simona halep,시모나 할레프,simona halrepeu
mihai răzvan ungureanu,미하이 러즈반 운구레아누,mihai reojeuban ungureanu
iolanda balaș,이올란다 발라슈,iolranda balrasyu
nadia comăneci,나디아 코마네치,nadia komaneci
elena ceaușescu,엘레나 차우셰스쿠,elrena causyeseuku
octavian goga,옥타비안 고가,ogtabian goga
gheorghe popescu,게오르게 포페스쿠,georeuge popeseuku
răzvan raț,러즈반 라츠,reojeuban raceu
nicolae timofti,니콜라에 티모프티,nikolrae timopeuti
sergiu celibidache,세르주 첼리비다케,sereuju celribidake
traian băsescu,트라이안 버세스쿠,teuraian beoseseuku
regina elisabeta a greciei,엘리사베타 아 로므니에이 왕녀,elrisabeta a romeuniei wangnyeo
marian aliuță,마리안 알리우차,marian alriuca
cătălina ponor,커털리나 포노르,keoteolrina ponoreu
dinu lipatti,디누 리파티,dinu ripati
ștefan radu,슈테판 라두,syutepan radu
tristan tzara,트리스탕 차라,teuriseutang cara
andreo cseh,체흐 언도르,ceheu eondoreu
laura badea,라우라 바데아,raura badea
eugen ionescu,외젠 이오네스코,oejen ioneseuko
györgy kurtág,죄르지 쿠르탁,joereuji kureutag
lavinia miloșovici,라비니아 밀로쇼비치,rabinia milrosyobici
monica roșu,모니카 로슈,monika rosyu
anamaria marinca,아나마리아 마린카,anamaria marinka
alma gluck,알마 글루크,alma geulrukeu
gabriela szabó,가브리엘라 사보,gabeurielra sabo
aurelia dobre,아우렐리아 도브레,aurelria dobeure
emil boc,에밀 보크,emil bokeu
emil constantinescu,에밀 콘스탄티네스쿠,emil konseutantineseuku
ciprian marica,치프리안 마리카,cipeurian marika
petru groza,페트루 그로자,peteuru geuroja
edward maya,에드워드 마야,edeuweodeu maya
corneliu zelea codreanu,코르넬리우 젤레아 코드레아누,koreunelriu jelrea kodeureanu
chivu stoica,키부 스토이카,kibu seutoika
dudu georgescu,두두 제오르제스쿠,dudu jeoreujeseuku
paul celan,파울 첼란,paul celran
nicolae văcăroiu,니콜라에 버커로이우,nikolrae beokeoroiu
angela gheorghiu,안젤라 게오르기우,anjelra georeugiu
bogdan lobonț,보그단 로본츠,bogeudan robonceu
ana pauker,아나 파우커,ana paukeo
vlad filat,블라드 필라트,beulradeu pilrateu
victor ponta,빅토르 폰타,bigtoreu ponta
sorin ghionea,소린 기오네아,sorin gionea
alexandru averescu,알렉산드루 아베레스쿠,alregsandeuru abereseuku
maia morgenstern,마이아 모르겐스테른,maia moreugenseutereun
sandra izbașa,산드라 이즈바샤,sandeura ijeubasya
gheorghe hagi,게오르게 하지,georeuge haji
jean negulesco,진 네글레스코,jin negeulreseuko
alexandra maria lara,알렉산드라 마리아 라라,alregsandeura maria rara
ecaterina szabó,에카테리나 사보,ekaterina sabo
elena gheorghe,엘레나 게오르게,elrena georeuge
ion iliescu,이온 일리에스쿠,ion ilrieseuku
adrian neaga,아드리안 네아가,adeurian neaga
ana maria brânză,아나 마리아 포페스쿠,ana maria popeseuku
paula ivan,파울라 이반,paulra iban
doina melinte,도이나 멜린테,doina melrinte
harvey keitel,하비 카이텔,habi kaitel
gheorghe zamfir,게오르그 잠피르,georeugeu jampireu
simona amânar,시모나 아므나르,simona ameunareu
ana blandiana,아나 블란디아나,ana beulrandiana
linda maria baros,린다 마리아 바로스,rinda maria baroseu
gabriel tamaș,가브리엘 타마슈,gabeuriel tamasyu
viorel moldovan,비오렐 몰도반,biorel moldoban
paula seling,파울라 셀린그,paulra selringeu
daniela silivaș,다니엘라 실리바슈,danielra silribasyu
mircea lucescu,미르체아 루체스쿠,mireucea ruceseuku
gheorghe dinică,게오르게 디니커,georeuge dinikeo
daniel niculae,다니엘 니쿨라에,daniel nikulrae
constantina dițătomescu,콘스탄티나 디처,konseutantina diceo
george enescu,제오르제 에네스쿠,jeoreuje eneseuku
emil cioran,에밀 시오랑,emil siorang
adrian mutu,아드리안 무투,adeurian mutu
adrian pintea,아드리안 핀테아,adeurian pintea
pavel badea,파벨 바데아,pabel badea
robert steinberg,로베르트 스테인베르그,robereuteu seuteinbereugeu
walter zenga,발테르 젱가,baltereu jengga
mihai ghimpu,미하이 김푸,mihai gimpu
cosmin contra,코스민 콘트라,koseumin konteura
petre becheru,페트레 베체루,peteure beceru
gheorghe gheorghiudej,게오르게 게오르기우데지,georeuge georeugiudeji
hermann oberth,헤르만 오베르트,hereuman obereuteu
nadia gray,나디아 그레이,nadia geurei
stefan hell,슈테판 헬,syutepan hel
diana mocanu,디아나 모카누,diana mokanu
cristian chivu,크리스티안 키부,keuriseutian kibu
călin popescutăriceanu,컬린 포페스쿠터리체아누,keolrin popeseukuteoriceanu
maricica puică,마리시카 푸이커,marisika puikeo
mihaela peneș,미하엘라 페네슈,mihaelra penesyu
camelia potec,카멜리아 포테크,kamelria potekeu
petru lucinschi,페트루 루친스키,peteuru rucinseuki
ion gheorghe maurer,이온 게오르게 마우레르,ion georeuge maurereu
florin răducioiu,플로린 러두치오이우,peulrorin reoducioiu
adrian ilie,아드리안 일리에,adeurian ilrie
victor pițurcă,빅토르 피추르커,bigtoreu picureukeo
răzvan cociș,러즈반 코치슈,reojeuban kocisyu
lucian blaga,루치안 블라가,rucian beulraga
dorin goian,도린 고이안,dorin goian
marius niculae,마리우스 니쿨라에,mariuseu nikulrae
cristian dănălache,크리스티안 더널라케,keuriseutian deoneolrake
marius urzică,마리우스 우르지커,mariuseu ureujikeo
mihai pintilii,미하이 핀틸리,mihai pintilri
ilie năstase,일리에 너스타세,ilrie neoseutase
viorica viscopoleanu,비오리카 비스코폴레아누,biorika biseukopolreanu
cristian săpunaru,크리스티안 서푸나루,keuriseutian seopunaru
nicolae dobrin,니콜라에 도브린,nikolrae dobeurin
radu jude,라두 주데,radu jude
ștefan kovács,슈테판 코바치,syutepan kobaci
nicu vlad,니쿠 블라드,niku beulradeu
eduard pană,에두아르드 파너,eduareudeu paneo
florin gardoș,플로린 가르도슈,peulrorin gareudosyu
florin zalomir,플로린 잘로미르,peulrorin jalromireu
tiberiu dolniceanu,티베리우 돌니체아누,tiberiu dolniceanu
ion draica,이온 드라이카,ion deuraika
nicolae dică,니콜라에 디커,nikolrae dikeo
ștefan rusu,슈테판 루수,syutepan rusu
alexandru chipciu,알렉산드루 킵치우,alregsandeuru kibciu
maria drăguș,마리아빅토리아 드라구스,mariabigtoria deuraguseu
dorinel munteanu,도리넬 문테아누,dorinel munteanu
mircea geoană,미르체아 제오아너,mireucea jeoaneo
gheorghe berceanu,게오르게 베르체아누,georeuge bereuceanu
alfred eisenbeisser,알프레드 에젠베이저,alpeuredeu ejenbeijeo
eric bicfalvi,에리크 비크팔비,erikeu bikeupalbi
valerică găman,발레리커 거만,balrerikeo geoman
george piștereanu,제오르제 피슈테레아누,jeoreuje pisyutereanu
adrian popa,아드리안 포파,adeurian popa
costel pantilimon,코스텔 판틸리몬,koseutel pantilrimon
armand călinescu,아르만드 컬리네스쿠,areumandeu keolrineseuku
crin antonescu,크린 안토네스쿠,keurin antoneseuku
dorin mateuț,도린 마테우츠,dorin mateuceu
paul codrea,파울 코드레아,paul kodeurea
dacian cioloș,다치안 치올로슈,dacian ciolrosyu
fița lovin,피타 로빈,pita robin
horia sima,호리아 시마,horia sima
simona păucă,시모나 퍼우커,simona peoukeo
vasile andrei,바실레 안드레이,basilre andeurei
raul rusescu,라울 루세스쿠,raul ruseseuku
radu dărăban,라두 더러반,radu deoreoban
simona gherman,시모나 게르만,simona gereuman
elina löwensohn,엘리나 뢰벤존,elrina roebenjon
alexandru sirițeanu,알렉산드루 시리체아누,alregsandeuru siriceanu
ionuț luțu,이온 루추,ion rucu
adrian stoian,아드리안 스토이안,adeurian seutoian
mirel rădoi,미렐 러도이,mirel reodoi
bănel nicoliță,버넬 니콜리처,beonel nikolriceo
david wechsler,데이비드 웩슬러,deibideu wegseulreo
andrei prepeliță,안드레이 프레펠리처,andeurei peurepelriceo
sebastian stan,세바스티안 스탄,sebaseutian seutan
gabriel torje,가브리엘 토르제,gabeuriel toreuje
dragoș grigore,드라고슈 그리고레,deuragosyu geurigore
ion coteanu,이온 코테아누,ion koteanu
florentin petre,플로렌틴 페트레,peulrorentin peteure
gheorghe mureșan,게오르게 무레샨,georeuge muresyan
ilie dumitrescu,일리에 두미트레스쿠,ilrie dumiteureseuku
nicolao dumitru,니콜라오 두미트루,nikolrao dumiteuru
liviu rebreanu,리비우 레브레아누,ribiu rebeureanu
otilia bădescu,오틸리아 바데스쿠,otilria badeseuku
bianca pascu,비안카 파스쿠,bianka paseuku
nicușor stanciu,니콜라에 스탄치우,nikolrae seutanciu
răzvan lucescu,러즈반 루체스쿠,reojeuban ruceseuku
aurelian chițu,아우렐리안 키추,aurelrian kicu
gabriel popescu,가브리엘 포페스쿠,gabeuriel popeseuku
ana caterina morariu,아나 카테리나 모라리우,ana katerina morariu
cosmin olăroiu,코스민 올러로이우,koseumin olreoroiu
radu lupu,라두 루푸,radu rupu
rodion cămătaru,로디온 커머타루,rodion keomeotaru
vlad chiricheș,블라드 키리케슈,beulradeu kirikesyu
gheorghe tătărescu,게오르게 터터레스쿠,georeuge teoteoreseuku
andrei mureșanu,안드레이 무레샤누,andeurei muresyanu
daniel ghiță,다니엘 기타,daniel gita
