нюша,뉴샤,nyusya
тимати,티마티,timati
колосс,콜로서스,kolroseoseu
хамелеон,카멜레온,kamelreon
земфира,젬피라,jempira
носорог,라이노,raino
алсу,알수,alsu
наташа королёва,나타샤 코롤료바,natasya korolryoba
пелагея,펠라게야,pelrageya
россияне,로시야네,rosiyane
валерия,발레리야,balreriya
витас,비타스,bitaseu
мэджик,매직,maejig
джиган,지간,jigan
тутта ларсен,투타 라르센,tuta rareusen
малком,마우콩,maukong
настя стен,나스탸 스텐,naseutya seuten
манижа,마니자,manija
лия сильвер,리야 실버,riya silbeo
россия,러시아,reosia
новосибирск,노보시비르스크,nobosibireuseukeu
автоваз,아브토바즈,abeutobajeu
йошкарола,요시카르올라,yosikareuolra
москва,모스크바,moseukeuba
санктпетербург,상트페테르부르크,sangteupetereubureukeu
смоленск,스몰렌스크,seumolrenseukeu
абакан,아바칸,abakan
екатеринбург,예카테린부르크,yekaterinbureukeu
ярославль,야로슬라블,yaroseulrabeul
самара,사마라,samara
кострома,코스트로마,koseuteuroma
уйгуры,위구르족,wigureujog
моздок,모즈도크,mojeudokeu
смидович,스미도비치,seumidobici
чита,치타,cita
тверь,트베리,teuberi
иваново,이바노보,ibanobo
пенза,펜자,penja
рязань,랴잔,ryajan
зеленоградск,젤레노그라츠크,jelrenogeuraceukeu
казань,카잔,kajan
омск,옴스크,omseukeu
челябинск,첼랴빈스크,celryabinseukeu
чебоксары,체복사리,cebogsari
ростовнадону,로스토프나도누,roseutopeunadonu
брянск,브랸스크,beuryanseukeu
тула,툴라,tulra
уфа,우파,upa
калининградский залив,비스툴라 석호,biseutulra seogho
зеленогорск,젤레노고르스크,jelrenogoreuseukeu
ардон,아르돈,areudon
куршский залив,쿠로니아 석호,kuronia seogho
орск,오르스크,oreuseukeu
мир,미르,mireu
торопец,토로페츠,toropeceu
толбачик,톨바치크,tolbacikeu
московский метрополитен,모스크바 지하철,moseukeuba jihaceol
байкал,바이칼호,baikalho
волгоград,볼고그라드,bolgogeuradeu
пермь,페름,pereum
калуга,칼루가,kalruga
орёл,오룔,oryol
ульяновск,울리야놉스크,ulriyanobseukeu
виштынецкое,비슈티티스호,bisyutitiseuho
красноярск,크라스노야르스크,keuraseunoyareuseukeu
курск,쿠르스크,kureuseukeu
балтийск,발티스크,baltiseukeu
советск,소베츠크,sobeceukeu
черняховск,체르냐홉스크,cereunyahobseukeu
гвардейск,그바르데이스크,geubareudeiseukeu
неман,네만,neman
владивосток,블라디보스토크,beulradiboseutokeu
мариинск,마린스크,marinseukeu
олонец,올로네츠,olroneceu
камчатка,캄차카반도,kamcakabando
томск,톰스크,tomseukeu
курильское течение,오야시오 해류,oyasio haeryu
аэрофлот,아에로플로트,aeropeulroteu
тюмень,튜멘,tyumen
светлый,스베틀리,seubeteulri
гусев,구세프,gusepeu
белгород,벨고로드,belgorodeu
тольятти,톨리야티,tolriyati
тольяттиазот,톨리야티아조,tolriyatiajo
липецк,리페츠크,ripeceukeu
краснодар,크라스노다르,keuraseunodareu
сибирские траппы,시베리아 트랩,siberia teuraeb
