热比娅·卡德尔,레비야 카디르,rè bǐ yà · kǎ dé ěr,rebiya kadireu
吐赫提·土亚兹,토흐티 툰야즈,tǔ hè tí · tǔ yà zī,toheuti tunyajeu
德穆楚克栋鲁普,데므치그돈로브,dé mù chǔ kè dòng lǔ pǔ,demeucigeudonrobeu
包尔汉·沙希迪,부르한 샤히디,bāo ěr hàn · shā xī dí,bureuhan syahidi
伊力哈木·土赫提,일함 토흐티,yī lì hā mù · tǔ hè tí,ilham toheuti
班禅额尔德尼·确吉杰布,기알첸 노르부,bān chán é ěr dé ní · què jí jié bù,gialcen noreubu
巴音朝鲁,바인차오루,bā yīn cháo lǔ,baincaoru
李旺阳事件,리왕양,lǐ wàng yáng shì jiàn,riwangyang
至善禅师,지선선사,zhì shàn chán shī,jiseonseonsa
洛桑江村,뤄쌍장춘,luò sāng jiāng cūn,rweossangjangcun
徐田龙子,쉬톈룽쯔,xú tián lóng zǐ,swityenrungjjeu
白玛赤林,바이마츠린,bái mǎ chì lín,baimaceurin
孟克巴特尔,멍커바터얼,mèng kè bā tè ěr,meongkeobateoeol
努尔·白克力,누르 베크리,nǔ ěr · bái kè lì,nureu bekeuri
赛福鼎·艾则孜,사이푸딘 아지지,sài fú dǐng · ài zé zī,saipudin ajiji
清格尔泰,칭걸테,qīng gé ěr tài,cinggeolte
阿沛·阿旺晋美,아푀 아왕직메,ā pèi · ā wàng jìn měi,apoe awangjigme
艾达·王,에이다 웡,ài dá · wáng,eida weong
端木蕻良,돤무훙량,duān mù hóng liáng,dwanmuhungryang
向巴平措,샹바핑춰,xiàng bā píng cuò,syangbapingcweo
欧阳予倩,어우양위첸,ōu yáng yǔ qiàn,eouyangwicen
木热合买提江·莫扎帕,미라흐메트잔 무제페르,mù rè hé mǎi tí jiāng · mò zhā pà,miraheumeteujan mujepereu
古力娜扎,구리나자,gǔ lì nà zhā,gurinaja
斯琴高娃,쓰친가오와,sī qín gāo wá,sseucingaowa
母其弥雅,무치미야,mǔ qí mí yǎ,mucimiya
麦迪娜·买买提,마디나 메메트,mài dí nà · mǎi mǎi tí,madina memeteu
正珠尔扎布,젱주르자브,zhèng zhū ěr zhā bù,jengjureujabeu
白银市连环杀人案,가오청융,bái yín shì lián huán shā rén àn,gaoceongyung
美,메이,měi,mei
锟,쿤,kūn,kun
迪妮格尔·衣拉木江,디니거얼 이라무장,dí nī gé ěr · yī lā mù jiāng,dinigeoeol iramujang
史蒂文·何,스티븐 히,shǐ dì wén · hé,seutibeun hi
王,왕,MODIFIED,wáng,wang
明娟,밍쥐안,MODIFIED,míng juān,mingjwian
唐,탕,MODIFIED,táng,tang
奕,이,MODIFIED,yì,i
陈,천,MODIFIED,chén,ceon
定,딩,MODIFIED,dìng,ding
张,장,MODIFIED,zhāng,jang
昊,하오,MODIFIED,hào,hao
李,리,MODIFIED,lǐ,ri
彦宏,옌훙,MODIFIED,yàn hóng,yenhung
周,저,MODIFIED,zhōu,jeo
永康,우융캉,MODIFIED,yǒng kāng,uyungkang
洋,우양,MODIFIED,yáng,uyang
鑫,신,MODIFIED,xīn,sin
小平,샤오핑,MODIFIED,xiǎo píng,syaoping
董,둥,MODIFIED,dǒng,dung
建华,젠화,MODIFIED,jiàn huá,jenhwa
曾,쩡,MODIFIED,céng,jjeong
荫权,인취안,MODIFIED,yìn quán,incwian
马,마,MODIFIED,mǎ,ma
凯,카이,MODIFIED,kǎi,kai
邓,덩,MODIFIED,dèng,deong
朴方,푸팡,MODIFIED,pǔ fāng,pupang
赵,자,MODIFIED,zhào,ja
克志,오커즈,MODIFIED,kè zhì,okeojeu
宏博,오훙보,MODIFIED,hóng bó,ohungbo
树理,오수리,MODIFIED,shù lǐ,osuri
庄,좡,MODIFIED,zhuāng,jwang
则栋,쩌둥,MODIFIED,zé dòng,jjeodung
泳,융,MODIFIED,yǒng,yung
卓,줘,MODIFIED,zhuó,jweo
琳,린,MODIFIED,lín,rin
江,장,MODIFIED,jiāng,jang
泽民,쩌민,MODIFIED,zé mín,jjeomin
丁,딩,MODIFIED,dīng,ding
玲,링,MODIFIED,líng,ring
钱,첸,MODIFIED,qián,cen
哈,하,MODIFIED,hā,ha
金,진,MODIFIED,jīn,jin
俞,위,MODIFIED,yú,wi
正声,정성,MODIFIED,zhèng shēng,jeongseong
梁,렁,MODIFIED,liáng,reong
振英,춘잉,MODIFIED,zhèn yīng,cuning
巴,바,MODIFIED,bā,ba
莫,모,MODIFIED,mò,mo
言,옌,MODIFIED,yán,yen
庆伟,칭웨이,MODIFIED,qìng wěi,cingwei
帅,솨이,MODIFIED,shuài,swai
迅,우쉰,MODIFIED,xùn,uswin
文重,우원중,MODIFIED,wén zhòng,uweonjung
邹,쩌,MODIFIED,zōu,jjeo
市明,우스밍,MODIFIED,shì míng,useuming
胡,후,MODIFIED,hú,hu
锦涛,진타오,MODIFIED,jǐn tāo,jintao
宁,닝,MODIFIED,níng,ning
刘,류,MODIFIED,liú,ryu
亦菲,이페이,MODIFIED,yì fēi,ipei
