douglas adams,道格拉斯·亚当斯,dào gé lā sī · yà dāng sī
tim bernerslee,蒂姆·伯纳斯李,dì mǔ · bǎi nà sī lǐ
patrick stewart,帕特里克·斯图尔特,pà tè lǐ kè · sī tú ěr tè
john barnes,约翰·巴恩斯,yuē hàn · bā ēn sī
rob page,罗布·佩吉,luó bù · pèi jí
timothy dalton,蒂莫西·道尔顿,dì mò xī · dào ěr dùn
scott loach,史葛·路治,shǐ gě · lù zhì
lee hodson,李·霍德森,lǐ · huò dé sēn
leanne wood,莉安·伍德,lì ān · wǔ dé
nyron nosworthy,奈伦·诺斯沃西,nài lún · nuò sī wò xī
tom ince,汤姆·恩斯,tāng mǔ · ēn sī
james degale,詹姆斯·德盖尔,zhān mǔ sī · dé gài ěr
michael carrick,迈克尔·卡里克,mài kè ěr · kǎ lǐ kè
arthur balfour,阿瑟·贝尔福,ā sè · bèi ěr fú
adrian mariappa,阿德里安·马里亚柏,ā dé lǐ ān · mǎ lǐ yà bǎi
jimmy wales,吉米·威尔斯,jí mǐ · wēi ěr sī
danny graham,丹尼·格拉咸,dān ní · gé lā xián
tom cleverley,汤姆·克莱维利,tāng mǔ · kè lái wéi lì
ben foster,宾·科士打,bīn · kē shì dǎ
marlon king,马龙·京治,mǎ lóng · jīng zhì
sarah walker,莎拉·沃克,shā lā · wò kè
monty python,蒙提·派森,méng tí · pài sēn
robin williams,罗宾·威廉姆斯,luó bīn · wēi lián mǔ sī
helen richardsonwalsh,海伦·理查森沃尔什,hǎi lún · lǐ chá sēn wò ěr shén
nicola white,妮古拉·怀特,nī gǔ lā · huái tè
laura bartlett,劳拉·巴特利特,láo lā · bā tè lì tè
laura unsworth,劳拉·昂斯沃思,láo lā · áng sī wò sī
hannah macleod,汉娜·麦克劳德,hàn nà · mài kè láo dé
alex danson,亚历克丝·丹森,yà lì kè sī · dān sēn
judi dench,茱蒂·丹契,zhū dì · dān qì
emily maguire,埃米莉·马圭尔,āi mǐ lì · mǎ guī ěr
ashleigh ball,阿什莉·鲍尔,ā shén lì · bào ěr
clifford edmund bosworth,克利福德·埃德蒙德·博斯沃思,kè lì fú dé · āi dé méng dé · bó sī wò sī
anne panter,安妮·潘特,ān nī · pān tè
henry gray,亨利·格雷,hēng lì · gé léi
chloe rogers,克洛艾·罗杰斯,kè luò ài · luó jié sī
david cameron,戴维·卡梅伦,dài wéi · kǎ méi lún
kate bush,凯特·布希,kǎi tè · bù xī
sean dyche,肖恩·戴彻,xiào ēn · dài chè
kenny jackett,肯尼·杰基特,kěn ní · jié jī tè
eddie redmayne,埃迪·雷德梅尼,āi dí · léi dé méi ní
scott adkins,斯科特·阿金斯,sī kē tè · ā jīn sī
hertha ayrton,赫莎·艾尔顿,hè shā · ài ěr dùn
vanessa branch,范妮莎·布兰奇,fàn nī shā · bù lán qí
marvin sordell,马尔文·索德尔,mǎ ěr wén · suǒ dé ěr
john rhysdavies,约翰·里斯戴维斯,yuē hàn · lǐ sī dài wéi sī
ashley young,艾殊利·杨格,ài shū lì · yáng gé
alma deutscher,阿尔玛·多伊彻,ā ěr mǎ · duō yī chè
ralph fiennes,雷夫·范恩斯,léi fū · fàn ēn sī
david mitchell,大卫·米切尔,dà wèi · mǐ qiè ěr
kieran gibbs,基兰·基比斯,jī lán · jī bǐ sī
charlie chaplin,查理·卓别林,chá lǐ · zhuó bié lín
frank lloyd,弗兰克·洛伊德,fú lán kè · luò yī dé
gordon brown,戈登·布朗,gē dēng · bù lǎng
stephen hawking,史蒂芬·霍金,shǐ dì fēn · huò jīn
charles oman,查尔斯·欧曼,chá ěr sī · ōu màn
sacha baron cohen,沙查·巴隆·科恩,shā chá · bā lóng · kē ēn
doris lessing,多丽丝·莱辛,duō lì sī · lái xīn
virginia woolf,弗吉尼亚·吴尔夫,fú jí ní yà · wú ěr fū
alex salmond,亚历克斯·萨尔蒙德,yà lì kè sī · sà ěr méng dé
charles roden buxton,查尔斯·罗登·巴克斯顿,chá ěr sī · luó dēng · bā kè sī dùn
neville chamberlain,内维尔·张伯伦,nèi wéi ěr · zhāng bǎi lún
james bevis,詹姆斯·贝维斯,zhān mǔ sī · bèi wéi sī
desmond llewelyn,戴斯蒙·李维林,dài sī méng · lǐ wéi lín
chris smalling,克里斯·斯莫林,kè lǐ sī · sī mò lín
jonny evans,乔尼·埃文斯,qiáo ní · āi wén sī
carl jenkinson,卡尔·詹金森,kǎ ěr · zhān jīn sēn
harold pinter,哈罗德·品特,hā luó dé · pǐn tè
theo walcott,西奥·沃尔科特,xī ào · wò ěr kē tè
john lennon,约翰·列侬,yuē hàn · liè nóng
gladwyn jebb,格拉德温·杰布,gé lā dé wēn · jié bù
friedrich hayek,弗里德里希·哈耶克,fú lǐ dé lǐ xī · hā yē kè
john eustace,约翰·尤斯塔斯,yuē hàn · yóu sī tǎ sī
troy deeney,特罗伊·迪尼,tè luó yī · dí ní
jonathan hogg,乔纳森·霍格,qiáo nà sēn · huò gé
chris iwelumo,克里斯·埃维鲁莫,kè lǐ sī · āi wéi lǔ mò
jonathan bond,乔纳森·邦德,qiáo nà sēn · bāng dé
tommie hoban,托米·霍班,tuō mǐ · huò bān
stephen mcginn,斯蒂芬·麦克金,sī dì fēn · mài kè jīn
alesha dixon,艾莉莎·迪克森,ài lì shā · dí kè sēn
nathaniel chalobah,纳撒尼尔·查洛巴,nà sā ní ěr · chá luò bā
frank lampard,法兰克·林柏特,fǎ lán kè · lín bǎi tè
james key,詹姆斯·基,zhān mǔ sī · jī
ellie goulding,艾丽·高登,ài lì · gāo dēng
robert louis stevenson,罗伯特·路易斯·史蒂文森,luó bǎi tè · lù yì sī · shǐ dì wén sēn
siobhan chamberlain,西沃恩·张伯伦,xī wò ēn · zhāng bǎi lún
rachel brownfinnis,蕾切尔·布朗,lěi qiè ěr · bù lǎng
mo farah,穆罕默德·法拉,mù hǎn mò dé · fǎ lā
hope powell,霍普·鲍威尔,huò pǔ · bào wēi ěr
sophie bradleyauckland,索菲·布拉德利奥克兰,suǒ fēi · bù lā dé lì ào kè lán
laura bassett,劳拉·巴西特,láo lā · bā xī tè
casey stoney,凯茜·斯托尼,kǎi qiàn · sī tuō ní
steph houghton,斯蒂夫·霍顿,sī dì fū · huò dùn
claire rafferty,克莱尔·拉弗蒂,kè lái ěr · lā fú dì
rupert grint,鲁伯特·葛林,lǔ bǎi tè · gě lín
karl henry,卡尔·亨利,kǎ ěr · hēng lì
harry haslam,哈里·哈斯拉姆,hā lǐ · hā sī lā mǔ
kenny miller,坚尼·米拿,jiān ní · mǐ ná
arthur leighton,阿瑟·莱顿,ā sè · lái dùn
hugo weaving,晓高·韦荣,xiǎo gāo · wéi róng
stanley kubrick,斯坦利·库布里克,sī tǎn lì · kù bù lǐ kè
karen carney,卡伦·卡尼,kǎ lún · kǎ ní
fara williams,法拉·威廉斯,fǎ lā · wēi lián sī
robbie grabarz,罗比·格拉巴茨,luó bǐ · gé lā bā cí
greg rutherford,格雷格·卢瑟福,gé léi gé · lú sè fú
faye white,费伊·怀特,fèi yī · huái tè
rachel williams,蕾切尔·威廉斯,lěi qiè ěr · wēi lián sī
toni duggan,托妮·达根,tuō nī · dá gēn
peter lilley,彼得·莱利,bǐ dé · lái lì
victoria beckham,维多利亚·贝克汉姆,wéi duō lì yà · bèi kè hàn mǔ
ellen white,埃伦·怀特,āi lún · huái tè
