álvaro gaxiola,阿尔瓦罗·加克西奥拉,ā ěr wǎ luó · jiā kè xī ào lā
andrépierre gignac,安德雷皮埃尔·吉尼亚克,ān dé léi pí āi ěr · jí ní yà kè
gerónimo,杰罗尼莫,jié luó ní mò
frida kahlo,芙烈达·卡萝,fú liè dá · kǎ luó
pável pardo,帕韦尔·帕尔多,pà wéi ěr · pà ěr duō
plutarco elías calles,普卢塔科·埃利亚斯·卡列斯,pǔ lú tǎ kē · āi lì yà sī · kǎ liè sī
héctor moreno,埃克托·莫雷诺,āi kè tuō · mò léi nuò
jorge campos,豪尔赫·坎波斯,háo ěr hè · kǎn bō sī
lila downs,利拉·唐斯,lì lā · táng sī
lorena ochoa,萝瑞纳·欧秋雅,luó ruì nà · ōu qiū yǎ
porfirio díaz,波菲里奥·迪亚斯,bō fēi lǐ ào · dí yà sī
lupe vélez,卢佩·贝莱斯,lú pèi · bèi lái sī
alberto valdés ramos,阿尔韦托·巴尔德斯·拉莫斯,ā ěr wéi tuō · bā ěr dé sī · lā mò sī
carlos fuentes,卡洛斯·富恩特斯,kǎ luò sī · fù ēn tè sī
norberto rivera carrera,诺伯·里韦拉·卡雷拉,nuò bǎi · lǐ wéi lā · kǎ léi lā
lucas barrios,卢卡斯·巴里奥斯,lú kǎ sī · bā lǐ ào sī
josé lópez portillo,何塞·洛佩斯·波蒂略,hé sāi · luò pèi sī · bō dì lüè
katy jurado,凯蒂·胡拉多,kǎi dì · hú lā duō
antonio jasso,安东尼奥·哈索,ān dōng ní ào · hā suǒ
adolfo bautista,阿道弗·包蒂斯塔,ā dào fú · bāo dì sī tǎ
pedro lascuráin,佩德罗·拉斯库赖因,pèi dé luó · lā sī kù lài yīn
manuel ávila camacho,曼努埃尔·阿维拉·卡马乔,màn nǔ āi ěr · ā wéi lā · kǎ mǎ qiáo
andrés guardado,安德烈斯·瓜尔达多,ān dé liè sī · guā ěr dá duō
mario molina,马里奥·莫利纳,mǎ lǐ ào · mò lì nà
vicente guerrero,比森特·格雷罗,bǐ sēn tè · gé léi luó
miguel alemán valdés,米格尔·阿莱曼·巴尔德斯,mǐ gé ěr · ā lái màn · bā ěr dé sī
esteban gutiérrez,埃斯特万·古铁雷斯,āi sī tè wàn · gǔ tiě léi sī
diego luna,狄亚哥·卢纳,dí yà gē · lú nà
jared borgetti,哈雷德·博尔格蒂,hā léi dé · bó ěr gé dì
guadalupe victoria,瓜达卢佩·维多利亚,guā dá lú pèi · wéi duō lì yà
venustiano carranza,贝努斯蒂亚诺·卡兰萨,bèi nǔ sī dì yà nuò · kǎ lán sà
edith gonzález,埃迪特·冈萨雷斯,āi dí tè · gāng sà léi sī
antonio carbajal,安东尼奥·卡瓦哈尔,ān dōng ní ào · kǎ wǎ hā ěr
pablo barrera,巴勃罗·巴雷拉,bā bó luó · bā léi lā
omar bravo,奥马尔·布拉沃,ào mǎ ěr · bù lā wò
gerardo torrado,赫拉多·托拉多,hè lā duō · tuō lā duō
alfonso cuarón,艾方索·柯朗,ài fāng suǒ · kē lǎng
