lionel messi,利昂内尔·梅西,lì áng nèi ěr · méi xī
massimo troisi,马西莫·特罗西,mǎ xī mò · tè luó xī
renato dirnei florêncio,雷纳托·迪尔内·弗洛伦西奥,léi nà tuō · dí ěr nèi · fú luò lún xī ào
stefano cerioni,斯特凡诺·切廖尼,sī tè fán nuò · qiè liào ní
salvatore quasimodo,萨尔瓦托雷·夸西莫多,sà ěr wǎ tuō léi · kuā xī mò duō
luigi einaudi,路易吉·伊诺第,lù yì jí · yī nuò dì
antonio segni,安东尼奥·塞尼,ān dōng ní ào · sāi ní
giovanni gronchi,乔瓦尼·格隆基,qiáo wǎ ní · gé lóng jī
alessandro matri,亚历山德罗·马特里,yà lì shān dé luó · mǎ tè lǐ
ennio antonelli,恩尼奥·安东内利,ēn ní ào · ān dōng nèi lì
giuseppe betori,若瑟·贝托里,ruò sè · bèi tuō lǐ
guido calabresi,圭多·卡拉布雷西,guī duō · kǎ lā bù léi xī
dario fo,达里奥·福,dá lǐ ào · fú
giorgio napolitano,乔治·纳波利塔诺,qiáo zhì · nà bō lì tǎ nuò
carlo azeglio ciampi,卡洛·阿泽利奥·钱皮,kǎ luò · ā zé lì ào · qián pí
oscar luigi scalfaro,奥斯卡·路易吉·斯卡尔法罗,ào sī kǎ · lù yì jí · sī kǎ ěr fǎ luó
emiliano sala,埃米利亚诺·萨拉,āi mǐ lì yà nuò · sà lā
francesco cossiga,弗朗切斯科·科西加,fú lǎng qiè sī kē · kē xī jiā
fabrizio donato,法布里齐奥·多纳托,fǎ bù lǐ qí ào · duō nà tuō
giovanni pastrone,乔瓦尼·帕斯特洛纳,qiáo wǎ ní · pà sī tè luò nà
giuseppe tornatore,朱塞佩·托纳多雷,zhū sāi pèi · tuō nà duō léi
eugenio montale,埃乌杰尼奥·蒙塔莱,āi wū jié ní ào · méng tǎ lái
antonio candreva,安东尼奥·坎德雷瓦,ān dōng ní ào · kǎn dé léi wǎ
lina wertmüller,里娜·韦特缪勒,lǐ nà · wéi tè miù lè
sandro pertini,亚历山德罗·佩尔蒂尼,yà lì shān dé luó · pèi ěr dì ní
giorgio chiellini,乔治·基耶利尼,qiáo zhì · jī yē lì ní
sergio corbucci,塞尔焦·科尔布奇,sāi ěr jiāo · kē ěr bù qí
liliana cavani,莉莉安娜·卡瓦尼,lì lì ān nà · kǎ wǎ ní
gustav thöni,古斯塔夫·特尼,gǔ sī tǎ fū · tè ní
deborah compagnoni,德博拉·孔帕尼奥尼,dé bó lā · kǒng pà ní ào ní
alberto tomba,阿尔贝托·通巴,ā ěr bèi tuō · tōng bā
cesare pavese,切萨雷·帕韦斯,qiè sà léi · pà wéi sī
nino farina,朱塞佩·法里纳,zhū sāi pèi · fǎ lǐ nà
vittorio gassman,维托里奥·加斯曼,wéi tuō lǐ ào · jiā sī màn
luciano pavarotti,鲁契亚诺·帕瓦罗蒂,lǔ qì yà nuò · pà wǎ luó dì
giuseppe saragat,朱塞佩·萨拉盖特,zhū sāi pèi · sà lā gài tè
giovanni leone,乔瓦尼·利昂纳,qiáo wǎ ní · lì áng nà
franco zeffirelli,法兰高·齐费里尼,fǎ lán gāo · qí fèi lǐ ní
federica brignone,费代丽卡·布里尼奥内,fèi dài lì kǎ · bù lǐ ní ào nèi
romano prodi,罗马诺·普罗迪,luó mǎ nuò · pǔ luó dí
camila giorgi,卡米拉·吉奥尔吉,kǎ mǐ lā · jí ào ěr jí
michelangelo antonioni,米开朗基罗·安东尼奥尼,mǐ kāi lǎng jī luó · ān dōng ní ào ní
federico marchetti,费德里科·马凯蒂,fèi dé lǐ kē · mǎ kǎi dì
martin scorsese,马丁·斯科塞斯,mǎ dīng · sī kē sāi sī
zeno colò,泽诺·科洛,zé nuò · kē luò
damiano damiani,达米亚诺·达米亚尼,dá mǐ yà nuò · dá mǐ yà ní
andrea bocelli,安德烈·波伽利,ān dé liè · bō jiā lì
massimo oddo,马西莫·奥多,mǎ xī mò · ào duō
alberto ascari,阿尔贝托·阿斯卡里,ā ěr bèi tuō · ā sī kǎ lǐ
gabriele detti,加布里埃莱·德蒂,jiā bù lǐ āi lái · dé dì
valentina arrighetti,瓦伦蒂娜·阿里盖蒂,wǎ lún dì nà · ā lǐ gài dì
romeo bertini,罗密欧·贝尔蒂尼,luó mì ōu · bèi ěr dì ní
valerio arri,瓦莱里奥·阿里,wǎ lái lǐ ào · ā lǐ
michele besso,米给雷·贝索,mǐ gěi léi · bèi suǒ
cornelio sommaruga,科内利奥·索马鲁加,kē nèi lì ào · suǒ mǎ lǔ jiā
gennaro gattuso,詹纳罗·加图索,zhān nà luó · jiā tú suǒ
sandro lopopolo,桑德罗·洛波波洛,sāng dé luó · luò bō bō luò
ludovico einaudi,卢多维科·伊诺第,lú duō wéi kē · yī nuò dì
iván piris,伊万·皮利斯,yī wàn · pí lì sī
francesco zucchetti,弗朗切斯科·祖凯蒂,fú lǎng qiè sī kē · zǔ kǎi dì
giacomo biffi,雅各伯·比菲,yǎ gè bǎi · bǐ fēi
alfredo dinale,阿尔弗雷多·迪纳莱,ā ěr fú léi duō · dí nà lái
valentino gasparella,瓦伦蒂诺·加斯帕雷拉,wǎ lún dì nuò · jiā sī pà léi lā
monica bellucci,蒙妮卡·贝露琪,méng nī kǎ · bèi lù qí
gianni infantino,詹尼·因凡蒂诺,zhān ní · yīn fán dì nuò
marcello mastroianni,马切洛·马斯楚安尼,mǎ qiè luò · mǎ sī chǔ ān ní
marcello lippi,马尔切洛·里皮,mǎ ěr qiè luò · lǐ pí
sophia loren,索非娅·罗兰,suǒ fēi yà · luó lán
ricardo martinelli,里卡多·马蒂内利,lǐ kǎ duō · mǎ dì nèi lì
roberta vinci,罗贝塔·文琪,luó bèi tǎ · wén qí
claudia cardinale,克劳蒂亚·卡蒂纳,kè láo dì yà · kǎ dì nà
fabio cannavaro,法比奥·卡纳瓦罗,fǎ bǐ ào · kǎ nà wǎ luó
mario balotelli,马里奥·巴洛特利,mǎ lǐ ào · bā luò tè lì
manolo gabbiadini,马诺罗·加比亚迪尼,mǎ nuò luó · jiā bǐ yà dí ní
ubaldesco baldi,乌巴尔代斯科·巴尔迪,wū bā ěr dài sī kē · bā ěr dí
kaspar capparoni,卡斯帕·卡帕罗尼,kǎ sī pà · kǎ pà luó ní
filippo inzaghi,菲利普·因扎吉,fēi lì pǔ · yīn zhā jí
sara simeoni,萨拉·西梅奥尼,sà lā · xī méi ào ní
tarcisio bertone,塔尔奇西奥·贝尔托内,tǎ ěr qí xī ào · bèi ěr tuō nèi
marco borriello,马尔科·博列洛,mǎ ěr kē · bó liè luò
andrea pirlo,安德烈亚·皮尔洛,ān dé liè yà · pí ěr luò
gina lollobrigida,珍娜·露露布莉姬妲,zhēn nà · lù lù bù lì jī dá
anna magnani,安娜·马尼亚尼,ān nà · mǎ ní yà ní
yves montand,伊夫·蒙当,yī fū · méng dāng
virna lisi,薇娜·莉丝,wēi nà · lì sī
monica vitti,莫妮卡·维蒂,mò nī kǎ · wéi dì
giacomo gaioni,贾科莫·加约尼,jiǎ kē mò · jiā yuē ní
marco orsi,马尔科·奥尔西,mǎ ěr kē · ào ěr xī
luigi tasselli,路易吉·塔塞利,lù yì jí · tǎ sāi lì
mario lusiani,马里奥·卢夏尼,mǎ lǐ ào · lú xià ní
guglielmo segato,古列尔莫·塞加托,gǔ liè ěr mò · sāi jiā tuō
giuseppe olmo,朱塞佩·奥尔莫,zhū sāi pèi · ào ěr mò
lucas piazon,卢卡斯·皮亚松,lú kǎ sī · pí yà sōng
raffaele farina,辣法厄尔·法里纳,là fǎ è ěr · fǎ lǐ nà
tiziano terzani,帝奇亚诺·坦尚尼,dì qí yà nuò · tǎn shàng ní
giovanni trapattoni,吉奥瓦尼·特拉帕托尼,jí ào wǎ ní · tè lā pà tuō ní
federico fellini,费德里柯·费里尼,fèi dé lǐ kē · fèi lǐ ní
angelo sodano,安杰洛·索达诺,ān jié luò · suǒ dá nuò
matteo darmian,马特奥·达米安,mǎ tè ào · dá mǐ ān
ermanno wolfferrari,艾曼诺·沃尔夫费拉里,ài màn nuò · wò ěr fū fèi lā lǐ
rocco siffredi,洛可·希佛帝,luò kě · xī fó dì
eddy ottoz,埃迪·奥托兹,āi dí · ào tuō zī
marco benassi,马尔科·贝纳西,mǎ ěr kē · bèi nà xī
gae aulenti,盖·奥伦蒂,gài · ào lún dì
parmigianino,帕尔米贾尼诺,pà ěr mǐ jiǎ ní nuò
massimo d'alema,马西莫·达莱马,mǎ xī mò · dá lái mǎ
beppe grillo,毕普·格里罗,bì pǔ · gé lǐ luó
mario monti,马里奥·蒙蒂,mǎ lǐ ào · méng dì
umberto bossi,翁贝托·博西,wēng bèi tuō · bó xī
giulietta masina,朱列塔·玛西纳,zhū liè tǎ · mǎ xī nà
silvana mangano,西尔瓦娜·曼加诺,xī ěr wǎ nà · màn jiā nuò
raffaele marciello,拉菲尔·马赛罗,lā fēi ěr · mǎ sài luó
marco cimatti,马尔科·奇马蒂,mǎ ěr kē · qí mǎ dì
alberto ghilardi,阿尔贝托·吉拉尔迪,ā ěr bèi tuō · jí lā ěr dí
paolo pedretti,保罗·佩德雷蒂,bǎo luó · pèi dé léi dì
nino borsari,尼诺·博尔萨里,ní nuò · bó ěr sà lǐ
alberto paloschi,阿尔拔图·柏路斯基,ā ěr bá tú · bǎi lù sī jī
josé altafini,若泽·阿尔塔菲尼,ruò zé · ā ěr tǎ fēi ní
amauri,阿马利,ā mǎ lì
giorgio pantano,乔吉奥·潘塔诺,qiáo jí ào · pān tǎ nuò
christian abbiati,克里斯蒂安·阿比亚蒂,kè lǐ sī dì ān · ā bǐ yà dì
pietro anastasi,彼得罗·阿纳斯塔西,bǐ dé luó · ā nà sī tǎ xī
roberto anzolin,罗伯托·安佐林,luó bǎi tuō · ān zuǒ lín
edmond fischer,埃德蒙·费希尔,āi dé méng · fèi xī ěr
umberto maglioli,翁贝托·马廖利,wēng bèi tuō · mǎ liào lì
enrico fermi,恩里科·费米,ēn lǐ kē · fèi mǐ
livio berruti,利维奥·贝鲁蒂,lì wéi ào · bèi lǔ dì
fabio quagliarella,法比奥·哥利亚列拿,fǎ bǐ ào · gē lì yà liè ná
leo franco,莱昂纳多·弗朗戈,lái áng nà duō · fú lǎng gē
riccardo divora,里卡尔多·迪沃拉,lǐ kǎ ěr duō · dí wò lā
matteo renzi,马泰奥·伦齐,mǎ tài ào · lún qí
pier luigi bersani,皮埃尔·路易吉·贝尔萨尼,pí āi ěr · lù yì jí · bèi ěr sà ní
danilo gallinari,达尼洛·加利纳里,dá ní luò · jiā lì nà lǐ
lola pagnani,洛拉·帕尼亚尼,luò lā · pà ní yà ní
andrea barzagli,安德烈亚·巴尔扎利,ān dé liè yà · bā ěr zhā lì
claudio pizarro,克劳迪奥·皮萨罗,kè láo dí ào · pí sà luó
maria montessori,玛丽亚·蒙特梭利,mǎ lì yà · méng tè suō lì
francesca piccinini,弗兰切斯卡·皮奇尼尼,fú lán qiè sī kǎ · pí qí ní ní
renato dulbecco,罗纳托·杜尔贝科,luó nà tuō · dù ěr bèi kē
piero gros,皮耶罗·格罗斯,pí yē luó · gé luó sī
gianfranco zola,吉安弗兰科·佐拉,jí ān fú lán kē · zuǒ lā
marco cassetti,马尔科·卡塞蒂,mǎ ěr kē · kǎ sāi dì
assunta legnante,阿孙塔·莱尼安特,ā sūn tǎ · lái ní ān tè
andrea riccardi,安德肋·里卡尔迪,ān dé lèi · lǐ kǎ ěr dí
gabriel heinze,加夫列尔·海因策,jiā fū liè ěr · hǎi yīn cè
giovanna mezzogiorno,焦万娜·梅佐焦尔诺,jiāo wàn nà · méi zuǒ jiāo ěr nuò
giuseppe domenichelli,朱塞佩·多梅尼凯利,zhū sāi pèi · duō méi ní kǎi lì
anna tatangelo,安娜·泰坦洁萝,ān nà · tài tǎn jié luó
roberto mancini,罗拔图·文仙尼,luó bá tú · wén xiān ní
gundi busch,贡迪·布施,gòng dí · bù shī
roberto baggio,罗伯特·巴乔,luó bǎi tè · bā qiáo
daniel bovet,达尼埃尔·博韦,dá ní āi ěr · bó wéi
mauro icardi,毛罗·伊卡尔迪,máo luó · yī kǎ ěr dí
riccardo scamarcio,里卡多·史卡马西奥,lǐ kǎ duō · shǐ kǎ mǎ xī ào
fabrizio miccoli,法布里奇奥·米科利,fǎ bù lǐ qí ào · mǐ kē lì
umberto eco,翁贝托·埃科,wēng bèi tuō · āi kē
silvio berlusconi,西尔维奥·贝卢斯科尼,xī ěr wéi ào · bèi lú sī kē ní
ilona staller,伊萝娜·史特拉,yī luó nà · shǐ tè lā
antonio cabrini,安东尼奥·卡布里尼,ān dōng ní ào · kǎ bù lǐ ní
alfred duncan,阿尔弗雷德·邓肯,ā ěr fú léi dé · dèng kěn
andrea agnelli,安德雷亚·阿涅利,ān dé léi yà · ā niè lì
roberto bettega,罗伯托·贝泰加,luó bǎi tuō · bèi tài jiā
giampiero boniperti,詹皮耶罗·博尼佩尔蒂,zhān pí yē luó · bó ní pèi ěr dì
gianluigi buffon,詹路易吉·布冯,zhān lù yì jí · bù féng
stephan el shaarawy,斯蒂凡·艾尔·沙拉维,sī dì fán · ài ěr · shā lā wéi
luchino visconti,卢奇诺·维斯孔蒂,lú qí nuò · wéi sī kǒng dì
arturo toscanini,阿图罗·托斯卡尼尼,ā tú luó · tuō sī kǎ ní ní
roberto rossellini,罗伯托·罗塞里尼,luó bǎi tuō · luó sāi lǐ ní
frank capra,法兰克·卡普拉,fǎ lán kè · kǎ pǔ lā
giulio andreotti,朱利奥·安德烈奥蒂,zhū lì ào · ān dé liè ào dì
emma bonino,爱玛·博尼诺,ài mǎ · bó ní nuò
alberto sordi,阿尔贝托·索尔迪,ā ěr bèi tuō · suǒ ěr dí
carlo scarpa,卡罗·斯卡帕,kǎ luó · sī kǎ pà
luigi bertolini,路易吉·贝尔托利尼,lù yì jí · bèi ěr tuō lì ní
giancarlo bercellino,贾恩卡洛·贝尔切利诺,jiǎ ēn kǎ luò · bèi ěr qiè lì nuò
romeo benetti,罗密欧·贝内蒂,luó mì ōu · bèi nèi dì
felice borel,费利切·博雷尔,fèi lì qiè · bó léi ěr
riccardo montolivo,列卡度·蒙度利禾,liè kǎ dù · méng dù lì hé
poggio bracciolini,波吉欧·布拉乔利尼,bō jí ōu · bù lā qiáo lì ní
stefano fiore,斯特法诺·菲奥雷,sī tè fǎ nuò · fēi ào léi
ildebrando d'arcangelo,伊尔代布兰多·达尔堪杰罗,yī ěr dài bù lán duō · dá ěr kān jié luó
walter plaikner,瓦尔特·普莱克纳,wǎ ěr tè · pǔ lái kè nà
gualtiero bassetti,瓜尔蒂耶罗·巴塞蒂,guā ěr dì yē luó · bā sāi dì
andrea stramaccioni,安德烈·斯特拉马乔尼,ān dé liè · sī tè lā mǎ qiáo ní
potito starace,波蒂托·斯塔拉切,bō dì tuō · sī tǎ lā qiè
giuseppe sinopoli,朱塞佩·西诺波利,zhū sāi pèi · xī nuò bō lì
stefano mauri,斯特法诺·毛里,sī tè fǎ nuò · máo lǐ
vittorio pozzo,维托里奥·波佐,wéi tuō lǐ ào · bō zuǒ
leonardo sciascia,列昂纳多·夏夏,liè áng nà duō · xià xià
enzo maresca,恩佐·马雷斯卡,ēn zuǒ · mǎ léi sī kǎ
vittorio hösle,维托里奥·赫斯勒,wéi tuō lǐ ào · hè sī lè
claudio abbado,克劳迪奥·阿巴多,kè láo dí ào · ā bā duō
arturo benedetti michelangeli,阿图罗·贝内德蒂·米凯兰杰利,ā tú luó · bèi nèi dé dì · mǐ kǎi lán jié lì
roberto benigni,罗贝托·贝尼尼,luó bèi tuō · bèi ní ní
alex schwazer,亚历克斯·施瓦泽,yà lì kè sī · shī wǎ zé
mario monicelli,马里奥·莫尼切利,mǎ lǐ ào · mò ní qiè lì
annibale bergonzoli,安尼巴莱·贝尔贡佐利,ān ní bā lái · bèi ěr gòng zuǒ lì
dario argento,达利欧·阿基多,dá lì ōu · ā jī duō
cristian zaccardo,克里斯蒂安·扎卡尔多,kè lǐ sī dì ān · zhā kǎ ěr duō
giuliano razzoli,朱利亚诺·拉佐利,zhū lì yà nuò · lā zuǒ lì
herbert plank,赫伯特·普兰克,hè bǎi tè · pǔ lán kè
marco bellocchio,马可·贝罗奇奥,mǎ kě · bèi luó qí ào
bernardo bertolucci,贝纳多·贝托鲁奇,bèi nà duō · bèi tuō lǔ qí
eros ramazzotti,艾罗斯·拉玛佐第,ài luó sī · lā mǎ zuǒ dì
pablo piatti,柏保路·皮亚堤,bǎi bǎo lù · pí yà dī
walter veltroni,瓦尔特·韦尔特罗尼,wǎ ěr tè · wéi ěr tè luó ní
andreas seppi,安德烈亚斯·塞皮,ān dé liè yà sī · sāi pí
tommaso rocchi,汤马素·洛基,tāng mǎ sù · luò jī
luca castellazzi,卢卡·卡斯特拉齐,lú kǎ · kǎ sī tè lā qí
renzo sambo,伦佐·桑博,lún zuǒ · sāng bó
ettore sottsass,埃托雷·索特萨斯,āi tuō léi · suǒ tè sà sī
duccio di buoninsegna,杜乔·迪·博尼塞尼亚,dù qiáo · dí · bó ní sāi ní yà
primo levi,普里莫·莱维,pǔ lǐ mò · lái wéi
oriana fallaci,奥里亚娜·法拉奇,ào lǐ yà nà · fǎ lā qí
michael bublé,麦可·布雷,mài kě · bù léi
gian francesco malipiero,吉安·弗朗切斯科·马利皮耶罗,jí ān · fú lǎng qiè sī kē · mǎ lì pí yē luó
enzo mari,恩佐·马里,ēn zuǒ · mǎ lǐ
rodolfo graziani,鲁道夫·格拉齐亚尼,lǔ dào fū · gé lā qí yà ní
mauro maur,毛罗·莫尔,máo luó · mò ěr
gianluca pessotto,詹卢卡·佩索托,zhān lú kǎ · pèi suǒ tuō
roberto saviano,罗贝托·萨维亚诺,luó bèi tuō · sà wéi yà nuò
diana bianchedi,黛安娜·比安凯迪,dài ān nà · bǐ ān kǎi dí
ercole baldini,埃尔科莱·巴尔迪尼,āi ěr kē lái · bā ěr dí ní
colin firth,哥连·费夫,gē lián · fèi fū
domenico morfeo,多梅尼科·莫尔费奥,duō méi ní kē · mò ěr fèi ào
jonas gonçalves oliveira,庄拿斯·干卡维斯·奥利华拉,zhuāng ná sī · gān kǎ wéi sī · ào lì huá lā
maurizio damilano,毛里齐奥·达米拉诺,máo lǐ qí ào · dá mǐ lā nuò
italo gariboldi,伊塔洛·加里波第,yī tǎ luò · jiā lǐ bō dì
anna unterberger,安娜·翁特贝格尔,ān nà · wēng tè bèi gé ěr
sandra ceccarelli,桑德拉·切卡莱利,sāng dé lā · qiè kǎ lái lì
gianfranco ravasi,若望方济各·拉瓦西,ruò wàng fāng jì gè · lā wǎ xī
franco battiato,弗朗科·巴蒂亚托,fú lǎng kē · bā dì yà tuō
francesco acerbi,弗兰切斯科·阿切尔比,fú lán qiè sī kē · ā qiè ěr bǐ
aldo nadi,阿尔多·纳迪,ā ěr duō · nà dí
paolo maffei,保罗·马菲,bǎo luó · mǎ fēi
gina cigna,吉娜·西格娜,jí nà · xī gé nà
alberto moravia,阿尔贝托·莫拉维亚,ā ěr bèi tuō · mò lā wéi yà
giampiero pinzi,詹皮耶罗·平齐,zhān pí yē luó · píng qí
pippa bacca,皮帕·巴卡,pí pà · bā kǎ
cecilia bartoli,切奇莉亚·巴托莉,qiè qí lì yà · bā tuō lì
luigi dallapiccola,路易吉·达拉皮科拉,lù yì jí · dá lā pí kē lā
francesco totti,弗朗切斯科·托蒂,fú lǎng qiè sī kē · tuō dì
giuseppe pella,朱塞佩·佩拉,zhū sāi pèi · pèi lā
italo calvino,伊塔罗·卡尔维诺,yī tǎ luó · kǎ ěr wéi nuò
giovanna trillini,焦万娜·特里利尼,jiāo wàn nà · tè lǐ lì ní
gino bartali,吉诺·巴塔利,jí nuò · bā tǎ lì
aldo rossi,阿尔多·罗西,ā ěr duō · luó xī
giuseppe giannini,朱塞佩·詹尼尼,zhū sāi pèi · zhān ní ní
giovanni antonini,乔瓦尼·安东尼尼,qiáo wǎ ní · ān dōng ní ní
ennio morricone,恩尼奥·莫里科内,ēn ní ào · mò lǐ kē nèi
giorgio de chirico,乔治·德·基里科,qiáo zhì · dé · jī lǐ kē
giorgio armani,乔治·阿玛尼,qiáo zhì · ā mǎ ní
hernán crespo,埃尔南·克雷斯波,āi ěr nán · kè léi sī bō
dario dainelli,达里奥·达伊内利,dá lǐ ào · dá yī nèi lì
maurizio pollini,毛里齐奥·波利尼,máo lǐ qí ào · bō lì ní
aldo maldera,阿尔多·马尔代拉,ā ěr duō · mǎ ěr dài lā
matteo manassero,马特奥·曼纳塞罗,mǎ tè ào · màn nà sāi luó
nanni moretti,南尼·莫莱蒂,nán ní · mò lái dì
gaetano monachello,加埃塔诺·莫纳凯洛,jiā āi tǎ nuò · mò nà kǎi luò
fabrizio de andré,法布里齐奥·德·安德烈,fǎ bù lǐ qí ào · dé · ān dé liè
luigi nono,路易吉·诺诺,lù yì jí · nuò nuò
pier paolo pasolini,皮埃尔·保罗·帕索里尼,pí āi ěr · bǎo luó · pà suǒ lǐ ní
javier mascherano,哈维尔·马斯切拉诺,hā wéi ěr · mǎ sī qiè lā nuò
guido bernardi,圭多·贝尔纳迪,guī duō · bèi ěr nà dí
frank horvat,弗兰克·霍瓦特,fú lán kè · huò wǎ tè
rino pucci,里诺·普奇,lǐ nuò · pǔ qí
anselmo citterio,安塞尔莫·奇泰里奥,ān sāi ěr mò · qí tài lǐ ào
gian lorenzo bernini,吉安·洛伦佐·贝尼尼,jí ān · luò lún zuǒ · bèi ní ní
paolo soleri,保罗·索莱里,bǎo luó · suǒ lái lǐ
antonio benarrivo,安东尼奥·贝纳里沃,ān dōng ní ào · bèi nà lǐ wò
remo giazotto,雷莫·贾佐托,léi mò · jiǎ zuǒ tuō
giuseppe furino,朱塞佩·富里诺,zhū sāi pèi · fù lǐ nuò
elisa uga,埃莉萨·乌加,āi lì sà · wū jiā
tonhi terenzi,通尼·泰伦齐,tōng ní · tài lún qí
laura chiesa,劳拉·基耶萨,láo lā · jī yē sà
alessandro puccini,亚历山德罗·普奇尼,yà lì shān dé luó · pǔ qí ní
raffaello caserta,拉法埃洛·卡塞尔塔,lā fǎ āi luò · kǎ sāi ěr tǎ
margherita zalaffi,玛格丽塔·扎拉菲,mǎ gé lì tǎ · zhā lā fēi
pietro martire d'anghiera,皮特·马特·德安吉拉,pí tè · mǎ tè · dé ān jí lā
sonia gandhi,索尼娅·甘地,suǒ ní yà · gān dì
sandro cuomo,山德罗·科莫,shān dé luó · kē mò
francesca bortolozzi,弗兰切斯卡·博尔托洛齐,fú lán qiè sī kǎ · bó ěr tuō luò qí
