マツモトユキヒロ,松本行弘,sōng běn háng hóng,matsumotoyukihiro
セッシュウ,雪舟,xuě zhōu,sesshuu
ミヤコハルミ,都春美,dōu chūn měi,miyakoharumi
ブリキ,马口铁,mǎ kǒu tiě,buriki
マド・ミチオ,窗·道雄,chuāng · dào xióng,mado・michio
タマキノゾム,环望,huán wàng,tamakinozomu
ビートタケシ,北野武,běi yě wǔ,bītotakeshi
ナツサイ,夏菜,xià cài,natsusai
クルルヤナ,枢梁,shū liáng,kururuyana
シュンカン,俊宽,jùn kuān,shunkan
アキヒト,明仁,míng rén,akihito
アルベルト・フジモリ,阿尔韦托·藤森,ā ěr wéi tuō · téng sēn,aruberuto・fujimori
タマヒ,珠妃,zhū fēi,tamahi
キョウマチコ,京町子,jīng tǐng zǐ,kyoumachiko
トクヒトシ,德仁,dé rén,tokuhitoshi
リキヨシ,李清,lǐ qīng,rikiyoshi
アダチタカシ,安达充,ān dá chōng,adachitakashi
マサムネ,正宗,zhèng zōng,masamune
カシワクラツトム,柏仓努,bǎi cāng nǔ,kashiwakuratsutomu
シンゼイ,信西,xìn xī,shinzei
クボタマコト,久保田诚,jiǔ bǎo tián chéng,kubotamakoto
ダンレイ,檀丽,tán lì,danrei
モリタケシ,森赳,sēn jiū,moritakeshi
ハルナアイ,春菜爱,chūn cài ài,harunaai
アズマキヨヒコ,东清彦,dōng qīng yàn,azumakiyohiko
ジエン,慈圆,cí yuán,jien
チャフトシ,茶太,chá tài,chafutoshi
ホウネン,法然,fǎ rán,hounen
ローラ・シギハラ,劳拉·鴫原,láo lā · tián yuán,rōra・shigihara
シンラン,亲鸾,qīn luán,shinran
アヤカ,绚香,xuàn xiāng,ayaka
リョウベン,良弁,liáng biàn,ryouben
ニシアマネ,西周,xī zhōu,nishiamane
ヤマト,前田大和,qián tián dà hé,yamato
ミチアキ,道昭,dào zhāo,michiaki
チャールズ・ペダーセン,查尔斯·佩德森,chá ěr sī · pèi dé sēn,chāruzu・pedāsen
キャリーパミュパミュ,凯莉葩缪葩缪,kǎi lì pā miù pā miù,kyarīpamyupamyu
ハラタイラ,原平,yuán píng,harataira
サカシゲル,坂茂,bǎn mào,sakashigeru
ソウギ,宗祇,zōng qí,sougi
エンニン,圆仁,yuán rén,ennin
ヨドドノ,淀殿,diàn diàn,yododono
セミマル,蝉丸,chán wán,semimaru
キセン,喜撰,xǐ zhuàn,kisen
シュレッダー,施莱德,shī lái dé,shureddā
ダルビッシュユウ,达比修有,dá bǐ xiū yǒu,darubisshuyuu
クマイモトコ,熊井统子,xióng jǐng tǒng zǐ,kumaimotoko
リョウゲン,良源,liáng yuán,ryougen
コナミカナタ,湖南彼方,hú nán bǐ fāng,konamikanata
ルールーコウ,如如哥,rú rú gē,rūrūkou
ミノリコウ,稔幸,rěn xìng,minorikou
ホッタユミ,堀田由美,kū tián yóu měi,hottayumi
ゴハル,松村吴春,sōng cūn wú chūn,goharu
アカホリサトル,赤堀悟,chì kū wù,akahorisatoru
モリアキラ,森章,sēn zhāng,moriakira
カンザキヒロ,神崎广,shén qí guǎng,kanzakihiro
タニヒガシ,谷东,gǔ dōng,tanihigashi
ダンミツ,坛蜜,tán mì,danmitsu
カデナレオン,嘉那蕾音,jiā nà lěi yīn,kadenareon
イセ,伊势,yī shì,ise
ヒイラギアオイ,柊葵,zhōng kuí,hiiragiaoi
ヒグチアサ,樋口朝,tōng kǒu cháo,higuchiasa
ヤマダムラサキ,山田紫,shān tián zǐ,yamadamurasaki
モリカオル,森薰,sēn xūn,morikaoru
コオリアオ,冰青,bīng qīng,kooriao
ナオヒロシ,尚裕,shàng yù,naohiroshi
コユキ,小雪,xiǎo xuě,koyuki
モリミノル,森稔,sēn rěn,moriminoru
ワタルスケ,弥助,mí zhù,watarusuke
タチバナサクラ,橘樱,jú yīng,tachibanasakura
ヤナセナツミ,柳濑夏美,liǔ lài xià měi,yanasenatsumi
イトウカナコ,伊藤香奈子,yī téng xiāng nài zǐ,itoukanako
エノキアヅサ,榎梓,jiǎ zǐ,enokiadzusa
サカイカナ,酒井香奈,jiǔ jǐng xiāng nài,sakaikana
ヒダリ,左,zuǒ,hidari
