김일,金日,jīn rì,gimil
강건,姜健,jiāng jiàn,ganggeon
김정,金仲,jīn zhòng,gimjeong
김철,金哲,jīn zhé,gimceol
남일,南日,nán rì,namil
백석,白石,bái shí,baegseog
허담,许锬,xǔ tán,heodam
김책,金策,jīn cè,gimcaeg
김무정,武亭,wǔ tíng,gimmujeong
서휘,徐辉,xú huī,seohwi
최휘,崔辉,cuī huī,coehwi
최광,崔光,cuī guāng,coegwang
박열,朴烈,pǔ liè,bagyeol
허헌,许宪,xǔ xiàn,heoheon
김옥,金玉,jīn yù,gimog
찰스 로버트 젱킨스,查尔斯·罗伯特·詹金斯,chá ěr sī · luó bǎi tè · zhān jīn sī,calseu robeoteu jengkinseu
최현,崔贤,cuī xián,coehyeon
안길,安吉,ān jí,angil
장철,张哲,zhāng zhé,jangceol
이찬,李灿,lǐ càn,ican
반디,潘迪,pān dí,bandi
임화,林和,lín hé,imhwa
배철,裴哲,péi zhé,baeceol
김웅,金雄,jīn xióng,gimung
김,金,MODIFIED,jīn,gim
한솔,汉率,MODIFIED,hàn lǜ,hansol
정일,正日,MODIFIED,zhèng rì,jeongil
이,李,MODIFIED,lǐ,i
한영,韩永,MODIFIED,hán yǒng,hanyeong
최,崔,MODIFIED,cuī,coe
덕신,德新,MODIFIED,dé xīn,deogsin
명순,明淳,MODIFIED,míng chún,myeongsun
백,白,MODIFIED,bái,baeg
남순,南淳,MODIFIED,nán chún,namsun
광협,光侠,MODIFIED,guāng xiá,gwanghyeob
박,朴,MODIFIED,pǔ,bag
성철,成哲,MODIFIED,chéng zhé,seongceol
승진,承振,MODIFIED,chéng zhèn,seungjin
리,李,MODIFIED,lǐ,ri
찬명,昌明,MODIFIED,chāng míng,canmyeong
철민,哲民,MODIFIED,zhé mín,ceolmin
주성,柱成,MODIFIED,zhù chéng,juseong
량,梁,MODIFIED,liáng,ryang
춘화,春华,MODIFIED,chūn huá,cunhwa
영춘,永春,MODIFIED,yǒng chūn,yeongcun
일성,日成,MODIFIED,rì chéng,ilseong
지,志,MODIFIED,zhì,ji
윤남,尹南,MODIFIED,yǐn nán,yunnam
안,安,MODIFIED,ān,an
금애,琴爱,MODIFIED,qín ài,geumae
현숙,贤淑,MODIFIED,xián shū,hyeonsug
홍,洪,MODIFIED,hóng,hong
은정,恩情,MODIFIED,ēn qíng,eunjeong
양건,养建,MODIFIED,yǎng jiàn,yanggeon
병률,炳律,MODIFIED,bǐng lǜ,byeongryul
원홍,元弘,MODIFIED,yuán hóng,weonhong
병철,炳哲,MODIFIED,bǐng zhé,byeongceol
도춘,道春,MODIFIED,dào chūn,docun
변,边,MODIFIED,biān,byeon
영립,永立,MODIFIED,yǒng lì,yeongrib
정,郑,MODIFIED,zhèng,jeong
명도,明道,MODIFIED,míng dào,myeongdo
격식,格植,MODIFIED,gé zhí,gyeogsig
장,张,MODIFIED,zhāng,jang
성우,成禹,MODIFIED,chéng yǔ,seongu
영남,永南,MODIFIED,yǒng nán,yeongnam
정숙,贞淑,MODIFIED,zhēn shū,jeongsug
명준,明俊,MODIFIED,míng jùn,myeongjun
철호,哲镐,MODIFIED,zhé hào,ceolho
명호,敏镐,MODIFIED,mǐn hào,myeongho
오,吴,MODIFIED,wú,o
진우,振宇,MODIFIED,zhèn yǔ,jinu
성옥,成玉,MODIFIED,chéng yù,seongog
경희,庆喜,MODIFIED,qìng xǐ,gyeonghyi
고,高,MODIFIED,gāo,go
용희,容姬,MODIFIED,róng jī,yonghyi
국진,国榛,MODIFIED,guó zhēn,gugjin
영일,英日,MODIFIED,yīng rì,yeongil
허,许,MODIFIED,xǔ,heo
가이,嘉谊,MODIFIED,jiā yì,gai
대세,大世,MODIFIED,dà shì,daese
향미,香美,MODIFIED,xiāng měi,hyangmi
영대,英大,MODIFIED,yīng dà,yeongdae
황,黄,MODIFIED,huáng,hwang
성수,诚秀,MODIFIED,chéng xiù,seongsu
국태,国泰,MODIFIED,guó tài,gugtae
임,尹,MODIFIED,yǐn,im
용수,永洙,MODIFIED,yǒng zhū,yongsu
형무,亨武,MODIFIED,hēng wǔ,hyeongmu
성혁,成赫,MODIFIED,chéng hè,seonghyeog
영철,永哲,MODIFIED,yǒng zhé,yeongceol
창옥,昌玉,MODIFIED,chāng yù,cangog
봉한,凤汉,MODIFIED,fèng hàn,bonghan
영순,英顺,MODIFIED,yīng shùn,yeongsun
조,赵,MODIFIED,zhào,jo
명록,明禄,MODIFIED,míng lù,myeongrog
혁철,赫哲,MODIFIED,hè zhé,hyeogceol
광혁,光赫,MODIFIED,guāng hè,gwanghyeog
영림,永林,MODIFIED,yǒng lín,yeongrim
영조,映早,MODIFIED,yìng zǎo,yeongjo
일진,日进,MODIFIED,rì jìn,iljin
정남,正男,MODIFIED,zhèng nán,jeongnam
성관,成冠,MODIFIED,chéng guān,seonggwan
사량,史良,MODIFIED,shǐ liáng,saryang
보현,辅铉,MODIFIED,fǔ xuàn,bohyeon
금철,金喆,MODIFIED,jīn zhé,geumceol
려,吕,MODIFIED,lǚ,ryeo
춘석,春石,MODIFIED,chūn shí,cunseog
창만,昌满,MODIFIED,chāng mǎn,cangman
영옥,英玉,MODIFIED,yīng yù,yeongog
문,文,MODIFIED,wén,mun
예봉,艺峰,MODIFIED,yì fēng,yebong
권,权,MODIFIED,quán,gweon
혁봉,赫峰,MODIFIED,hè fēng,hyeogbong
광민,光民,MODIFIED,guāng mín,gwangmin
영숙,容淑,MODIFIED,róng shū,yeongsug
세광,世光,MODIFIED,shì guāng,segwang
미경,美庆,MODIFIED,měi qìng,migyeong
림,林,MODIFIED,lín,rim
철명,哲敏,MODIFIED,zhé mǐn,ceolmyeong
익제,益济,MODIFIED,yì jì,igje
헌영,宪永,MODIFIED,xiàn yǒng,heonyeong
승혁,成赫,MODIFIED,chéng hè,seunghyeog
일범,日范,MODIFIED,rì fàn,ilbeom
한,韩,MODIFIED,hán,han
광복,光福,MODIFIED,guāng fú,gwangbog
