ernests gulbis,厄内斯特·古尔比斯,è nèi sī tè · gǔ ěr bǐ sī
mihails barišņikovs,米哈伊尔·巴里什尼科夫,mǐ hā yī ěr · bā lǐ shén ní kē fū
kārlis ulmanis,卡尔利斯·乌尔马尼斯,kǎ ěr lì sī · wū ěr mǎ ní sī
frīdrihs ketlers,腓特烈·克特勒,féi tè liè · kè tè lè
juris hartmanis,尤里斯·哈特马尼斯,yóu lǐ sī · hā tè mǎ ní sī
vitālijs astafjevs,维塔利耶斯·阿斯塔夫耶夫斯,wéi tǎ lì yē sī · ā sī tǎ fū yē fū sī
aleksandrs cauņa,亚历山德克斯·考纳,yà lì shān dé kè sī · kǎo nà
mihails tāls,米哈伊尔·塔尔,mǐ hā yī ěr · tǎ ěr
pēteris vasks,彼得里斯·瓦斯克斯,bǐ dé lǐ sī · wǎ sī kè sī
valters caps,瓦尔特·察普,wǎ ěr tè · chá pǔ
aleksandrs fertovs,亚历山德克斯·化图夫斯,yà lì shān dé kè sī · huà tú fū sī
andris nelsons,安德里斯·尼尔森斯,ān dé lǐ sī · ní ěr sēn sī
mareks mejeris,马雷克斯·梅耶里斯,mǎ léi kè sī · méi yē lǐ sī
jānis čakste,雅尼斯·恰克斯特,yǎ ní sī · qià kè sī tè
andris biedriņš,安德里斯·比耶德里尼什,ān dé lǐ sī · bǐ yē dé lǐ ní shén
andris šics,安德里斯·希茨,ān dé lǐ sī · xī cí
andris vaņins,安德里斯·瓦宁斯,ān dé lǐ sī · wǎ níng sī
valdis dombrovskis,瓦尔季斯·东布罗夫斯基斯,wǎ ěr jì sī · dōng bù luó fū sī jī sī
guntis ulmanis,贡季斯·乌尔马尼斯,gòng jì sī · wū ěr mǎ ní sī
rainis,瑞尼斯,ruì ní sī
egils levits,埃吉尔斯·莱维茨,āi jí ěr sī · lái wéi cí
jānis pujats,若望·普亚兹,ruò wàng · pǔ yà zī
einars repše,埃纳尔斯·雷普舍,āi nà ěr sī · léi pǔ shè
vitālijs maksimenko,维塔利斯·马克西蒙科,wéi tǎ lì sī · mǎ kè xī méng kē
herberts cukurs,赫柏茨·希库尔斯,hè bǎi cí · xī kù ěr sī
jānis bērziņš,扬·别尔津,yáng · bié ěr jīn
andris bērziņš,安德里斯·贝尔津什,ān dé lǐ sī · bèi ěr jīn shén
jēkabs ketlers,雅各布·克特勒,yǎ gè bù · kè tè lè
dzidra ritenberga,德琪德拉·里腾贝加,dé qí dé lā · lǐ téng bèi jiā
augusts voss,奥古斯特·沃斯,ào gǔ sī tè · wò sī
vaira vīķefreiberga,维拉·薇契斐柏嘉,wéi lā · wēi qì fěi bǎi jiā
gidons krēmers,基东·克雷默,jī dōng · kè léi mò
mariss jansons,马里斯·扬颂斯,mǎ lǐ sī · yáng sòng sī
miša maiskis,米沙·麦斯基,mǐ shā · mài sī jī
dairis bertāns,达里斯·贝坦斯,dá lǐ sī · bèi tǎn sī
vilis lācis,维利斯·拉齐斯,wéi lì sī · lā qí sī
aleksandrs koliņko,阿莱克桑德斯·科林科,ā lái kè sāng dé sī · kē lín kē
vilhelms ketlers,威廉·克特勒,wēi lián · kè tè lè
pēteris stučka,彼得·斯图奇卡,bǐ dé · sī tú qí kǎ
valdis zatlers,瓦尔季斯·扎特莱尔斯,wǎ ěr jì sī · zhā tè lái ěr sī
aleksandrs šabalovs,亚历山大·沙巴洛夫,yà lì shān dà · shā bā luò fū
juris šics,尤里斯·希茨,yóu lǐ sī · xī cí
kristaps janičenoks,克里斯塔普斯·扬尼切诺克斯,kè lǐ sī tǎ pǔ sī · yáng ní qiè nuò kè sī
alfrēds rubiks,阿尔弗雷兹·鲁比克斯,ā ěr fú léi zī · lǔ bǐ kè sī
alberts kviesis,阿尔贝茨·克维埃西斯,ā ěr bèi cí · kè wéi āi xī sī
dāvis bertāns,戴维斯·贝坦斯,dài wéi sī · bèi tǎn sī
aleksejs višņakovs,阿莱克塞斯·维斯纳科夫斯,ā lái kè sāi sī · wéi sī nà kē fū sī
augusts kirhenšteins,奥古斯特·基尔兴施泰因,ào gǔ sī tè · jī ěr xīng shī tài yīn
uļjana semjonova,乌莉娅娜·谢苗诺娃,wū lì yà nà · xiè miáo nuò wá
edvīns šnore,埃德温·斯努尔,āi dé wēn · sī nǔ ěr
ivars smilga,伊瓦尔·斯米尔加,yī wǎ ěr · sī mǐ ěr jiā
