krzysztof kieślowski,克日什托夫·基斯洛夫斯基,kè rì shén tuō fū · jī sī luò fū sī jī
andrzej wajda,安德烈·华依达,ān dé liè · huá yī dá
laurent koscielny,罗伦·哥斯尼,luó lún · gē sī ní
lech kaczyński,莱赫·卡钦斯基,lái hè · kǎ qīn sī jī
zbigniew zamachowski,齐伯尼·查马修瓦斯基,qí bǎi ní · chá mǎ xiū wǎ sī jī
otylia jędrzejczak,奥蒂利娅·延杰伊恰克,ào dì lì yà · yán jié yī qià kè
aleksander kwaśniewski,亚历山大·克瓦希涅夫斯基,yà lì shān dà · kè wǎ xī niè fū sī jī
agata kulesza,阿嘉塔·库雷札,ā jiā tǎ · kù léi zhá
zygmunt chychła,齐格蒙特·黑赫瓦,qí gé méng tè · hēi hè wǎ
tomasz wylenzek,托马什·维伦热克,tuō mǎ shén · wéi lún rè kè
bogdan musiol,波格丹·穆肖乌,bō gé dān · mù xiào wū
donald tusk,唐纳德·图斯克,táng nà dé · tú sī kè
tadeusz reichstein,塔德乌什·赖希施泰因,tǎ dé wū shén · lài xī shī tài yīn
julius axelrod,朱利叶斯·阿克塞尔罗德,zhū lì yè sī · ā kè sāi ěr luó dé
alana beard,阿兰娜·比尔德,ā lán nà · bǐ ěr dé
lech wałęsa,莱赫·瓦文萨,lái hè · wǎ wén sà
marian woronin,马里安·沃罗宁,mǎ lǐ ān · wò luó níng
ryszard kaczorowski,雷沙尔德·卡丘罗夫斯基,léi shā ěr dé · kǎ qiū luó fū sī jī
wojciech jaruzelski,沃伊切赫·雅鲁泽尔斯基,wò yī qiè hè · yǎ lǔ zé ěr sī jī
stanisław ostrowski,斯坦尼斯瓦夫·奥斯特洛夫斯基,sī tǎn ní sī wǎ fū · ào sī tè luò fū sī jī
leszek miller,莱舍克·米莱尔,lái shè kè · mǐ lái ěr
franciszek macharski,方济各·马哈尔斯基,fāng jì gè · mǎ hā ěr sī jī
jerzy buzek,耶日·布泽克,yē rì · bù zé kè
edward bernard raczyński,爱德华·伯纳德·拉陈斯基,ài dé huá · bǎi nà dé · lā chén sī jī
stanisław wojciechowski,斯坦尼斯瓦夫·沃伊切霍日夫斯基,sī tǎn ní sī wǎ fū · wò yī qiè huò rì fū sī jī
władysław raczkiewicz,瓦迪斯瓦夫·拉茨凯维奇,wǎ dí sī wǎ fū · lā cí kǎi wéi qí
august zaleski,奥古斯特·扎勒斯基,ào gǔ sī tè · zhā lè sī jī
jan krzysztof bielecki,扬·克日什托夫·别莱茨基,yáng · kè rì shén tuō fū · bié lái cí jī
marek belka,马雷克·贝尔卡,mǎ léi kè · bèi ěr kǎ
emil hirschfeld,埃米尔·希施费尔德,āi mǐ ěr · xī shī fèi ěr dé
jarosław kaczyński,雅罗斯瓦夫·卡钦斯基,yǎ luó sī wǎ fū · kǎ qīn sī jī
tomasz majewski,托马什·马耶夫斯基,tuō mǎ shén · mǎ yē fū sī jī
zbigniew boniek,日比格涅夫·博涅克,rì bǐ gé niè fū · bó niè kè
paul baran,保罗·巴兰,bǎo luó · bā lán
przemysław prusinkiewicz,普热梅斯瓦夫·普鲁辛凯维奇,pǔ rè méi sī wǎ fū · pǔ lǔ xīn kǎi wéi qí
raymond kopa,雷蒙·科帕,léi méng · kē pà
leon jogiches,列奥·约基希斯,liè ào · yuē jī xī sī
marcin możdżonek,马尔钦·莫兹德兹雷克,mǎ ěr qīn · mò zī dé zī léi kè
jennifer suhr,詹尼弗·苏尔,zhān ní fú · sū ěr
eugen polanski,欧根·波兰斯基,ōu gēn · bō lán sī jī
stanisław lem,史坦尼斯瓦夫·莱姆,shǐ tǎn ní sī wǎ fū · lái mǔ
anita włodarczyk,安妮塔·沃达尔奇克,ān nī tǎ · wò dá ěr qí kè
tadeusz mazowiecki,塔德乌什·马佐维耶茨基,tǎ dé wū shén · mǎ zuǒ wéi yē cí jī
maria skłodowskacurie,玛丽·居里,mǎ lì · jū lǐ
kazimierz marcinkiewicz,卡齐米日·马尔钦凯维奇,kǎ qí mǐ rì · mǎ ěr qīn kǎi wéi qí
waldemar pawlak,瓦尔德马·帕夫拉克,wǎ ěr dé mǎ · pà fū lā kè
hanna suchocka,汉娜·苏霍茨卡,hàn nà · sū huò cí kǎ
michał jeliński,米哈乌·耶林斯基,mǐ hā wū · yē lín sī jī
zygmunt smalcerz,齐格蒙特·斯马尔采日,qí gé méng tè · sī mǎ ěr cǎi rì
małgorzata bela,玛高莎·贝拉,mǎ gāo shā · bèi lā
andrzej majewski,安德烈·马耶夫斯基,ān dé liè · mǎ yē fū sī jī
andrzej sypytkowski,安杰伊·瑟佩特科夫斯基,ān jié yī · sè pèi tè kē fū sī jī
bezprym,贝斯普里姆,bèi sī pǔ lǐ mǔ
anna rybicka,安娜·雷比茨卡,ān nà · léi bǐ cí kǎ
andrzej szeptycki,安德略·萧普提斯基,ān dé lüè · xiāo pǔ tí sī jī
piotr kiełpikowski,彼得·凯乌皮科夫斯基,bǐ dé · kǎi wū pí kē fū sī jī
ryszard sobczak,理夏德·索布恰克,lǐ xià dé · suǒ bù qià kè
jarosław rodzewicz,雅罗斯瓦夫·罗泽维奇,yǎ luó sī wǎ fū · luó zé wéi qí
anni friesingerpostma,安妮·弗里辛格波斯特马,ān nī · fú lǐ xīn gé bō sī tè mǎ
wojtek wolski,沃伊泰克·沃尔斯基,wò yī tài kè · wò ěr sī jī
zygmunt anczok,齐格蒙特·安乔克,qí gé méng tè · ān qiáo kè
