éverton santos,艾华顿·山度士,ài huá dùn · shān dù shì
leandro domingues,李安度·杜明基斯,lǐ ān dù · dù míng jī sī
deodoro da fonseca,德奥多罗·达·丰塞卡,dé ào duō luó · dá · fēng sāi kǎ
ricardo alexandre dos santos,里卡多·亚历山大·多斯·桑托斯,lǐ kǎ duō · yà lì shān dà · duō sī · sāng tuō sī
juan silveira dos santos,胡安·西尔维拉·多斯·桑托斯,hú ān · xī ěr wéi lā · duō sī · sāng tuō sī
hulk,浩克,hào kè
mano menezes,曼诺·文尼萨斯,màn nuò · wén ní sà sī
luiz adriano,路易斯·阿德里亚诺,lù yì sī · ā dé lǐ yà nuò
willian borges da silva,威廉·伯格斯·达·席尔瓦,wēi lián · bǎi gé sī · dá · xí ěr wǎ
euller,乌拿,wū ná
neymar,内马尔,nèi mǎ ěr
reinaldo da cruz oliveira,连拿度·达·告鲁斯·奥利华拉,lián ná dù · dá · gào lǔ sī · ào lì huá lā
leandro damião,莱安德罗·达米安,lái ān dé luó · dá mǐ ān
júlio baptista,儒利奥·巴普蒂斯塔,rú lì ào · bā pǔ dì sī tǎ
joão havelange,若昂·阿维兰热,ruò áng · ā wéi lán rè
zinho,津尼奥,jīn ní ào
bebeto,白必图,bái bì tú
felipe massa,菲利佩·马萨,fēi lì pèi · mǎ sà
alexandre pato,阿历山大·柏图,ā lì shān dà · bǎi tú
bruno senna,布鲁诺·塞纳,bù lǔ nuò · sāi nà
nílton santos,尼顿·山度士,ní dùn · shān dù shì
gisele bündchen,吉赛尔·邦辰,jí sài ěr · bāng chén
adriana lima,阿德瑞娜·利玛,ā dé ruì nà · lì mǎ
alessandra ambrósio,亚历桑德拉·安布罗休,yà lì sāng dé lā · ān bù luó xiū
kevin kurányi,凯文·库兰伊,kǎi wén · kù lán yī
valdir benedito,瓦尔迪尔·贝内迪托,wǎ ěr dí ěr · bèi nèi dí tuō
nélson luís kerchner,内尔松·路易斯·克尔希纳,nèi ěr sōng · lù yì sī · kè ěr xī nà
zilda arns,齐尔达·阿恩斯,qí ěr dá · ā ēn sī
heitor villalobos,海托尔·维拉罗伯斯,hǎi tuō ěr · wéi lā luó bǎi sī
juninho pernambucano,儒尼尼奥·佩南布卡诺,rú ní ní ào · pèi nán bù kǎ nuò
oscar niemeyer,奥斯卡·尼迈耶,ào sī kǎ · ní mài yē
bernard anício caldeira duarte,伯纳德·阿尼西奥·卡尔德拉·杜阿尔特,bǎi nà dé · ā ní xī ào · kǎ ěr dé lā · dù ā ěr tè
ramires,拉美利斯,lā měi lì sī
donizete oliveira,多尼泽特·奥利维拉,duō ní zé tè · ào lì wéi lā
bernardo fernandes da silva,贝纳多·费南迪斯·达·席尔瓦,bèi nà duō · fèi nán dí sī · dá · xí ěr wǎ
ramon menezes,拉蒙·梅内塞斯,lā méng · méi nèi sāi sī
fernando rech,费兰度·列治,fèi lán dù · liè zhì
jorge amado,若热·亚马多,ruò rè · yà mǎ duō
carmen miranda,卡门·米兰达,kǎ mén · mǐ lán dá
zózimo,索斯莫,suǒ sī mò
ademar de barros,艾迪马·德·巴罗斯,ài dí mǎ · dé · bā luó sī
hebe camargo,赫柏·卡马戈,hè bǎi · kǎ mǎ gē
juscelino kubitschek,儒塞利诺·库比契克,rú sāi lì nuò · kù bǐ qì kè
getúlio vargas,热图利奥·瓦加斯,rè tú lì ào · wǎ jiā sī
elano,埃拉诺,āi lā nuò
edmilson alves,艾美臣·艾维斯,ài měi chén · ài wéi sī
dida,迪达,dí dá
isabeli fontana,伊莎贝莉·芳塔娜,yī shā bèi lì · fāng tǎ nà
gilberto silva,吉尔伯托·席尔瓦,jí ěr bǎi tuō · xí ěr wǎ
thiago motta,蒂亚戈·莫塔,dì yà gē · mò tǎ
joão gilberto,若昂·吉尔贝托,ruò áng · jí ěr bèi tuō
ranieri mazzilli,拉涅里·马齐利,lā niè lǐ · mǎ qí lì
joão figueiredo,若昂·菲格雷多,ruò áng · fēi gé léi duō
luís fabiano,路尔斯·法比安奴,lù ěr sī · fǎ bǐ ān nú
david luiz,大卫·雷斯,dà wèi · léi sī
marcos senna,马科斯·塞纳,mǎ kē sī · sāi nà
carlos alberto parreira,卡洛斯·阿尔贝托·佩雷拉,kǎ luò sī · ā ěr bèi tuō · pèi léi lā
gustavo kuerten,古斯塔沃·库尔滕,gǔ sī tǎ wò · kù ěr téng
everton ramos da silva,艾弗顿·拉莫斯·达·席尔瓦,ài fú dùn · lā mò sī · dá · xí ěr wǎ
carlos alberto dias,卡洛斯·阿尔贝托·迪亚士,kǎ luò sī · ā ěr bèi tuō · dí yà shì
lopes tigrão,韦宁顿·卢比斯,wéi níng dùn · lú bǐ sī
ânderson lima,安达臣·利马,ān dá chén · lì mǎ
jairzinho,雅伊济尼奥,yǎ yī jì ní ào
